  0:   53| [45] [――そして、運命の日がやってきた。]
  1:   58| [45] [今年の七夕が過ぎてから、約２ヵ月後。]
  2:   63| [45] [２０３０年、９月１６日――]
  3:  128| [45] [悠里はその日、早朝から天川博士と共に、第５エリアの脳科学実験室に来ていた。]
  4:  160| [47] [美夜子]
  5:  163| [45] [「悠里ちゃん、こんな早朝からごめんなさいね」]
  6:  171| [47] [悠里]
  7:  174| [45] [「いいんですよ、今日はとっても重要な実験をするんでしょう？」]
  8:  200| [47] [美夜子]
  9:  203| [45] [「そうね、９時間から１２時間程度の長丁場になると思うから、お互い頑張りましょう」]
 10:  229| [47] [美夜子]
 11:  232| [45] [「実験の前に脳の検査をするわ。実験服に着替えておいて」]
 12:  265| [45] [美夜子は悠里に着替えを渡した。]
 13:  270| [45] [周囲では博士の同僚の研究員たちが、検査の準備を進める。]
 14:  275| [47] [職員１]
 15:  278| [45] [「スキャニング準備完了しました」]
 16:  283| [47] [職員２]
 17:  286| [45] [「前回と前々回のデータ、こっちに回してくれ」]
 18:  338| [45] [誰も悠里の裸体になど全く興味を示さないが、彼女は物陰に隠れ、着替えを行おうとした。]
 19:  343| [47] [悠里]
 20:  344| [45] [（それにしても……今日の実験、変わってるよね）]
 21:  349| [47] [悠里]
 22:  350| [45] [（博士は『魂を作る』って言ってたけど……そんな事、ほんとにできるのかな？）]
 23:  355| [45] [悠里がそう思った時――]
 24:  375| [45] [１本の電話が入った。]
 25:  408| [47] [美夜子]
 26:  411| [45] [「……何かしら」]
 27:  416| [45] [博士が怪訝そうに、電話に出る。]
 28:  448| [47] [美夜子]
 29:  451| [45] [「はい、天川です。ただいま検査中で――」]
 30:  456| [45] [そう言いかけて、博士は表情を強張らせた。]
 31:  484| [47] [美夜子]
 32:  487| [45] [「――夏彦が？」]
 33:  495| [47] [悠里]
 34:  498| [45] [「え……？」]
 35:  509| [45] [その名前を聞いて、悠里も息を呑む。]
 36:  533| [45] [耳をそばだてる悠里の横で、博士は電話を続ける。]
 37:  559| [47] [美夜子]
 38:  562| [45] [「えぇ、えぇ……！」]
 39:  588| [47] [美夜子]
 40:  591| [45] [「……なんですって？　ましろちゃんと優衣も？」]
 41:  617| [47] [美夜子]
 42:  620| [45] [「――わかりました、いまそちらに向かいます」]
 43:  625| [45] [博士はそう言って、電話を切った。]
 44:  633| [47] [悠里]
 45:  636| [45] [「あ、あの……ひこりんがどうしたんですか？」]
 46:  662| [47] [美夜子]
 47:  665| [45] [「よくわからないけど……どうもあの子たち、ラボに来ているらしいの」]
 48:  673| [47] [悠里]
 49:  676| [45] [「え？　ど、どうやって？」]
 50:  702| [47] [美夜子]
 51:  705| [45] [「そうよね、検問もあるのに……」]
 52:  713| [47] [美夜子]
 53:  716| [45] [「こんな時間から、いったい何の用で――」]
 54:  721| [45] [博士がそう言った、その瞬間、]
 55:  769| [45] [どこか遠くで、爆発音が響いた。]
 56:  783| [47] [悠里]
 57:  786| [45] [「ッ！？」]
 58:  791| [45] [驚愕のあまり悠里は、着替えようとしていた実験服を取り落とした。]
 59:  799| [47] [美夜子]
 60:  802| [45] [「な、なんの音！？」]
 61:  807| [45] [その問いに答えるように、音が連続して響く。]
 62:  906| [45] [自動防災システムが、警告の自動放送を流す。]
 63:  911| [47] [自動放送]
 64:  914| [45] [「――ただいま地下１階第１エリアで、激しい振動を感知しました」]
 65:  919| [47] [自動放送]
 66:  922| [45] [「――ただいま地下２階第３エリアで、激しい振動を感知しました」]
 67:  927| [47] [自動放送]
 68:  930| [45] [「――ただいま地下１階第２エリアで、火災が発生しました」]
 69:  935| [47] [自動放送]
 70:  938| [45] [「――ただいま地下２階第２エリアで、激しい振動を感知しました」]
 71:  943| [47] [自動放送]
 72:  946| [45] [「施設内のセキュリティを、『避難モード』に移行。Ｎエリアを除く全ゲートを開放します」]
 73:  951| [45] [何が起きているのかはよくわからない。]
 74:  974| [45] [だが凄まじい事態が、この施設を襲っている事はわかる。]
 75:  982| [47] [悠里]
 76:  985| [45] [「は、博士……」]
 77:  992| [45] [悠里は怖くなってきて、博士に歩み寄る。]
 78: 1025| [45] [博士が悠里を護るように抱いた時、けたたましい放送が響いた。]
 79: 1033| [47] [アナウンス]
 80: 1036| [45] [「き、緊急放送です！」]
 81: 1044| [47] [アナウンス]
 82: 1047| [45] [「ただいま施設内で、原因不明の爆発が発生しました！」]
 83: 1055| [47] [アナウンス]
 84: 1058| [45] [「現状判明している限り、施設内の１０数か所で同時に爆発が起き、それに伴い火災も発生しています！」]
 85: 1069| [45] [その放送に、研究員達がざわめいた。]
 86: 1074| [47] [職員１]
 87: 1077| [45] [「１０数か所で爆発だと……！？」]
 88: 1082| [47] [職員２]
 89: 1085| [45] [「原因不明！？　どういう事だ！？」]
 90: 1108| [47] [悠里]
 91: 1111| [45] [「……っ！」]
 92: 1116| [45] [悠里は怯えて、博士に抱きつく。]
 93: 1121| [45] [博士は悠里の肩を抱き返して言った。]
 94: 1147| [47] [美夜子]
 95: 1150| [45] [「大丈夫よ……！　この施設には二重三重の防災システムが配備されているんだから」]
 96: 1158| [47] [美夜子]
 97: 1161| [45] [「何が起こっても、大規模な災害になったりはしないはず」]
 98: 1187| [47] [美夜子]
 99: 1190| [45] [「安全は確保されているの……安心して」]
100: 1195| [45] [その声はあくまで穏やかだった。悠里を勇気づけるように。]
101: 1203| [47] [悠里]
102: 1206| [45] [「で、でもどうしてこんな事が――」]
103: 1232| [47] [美夜子]
104: 1235| [45] [「えぇ、この施設で爆発など起きるわけもないのに……」]
105: 1261| [47] [美夜子]
106: 1264| [45] [「……」]
107: 1290| [47] [美夜子]
108: 1293| [45] [「……まさか、テロ！？」]
109: 1301| [47] [悠里]
110: 1304| [45] [「て、テロ！？」]
111: 1312| [47] [美夜子]
112: 1315| [45] [「近頃、ＢＣ排斥系の過激派グループが、市内で破壊活動を行っているのよ」]
113: 1323| [47] [美夜子]
114: 1326| [45] [「昨日、超心研が爆破され、それで一連の犯行は終わったと思っていたんだけど……まさか本当の狙いは、ここ！？」]
115: 1352| [47] [美夜子]
116: 1355| [45] [「ここがＢＣ研究施設だとバレたの！？」]
117: 1363| [47] [悠里]
118: 1366| [45] [「ど、どこから情報が漏れたんでしょう！？」]
119: 1392| [47] [美夜子]
120: 1395| [45] [「わからないわ！　向こうの目的も何なのか……」]
121: 1421| [47] [美夜子]
122: 1424| [45] [「でもこのままここにいたら、危険なのは間違いないわ！」]
123: 1432| [47] [美夜子]
124: 1435| [45] [「悠里ちゃん、安全なところに避難するわよ！」]
125: 1443| [47] [悠里]
126: 1446| [45] [「は、はいっ！」]
127: 1479| [45] [博士に手を引かれ、悠里は実験室を飛び出した。]
128: 1537| [45] [――非常階段を駆け上がり、第５エリアの地下１階へ行く。]
129: 1545| [47] [悠里]
130: 1548| [45] [「博士、どこに行くんですか！？」]
131: 1576| [47] [美夜子]
132: 1579| [45] [「有事の際に備え、この第５エリアにはシェルターがあるの」]
133: 1605| [47] [美夜子]
134: 1608| [45] [「本当はＺｅｒｏエリアが一番安全なのだけど、あそこに行くには面倒な手続きが必要だから……」]
135: 1642| [45] [博士は立ち止まり、壁を見た。]
136: 1690| [45] [そこには数字の書かれたボタンが並んでいる。]
137: 1704| [47] [美夜子]
138: 1707| [45] [「１０７２１５……よし、開いたわ！」]
139: 1718| [45] [博士がパスワードらしきものを入力すると、壁がスライドし、細い通路が現れた。]
140: 1769| [45] [その奥にある鉄扉に駆け寄り、それを開ける。]
141: 1855| [47] [美夜子]
