  0:   65| [45] [――亘を助けた拍子に、車に轢かれてしまった渡瀬は――]
  1:   70| [45] [右脚大腿部を骨折し、入院する事になってしまった。]
  2:   75| [45] [車の運転手から多額の慰謝料が支払われたため、個室に入る事ができたのはありがたかったものの……]
  3:   80| [45] [亘は渡瀬以上に、ダメージを受けたようだった。]
  4:  171| [47] [亘]
  5:  174| [45] [「う、う……ごめんね渡瀬、私のせいでこんな事に……」]
  6:  179| [45] [見舞いに来た亘は、足をギプスで固められた渡瀬を見て、涙声を上げた。]
  7:  184| [45] [渡瀬は手をひらひら振って言う。]
  8:  192| [47] [渡瀬]
  9:  195| [45] [「いや気にするなって。単なる骨折だし、後遺症が残るわけでもないしさ」]
 10:  203| [47] [亘]
 11:  206| [45] [「そ、そう。ならいいんだけど……いやよくないけど……」]
 12:  211| [45] [亘は大きなため息をついた。]
 13:  237| [47] [亘]
 14:  240| [45] [「なんで私って、やる事なすことトラブルばっかり……」]
 15:  248| [47] [亘]
 16:  251| [45] [「アホ過ぎなお姉ちゃんで、弟的にも嫌になるでしょ……？」]
 17:  259| [47] [渡瀬]
 18:  262| [45] [「だからそんな事ないって」]
 19:  267| [45] [渡瀬はすっかりしょげ返っている亘に、少しだけ優しく言った。]
 20:  275| [47] [渡瀬]
 21:  278| [45] [「……そうしょげるなよ。亘がヘコんでると、つまんねーよ」]
 22:  286| [47] [渡瀬]
 23:  289| [45] [「だいたいランニングに付き合ったのは俺の意思だ。それで怪我しても俺の責任さ」]
 24:  315| [47] [亘]
 25:  318| [45] [「でも、もう無理に誘うのはやめるね。渡瀬、めんどくさがってたし……」]
 26:  326| [47] [渡瀬]
 27:  329| [45] [「最初は確かにそうだったけど……もう、いいんだ」]
 28:  337| [47] [渡瀬]
 29:  340| [45] [「俺もお前の夢とやらに、ちょっと付き合ってみたくなったんだよ」]
 30:  366| [47] [亘]
 31:  369| [45] [「え……？」]
 32:  374| [45] [きょとんとする亘に、渡瀬はかすかに微笑みかけた。]
 33:  382| [47] [渡瀬]
 34:  385| [45] [「お前さ、能力的にはどうあれ……立派だよ」]
 35:  393| [47] [渡瀬]
 36:  396| [45] [「人命を護る仕事につきたいっていう、しっかりした希望があって」]
 37:  404| [47] [渡瀬]
 38:  407| [45] [「俺はそういうのが全然ないから、ちょっと羨ましいんだ」]
 39:  430| [47] [亘]
 40:  431| [45] [「……」]
 41:  439| [47] [渡瀬]
 42:  442| [45] [「俺は『できる事』はあっても、『やりたい事』ってのがなんにもないんだよ」]
 43:  450| [47] [渡瀬]
 44:  453| [45] [「でもお前は、俺と真逆だからな。あれこれやりたい事を見つけては、どんどんその分野に飛び込んでいく」]
 45:  461| [47] [渡瀬]
 46:  464| [45] [「動機は単なる思いつきだったとしても、それで３ヶ月毎日ランニングしたりさ」]
 47:  472| [47] [渡瀬]
 48:  475| [45] [「物怖じしなくて、行動力もあって……だから俺もお前と一緒に行動したら、何か見つかるかなと思ってな」]
 49:  501| [47] [亘]
 50:  504| [45] [「そんな……そんな風に思ってくれてたの？」]
 51:  512| [47] [渡瀬]
 52:  515| [45] [「あぁ、ちょっとな」]
 53:  541| [47] [亘]
 54:  544| [45] [「ふーん……へへ、私なんかでも渡瀬に羨まれたりするんだ」]
 55:  549| [45] [亘は照れたように笑い、それから渡瀬を見つめて言った。]
 56:  575| [47] [亘]
 57:  578| [45] [「でも渡瀬。そのうちあんたもきっと、やりたい事くらい見つかるよ」]
 58:  586| [47] [渡瀬]
 59:  589| [45] [「そうかな？」]
 60:  597| [47] [亘]
 61:  600| [45] [「あんたはなんでもできる子なんだよ。あれこれ考える前に動けば、きっとね」]
 62:  608| [47] [渡瀬]
 63:  611| [45] [「……お前はもう少し、考えて動いた方がいいけどな？」]
