  0:   90| [45] [――病院跡で、渡瀬に真実を語った男の名は、宇喜多佳司と言った。]
  1:   95| [45] [彼は渡瀬に『同志になってくれるというのなら、いつでも連絡してくれたまえ』と言い残し、その日は別れた。]
  2:  100| [45] [それから１ヶ月、渡瀬は悩みに悩んで――]
  3:  105| [45] [そしてついに、彼に連絡した。]
  4:  174| [45] [――密談の場所は、あの時と同じ病院跡だった。]
  5:  179| [45] [仕事を抜けてそこに行くと、やがて宇喜多が、緊張の面持ちで現れた。]
  6:  218| [47] [宇喜多]
  7:  221| [45] [「久しぶりだね、笠鷺さん」]
  8:  247| [47] [宇喜多]
  9:  250| [45] [「僕らの同志になる事を、決意してくれたのかな？」]
 10:  258| [47] [渡瀬]
 11:  261| [45] [「いや……その前に、１つ聞きたい事がある」]
 12:  287| [47] [宇喜多]
 13:  290| [45] [「なんだね？」]
 14:  298| [47] [渡瀬]
 15:  301| [45] [「あんたがラボを裏切る理由は？」]
 16:  309| [47] [渡瀬]
 17:  312| [45] [「納得できる理由もないのに、自分が所属している組織を裏切るような人間は、信用できない」]
 18:  317| [45] [宇喜多はその問いに、苦々しい表情を浮かべた。]
 19:  373| [47] [宇喜多]
 20:  376| [45] [「……ラボのやり口に、嫌気がさしただけさ」]
 21:  381| [45] [宇喜多がそう言うと、花の香りが漂った。]
 22:  389| [47] [渡瀬]
 23:  392| [45] [「なに？　コミュニケーターを拉致し、人体実験をやっているのは、あんたらなんだろ？」]
 24:  418| [47] [宇喜多]
 25:  421| [45] [「いや、それはごく一部の職員――『シニアフェロー』と呼ばれる、上級研究員だけだ」]
 26:  447| [47] [宇喜多]
 27:  450| [45] [「僕ら一般研究員は、ラボがＢＣの研究施設だと知っていても、被験体の存在については知らされていない」]
 28:  476| [47] [宇喜多]
 29:  479| [45] [「だが僕はふとした拍子に、それを知ってしまってね……」]
 30:  487| [47] [宇喜多]
 31:  490| [45] [「僕の前にも、それを知ってしまった者がいたらしいが、その人物は殺された」]
 32:  516| [47] [宇喜多]
 33:  519| [45] [「ラボは僕ら一般研究員の命など、なんとも思っていないのさ」]
 34:  545| [47] [宇喜多]
 35:  548| [45] [「だったら『やられる前にやってやろう』って事だ」]
 36:  556| [47] [渡瀬]
 37:  559| [45] [「自分の身を護るために……か」]
 38:  585| [47] [宇喜多]
 39:  588| [45] [「君の理由よりは、だいぶ弱いとは思うが――納得いったかい？」]
 40:  593| [47] [渡瀬]
 41:  594| [45] [「…………」]
 42:  602| [47] [渡瀬]
 43:  605| [45] [「……あぁ」]
 44:  610| [45] [渡瀬には、宇喜多の理由が弱いなどとは思えなかった。]
 45:  615| [45] [自分の命が脅かされているのなら、それを回避するのは当然の事だ。]
 46:  620| [47] [渡瀬]
 47:  621| [45] [（誰も彼を非難する事なんかできまい……）]
 48:  656| [45] [渡瀬は宇喜多に、手を差し伸べた。]
 49:  683| [47] [渡瀬]
 50:  686| [45] [「信用しよう。俺も及ばずながら、あんたに協力する」]
 51:  694| [47] [宇喜多]
 52:  697| [45] [「……感謝の極みだ」]
 53:  702| [45] [宇喜多が渡瀬の手を、がっしりと握る。]
 54:  707| [45] [枯れ木のような細い手だったが、その掌は熱に満ちていた。]
 55:  757| [45] [――その日から、渡瀬たちのテロ計画は動き始めた。]
 56:  884| [45] [密談の場所を、病院跡から渡瀬の自宅に移し、計画を練っていく。]
 57:  889| [45] [密談前に、渡瀬は宇喜多の言葉に従って、部屋に盗聴器が仕掛けられていないか調べたりもした。]
 58:  894| [45] [恐ろしいことに、部屋には盗聴器が仕掛けられていたが、それは全て破壊しておいた。]
 59:  899| [45] [その後しばらく注意していたが、新たに盗聴器が仕掛けられることはなかった。]
 60:  904| [45] [すでに監視対象から外れていたのだろう。]
 61:  940| [47] [渡瀬]
 62:  943| [45] [「――さて、宇喜多さん。まずは聞かせてもらおうか」]
 63:  951| [47] [渡瀬]
 64:  954| [45] [「あんたらの計画とやらの内容と、その目的を」]
 65: 1010| [47] [宇喜多]
 66: 1013| [45] [「うむ。それについてはすでに、こちらである程度考えてある」]
 67: 1018| [45] [宇喜多がそう答えた時、かすかに花の香りがした。]
 68: 1044| [47] [宇喜多]
 69: 1047| [45] [「まず僕らの最終目的は、被験体の拉致だ」]
 70: 1055| [47] [渡瀬]
 71: 1058| [45] [「何？　怪物を拉致してどうしようっていうんだ？」]
 72: 1084| [47] [宇喜多]
 73: 1087| [45] [「前にも話したが、怪物化したコミュニケーターは生物兵器になりうるんだ」]
 74: 1095| [47] [宇喜多]
 75: 1098| [45] [「その危険性を世に知らしめれば、ラボの蛮行は終わる」]
 76: 1106| [47] [渡瀬]
 77: 1109| [45] [「なるほど、道理だ。鹿鳴市が今まで隠蔽してきた事も、芋づる式に追及されるだろうしな」]
 78: 1135| [47] [宇喜多]
 79: 1138| [45] [「うむ、ラボと鹿鳴市に打撃を与える事にも繋がる」]
 80: 1176| [47] [渡瀬]
 81: 1179| [45] [「しかしそうするにしても、ラボの内部にはどうやって侵入するんだ？」]
 82: 1187| [47] [渡瀬]
 83: 1190| [45] [「ラボの警備は、原発並みに厳しいだろ？」]
 84: 1216| [47] [宇喜多]
 85: 1219| [45] [「うむ。そこでレスキュー隊である君の出番と言うわけだ」]
 86: 1227| [47] [渡瀬]
 87: 1230| [45] [「なに？」]
 88: 1256| [47] [宇喜多]
 89: 1259| [45] [「ラボの警備には、１つだけ穴があるのさ」]
 90: 1285| [47] [宇喜多]
 91: 1288| [45] [「自動化された『防災システム』――これが最大の死角なんだよ」]
 92: 1296| [47] [渡瀬]
 93: 1299| [45] [「防災システムが……？」]
 94: 1307| [47] [宇喜多]
 95: 1310| [45] [「あぁ。ラボ内で火災等が起きれば、自動的に君たち『シリウス』に通報が入るだろう？」]
 96: 1336| [47] [宇喜多]
 97: 1339| [45] [「すると君たちは、警備員に呼び止められることなく、ラボ内に突入できるじゃないか」]
 98: 1347| [47] [渡瀬]
 99: 1350| [45] [「……！」]
100: 1358| [47] [渡瀬]
101: 1361| [45] [「そうか……そして火災の混乱に乗じ、俺たちが被験体とやらを連れ出せばいいってわけか！」]
102: 1366| [45] [自分に声がかかった理由が、ようやく理解できた。]
103: 1392| [47] [宇喜多]
104: 1395| [45] [「だがこれはあくまで、計画の入口だ」]
105: 1421| [47] [宇喜多]
106: 1424| [45] [「ラボの警備システムは２重３重に張り巡らされていて、計画遂行のためには、他にも様々な障害がある」]
107: 1450| [47] [宇喜多]
108: 1453| [45] [「それについて、順に説明していこう」]
109: 1458| [45] [宇喜多は懐からＰＤＡを取り出した。]
110: 1509| [45] [そこに地図が表示されている。]
111: 1517| [47] [宇喜多]
112: 1520| [45] [「これはラボ内の地図だ。ラボの建設を行った業者から、Ｑの同志が盗んできたものだよ」]
113: 1528| [47] [宇喜多]
114: 1531| [45] [「で、ここを見てくれ。被験体が幽閉されているのは、ラボの地下深くだ」]
115: 1539| [47] [渡瀬]
116: 1542| [45] [「地下２階って所か？」]
117: 1547| [45] [ラボは『地上２階・地下２階』の研究施設だと聞いた事がある。]
118: 1552| [45] [その１番下の階にいるのだと想像したのだが――]
119: 1560| [47] [宇喜多]
120: 1563| [45] [「違う。もっと深くだ」]
121: 1610| [47] [宇喜多]
122: 1613| [45] [「地下フロア中央にある『Ｎエリア』……そこに実はもう１つ、下りのエレベーターがあるのさ」]
123: 1621| [47] [渡瀬]
124: 1624| [45] [「なに！？　『地下３階』が存在するのか？」]
125: 1672| [47] [宇喜多]
126: 1675| [45] [「そうだ。大深度地下フロア、通称『Ｚｅｒｏエリア』――」]
127: 1683| [47] [宇喜多]
128: 1686| [45] [「そこに２名の被験体が囚われているんだ。陽の光も差さない場所にね」]
129: 1694| [47] [渡瀬]
130: 1697| [45] [「被験体は２名か……名前や年齢、性別はわかるのか？」]
131: 1705| [47] [宇喜多]
132: 1708| [45] [「わからん。ただぼくが調べたところ、それぞれ『被験体Ｎ』と『被験体ＹⅡ』と呼ばれているという事だけがわかった」]
133: 1716| [47] [渡瀬]
134: 1719| [45] [「『ＹⅡ』？　『ＹⅠ』は存在するのか？」]
135: 1755| [47] [宇喜多]
136: 1758| [45] [「いや……『被験体Ｙ』は数年前に、『破棄』されたと言う」]
137: 1766| [47] [宇喜多]
138: 1769| [45] [「恐らく『被験体Ａ』と同じく、ラボ内で死亡したのだろう」]
139: 1777| [47] [渡瀬]
140: 1780| [45] [「……そうか」]
141: 1804| [45] [夏彦もその言葉を聞いて、愕然としていた。]
142: 1809| [47] [夏彦]
143: 1810| [45] [（地下３階、Ｚｅｒｏエリアだって！？）]
144: 1815| [47] [夏彦]
145: 1816| [45] [（……ラボにはもう１つ、下の階があったのか！）]
146: 1868| [47] [夏彦]
147: 1869| [45] [（ぼくがずっと倒れていたあの場所の下に……）]
148: 2013| [45] [そしてそこに囚われているのは、『被験体Ｎ』と『被験体ＹⅡ』。]
149: 2018| [45] [どちらが悠里で、どちらがもう１人の少女を指しているのかはわからないが……。]
150: 2116| [47] [夏彦]
151: 2117| [45] [（悠里の言っていた事は、本当だったんだ……）]
152: 2122| [45] [さらに『被験体Ｙ』という者もいて、すでに死んでいると言う。]
153: 2127| [47] [夏彦]
154: 2128| [45] [（死因はこれも、『人体実験』……？）]
155: 2159| [47] [夏彦]
156: 2160| [45] [（でも悠里はそんな事、されてないよな）]
157: 2165| [47] [夏彦]
158: 2166| [45] [（ちょっと待て、それって……被験体ごとに、待遇が違ってたって事か？）]
159: 2205| [45] [夏彦にはまだ、わからない事ばかりだった。]
160: 2301| [45] [黙り込む渡瀬に、宇喜多が続ける。]
161: 2309| [47] [宇喜多]
162: 2312| [45] [「……話を戻そう。助けるべき被験体たちは、Ｚｅｒｏエリアにいるわけだが――」]
163: 2359| [47] [宇喜多]
164: 2362| [45] [「そこに降りるためには、幹部クラスの研究員のセキュリティカードが２枚必要だ」]
165: 2409| [47] [宇喜多]
166: 2412| [45] [「さらに、網膜の認証も必要らしい」]
167: 2420| [47] [渡瀬]
168: 2423| [45] [「ずいぶんセキュリティが厳しいんだな……」]
169: 2470| [47] [宇喜多]
170: 2473| [45] [「あぁ。さらに被験体をＺｅｒｏエリアから連れ出す事ができても、Ｎエリアから出た時点で……」]
171: 2569| [47] [宇喜多]
172: 2572| [45] [「被験体脱走阻止コード、『ケースＮ』が発令される」]
173: 2580| [47] [渡瀬]
174: 2583| [45] [「ケースＮ？」]
175: 2630| [47] [宇喜多]
176: 2633| [45] [「施設内に無数にあるセキュリティゲートが、全て閉鎖・ロックされるのさ」]
177: 2641| [47] [宇喜多]
178: 2644| [45] [「さらに地下と地上を繋ぐ部分に、破壊不可能な隔壁が降り、絶対に誰も外に出る事ができなくなるんだ」]
179: 2652| [47] [宇喜多]
180: 2655| [45] [「しかもケースＮが発令されたら、警備員も職員も異変を察知する」]
181: 2663| [47] [宇喜多]
182: 2666| [45] [「施設内に残った職員は、逃げた被験体を必死で探すだろうし……施設外の警備員は施設外を固め、脱出を阻止するだろう」]
183: 2728| [47] [渡瀬]
184: 2731| [45] [「そいつは難物だ……じゃあケースＮの発令自体を阻止する事はできないのか？」]
185: 2757| [47] [宇喜多]
186: 2760| [45] [「不可能だ」]
187: 2768| [47] [宇喜多]
188: 2771| [45] [「ケースＮの発令システムは、ラボ内を統括管理するスパコン『ＢｒａｉｎＣｅｌｌ』によって行われるのだが――」]
189: 2779| [47] [宇喜多]
190: 2782| [45] [「このスパコンは３つの制御システムが、相互に機能を補完している。その全てを同時にダウンさせるのは無理だよ」]
191: 2790| [47] [渡瀬]
192: 2793| [45] [「……念入りな事だな」]
193: 2819| [47] [宇喜多]
194: 2822| [45] [「あぁ。もっとも正規の手続きを行えば、第５エリアまでは連れ出す事ができるらしいのだが……」]
195: 2830| [47] [渡瀬]
196: 2833| [45] [「第５エリア？　なぜそこだけは大丈夫なんだ？」]
197: 2841| [47] [宇喜多]
198: 2844| [45] [「第５エリアには、被験体の検査や各種実験を行う部屋があるのさ」]
199: 2852| [47] [宇喜多]
200: 2855| [45] [「故にそこだけは例外的に、被験体の出入りが可能なんだが――」]
201: 2881| [47] [宇喜多]
202: 2884| [45] [「しかし仮に第５エリアまで連れ出しても、エレベーターや非常階段に近づけば、やはりケースＮは発令されるらしい」]
203: 2892| [47] [渡瀬]
204: 2895| [45] [「つまり俺たちがラボに入る事ができても、被験体と共に外に出るのは不可能だって事か……？」]
205: 2921| [47] [宇喜多]
206: 2924| [45] [「あぁ。だがそれでも、僕らはやらなければならない。不可能を可能にしなければならないんだ」]
207: 2929| [45] [渡瀬はその言葉にうなずいた。]
208: 2934| [45] [問題点は、大きく分けて３つ。]
209: 2939| [45] [１つめは、『セキュリティカードと網膜認証の二重のチェックを乗り越え、Ｚｅｒｏエリアに降りる方法』。]
210: 2944| [45] [２つめは、『施設内の職員に見つからず、被験体を連れ去る方法』。]
211: 2949| [45] [３つめは、『ケースＮが発令した上でも、被験体と共に、施設外に脱出する方法』だ。]
212: 2975| [47] [宇喜多]
213: 2978| [45] [「では１つめの問題。Ｚｅｒｏエリアに降りる方法だが……」]
214: 3004| [47] [宇喜多]
215: 3007| [45] [「これは計画実行当日に、幹部研究員を気絶させるなりして連れて行き、網膜認証を行うしかないだろう」]
216: 3033| [47] [宇喜多]
217: 3036| [45] [「そうすればカードも手に入る。正規の手続きを装い、Ｚｅｒｏエリアに降りる事ができるはずだ」]
218: 3044| [47] [渡瀬]
219: 3047| [45] [「多少胸が痛むが……止むを得ないな」]
220: 3052| [45] [渡瀬は宇喜多の提案を呑んだ。]
221: 3078| [47] [宇喜多]
222: 3081| [45] [「では次の問題。施設内の警備員の対処法についてだが――」]
223: 3089| [47] [宇喜多]
224: 3092| [45] [「これはケースＮの発令を、逆手に取る事にする」]
225: 3100| [47] [渡瀬]
226: 3103| [45] [「……？　どういう意味だ？」]
227: 3129| [47] [宇喜多]
228: 3132| [45] [「若干複雑だが、聞いてくれ。流れはこんな感じだ」]
229: 3137| [45] [宇喜多はそう前置きして、話し始めた。]
230: 3163| [47] [宇喜多]
231: 3166| [45] [「まずラボ内には、ＷＸ粒子増幅器という機械があるんだ。それは制御の方法を間違えると、暴走する」]
232: 3174| [47] [宇喜多]
233: 3177| [45] [「すると自動的に、『ＢｒａｉｎＣｅｌｌ』が増幅器の暴走を止める処理を行うのだが――」]
234: 3203| [47] [宇喜多]
235: 3206| [45] [「この停止処理には時間がかかる。意図的に暴走させた場合、１２時間程度かな」]
236: 3214| [47] [宇喜多]
237: 3217| [45] [「そして、ＷＸ粒子増幅器の暴走と同時に、ケースＮが発令された場合……」]
238: 3225| [47] [宇喜多]
239: 3228| [45] [「暴走が終了するまでは、ケースＮを解除する事は不可能になる。閉ざされた隔壁を開ける事は、絶対に不可能になるんだ」]
240: 3236| [47] [渡瀬]
241: 3239| [45] [「なんだって？　なんで隔壁が開かなくなるんだ？」]
242: 3265| [47] [宇喜多]
