  0:   53| [45] [――それは渡瀬が、あの廃病院跡で――]
  1:   58| [45] [宇喜多から鹿鳴市同時多発火災の真相について、聞いた時の記憶だった。]
  2:  114| [45] [――男は渡瀬に説明した。]
  3:  119| [45] [あの未曾有の事件は、『コミュニケーターＡ』という、１人の女によって引き起こされたものだと。]
  4:  124| [45] [そしてＡが鹿鳴市に誘致され、超心研に被験体として入っていた事も――。]
  5:  131| [47] [夏彦]
  6:  132| [45] [（ここか……この記憶が改竄されてるのか）]
  7:  137| [45] [このとき宇喜多は言っていた。]
  8:  192| [45] [『コミュニケーターＡは最悪の犯罪者だった。なのに超心研は、彼女の能力を開発してしまった』]
  9:  197| [45] [『それによって、彼女の悪意に満ちた思考は垂れ流され、同時多発火災が起きた』と。]
 10:  238| [47] [夏彦]
 11:  239| [45] [（……この話の中に、改竄された箇所があるのか……？）]
 12:  244| [47] [夏彦]
 13:  245| [45] [（真実はどういう内容なんだ！？）]
 14:  250| [45] [夏彦はそう思い、その記憶の修復を試みた。]
 15:  273| [45] [――愕然とする渡瀬に、男はさらに続けた。]
 16:  281| [47] [宇喜多]
 17:  284| [45] [「超心研はＡを被験体として、テレパシーやエンパシーの発生原理について解明した」]
 18:  339| [47] [宇喜多]
 19:  342| [45] [「またＡも各種の実験を通じ、己のＢＣ能力を開発・強化された」]
 20:  350| [47] [宇喜多]
 21:  353| [45] [「テレパシーとエンパシーを自在に使いこなせるようになり、効果範囲も広がり、その力は際限なく強くなっていった」]
 22:  361| [47] [宇喜多]
 23:  364| [45] [「もっともそれだけなら、何の問題もない」]
 24:  372| [47] [宇喜多]
 25:  375| [45] [「問題は……」]
 26:  413| [45] [――その時、どこかで花の香りが――]
 27:  556| [47] [夏彦]
 28:  557| [45] [（ここだ！　ここの記憶を修復するんだ！）]
 29:  562| [45] [夏彦はそう思い、渡瀬の心に、コミュニケーターへの親愛の情を送り込んだ。]
 30:  704| [45] [すると、偽りの記憶が――]
 31:  754| [47] [宇喜多]
 32:  757| [45] [「……Ａが強力なコミュニケーターであると同時に、最悪の犯罪者だったという事だ」]
 33:  795| [47] [渡瀬]
 34:  798| [45] [「……これは？」]
 35:  836| [47] [宇喜多]
 36:  839| [45] [「２０１４年２月、Ａの故郷フランスで起きたある事件について、地元のゴシップ誌が取り上げた記事だ」]
 37:  906| [45] [――真実の記憶に差し換わった。]
 38:  930| [47] [宇喜多]
 39:  933| [45] [「……Ａがその心に、深い『悪意』を抱えていたという事だ」]
 40:  941| [47] [渡瀬]
 41:  944| [45] [「悪意……？」]
 42:  952| [47] [宇喜多]
 43:  955| [45] [「あぁ。恨み、憎しみ、怒りといった、諸々の負の感情。そしてそれらが転じた、他者への悪意――」]
 44:  963| [47] [宇喜多]
 45:  966| [45] [「それで心が満たされてしまうほど、Ａの人生は悲惨だったんだよ」]
 46:  971| [45] [男がそう言うと、ＰＤＡの画面が切り替わった。]
 47: 1049| [45] [それは外国語で書かれた、雑誌か何かの記事のようだった。]
 48: 1057| [47] [渡瀬]
 49: 1060| [45] [「……これは？」]
