  0:   64| [45] [――そうして宇喜多は、渡瀬と言う仲間を得た。]
  1:   69| [45] [そして彼と共に、計画を練り始めた。]
  2:   74| [45] [憎むべき対象は『鹿鳴市』と『ラボ』。]
  3:   79| [45] [それらに致命的な打撃を与え、被験体を救出する。]
  4:   84| [45] [極めて困難な計画だったが、渡瀬の協力があれば、なんとかなりそうな気がしてきた。]
  5:  114| [45] [計画の骨子はこうだ。まず施設内で燃焼剤入りの爆弾を爆破し、その隙に渡瀬たちに被験体を救助してもらう。]
  6:  119| [45] [爆弾の爆破は、監視ルームでモニターを見ながら、『超音波起爆装置』を用いて爆破する事にした。]
  7:  124| [45] [さらに館内放送は全館一括放送のみではなく、特定のエリアにだけ流す事もできる。]
  8:  129| [45] [それをうまく利用すれば、人がいない場所を狙い、爆破が可能になるはずだ。]
  9:  134| [45] [超音波なら人間の耳には聞こえず、誰かに悟られる恐れもない。]
 10:  139| [45] [起爆用の音声データも数種類用意した。即時爆破用のものから、時限爆破用のものまで。]
 11:  144| [45] [それを自分のＰＤＡに仕込む事で、宇喜多はいつでも館内の爆弾を爆破できるようになったのだった……。]
 12:  199| [45] [――そして計画は順調に進み――]
 13:  204| [45] [それから１年が過ぎた、ある日のこと。]
 14:  258| [45] [宇喜多は監視ルームの警備員と、チェスに興じていた。]
 15:  266| [47] [宇喜多]
 16:  269| [45] [「むぅ、チェックメイトか……序盤の駒損が後を引いたな」]
 17:  274| [47] [警備員]
 18:  277| [45] [「ははは、もう一戦いくかい？」]
 19:  285| [47] [宇喜多]
 20:  288| [45] [「いや、閑職とは言えさすがにそろそろ戻らなければまずい。再戦はまた今度にしよう」]
 21:  293| [47] [警備員]
 22:  296| [45] [「じゃあまた来る時は、ぜひコーヒーの差し入れを頼むよ。ウマいって、仲間内でも評判でね」]
 23:  304| [47] [宇喜多]
 24:  307| [45] [「それは良かった。僕のとりえと言えばそれだけだからね」]
 25:  312| [45] [こんなやりとりも、計画の一環だった。]
 26:  317| [45] [そうして宇喜多が、監視ルームを後にすると――]
 27:  435| [47] [宇喜多]
 28:  438| [45] [「っ！？」]
