  0:   51| [55] [√Double Chapter3]
  1:   63| [45] [渡瀬が出て行くと、シェルター内は静かになった。]
  2:   82| [45] [しばしの沈黙の後、夏彦は宇喜多に言う。]
  3:  108| [47] [夏彦]
  4:  111| [45] [「……あの、おじさん、ごめんなさい」]
  5:  137| [47] [宇喜多]
  6:  140| [45] [「ん？　何がだね？」]
  7:  148| [47] [夏彦]
  8:  151| [45] [「ぼくはおじさんの記憶を、勝手に読んでしまいました」]
  9:  159| [47] [夏彦]
 10:  162| [45] [「プライベートを侵すような事をしてしまって……本当に、すみません」]
 11:  188| [47] [宇喜多]
 12:  191| [45] [「なんだ、そんな事を気にしているのかい？」]
 13:  199| [47] [宇喜多]
 14:  202| [45] [「別にかまわないさ。被験体Ｎの悪意を解除するためには、必要な事だったんだろ？」]
 15:  210| [47] [夏彦]
 16:  213| [45] [「ええ、でも……おじさんがテロを起こした動機に関する記憶は、概ね見てしまいました」]
 17:  221| [47] [夏彦]
 18:  224| [45] [「さっき過去のフラッシュバックが起きませんでしたか？　それがぼくが見た記憶です」]
 19:  250| [47] [宇喜多]
 20:  253| [45] [「なるほどね……でも君に読まれて困るような記憶はなかったはずだよ」]
 21:  279| [47] [宇喜多]
 22:  282| [45] [「だから本当に気にする事はないさ。むしろおかげで、自分の信念を再確認できた気がする」]
 23:  308| [47] [宇喜多]
 24:  311| [45] [「ラボと戦おうと決意した日の事を、克明に思い出したからね」]
 25:  319| [47] [夏彦]
 26:  322| [45] [「ぼくもおじさんの記憶を辿る過程で、それを追体験しました……おじさんは、勇気ある人だと思います」]
 27:  327| [45] [そう言うと宇喜多は、ふと悔いるような表情を浮かべた。]
 28:  353| [47] [宇喜多]
 29:  356| [45] [「褒めてくれるのは嬉しいがね。だが勇気を出した結果がこんなザマでは、素直に喜べるわけもないな」]
 30:  364| [47] [夏彦]
 31:  367| [45] [「え？」]
 32:  375| [47] [宇喜多]
 33:  378| [45] [「悪意に感染していた間の自分の行動は、もちろん全て覚えている。今考えるとおかしな行動ばかりしていたが……」]
 34:  386| [47] [宇喜多]
 35:  389| [45] [「悪意を増幅されている間の自分も、確かに僕自身だという気もするんだよ」]
 36:  394| [45] [宇喜多はそう呟き、手元の銃を見た。]
 37:  420| [47] [宇喜多]
 38:  423| [45] [「……僕はこの銃で、隊長さんを撃とうとした。計画が失敗した責任を、全て彼に押し付けるようにね」]
 39:  429| [45] [短い沈黙の後、悠里が呟く。]
 40:  455| [47] [悠里]
 41:  458| [45] [「……隊長さん……なんかすごく、無理してるみたい……」]
 42:  478| [47] [夏彦]
 43:  479| [45] [（……っ）]
 44:  512| [45] [その言葉に、夏彦の胸はわずかに痛んだ。]
 45:  600| [45] [渡瀬が記憶を取り戻してからというもの、夏彦と彼は利害関係の一致でのみ、共同歩調を取っている。]
 46:  605| [45] [しかし以前の方が、彼との関係はずっと良好だったように思うのだ。]
 47:  610| [45] [心を繋ぎ、共に生きる道を探っていたあの頃の方が、ずっと――。]
 48:  644| [47] [夏彦]
 49:  647| [45] [「……だけどぼくだって、好きであいつと対立してるわけじゃない」]
 50:  655| [47] [夏彦]
 51:  658| [45] [「あんな風に言いでもしなければ、きっと奴の考えは変わらないんだ」]
 52:  684| [47] [悠里]
 53:  687| [45] [「えっ……まさかわたしのために、あんな事を……？」]
 54:  695| [47] [夏彦]
 55:  698| [45] [「ああ。ぼくはあいつに、悠里をさらうという考えを改めて欲しい……ただそれだけだ」]
 56:  725| [47] [宇喜多]
 57:  728| [45] [「なんだって！？　隊長さんはＱとしての使命を果たす事を、今も諦めてないのかい？」]
 58:  736| [47] [夏彦]
 59:  739| [45] [「その通りです。ぼくはそれを阻止したいんですよ、悠里を引き渡すにはいかないから」]
 60:  771| [47] [宇喜多]
 61:  774| [45] [「そうか……隊長さんらしいと言えばらしいが……」]
 62:  800| [47] [悠里]
 63:  803| [45] [「でも……隊長さんとひこりんがいがみあうのは……わたし、嫌だよ……」]
 64:  811| [47] [夏彦]
 65:  814| [45] [「……」]
 66:  819| [45] [悠里はそう言うが、所詮それは無理な話だ。]
 67:  932| [45] [渡瀬は己の信念として、Ｑの任務を完遂する事を目指している。]
 68:  937| [45] [夏彦は己の信念として、悠里や他の人々を護る事を目指している。]
 69:  942| [45] [その２つの信念が対立している限り、夏彦と渡瀬が歩み寄ることなど不可能だ。]
 70:  950| [47] [夏彦]
 71:  953| [45] [「くそ……せっかく悪意を消したってのに、どうしてあいつとはわかりあえないんだ……！」]
 72:  971| [45] [そう呟く夏彦に、宇喜多が尋ねてきた。]
 73: 1003| [47] [宇喜多]
 74: 1006| [45] [「……ところで夏彦くん。その、悪意の話だが……」]
 75: 1014| [47] [夏彦]
 76: 1017| [45] [「え？」]
 77: 1025| [47] [宇喜多]
 78: 1028| [45] [「被験体Ｎは記憶を操作し、かつ己の意思を伝播する事で、人の悪意を増幅するというが……」]
 79: 1036| [47] [宇喜多]
 80: 1039| [45] [「それは間違いないのかね？」]
 81: 1047| [47] [夏彦]
 82: 1050| [45] [「は、はい……」]
 83: 1077| [47] [悠里]
 84: 1080| [45] [「宇喜多さんも、やっぱり自覚はなかったんですね？」]
 85: 1112| [47] [宇喜多]
 86: 1115| [45] [「……なかった。ついさっきまではね」]
 87: 1120| [45] [宇喜多はため息をついた。]
 88: 1177| [47] [宇喜多]
 89: 1180| [45] [「悪意に感染していた間の自分の行動は、もちろん全て覚えている」]
 90: 1188| [47] [宇喜多]
 91: 1191| [45] [「だがいま考えると、全てが夢の中の出来事のようだ」]
 92: 1199| [47] [夏彦]
 93: 1202| [45] [「それが、被験体Ｎの恐ろしいところなんでしょうね……」]
 94: 1236| [47] [宇喜多]
 95: 1239| [45] [「確かに。だが、より恐ろしいのは――」]
 96: 1247| [47] [宇喜多]
 97: 1250| [45] [「悪意を増幅されている間の自分も、確かに僕自身だという気がする事だ」]
 98: 1258| [47] [夏彦]
 99: 1261| [45] [「え？」]
100: 1287| [47] [宇喜多]
101: 1290| [45] [「『犠牲者を出してしまったのは僕のせいじゃない。悪いのは全て隊長さんだ』」]
102: 1298| [47] [宇喜多]
103: 1301| [45] [「そう思ったのは、被験体Ｎじゃなくて、僕だと言う自覚があるんだよ」]
104: 1327| [47] [宇喜多]
105: 1330| [45] [「そんな自分の矮小さや卑怯さに気付かされるのが……なんというか、怖いね」]
106: 1335| [47] [夏彦]
107: 1336| [45] [「……」]
108: 1341| [45] [夏彦にも、宇喜多の言葉の意味がわかった。]
109: 1396| [45] [どれだけ善人ぶっていても、全く悪意の無い人間なんかいないだろう。]
110: 1401| [45] [そして被験体Ｎに接触した者は、否応なしに自分の正体を知る。]
