  0:   64| [45] [――レスキュー隊員たちに、団地から救助された後――]
  1:   69| [45] [搬送先の病院で、洵は火傷の治療を受けた。]
  2:   74| [45] [『背中の火傷の痕は、残ってしまうでしょうね』]
  3:   79| [45] [医者からそう宣告された事は悲しかったが、それよりずっと大切な事があった。]
  4:  108| [47] [洵]
  5:  109| [45] [（……凪沙、大丈夫かな……）]
  6:  114| [45] [あのレスキュー隊員は『大丈夫』だと言ったが、凪沙の頭の怪我は、思いのほか重かったらしい。]
  7:  119| [45] [事故の日から丸１日、凪沙は集中治療室に入ったままだった。]
  8:  124| [45] [後に駆けつけてきた風見は、治療室の前でずっと、凪沙の無事を祈っているらしい。]
  9:  129| [45] [病室に移された洵も、ベッドの上で祈る。]
 10:  134| [47] [洵]
 11:  135| [45] [（……どうか神さま、凪沙を連れていかないで下さい……）]
 12:  187| [45] [だが、その日の夜――]
 13:  192| [45] [眠れずにいる洵のもとを、風見が訪れた。]
 14:  275| [47] [洵]
 15:  278| [45] [「あっ、風見ちゃん！」]
 16:  286| [47] [風見]
 17:  289| [45] [「洵、ちゃん……」]
 18:  340| [45] [風見がふらふらと、病室へと入って来る。]
 19:  345| [45] [どうも様子がおかしかった。]
 20:  353| [47] [洵]
 21:  356| [45] [「……ねぇ、凪沙は……？」]
 22:  364| [47] [洵]
 23:  367| [45] [「凪沙、大丈夫だったんでしょ？」]
 24:  372| [45] [そう尋ねた瞬間、風見の表情が、悲痛に歪んだ。]
 25:  398| [47] [風見]
 26:  401| [45] [「洵ちゃん……凪沙はね……凪沙は……」]
 27:  409| [47] [洵]
 28:  412| [45] [「え……！？」]
 29:  463| [45] [風見がその場に、泣き崩れる。]
 30:  468| [45] [そして震える声で、彼女は妹の死を、洵に告げた……。]
 31:  525| [45] [――２０２１年、４月７日。]
 32:  530| [45] [その日発生した鹿鳴市団地ガス爆発事故は、４名の死者を出した惨事として世間に報じられた。]
 33:  535| [45] [凪沙の死も、その中で起きた悲劇の１つだった。]
 34:  540| [45] [彼女は瓦礫で頭を打ち、脳内出血によって、眠るように命を落としたのだ。]
 35:  545| [45] [２０１４年に発生した同時多発火災に比べれば、それは小さな悲劇かもしれない。]
 36:  550| [45] [だが洵はその日、かけがえのないものを失ったのだ。]
 37:  604| [45] [――２日後、凪沙の葬儀が行われた。]
 38:  609| [45] [洵は火傷を負った体を引きずるように、彼女の葬儀に出た。]
 39:  667| [45] [僧侶の読経の声が、小さな葬儀場に響く。]
 40:  679| [47] [僧侶]
 41:  682| [45] [「――不生不滅　不垢不浄　不増不減　是故空中」]
 42:  693| [47] [僧侶]
 43:  696| [45] [「無色　無受想行識　無眼耳鼻舌身意　無色声香味触法――……」]
 44:  701| [45] [その声を聞きながら、洵は呆然としていた。]
 45:  773| [47] [洵]
 46:  774| [45] [（凪沙が……死んじゃったなんて……）]
 47:  779| [47] [洵]
 48:  780| [45] [（…………涙も、出ないや……）]
 49:  796| [45] [凪沙が死んだ事が、洵にはまだ信じられなかった。]
 50:  801| [47] [洵]
 51:  802| [45] [（あたしがもっと強ければ……凪沙は死なずにすんだのかな……）]
 52:  807| [47] [洵]
 53:  808| [45] [（レスキュー隊が来る前に、あの子を助けられたのかな……？）]
 54:  813| [45] [無力感と後悔が、洵の心を苛む。]
 55:  823| [45] [風見も虚ろな目で、凪沙の棺を見つめている。]
 56:  828| [45] [彼女の顔からは、全ての表情が抜け落ちていた。]
 57:  836| [47] [風見]
 58:  839| [45] [「凪沙……」]
 59:  844| [45] [かすかな呼び声に、凪沙は答えない。]
 60:  849| [45] [洵は胸が引き裂かれる気持ちで、風見を見ていた。]
 61:  898| [45] [――風見は洵以上に、最愛の妹の死を受け入れられなかったらしい。]
 62:  903| [45] [それからしばらくの後、風見は――]
 63:  908| [45] [心の平衡を、失ってしまった。]
 64:  962| [45] [病院から退院した後の、ある日。]
 65:  998| [45] [学校の帰り道に、洵は虚ろな目をして歩く風見に遭遇した。]
 66: 1006| [47] [洵]
 67: 1009| [45] [「あ……風見ちゃん、どこにいくの？」]
 68: 1063| [47] [風見]
 69: 1066| [45] [「あら、洵ちゃん……凪沙、見なかった？」]
 70: 1074| [47] [洵]
 71: 1077| [45] [「――え？」]
 72: 1103| [47] [風見]
 73: 1106| [45] [「あの子、なかなか帰ってこないの」]
 74: 1114| [47] [風見]
 75: 1117| [45] [「まったく、どこに行ってしまったのかしら？」]
 76: 1140| [47] [洵]
 77: 1143| [45] [「――……！」]
 78: 1148| [45] [まるで凪沙が生きているかのように話す風見を見て、洵は息を呑んだ。]
 79: 1156| [47] [洵]
 80: 1159| [45] [「か、風見ちゃん……凪沙は、もう……」]
 81: 1185| [47] [風見]
 82: 1188| [45] [「もし見かけたら、電話してね。もうすぐごはんのじかんだから」]
 83: 1226| [45] [洵の言葉も聞かず、風見は歩き去っていってしまった。]
 84: 1274| [45] [それからたびたび、同じような事が起きた。]
 85: 1341| [45] [凪沙がよく遊んでいた公園を、風見がいつまでも徘徊していたり……。]
 86: 1346| [45] [風見は凪沙の死を、まるで受け入れられていないのだ。]
 87: 1395| [47] [洵]
 88: 1396| [45] [（どうしよう……このままじゃ、風見ちゃんがダメになっちゃう……！）]
 89: 1401| [45] [だがどうしていいのかわからないまま、日々は無情にも過ぎて行った。]
 90: 1460| [45] [――そして、２週間が過ぎた頃――]
 91: 1465| [45] [洵は辛い気持ちを抑えながら、公園に向かった。]
 92: 1547| [47] [洵]
 93: 1548| [45] [（教えて、凪沙……あたし、いったいどうしたらいいの……？）]
 94: 1553| [45] [洵は天国の凪沙に問いかける。]
 95: 1672| [45] [その時、公園の端に佇んでいる風見の姿を見つけた。]
 96: 1750| [45] [洵の姿を見つけ、危うい足取りで歩み寄って来る。]
 97: 1785| [47] [風見]
 98: 1788| [45] [「あら、洵ちゃん……凪沙、見なかった？」]
 99: 1815| [47] [風見]
100: 1818| [45] [「あの子、なかなか帰ってこないの。まったくどこに行ってしまったのかしら？」]
101: 1823| [45] [風見は先日と、全く同じ言葉を繰り返した。]
102: 1831| [47] [洵]
103: 1834| [45] [「か、風見ちゃん……！」]
104: 1839| [45] [風見の心が、ぼろぼろになっていることがわかった。]
105: 1844| [45] [彼女の時間は、凪沙が死んだ瞬間、止まってしまったのだ。]
106: 1870| [47] [風見]
107: 1873| [45] [「早く……あの子を見つけてあげないと……」]
108: 1893| [45] [そう言って、風見がまた歩み去ろうとする。]
109: 1898| [45] [だが、洵は――]
110: 1903| [45] [その背に声をかけた。]
111: 1911| [47] [洵]
112: 1914| [45] [「もういい！　もういいんだよ風見ちゃん！」]
113: 1948| [47] [風見]
114: 1951| [45] [「え……？」]
115: 1959| [47] [洵]
116: 1962| [45] [「探しても無駄なんだよ……！　どんなに探したって、凪沙はもういないの！」]
117: 1985| [45] [その言葉に、風見の表情が凍りつく。]
118: 1993| [47] [風見]
119: 1996| [45] [「な……何を言ってるの……？」]
120: 2004| [47] [洵]
121: 2007| [45] [「死んじゃったんだよ、凪沙は！　あのときの爆発事故で、頭を打って！」]
122: 2061| [47] [風見]
123: 2064| [45] [「嘘よ……あの子は、絶対にどこかで――」]
124: 2072| [47] [洵]
125: 2075| [45] [「嘘じゃない！」]
126: 2083| [47] [洵]
127: 2086| [45] [「風見ちゃんも、お葬式に出たじゃない！　あたしと一緒に、凪沙にお別れしたじゃない！」]
128: 2091| [45] [そう叫んだ時、洵の目に、ぼろぼろと涙があふれ出した。]
129: 2099| [47] [洵]
130: 2102| [45] [「……わかってよ、風見ちゃん……！」]
131: 2110| [47] [洵]
132: 2113| [45] [「風見ちゃんがわかってくれないと、凪沙も安心して天国にいけないよ……！」]
133: 2118| [45] [そう口にする事で、洵もようやく認める事ができた。]
134: 2172| [45] [――凪沙は死んだのだ。]
135: 2177| [45] [あの心優しい娘には、もう２度と会う事ができない。]
136: 2182| [45] [自分たちは凪沙のいない世界に、残された者たちだ。]
137: 2187| [45] [その事に気付いた洵の涙は、止めどなく流れる。]
138: 2202| [45] [そして彼女の涙を見て――]
139: 2228| [47] [風見]
140: 2231| [45] [「そう……」]
141: 2239| [47] [風見]
142: 2242| [45] [「あの子は……死んだのね……」]
143: 2247| [45] [風見もようやく、現実に気付いてくれた。]
144: 2273| [47] [風見]
145: 2276| [45] [「……とうとう、１人になっちゃったわ……」]
146: 2284| [47] [洵]
147: 2287| [45] [「……１人じゃないよ。凪沙もきっと、天国から見守ってくれるよ」]
148: 2313| [47] [風見]
149: 2316| [45] [「いいえ、１人よ……」]
150: 2324| [47] [風見]
151: 2327| [45] [「……ずっと２人きりで暮らしてきた、たった１人の妹なんですもの」]
152: 2353| [47] [風見]
153: 2356| [45] [「凪沙がいないと、私は……」]
154: 2361| [45] [洵の言葉は届かなかった。]
155: 2366| [45] [洵は必死で考える。どうすれば風見の心を動かせるのか。どうすれば彼女を支えられるのか――]
156: 2371| [45] [やがて出た答え――それに気付いた時、洵の涙が止まった。]
157: 2379| [47] [洵]
158: 2382| [45] [「――風見ちゃん」]
159: 2387| [45] [洵は風見に、その言葉を告げる。]
160: 2395| [47] [洵]
161: 2398| [45] [「風見ちゃんを１人にはさせないよ」]
162: 2406| [47] [洵]
163: 2409| [45] [「あたしが凪沙の代わりに――風見ちゃんの、妹になるから」]
164: 2435| [47] [風見]
165: 2438| [45] [「え……？」]
166: 2446| [47] [洵]
167: 2449| [45] [「凪沙とは全然違う、かわいくない子だけど……あたし、お姉ちゃんの妹になるから……」]
168: 2457| [47] [洵]
169: 2460| [45] [「だから……」]
170: 2486| [47] [風見]
171: 2489| [45] [「洵ちゃん……あなた……」]
172: 2494| [45] [凪沙の代わりになんかなれない事は、洵もわかっていた。]
173: 2499| [45] [だが、風見はその言葉を聞き――]
174: 2551| [45] [洵をそっと抱きしめて、言ったのだ。]
175: 2578| [47] [風見]
176: 2581| [45] [「……ありがとう」]
177: 2636| [45] [――その日から、洵は風見の妹代わりとなった。]
178: 2641| [45] [洵は凪沙亡き後も、たびたび風見の家に遊びに行った。]
179: 2646| [45] [時にはお泊りもし、夜通し話す事もあった。]
180: 2651| [45] [少しはその甲斐もあったのだろうか。]
181: 2656| [45] [風見は少しずつ、以前の穏やかさを取り戻していったのだ。]
182: 2713| [45] [やがて風見は花屋を辞め、消防学校に入った。]
183: 2718| [45] [恐らく凪沙の死をきっかけに、人命を救う仕事に就きたいと思ったのだろう。]
184: 2723| [45] [洵は反対したが、風見は決して意見を変えなかった。]
185: 2728| [45] [やがては洵も折れ、応援する側に回った。]
186: 2733| [45] [そうして風見は消防士になり、さらに努力を重ね、レスキュー隊員になったのだ。]
187: 2782| [45] [――辛い記憶も、悲しい想い出も、歳月は少しずつ薄れさせてくれる。]
188: 2787| [45] [すっかり立ち直り、鹿鳴市消防局初の女性レスキュー隊員となった風見を、洵は心から尊敬していた。]
189: 2792| [47] [洵]
190: 2793| [45] [（お姉ちゃんは強いな……あたしももっと強くなんなきゃ）]
191: 2798| [45] [洵が風見を支え、風見は洵の規範となり、共に影響を与えながら、彼女たちは成長していく。]
192: 2803| [45] [そしてそれから何年も過ぎた、ある日の事……。]
193: 2872| [45] [休日に２人で出かけた街中で、風見が洵に尋ねてきた。]
194: 2880| [47] [風見]
195: 2883| [45] [「洵、あなた高校卒業したらどうするの？」]
196: 2891| [47] [洵]
197: 2894| [45] [「んー、実はさ～……」]
198: 2902| [47] [洵]
199: 2905| [45] [「あたしも消防学校に入って、お姉ちゃんと同じシリウス目指そうかと思ってるんだけど」]
200: 2931| [47] [風見]
201: 2934| [45] [「なんですって……！？」]
202: 2939| [45] [洵がおっかなびっくり言うと、予想通り風見は険しい顔をした。]
203: 2965| [47] [風見]
204: 2968| [45] [「駄目よ、あなたじゃ危ないわ！　命がけの仕事なのよ！」]
205: 2976| [47] [風見]
206: 2979| [45] [「お給料は安いし仕事はきついし、出場かかるたびに地獄に飛び込んで――」]
207: 2987| [47] [洵]
208: 2990| [45] [「わ、わかってるよそんなこと」]
209: 2998| [47] [洵]
210: 3001| [45] [「でもお姉ちゃんだって、あたしがあんなに反対したのに、消防学校に入ったじゃない？」]
211: 3027| [47] [風見]
212: 3030| [45] [「何年前の話をしているの？　それとこれとは話が別です」]
213: 3038| [47] [洵]
214: 3041| [45] [「別じゃないもん！　同じだもん！」]
215: 3067| [47] [風見]
216: 3070| [45] [「洵、どうして……？」]
217: 3096| [47] [風見]
218: 3099| [45] [「もしあなたまで失うことになったら、私は……！」]
219: 3104| [45] [風見の心配が伝わってくる。]
220: 3109| [45] [でも洵は絶対に譲ることができなかった。]
221: 3114| [45] [街中でサイレンを聞くたびに、怪我をして帰って来た風見を見るたびに、洵はいつも胸が潰れそうな思いをしてきたのだ。]
222: 3122| [47] [洵]
223: 3125| [45] [「お姉ちゃん、あたしも同じ思いなんだよ」]
224: 3133| [47] [洵]
225: 3136| [45] [「あたしだって、お姉ちゃんのこと放っておけないんだから」]
226: 3162| [47] [風見]
227: 3165| [45] [「洵……」]
228: 3173| [47] [洵]
229: 3176| [45] [「それにさ、あたしずっとレスキュー隊に憧れてたんだ」]
230: 3184| [47] [洵]
231: 3187| [45] [「……あたしの命を救ってくれたのは、レスキュー隊の人だったから」]
232: 3213| [47] [風見]
233: 3216| [45] [「そう……あなたがそう言うなら、私はもう何も言わないわ」]
234: 3221| [45] [そう言いつつも風見はやはり、少し怒っているようだった。]
235: 3226| [45] [洵は甘えたように言う。]
236: 3234| [47] [洵]
237: 3237| [45] [「ねぇ、お姉ちゃん」]
238: 3263| [47] [風見]
239: 3266| [45] [「なに？」]
240: 3274| [47] [洵]
241: 3277| [45] [「お姉ちゃんのピンチには、あたしが助けてあげるからね」]
242: 3303| [47] [風見]
243: 3306| [45] [「ありがとう。じゃああなたが危なくなったときは、必ず私が助けてあげる」]
244: 3314| [47] [洵]
245: 3317| [45] [「うん！」]
246: 3322| [45] [その言葉さえあれば、洵はどこまでも頑張れるような気がした。]
