  0:   56| [45] [――ともかく鹿鳴学園の教師『恵那』を救助した洵たちは――]
  1:  124| [45] [さらに第３エリアの監視ルームで、研究員の『宇喜多』に遭遇した。]
  2:  175| [45] [そして知り合いの高校生『夏彦』たちも、この施設に閉じ込められている事を知り……]
  3:  180| [45] [彼らの捜索に向かった。]
  4:  185| [45] [限られたＡＤ。上昇していく放射線量。脱出口は見つからず、状況は極めて厳しい。]
  5:  280| [45] [こんな時こそ、チームワークが何よりも重要なのに――]
  6:  285| [45] [そのチームワークを乱す者がいた。]
  7:  375| [47] [恵那]
  8:  378| [45] [「なによ、煙くらい！　レスキューがヘタれてんじゃないわよ！」]
  9:  383| [45] [それはやはり、恵那だった。]
 10:  388| [45] [外周棟に煙が漂っているのを見て、捜索を中断した洵に、食って掛かってきたのだ。]
 11:  719| [47] [洵]
 12:  722| [45] [「アンタねぇ、さっきから気になってたんだけど……！」]
 13:  760| [47] [洵]
 14:  763| [45] [「素人のクセに、なんでそんな偉そうなの！？」]
 15:  816| [47] [恵那]
 16:  819| [45] [「確かに素人だけどね、あなたも素人に毛の生えた新人なんでしょ？」]
 17:  886| [45] [――その偽りの記憶を、夏彦は修正した。]
 18:  938| [45] [彼女は生徒たちを心配するあまり、捜索を急ごうとしているのだ。]
 19:  943| [47] [洵]
 20:  944| [45] [（でもレスキューとして、それは認められない！）]
 21:  949| [45] [洵がそう思った時、渡瀬たちが駆けつけてきた。]
 22:  982| [47] [渡瀬]
 23:  985| [45] [「ど、どうした！？」]
 24: 1018| [47] [風見]
 25: 1021| [45] [「守部、なにを騒いでいるのですか！？」]
 26: 1029| [47] [洵]
 27: 1032| [45] [「あ、副隊長！」]
 28: 1040| [47] [洵]
 29: 1043| [45] [「この先の外周棟に、煙が漂ってたんだ。火の気があるっぽいんだよ」]
 30: 1051| [47] [洵]
 31: 1054| [45] [「でも部屋がたくさんあって火元がわからないから、椿山さんたちを安全なところで待機させようとしたんだけど――」]
 32: 1080| [47] [恵那]
 33: 1083| [45] [「バカ言ってんじゃないわよ！　火の気があるからこそ、全員でさっさと捜索すべきでしょう！」]
 34: 1088| [45] [恵那はなおも食い下がったが、]
 35: 1096| [47] [風見]
 36: 1099| [45] [「死にたいんですか？」]
 37: 1160| [47] [恵那]
 38: 1163| [45] [「え……？」]
 39: 1189| [47] [風見]
 40: 1192| [45] [「死にたくなければ、黙って言う事を聞いて下さい」]
 41: 1197| [45] [風見の一喝で、静かになった。]
 42: 1223| [47] [恵那]
 43: 1226| [45] [「……わ、私はただ、捜索を手伝おうと……」]
 44: 1252| [47] [風見]
 45: 1255| [45] [「言葉がきつかった事は謝ります。椿山さんのお気持ちも嬉しく思います」]
 46: 1263| [47] [風見]
 47: 1266| [45] [「ですが、どんな小さな火も侮ってはいけません。災害現場では我々の判断を信じて下さい」]
 48: 1274| [47] [風見]
 49: 1277| [45] [「我々の任務は、全員を無事にここから脱出させる事なんです。だからどうか――」]
 50: 1282| [45] [硬軟取り混ぜた風見の言葉に、さすがの恵那も折れた。]
 51: 1308| [47] [恵那]
 52: 1311| [45] [「わかったわよ……プロにお任せするわ」]
 53: 1316| [45] [それを見て洵は思う。]
 54: 1323| [47] [洵]
 55: 1324| [45] [（さすがお姉ちゃん……冷静にきっちり短時間で、椿山さんを説得したよ）]
 56: 1329| [45] [自分も見習おう。洵は改めてそう思った。]
 57: 1415| [47] [洵]
 58: 1418| [45] [「アンタねぇ、さっきから気になってたんだけど……！」]
 59: 1426| [47] [洵]
 60: 1429| [45] [「素人のクセに、なんでそんな偉そうなの！？」]
 61: 1455| [47] [恵那]
 62: 1458| [45] [「確かに素人だけどね、あなたも素人に毛の生えた新人なんでしょ？」]
 63: 1466| [47] [洵]
 64: 1469| [45] [「素人に毛の生えたぁ？　バカ言ってんじゃないよ！」]
 65: 1477| [47] [洵]
 66: 1480| [45] [「あたしがシリウス入るまで、どんだけ努力したと思ってんだ！」]
 67: 1488| [47] [洵]
 68: 1491| [45] [「レスキュー試験がどんな難関か、あんたみたいな女にわかるもんか！」]
 69: 1517| [47] [恵那]
 70: 1520| [45] [「知らないわよ、っていうか知りたくもないわ」]
 71: 1528| [47] [恵那]
 72: 1531| [45] [「普通男がなるような仕事に就く女の気持ち、全然わからないから」]
 73: 1539| [47] [洵]
 74: 1542| [45] [「えっ……」]
 75: 1568| [47] [恵那]
 76: 1571| [45] [「私もあなたが男だったら、こんなに突っかからないわよ」]
 77: 1579| [47] [恵那]
 78: 1582| [45] [「でもこの状況下で、女の、しかも新人のレスキュー隊員に命預けなきゃならないなんて……ついてないわ」]
