  0:   59| [45] [――夏彦は、洵の記憶を読み進めた。]
  1:  109| [45] [汚染区域でＡＤを手に入れ、]
  2:  162| [45] [ファクトリーで天井の崩落に遭遇し、皆で悠里を助け――]
  3:  169| [45] [そして搬出リフトのゲートを、クレーンを使ってこじ開けるまで。]
  4:  174| [47] [夏彦]
  5:  175| [45] [（そう、ここだ……この先に、例の記憶が……！）]
  6:  210| [47] [洵]
  7:  213| [45] [「ぃよーし、じゃああたしが先に入って安全を確かめよう」]
  8:  239| [47] [渡瀬]
  9:  242| [45] [「そうだな、頼む」]
 10:  250| [47] [洵]
 11:  253| [45] [「はーい、まかせてー」]
 12:  301| [45] [洵は上機嫌で、その隙間にもぐりこむ。]
 13:  308| [45] [だが、そのゲートの向こうにあったのは――]
 14:  465| [47] [洵]
 15:  468| [45] [「きゃああああああっ！」]
 16:  473| [45] [見知らぬ少女の、死体だった。]
 17:  512| [45] [――夏彦は洵の目を通じ、その光景を見ていた。]
 18:  517| [47] [夏彦]
 19:  518| [45] [（ここで洵さんは悪意に感染した……）]
 20:  523| [47] [夏彦]
 21:  524| [45] [（だったら、そろそろ現れるんじゃないか！？）]
 22:  529| [47] [夏彦]
 23:  530| [45] [（被験体Ｎの魂の跡は、ここに残ってるんじゃないか！？）]
 24:  560| [47] [夏彦]
 25:  563| [45] [「なぁそうだろ……被験体Ｎ」]
 26:  568| [45] [夏彦はその死体に語りかける。]
 27:  576| [47] [夏彦]
 28:  579| [45] [「さぁ、出てきてくれ……洵さんの中から、お前の悪意を消してやる」]
 29:  584| [45] [夏彦がそう叫ぶと――]
 30:  594| [47] [？？]
 31:  597| [45] [「――あたしを、殺すのかい？」]
 32:  602| [45] [被験体Ｎが、そう答えた。]
 33:  622| [47] [夏彦]
 34:  623| [45] [（……！）]
 35:  692| [45] [彼女はゆっくりと立ち上がり、夏彦を睨みつける。]
 36:  697| [45] [夏彦はその目を見返して、答えた。]
 37:  705| [47] [夏彦]
 38:  708| [45] [「……殺すんじゃない。記憶を元の形に、修復するだけだ」]
 39:  734| [47] [被験体Ｎ]
 40:  737| [45] [「違うね。あんたがやってることは修復じゃない」]
 41:  745| [47] [被験体Ｎ]
 42:  748| [45] [「だいたい『元の形』って何さ？　あんたがそう思いこんでるだけでしょ？」]
 43:  774| [47] [被験体Ｎ]
 44:  777| [45] [「それを歪めて、自分の都合のいいように作り変える……それを修復だなんて、ちゃんちゃらおかしいね」]
 45:  785| [47] [夏彦]
 46:  788| [45] [「……確かにお前の言う通りかもしれない」]
 47:  796| [47] [夏彦]
 48:  799| [45] [「だけどお前を放置していたら、本当に死人が出るんだ」]
 49:  807| [47] [夏彦]
 50:  810| [45] [「精神世界の話じゃない。現実の世界でだ」]
 51:  818| [47] [夏彦]
 52:  821| [45] [「それを見過ごすわけにはいかないんだよ」]
 53:  847| [47] [被験体Ｎ]
 54:  850| [45] [「でもあたしの肉体は、もう死んでいる。洵の記憶の中に残したあたしの名残も、あんたが消した」]
 55:  858| [47] [被験体Ｎ]
 56:  861| [45] [「あんたがあたしを消滅させるんだ。いくらでも言い繕う事はできるけど、それはやっぱり殺人さ」]
 57:  869| [47] [夏彦]
 58:  872| [45] [「お前が洵さんの心の中にいる限り、洵さんは洵さんじゃなくなっちゃうんだ」]
 59:  898| [47] [被験体Ｎ]
 60:  901| [45] [「へぇ？　まるで悪霊みたいな言い草だね。洵にあたしが取り憑いていたとでも？」]
 61:  909| [47] [夏彦]
 62:  912| [45] [「取り憑いていたってのとは、少し違う……」]
 63:  920| [47] [夏彦]
 64:  923| [45] [「だけどお前は洵さんに、ＢＣを使った」]
 65:  931| [47] [夏彦]
 66:  934| [45] [「ＢＣは、言葉や記憶だけじゃなくて、『想い』を人に伝える」]
 67:  942| [47] [夏彦]
 68:  945| [45] [「言葉にならない事も、思い描けないような記憶も――そしてお前の、膨大な悪意も」]
 69:  953| [47] [夏彦]
 70:  956| [45] [「それは情報エネルギーとして、洵さんの頭の中に残ってしまった……」]
 71:  964| [47] [夏彦]
 72:  967| [45] [「それを受け取った洵さんは、普通の洵さんじゃなくなってたんだ」]
 73:  993| [47] [被験体Ｎ]
 74:  996| [45] [「『普通の洵』？　なにそれ？　あんたに洵の何がわかるの？」]
 75: 1004| [47] [夏彦]
 76: 1007| [45] [「わかるさ。ぼくは渡瀬や洵さん自身の記憶を通じて、洵さんに接してきた」]
 77: 1015| [47] [夏彦]
 78: 1018| [45] [「いつもの洵さんは、明るくて強くて、正義感に満ちていて……」]
 79: 1026| [47] [夏彦]
 80: 1029| [45] [「……ぼくは洵さんに、元に戻ってもらいたいだけなんだ」]
 81: 1034| [45] [夏彦は被験体Ｎを見据えて言う。]
 82: 1042| [47] [夏彦]
 83: 1045| [45] [「お前を消去する事が、お前を殺す事だとしたら……」]
 84: 1053| [47] [夏彦]
 85: 1056| [45] [「ぼくは何度でも、その罪をかぶってやる」]
 86: 1079| [45] [そう告げる夏彦を、被験体Ｎが睨みつける。]
 87: 1087| [47] [被験体Ｎ]
 88: 1090| [45] [「そうかい……じゃあ、これはあたしとあんたの殺し合いだね」]
 89: 1098| [47] [被験体Ｎ]
 90: 1101| [45] [「あたしの悪意があんたの心を破壊するのが早いか、あんたがあたしを消去するのが早いか――」]
 91: 1127| [47] [被験体Ｎ]
 92: 1130| [45] [「試してみようか！」]
 93: 1135| [45] [彼女がそう叫んだ瞬間、暴風のような悪意が押し寄せてきた。]
 94: 1203| [45] [洵の心の中にある、諸々の負の感情。]
 95: 1236| [45] [怒りや嫉妬心といった、醜い心。]
 96: 1269| [45] [それが何十倍にも増幅され、夏彦の心をも侵食する。]
 97: 1302| [47] [夏彦]
 98: 1303| [45] [（くッ……！）]
 99: 1336| [45] [夏彦は一瞬ひるんだが――]
100: 1341| [45] [すぐに悠里の声が、頭の中に響いた。]
101: 1410| [47] [悠里]
102: 1413| [45] [《大丈夫だよひこりん！　隊長さんの時と同じ！》]
103: 1418| [47] [悠里]
104: 1421| [45] [《わたしがついていれば、ひこりんの心は壊れない！》]
105: 1426| [47] [悠里]
106: 1429| [45] [《悪意に負けることなんてないはずだよ！》]
107: 1434| [47] [夏彦]
108: 1435| [45] [（あ、ああ！）]
109: 1498| [45] [悠里の言葉が、夏彦の心を強くした。]
110: 1503| [45] [夏彦は精神を集中し――]
111: 1508| [45] [力の限り願った。被験体Ｎが消滅する事を。]
112: 1580| [47] [被験体Ｎ]
113: 1583| [45] [「ッ！！」]
114: 1588| [45] [その瞬間、被験体Ｎの悲鳴が響いた気がした。]
115: 1593| [47] [夏彦]
116: 1594| [45] [（や……やったか？）]
117: 1693| [45] [夏彦がそう思った時……]
118: 1698| [45] [洵の心を支配していた、莫大な悪意が消えていくのが、はっきりと感じられた。]
