  0:   69| [45] [――そしてそれから、長い時が流れた。]
  1:   74| [45] [部屋の中に、サリュの声が響く。]
  2:  103| [47] [サリュ]
  3:  106| [45] [「……１９５、１９６、１９７……」]
  4:  111| [45] [それはプッシュアップの回数をカウントする声。]
  5:  116| [47] [サリュ]
  6:  119| [45] [「……２００」]
  7:  124| [45] [サリュはトレーニングを終え、息をついた。]
  8:  129| [47] [サリュ]
  9:  132| [45] [「ふぅ……」]
 10:  137| [45] [サリュは汗を拭きながら思う。]
 11:  142| [47] [サリュ]
 12:  143| [45] [（運動はいい……）]
 13:  148| [47] [サリュ]
 14:  149| [45] [（くたくたになるまで体を動かしていれば、余計な事を考えずに済むし、成長の実感もある）]
 15:  154| [45] [かつて彼女の脳に詰め込まれた、膨大な身体操作の技術は、実用できるようになってきた。]
 16:  159| [45] [もっとも器械体操や陸上競技などの訓練は、この部屋では行えない。]
 17:  164| [45] [サリュのお気に入りは、単純な筋力トレーニングと、それから格闘技の類だ。]
 18:  169| [45] [特に日本武術における『形』という訓練法は、自分独りしかいなくても戦闘技術を磨くのに適している。]
 19:  174| [45] [自分の目の前に敵がいる事を想定し、それと戦うのだ。]
 20:  179| [45] [サリュは自身で作り出した幻影の敵と、今までに数え切れぬ程の戦いを行った。]
 21:  184| [45] [近頃は連勝が続いている。確かに自分が強くなっている実感がある。]
 22:  189| [47] [サリュ]
 23:  190| [45] [（……無論、それは全て無意味な事なのだけど）]
 24:  195| [45] [だが世界から断絶してしまったサリュは、自分自身の肉体に――]
 25:  200| [45] [例えば成長や疲労などの動物的な反応にしか、自己の存在証明を見出す事ができなかった。]
 26:  205| [45] [己を鍛える事と、本を読む事。それがサリュの人生の全てとなっていたのだ。]
 27:  254| [45] [サリュは私室内に備え付けられたバスルームで、シャワーを浴びた。]
 28:  259| [45] [後は何もする事はない。寝るだけだ。]
 29:  318| [45] [寝巻きに着替え、そしてベッドに潜り込む。]
 30:  378| [45] [するとすぐに消灯時間が訪れ、部屋を照らす灯りが消えた。]
 31:  383| [47] [サリュ]
 32:  384| [45] [（……博士、今日も来なかった）]
 33:  389| [45] [基本的に博士は、毎日なんだかんだと理由をつけて、サリュの顔を見に来る。]
 34:  394| [45] [だがここ数日は、それも途絶えていた。]
 35:  399| [47] [サリュ]
 36:  400| [45] [（他の被験体のところに顔を出すのが、忙しいの……？）]
 37:  405| [45] [その事について深く考えると、だんだん怖くなってくる。]
 38:  410| [45] [思考を停止するように努めたが、なかなか寝られない。]
 39:  415| [45] [暗闇の中、サリュはただ目を瞑っていたが――]
 40:  468| [45] [しばらくして、不意に照明が点灯した。]
 41:  473| [47] [サリュ]
 42:  476| [45] [「っ？」]
 43:  481| [45] [まさか寝られないうちに、朝が来てしまったのだろうか。]
 44:  516| [45] [そう思った時、博士が部屋に駆け込んできた。]
 45:  527| [47] [美夜子]
 46:  530| [45] [「優衣、起きてる！？」]
 47:  535| [47] [サリュ]
 48:  538| [45] [「博士？」]
 49:  543| [45] [こんな時間に博士が来る事など、滅多にない。]
 50:  554| [45] [サリュは戸惑いながら、ベッドから身を起こした。]
 51:  559| [47] [サリュ]
 52:  562| [45] [「起きてたけど、なに」]
 53:  570| [47] [美夜子]
 54:  573| [45] [「優衣、ここを出られるといったらどうする？」]
 55:  578| [47] [サリュ]
 56:  581| [45] [「――え？」]
 57:  586| [45] [博士の言葉に、サリュは息を呑んだ。]
 58:  591| [47] [サリュ]
 59:  594| [45] [「……どうして急に、そんな事を？」]
 60:  620| [47] [美夜子]
 61:  623| [45] [「ようやく許可が取れたの。上が心変わりをする前に、決めてしまいましょう」]
 62:  628| [47] [サリュ]
 63:  631| [45] [「……嘘！　そんな事できるわけがない！」]
 64:  636| [45] [予想もしない言葉に、サリュは動揺していた。]
 65:  641| [45] [だが博士ははっきりと言う。]
 66:  667| [47] [美夜子]
 67:  670| [45] [「そうよね。上層部の連中は無論、あなたがラボから出る事を認めなかった」]
 68:  675| [47] [サリュ]
 69:  678| [45] [「無理もない。私が外でラボの内情を語れば、この施設の運営が破綻するもの」]
 70:  704| [47] [美夜子]
 71:  707| [45] [「そこで私が出した条件は――」]
 72:  715| [47] [美夜子]
 73:  718| [45] [「『優衣の記憶を改竄し、ラボの実態に関する全記憶を抹消する事』」]
 74:  744| [47] [美夜子]
 75:  747| [45] [「それと引き換えに、あなたを自由にする……その確約を取り付けたの」]
 76:  752| [47] [サリュ]
 77:  755| [45] [「！」]
 78:  760| [45] [一瞬驚いたが――考えてみれば、サリュがラボにいる意味など、とうになくなっている。]
 79:  765| [45] [被験体としての役目を失ったサリュは、すでに『破棄された』扱いになっているらしい。]
 80:  770| [45] [あとはこの施設についての記憶さえなくなれば、ラボ側としても、厄介払いができたと言えるだろう。]
 81:  832| [47] [美夜子]
 82:  835| [45] [「……優衣、正直に答えて」]
 83:  843| [47] [美夜子]
 84:  846| [45] [「あなたはここを出て、自由になりたい？」]
 85:  851| [47] [サリュ]
 86:  852| [45] [「――……」]
 87:  857| [45] [――その時、なぜそう答えようと思ったのかはわからない。]
 88:  862| [45] [今まで一度も、そんな希望を抱いた事はなかったが――]
 89:  867| [47] [サリュ]
 90:  870| [45] [「……なりたい」]
 91:  875| [45] [サリュは、はっきりとそう言った。]
 92:  880| [45] [それはその１３年の生涯において、何かを選択するという事がただの一度もなかった彼女が、初めて選んだ未来だった。]
 93:  912| [47] [美夜子]
 94:  915| [45] [「よく言ったわ、優衣……」]
 95:  923| [47] [美夜子]
 96:  926| [45] [「あなたに自由と、新たな役目を与えてあげる」]
 97: 1013| [45] [――サリュは博士に手を引かれ、部屋を出た。]
 98: 1039| [47] [美夜子]
 99: 1042| [45] [「記憶操作は、もう１人の被験体が行うわ」]
100: 1047| [47] [サリュ]
101: 1050| [45] [「もう１人って……『被験体ＹⅡ』が？」]
102: 1055| [45] [博士はサリュの問いに頷く。]
103: 1060| [45] [顔は見た事はないが、識別名は聞いた事があった。]
104: 1065| [45] [サリュの部屋の隣の部屋に、被験体ＹⅡと呼ばれるコミュニケーターがいると。]
105: 1070| [45] [博士はそこまでサリュを引っ張っていき――その扉を開けた。]
106: 1217| [45] [扉の向こうには、優しげな少女がいた。]
107: 1225| [47] [悠里]
108: 1228| [45] [「はじめまして、優衣ちゃん」]
109: 1233| [47] [サリュ]
110: 1236| [45] [「あなたは……」]
111: 1262| [47] [悠里]
112: 1265| [45] [「わたしは悠里。琴乃悠里」]
113: 1315| [47] [美夜子]
114: 1318| [45] [「あなたの記憶改竄を行うコミュニケーターよ」]
115: 1344| [47] [悠里]
116: 1347| [45] [「残念ながらすぐにお別れになるし、わたしの記憶も消えちゃうけど……」]
117: 1373| [47] [悠里]
118: 1376| [45] [「でも、わたしは忘れないよ、あなたの事」]
119: 1381| [47] [サリュ]
120: 1384| [45] [「……ごめんなさい」]
121: 1389| [45] [サリュは必死で悠里の気持ちを考え、その言葉を口にした。]
122: 1394| [45] [自分が自由になれるのに、悠里は自由になれない。それは不公平である。]
123: 1399| [45] [ならば悠里は『悲しんでいる』のではないかと思ったのだが――]
124: 1425| [47] [悠里]
125: 1428| [45] [「謝らないで、ね？　わたしは本当に嬉しいの」]
126: 1454| [47] [悠里]
127: 1457| [45] [「わたしの力で、あなたを自由にしてあげられる事が」]
128: 1462| [45] [彼女がなぜ喜んでいるのか、そしてその言葉が嘘か真か、サリュにはまるでわからない。]
129: 1467| [45] [だがサリュは心から、彼女の言葉が本当であればいいと願っていた。]
130: 1472| [45] [やがて博士が、懐から薬を取り出して言う。]
131: 1498| [47] [美夜子]
132: 1501| [45] [「……優衣、この薬を飲んで」]
133: 1506| [47] [サリュ]
134: 1509| [45] [「これは？」]
135: 1517| [47] [美夜子]
136: 1520| [45] [「ラボが度々使用している、強力な睡眠薬よ。これを飲んで眠っている間に、全ては終るわ」]
137: 1546| [47] [美夜子]
138: 1549| [45] [「目が覚めたらあなたは、私の遠縁の親戚として、外の世界で暮らすの」]
139: 1557| [47] [美夜子]
140: 1560| [45] [「三ノ宮・ルイーズ・優衣という名前で、日仏ハーフの戸籍も用意したわ」]
141: 1565| [47] [サリュ]
142: 1568| [45] [「三ノ宮……？」]
143: 1595| [47] [美夜子]
144: 1598| [45] [「三ノ宮は、私の旧姓。ルイーズは――『気高き戦い』という意味よ」]
145: 1603| [47] [サリュ]
146: 1606| [45] [「ん……悪くない」]
147: 1611| [45] [サリュは薬を受け取った。]
148: 1616| [45] [わずかな逡巡の後、それを飲む。]
149: 1626| [45] [するとすぐに、急に頭がぼーっとしてきた。]
150: 1652| [47] [悠里]
151: 1655| [45] [「優衣ちゃん、わたしのベッドに横になって」]
152: 1660| [47] [サリュ]
153: 1663| [45] [「う……うん」]
154: 1731| [45] [悠里に言われるままに、サリュはベッドに倒れこんだ。]
155: 1736| [45] [その耳に、博士と悠里の声が聞こえてくる。]
156: 1741| [47] [美夜子]
157: 1744| [45] [「１３年分の記憶改竄となると、生半可な量じゃないけど……」]
158: 1749| [47] [悠里]
159: 1752| [45] [「やってみます」]
160: 1757| [45] [その声も遠くなっていく。]
161: 1762| [45] [悠里の顔をもう１度見届けようと、サリュは目をこらしたが――]
162: 1767| [45] [意思に反して、まぶたが下りてきた。]
163: 1804| [45] [視界も意識も、暖かな闇に落ちていこうとする中、サリュは博士の言葉を聞いた気がした。]
164: 1809| [47] [美夜子]
165: 1812| [45] [「お休みなさい、優衣」]
166: 1817| [47] [美夜子]
167: 1820| [45] [「明日からあなたの、本当の人生が始まるのよ……」]
168: 1825| [45] [その言葉に、サリュがかすかな微笑を浮かべた時――]
169: 1830| [45] [彼女は深い眠りについた。]
