  0:   68| [45] [――シリウスの一員となってから、毎日は飛ぶように過ぎていった。]
  1:   73| [45] [レスキュー隊員としての生活は、風見に確かな充実を与えた。]
  2:   78| [45] [最初は仕事の仕方を巡って揉めた渡瀬とも和解し、やがて彼を、心から尊敬するに至っていた。]
  3:   83| [45] [もっともたまには、意見が食い違う事もある。]
  4:   88| [45] [仕事への取り組み方や、心構え。]
  5:   93| [45] [そして――ＢＣについての考え方など。]
  6:   98| [45] [何かの会話の拍子に、彼はこう言ったのだ。]
  7:  190| [47] [渡瀬]
  8:  193| [45] [「ＢＣか……正直、あまり好きではないな」]
  9:  198| [47] [風見]
 10:  201| [45] [「えっ……」]
 11:  206| [45] [渡瀬はＢＣ嫌いらしかった。理由を尋ねると、彼は答える。]
 12:  232| [47] [渡瀬]
 13:  235| [45] [「ガキの頃、初めてＢＣの話を聞いた時からそうなんだが……」]
 14:  243| [47] [渡瀬]
 15:  246| [45] [「やはり自分の心を読まれたりするのは、正直怖い」]
 16:  251| [45] [それは渡瀬の年代の者にとっては珍しくないが、理由はそれだけではなさそうだった。]
 17:  256| [45] [渡瀬は他人に対し、やや壁を作るようなところがある。]
 18:  261| [45] [かつて火災で両親と姉を一時に失った事が、何か関係しているのかもしれない。]
 19:  266| [45] [いずれにせよ風見は、ＢＣの話題を避けるようにした。]
 20:  271| [47] [風見]
 21:  272| [45] [（私に適性度があるという事も、隠しておいた方が良さそうね……）]
 22:  277| [45] [風見はその事についてだけは、渡瀬にも言わなかった。]
 23:  367| [45] [そうして日々は大過なく過ぎていく。]
 24:  372| [45] [妹を失ってできた心の空白も、仕事を通じて、徐々に埋まっていった。]
 25:  423| [45] [やがて自分を慕ってくれる洵も、風見の後を追うように、シリウスを目指すと言い出した。]
 26:  428| [45] [こればかりは風見も大反対したが――洵の決意の固さに、やがては風見も折れた。]
 27:  433| [45] [そして現在のメンバーが揃ったのだ。]
 28:  501| [45] [――そして風見がシリウスに入隊してから、３年半が過ぎたある日。]
 29:  506| [45] [９月１６日、早朝。夜勤の終わりが近づいてきた頃――]
 30:  517| [45] [出場サイレンが、けたたましく鳴り響いた。]
 31:  522| [45] [『原子力生物学機構第６研究所で、原因不明の爆発事故発生』]
 32:  527| [45] [その不吉な通報と共に――]
 33:  533| [45] [風見の人生で一番長い日が、幕を開けた。]
 34:  642| [45] [通報を受けた風見たちは、ヘリで現場に急行した。]
 35:  717| [45] [ラボのエントランスに並ぶ隊員たちに、渡瀬が檄を飛ばす。]
 36:  722| [47] [渡瀬]
 37:  725| [45] [「現在このラボの中には、無数の人が取り残されている！」]
 38:  730| [47] [渡瀬]
 39:  733| [45] [「そして、施設の性質上――これは通常の出場ではない」]
 40:  738| [47] [渡瀬]
 41:  741| [45] [「この現場ではなにが起こるかわからない。どんな不測の事態もだ」]
 42:  746| [47] [風見]
 43:  747| [45] [（確かに今回の事故は、普通じゃないわ。だけど――）]
 44:  752| [45] [渡瀬が率いるこの隊であれば、それもきっと乗り越えられると思っていた。]
 45:  757| [45] [この３年半の間に、風見は幾度となく渡瀬に助けられた。]
 46:  762| [45] [その凄まじいまでの実力を、風見は心から信望し、英雄視さえしていた。]
 47:  767| [45] [――そして風見もまた、渡瀬を何度か助けた。]
 48:  772| [45] [先輩である堂島と桧山も、非常に頼れる男だ。]
