  0:   69| [45] [――その後、鹿鳴学園の教師『恵那』を救助した風見たちは――]
  1:  137| [45] [さらに第３エリアの監視ルームで、研究員の『宇喜多』に遭遇した。]
  2:  216| [45] [そして高校生３名が、この施設に閉じ込められている事を知り、彼らの捜索に向かった。]
  3:  290| [45] [だがその途中、渡瀬のミスから、バックドラフトに遭遇した。]
  4:  295| [45] [記憶と共に能力も失ってしまった渡瀬に、肝を冷やされる事もあったが、それでも風見たちは前に進む。]
  5:  349| [45] [しかしそんな彼女たちを、待ち受けていたのは――]
  6:  407| [45] [要救助者２名と、仲間の亡骸だった。]
  7:  442| [47] [風見]
  8:  445| [45] [「そ、そんな……！？」]
  9:  450| [47] [風見]
 10:  453| [45] [「あれは、あの死体は……！！」]
 11:  458| [47] [洵]
 12:  461| [45] [「堂島先輩……だよ」]
 13:  472| [47] [風見]
 14:  473| [45] [（……ッ！）]
 15:  478| [45] [風見はその言葉に、頭を殴られたようなショックを感じた。]
 16:  532| [45] [彼はかけがえのない仲間であり、何よりあの崩れかけた団地から、渡瀬と共に凪沙を救助してくれた男だったのだ。]
 17:  537| [47] [風見]
 18:  538| [45] [（その堂島さんが……！　どうして、こんな事に……！）]
 19:  543| [45] [風見がそう思った時、渡瀬が虚ろな声で呟く。]
 20:  548| [47] [渡瀬]
 21:  551| [45] [「い、一体……」]
 22:  556| [47] [渡瀬]
 23:  559| [45] [「ここで、何が……！？」]
 24:  888| [47] [風見]
 25:  891| [45] [「隊長……堂島の死より、何が起きたのか知るほうが重要ですか……？」]
 26:  936| [47] [渡瀬]
 27:  939| [45] [「い、いや、そんな事はないが……」]
 28:  984| [47] [渡瀬]
 29:  987| [45] [「……悲しめないんだよ。なんだかまるで現実感がなくて、モニターの向こうの出来事みたいで……」]
 30: 1054| [45] [――その偽りの記憶を、夏彦は修正した。]
 31: 1110| [45] [風見は内心の動揺を隠し、静かに答える。]
 32: 1115| [47] [風見]
 33: 1118| [45] [「……わかりません、ですが……」]
 34: 1123| [47] [風見]
 35: 1126| [45] [「彼らはこの部屋を、簡易基地にしていたようです……」]
 36: 1131| [45] [部屋の奥には、割れたＡＤのアンプルが２本落ちていた。]
 37: 1136| [47] [風見]
 38: 1139| [45] [「支給された分のようですね……」]
 39: 1144| [47] [洵]
 40: 1147| [45] [「堂島先輩も……この人たちに、それを投与してたのかな」]
 41: 1152| [47] [風見]
 42: 1155| [45] [「……そうかもしれませんね。堂島も彼らを保護し、脱出を図ってたのでしょう」]
 43: 1160| [47] [洵]
 44: 1163| [45] [「あたしたちと同じだね……」]
 45: 1168| [47] [洵]
 46: 1171| [45] [「でも……こんなのってないよ」]
 47: 1176| [47] [洵]
 48: 1179| [45] [「どうして堂島先輩が、殺されなきゃなんないの……！？」]
 49: 1184| [47] [風見]
 50: 1187| [45] [「……考え過ぎてはダメです」]
 51: 1192| [47] [風見]
 52: 1195| [45] [「桧山の遺体がないところを見ると、彼はまだ生きているはずです。せめてそれを救いとしましょう……」]
 53: 1200| [47] [洵]
 54: 1203| [45] [「……うん……」]
 55: 1208| [47] [風見]
 56: 1211| [45] [「ひとまず出ましょうか……これ以上、ここに長居するのは……私も辛いですから」]
 57: 1216| [45] [風見は洵を慰めるのが、精一杯だった。]
 58: 1259| [45] [――その言い方が、かすかに気になった。]
 59: 1264| [47] [風見]
 60: 1265| [45] [（この人、悲しくないの……！？）]
 61: 1270| [47] [風見]
 62: 1271| [45] [（長年連れ添った仲間が、死んだのよ！？）]
 63: 1276| [47] [風見]
 64: 1277| [45] [（なのにどうして平然と……！）]
 65: 1282| [45] [風見はその疑問を、抑える事ができなかった。]
 66: 1287| [47] [風見]
 67: 1290| [45] [「隊長……堂島の死より、何が起きたのか知るほうが重要ですか……？」]
 68: 1295| [47] [渡瀬]
 69: 1298| [45] [「い、いや、そんな事はないが……」]
 70: 1303| [47] [渡瀬]
 71: 1306| [45] [「……悲しめないんだよ。なんだかまるで現実感がなくて、モニターの向こうの出来事みたいで……」]
 72: 1311| [45] [確かに記憶を失った彼にとっては、堂島は事実上『ただの他人』だろう。]
 73: 1316| [45] [だがそれにしても、酷薄すぎる気がする。]
 74: 1321| [47] [風見]
 75: 1324| [45] [「……隊長にとってはそうかもしれませんが、堂島の死は、あくまで現実です」]
 76: 1329| [47] [風見]
 77: 1332| [45] [「我々も気を抜いたら、同じ運命をたどるかもしれません……」]
 78: 1337| [47] [渡瀬]
 79: 1340| [45] [「……あぁ」]
 80: 1345| [45] [渡瀬はわかったようなわかっていないような様子で、うなずく。]
 81: 1350| [45] [風見はため息をつき、続けた。]
 82: 1355| [47] [風見]
 83: 1358| [45] [「ひとまず出ましょうか……これ以上、ここに長居するのは……私も辛いですから」]
 84: 1363| [45] [風見には渡瀬の態度が、とても悲しく感じられた……。]
 85: 1414| [45] [――その記憶を見終えた夏彦は、思った。]
 86: 1419| [47] [夏彦]
 87: 1420| [45] [（これは……渡瀬に対する失望が滲んでいる感じか？）]
 88: 1425| [47] [夏彦]
 89: 1426| [45] [（感情を調整すれば、記憶も元に戻るはずだよな……）]
