  0:  113| [55] [√Double Chapter2]
  1:  125| [45] [――渡瀬の記憶にもう一度潜った。]
  2:  130| [45] [渡瀬の記憶を破壊するために。]
  3:  135| [47] [夏彦]
  4:  136| [45] [（細かいことをやってたら、ぼくも悠里も殺される！）]
  5:  141| [47] [夏彦]
  6:  142| [45] [（渡瀬の記憶を全て、もう一度破壊するしかないんだ！）]
  7:  247| [45] [そう考えた時には、眼前に渡瀬の全記憶が浮かんでいた。]
  8:  252| [47] [夏彦]
  9:  253| [45] [（頼む！　これで――壊れてくれ！）]
 10:  258| [45] [夏彦がそう願うと同時に――]
 11:  323| [47] [渡瀬]
 12:  326| [45] [「がっ……はッ……！」]
 13:  386| [45] [――全ての情景は弾けて、闇の中に消えていった。]
 14:  410| [45] [――]
 15:  415| [45] [――――]
 16:  420| [45] [――――――意識は、果てのない闇の中にあった。]
 17:  425| [45] [そこは何もかもが閉じた世界だった。]
 18:  430| [45] [視覚も、聴覚も、触覚も、嗅覚も、味覚も……あらゆる感覚が途切れている。]
 19:  435| [45] [世界に触れている実感がまるで無い。]
 20:  440| [47] [？？]
 21:  441| [45] [（ここは……？）]
 22:  446| [45] [わからない。]
 23:  451| [45] [脳裏にはただ虚無だけがある。]
 24:  456| [47] [？？]
 25:  457| [45] [（何だ……？）]
 26:  462| [45] [感じ取れるのは喪失感のみ。]
 27:  467| [47] [？？]
 28:  468| [45] [（一体……どうなってるんだ……？）]
 29:  473| [45] [何か決定的なものが、欠落している気がした。]
 30:  478| [47] [？？]
 31:  479| [45] [（どうしてこんな事に――）]
 32:  484| [45] [必死でその原因を探ろうとした時――]
 33:  489| [45] [誰かが自分を呼ぶ声が聞こえた。]
 34:  494| [45] [……………………]
 35:  499| [45] [――――――――]
 36:  567| [47] [少女]
 37:  570| [45] [「――……さん！　隊長さん！」]
 38:  575| [45] [その声に招かれるように、男は眼を開けた。]
 39:  632| [47] [男]
 40:  635| [45] [「うっ……」]
 41:  661| [47] [少女]
 42:  664| [45] [「あ、隊長さん！　大丈夫ですか！？」]
 43:  690| [47] [少年]
 44:  693| [45] [「……」]
 45:  698| [45] [目の前には、男の顔を心配そうに覗き込む――]
 46:  703| [45] [見覚えのない、少年と少女がいた。]
 47:  711| [47] [男]
 48:  714| [45] [「……君たちは……」]
 49:  722| [47] [男]
 50:  725| [45] [「君たちは……誰だ……？」]
 51:  786| [47] [少女]
 52:  789| [45] [「ッ！？」]
 53:  794| [45] [男の言葉に、目の前の少女が息を呑む。]
 54:  799| [45] [まるで、信じられない言葉を聞いたかのように。]
 55:  826| [47] [少女]
 56:  829| [45] [「ひこりん！　もしかして隊長さんの記憶を……！？」]
 57:  855| [47] [少年]
