  0:   53| [45] [――それは今から、４年半前。]
  1:   58| [45] [学生時代から物理学に打ち込んできた宇喜多は、１０年以上もの努力の末に――]
  2:   63| [45] [ついに念願だった、『原子力生物学機構・第６研究所』への入所を果たしていた。]
  3:  108| [45] [ラボが原子力科学ではなく、ＢＣの研究を行っているという事は、入所前に聞かされた。]
  4:  113| [45] [ラボは世間を欺いている。だが己の研究にしか興味のない宇喜多にとって、それは瑣末なことだった。]
  5:  118| [45] [数多くの成果を出しているその研究所に入れば、科学者としてのエリートコースが、半ば約束されるという。]
  6:  123| [45] [宇喜多は自分の将来への期待に、胸を膨らませていた。]
  7:  128| [45] [そして、はじめてラボを訪れた日……]
  8:  171| [45] [宇喜多は、彼女に出会った。]
  9:  261| [47] [宇喜多]
 10:  264| [45] [「――初めまして。新しく配属されました、宇喜多佳司です。よろしくお願いします」]
 11:  290| [47] [美夜子]
 12:  293| [45] [「私がこのセクションを統括している天川美夜子です。以後、お見知りおきを」]
 13:  298| [45] [そう挨拶したのは、素粒子物理学の世界的権威、『天川美夜子』博士だった。]
 14:  303| [45] [２０歳になる前から物理学界で活躍し、若くしてこの研究所の幹部研究員に上り詰めた女性である。]
 15:  308| [47] [宇喜多]
 16:  309| [45] [（ようやくだ……ようやく僕もこの人の下で、素粒子物理学の最先端で活躍することができるんだ）]
 17:  314| [45] [その日、宇喜多は熱意に燃えていた。]
 18:  367| [45] [だが、入所して半年もすると――]
 19:  415| [45] [宇喜多は思い悩む事が多くなった。]
 20:  420| [45] [仕事の合間に資料室にこもり、文献を探すふりをして、独り煩悶する。]
 21:  425| [47] [宇喜多]
 22:  426| [45] [（くそっ……同期の連中はみんな何かしらの成果を上げているのに、なぜ僕だけ何の結果も出せないんだ？）]
 23:  431| [45] [宇喜多はそれまで、およそ学問の分野においては、誰にも負ける事はなかった。]
 24:  436| [45] [だが飛びぬけた秀才も、天才に混じればかすんでしまう。]
 25:  441| [45] [そしてこのラボは、天才が群れをなす施設なのだ。]
 26:  446| [47] [宇喜多]
 27:  447| [45] [（……僕の科学者としての素養は、この程度のものだったのか？）]
 28:  458| [45] [そう思って奥歯を噛んだ時、背後で扉が開く音がした。]
 29:  488| [45] [振り返るとそこに、天川博士がいた。]
 30:  496| [47] [美夜子]
 31:  499| [45] [「あら？　宇喜多さん、あなたも何か資料を取りに？」]
 32:  507| [47] [宇喜多]
 33:  510| [45] [「あ、いえ……博士こそ何か資料をお探しですか？　よろしければ手伝いますが」]
 34:  536| [47] [美夜子]
 35:  539| [45] [「いいえ、場所を覚えているから大丈夫よ」]
 36:  553| [45] [博士はそう言いながら、棚の上に手を伸ばす。]
 37:  558| [47] [宇喜多]
 38:  559| [45] [（なんだ？　なんだか足元がふらついているような……）]
 39:  586| [45] [そう思った途端、彼女の膝が崩れた。]
 40:  595| [47] [宇喜多]
 41:  598| [45] [「――危ない！」]
 42:  624| [45] [宇喜多がとっさに博士を支え、数冊の論文が床に落下した。]
 43:  632| [47] [宇喜多]
 44:  635| [45] [「博士、大丈夫ですか！？」]
 45:  670| [47] [美夜子]
 46:  673| [45] [「あ、ごめんなさい。このところ徹夜続きだったから、少しめまいが……」]
 47:  726| [45] [彼女は宇喜多から離れたが、まだ身体はふらついていた。]
 48:  752| [47] [美夜子]
 49:  755| [45] [「……まったく私も情けないわ。たった３日寝てないだけで、こんな風になるなんて」]
 50:  763| [47] [宇喜多]
 51:  766| [45] [「３日もですか！？　それは少し、休んだ方が良いのでは？」]
 52:  792| [47] [美夜子]
 53:  795| [45] [「大丈夫よ、慣れているから」]
 54:  809| [45] [天川博士は落とした論文を棚に戻し、部屋を出て行こうとする。]
 55:  814| [45] [気付けば宇喜多は、その背に声をかけていた。]
 56:  822| [47] [宇喜多]
 57:  825| [45] [「あ、あの、天川博士！」]
 58:  858| [47] [美夜子]
 59:  861| [45] [「え？」]
 60:  869| [47] [宇喜多]
 61:  872| [45] [「僕はどうしたら、博士のような立派な科学者になれるでしょうか？」]
 62:  895| [45] [その質問に、博士は目を丸くした。]
 63:  921| [47] [美夜子]
 64:  924| [45] [「『立派な科学者』って……まるで子供のような事を言うのね」]
 65:  932| [47] [宇喜多]
 66:  935| [45] [「あ、いや、その……」]
 67:  961| [47] [美夜子]
 68:  964| [45] [「いずれにしろ宇喜多さん、私は別に立派な科学者というわけではないわ」]
 69:  972| [47] [美夜子]
 70:  975| [45] [「私は大きな問題を解決しなければならない。だから睡眠時間も、研究時間に充てているだけよ」]
 71:  983| [47] [宇喜多]
