  0:   70| [45] [――夏彦が自失状態に陥ってからというもの――]
  1:   75| [45] [ましろは足しげく、夏彦の見舞いに行った。]
  2:   80| [45] [彼が正気を取り戻す日を願って。]
  3:  116| [47] [ましろ]
  4:  119| [45] [「――夏彦、今日はちょうしどう？」]
  5:  124| [47] [ましろ]
  6:  127| [45] [「私は今日ね、ＢＣのじゅぎょうでね、はじめてテレパシーせいこうしたよ！」]
  7:  132| [47] [ましろ]
  8:  135| [45] [「これでついに、私ものうりょくレベル１。夏彦よりさきに、テレパシーつかえるようになっちゃった」]
  9:  140| [47] [ましろ]
 10:  143| [45] [「すごいでしょー。へへーん」]
 11:  194| [47] [夏彦]
 12:  195| [45] [「……」]
 13:  200| [45] [ましろが何を喋っても、夏彦は無反応だった。]
 14:  260| [45] [――それでも話しかける事が、夏彦を現実に引き戻す唯一の手段だと信じ、ましろは見舞いを続けた。]
 15:  325| [47] [ましろ]
 16:  328| [45] [「――いや～夏彦、ことしのなつやすみはヒマだよ～！」]
 17:  333| [47] [ましろ]
 18:  336| [45] [「きょねんはきもだめしとか、シリウスだっしゅつけいかくとか、ナナフシギかいめいさくせんとか、いろいろあったのに」]
 19:  420| [47] [ましろ]
 20:  423| [45] [「なつかしいよね。じつは私あのきもだめしのときね、おばけの声きいたんだよ？」]
 21:  428| [47] [ましろ]
 22:  431| [45] [「あのときはこわくていえなかったけど、ななふしぎを１つかいめいできたの。おてがらでしょ」]
 23:  436| [47] [ましろ]
 24:  439| [45] [「ことしも『かいめいさくせん』またやりたいなっておもってたんだけどねー」]
 25:  447| [47] [ましろ]
 26:  450| [45] [「夏彦いないと、なにもおこんないもんだね。なーんかつまんないなぁ」]
 27:  495| [47] [夏彦]
 28:  496| [45] [「……」]
 29:  545| [45] [だが時が過ぎ、夏休みを迎えても、何も状況は変わらない。]
 30:  595| [47] [ましろ]
 31:  598| [45] [「――あのね、きょうはね、ちょっとびっくりすることがおきたの」]
 32:  603| [47] [ましろ]
 33:  606| [45] [「となりのクラスの男子がね、私のことをすきだって、てがみくれて……」]
 34:  611| [47] [ましろ]
 35:  614| [45] [「……ね、夏彦、私どうしたらいいのかな」]
