  0:   64| [45] [――ラボへの潜入捜査を、翌日に控えた日曜日――]
  1:   69| [45] [恵那は、学校に来ていた。]
  2:   74| [45] [半年間、教師として通った学校に、別れを告げるために。]
  3:  149| [47] [恵那]
  4:  150| [45] [（明日は、何が起こるのかわからないものね……）]
  5:  155| [45] [無事で済んだとしても、悠長に学校に通ったりはできなくなる可能性が高い。]
  6:  160| [45] [ラボで人体実験が行われているという証拠を掴んだら、上を動かし、本格的な捜査に移行する。]
  7:  165| [45] [恐らく今日が、鹿鳴学園の教師として過ごす最後の１日だ。]
  8:  170| [45] [そう思うと、この校舎がなんだかひどく愛おしく思えた。]
  9:  175| [47] [恵那]
 10:  176| [45] [（いい学校だったわよね……平和で、生徒たちもみんな素直で……）]
 11:  181| [45] [それはこの学校に限った話ではない。]
 12:  186| [45] [鹿鳴市の全てが、表面上は美しく、治安も良く、平穏そのものだ。]
 13:  191| [45] [だがその裏には、様々な欺瞞に満ちている。]
 14:  196| [47] [恵那]
 15:  197| [45] [（……そう言えば、黒田室長も以前そんな事を……）]
 16:  258| [45] [――恵那が超科局に入り、鹿鳴市に戻ってきた直後――]
 17:  263| [45] [すっかり発展した街並みや、自動運転システムなどの設備に驚いていた恵那に、黒田はこう言ったのだ。]
 18:  319| [47] [黒田]
 19:  322| [45] [「……なぁ椿山よ、見てくれに騙されるな」]
 20:  327| [47] [黒田]
 21:  330| [45] [「鹿鳴市こそが、いま日本で一番ヤバい街なのかもしれないぜ」]
 22:  335| [47] [恵那]
 23:  338| [45] [「え？」]
 24:  343| [47] [黒田]
 25:  346| [45] [「実はああ見えてあの街じゃ、過去にも凶悪事件が発生したりもしてんだよ。人死にが出た惨事がな」]
 26:  351| [47] [黒田]
 27:  354| [45] [「しかし治安の良さを売りにしてる政令指定機密都市で、そんな大事件が起きたとなると、大騒ぎになるだろ？」]
 28:  359| [47] [黒田]
 29:  362| [45] [「機密都市の存在意義さえ、揺らぐ事になる」]
 30:  367| [47] [黒田]
 31:  370| [45] [「だから市の連中は、その事件自体を揉み消し、ただの事故として処理したんだ」]
 32:  375| [47] [恵那]
 33:  378| [45] [「なっ……確かに機密都市では、多少の隠蔽行為は散見されますが……」]
 34:  383| [47] [黒田]
 35:  386| [45] [「この街の隠蔽体質は特にハンパなくてな。治安維持のためなら、どんな嘘も平気でつく」]
 36:  391| [47] [黒田]
 37:  394| [45] [「まぁ、例えて言うなら――」]
 38:  399| [47] [黒田]
