  0:   53| [45] [――渡瀬が病院の焼け跡で、姉の夢を継ぐと決意してから――]
  1:   58| [45] [早７年が過ぎていた。]
  2:  117| [45] [――薄暗い部屋に、腕立て伏せの回数を数える声が響く。]
  3:  149| [47] [渡瀬]
  4:  152| [45] [「……１９５、１９６、１９７……」]
  5:  157| [45] [規則正しく、息も乱さず。]
  6:  165| [47] [渡瀬]
  7:  168| [45] [「……２００」]
  8:  173| [45] [渡瀬は２００まで数え、それを終えた。]
  9:  181| [47] [渡瀬]
 10:  184| [45] [「ふぅ……」]
 11:  189| [45] [汗すらもかかず、渡瀬は独りその部屋に立つ。]
 12:  194| [45] [家族と共に暮らした家を失った後、市に提供された小さな部屋。]
 13:  199| [45] [そこに渡瀬は、もう約７年間暮らしている。]
 14:  204| [45] [この部屋から高校に通い、卒業後は消防学校に入った。]
 15:  258| [45] [その間に鹿鳴市は『政令指定機密都市』に指定され、ＢＣ研究と原子力科学を中心に回る、一大研究学園都市に変わった。]
 16:  263| [45] [だが渡瀬は急速に街が変わってしまった事への違和感も、孤独も感じる暇はなかった。]
 17:  330| [45] [姉の夢を継ぐ事のみを考え、生きてきた。]
 18:  346| [45] [そのために肉体を改造し、精神を鍛え上げ……難関とされるレスキュー試験にも、トップの成績で合格。]
 19:  351| [45] [そしてかつては鹿鳴市に存在しなかったレスキュー隊が、鹿鳴市消防局内に設立されるとほぼ同時に、そこに入隊したのだ。]
 20:  358| [45] [――ちょうどその時、時計が１４時の鐘を鳴らした。]
 21:  363| [45] [出勤の時間が近づいていたのだ。]
 22:  368| [45] [渡瀬の勤務時間はローテーションに従い、１６：００からとなっているが、渡瀬は常に早めに出勤する事を己の規則としている。]
 23:  376| [47] [渡瀬]
 24:  379| [45] [「……行くか」]
 25:  384| [45] [そこにはかつての、意志薄弱な少年の姿はなかった。]
 26:  444| [45] [鋼の意思と肉体を持つレスキュー隊員は、部屋を出て職場に向かった。]
 27:  495| [45] [消防署に着いた。]
 28:  500| [45] [かつて姉と見た建物は、今では渡瀬の職場となっている。]
 29:  505| [45] [とうに慣れたつもりだが――時々、あの日の事を思い出してしまう事があった。]
 30:  573| [47] [亘]
 31:  576| [45] [「でも今のところ、女性のレスキュー隊員っていないんだよね」]
 32:  584| [47] [亘]
 33:  587| [45] [「なれるものなら、私がその座につきたいもんだ」]
 34:  636| [47] [渡瀬]
 35:  637| [45] [（……ちっ）]
 36:  642| [45] [彼女の声が耳に蘇り、渡瀬の胸は痛む。]
 37:  647| [47] [渡瀬]
 38:  648| [45] [（もしかしたら俺じゃなく、亘がここに勤めていたかもしれないんだよな……）]
 39:  653| [45] [そう思うと、犯人を憎む気持ちが湧かないわけではない。]
 40:  658| [45] [だが人を憎んで生きるよりは、死者を想って生きる方が、まだしも正常な人生だ。]
 41:  665| [45] [渡瀬が自分にそう言い聞かせた時、]
 42:  682| [45] [突如、けたたましいサイレンの音が鳴り響いた。]
 43:  687| [47] [渡瀬]
 44:  688| [45] [（――出場だ！）]
 45:  693| [45] [感傷は瞬時に失せ、五感と神経が研ぎ澄まされる。]
 46:  699| [45] [同僚たちが夜勤の連中も含め、バラバラと署から飛び出してきた。]
 47:  704| [45] [司令長が渡瀬に気付き、遠くで声を上げる。]
 48:  709| [47] [司令長]
 49:  712| [45] [「笠鷺！！　ちょうどよかった、すぐ出るぞ！！」]
 50:  720| [47] [渡瀬]
 51:  723| [45] [「現場は！？」]
 52:  728| [47] [司令長]
 53:  731| [45] [「そこの団地で、ガス爆発だ！！」]
 54:  738| [45] [渡瀬はそれを聞くなり、消防車に飛び乗った。]
 55:  802| [45] [――車内で制服に着替えながら、消防無線を聞く。]
 56:  807| [47] [オペレーター]
 57:  810| [45] [「東町２－４、鹿鳴市営団地で、大規模なガス爆発事故が発生」]
 58:  815| [47] [オペレーター]
 59:  818| [45] [「団地内には住人が取り残されている。人数は未確認」]
 60:  823| [47] [オペレーター]
 61:  826| [45] [「なお、団地は崩落・倒壊の恐れあり」]
 62:  831| [47] [オペレーター]
 63:  834| [45] [「消防隊及び特高救助隊は現場に急行し、消火・救助に当たられたし」]
 64:  839| [45] [その無線が終わる頃、ちょうど車が現場についた。]
 65:  917| [47] [渡瀬]
 66:  920| [45] [「ひでぇ……！」]
 67:  932| [45] [ガス爆発を起こしたという団地からは、もうもうと黒煙が上がっていた。]
 68:  937| [45] [司令長が各隊員に、迅速な指示を出す。]
 69:  948| [47] [司令長]
 70:  951| [45] [「爆発があったのは、建物の東側、１階から４階部分だ」]
 71:  956| [47] [司令長]
 72:  959| [45] [「この部位は倒壊の危険性が高い。我々が救助を担当するのはここだ」]
 73:  964| [47] [司令長]
 74:  967| [45] [「Ａチーム笠鷺・堂島は６階、桧山・松沢は５階」]
 75:  972| [47] [司令長]
 76:  975| [45] [「Ｂチーム飛鳥井・岡村は４階と３階、橋野・飯田は２階と１階を担当しろ」]
 77:  980| [47] [司令長]
 78:  983| [45] [「人命検索を行うと共に、片っ端から救助。詳細は各チーム隊長から指示を仰ぐように」]
 79:  988| [47] [司令長]
 80:  991| [45] [「それでは総員突入！」]
 81:  999| [47] [渡瀬]
 82: 1002| [45] [「おう！！」]
 83: 1014| [45] [渡瀬たちは声を上げ、団地に突入していった。]
 84: 1064| [45] [相棒の堂島と共に、６階の各部屋を回る。]
 85: 1069| [45] [爆発の影響か、扉が開かなくなっている部屋が多かったが――]
 86: 1074| [45] [開かない扉は破り、室内に取り残されていた人は全て助け、渡瀬たちは獅子奮迅の救助活動を進めていった。]
 87: 1125| [45] [――そして全ての部屋を回り終えた時――]
 88: 1152| [45] [通路が、ぎしりと傾いた。]
 89: 1160| [47] [渡瀬]
 90: 1163| [45] [「崩れる！？」]
 91: 1168| [47] [堂島]
 92: 1171| [45] [「まずい！　笠鷺、撤退だ！」]
 93: 1176| [45] [堂島が背後でそう叫んだ。]
 94: 1181| [45] [担当部分の救助活動はすでに終わり、もう人が残ってない事が確認できている。]
 95: 1186| [45] [だが渡瀬が堂島と共に、逃げようとした時――]
 96: 1191| [45] [どこかで、声が聞こえた。]
 97: 1248| [85] [《た……たすけて……》]
 98: 1249| [86] [？？]
 99: 1250| [86] [《た……たすけて……》]
100: 1296| [47] [渡瀬]
101: 1299| [45] [「！！」]
102: 1304| [45] [渡瀬は足を止めた。]
103: 1309| [47] [堂島]
104: 1312| [45] [「どうした笠鷺！」]
105: 1320| [47] [渡瀬]
106: 1323| [45] [「今、声が……！？」]
107: 1336| [45] [どこから聞こえた声なのかわからない。]
108: 1341| [45] [しかし声は再び聞こえる。]
109: 1398| [85] [《わたしたち……３０３ごうしつにいます……》]
110: 1399| [86] [？？]
111: 1400| [86] [《わたしたち……３０３ごうしつにいます……》]
112: 1415| [85] [《はやく……火が……》]
113: 1416| [86] [？？]
114: 1417| [86] [《はやく……火が……》]
115: 1445| [45] [それはか細く、途切れがちだったが、確かに助けを求める声だった。]
116: 1450| [47] [渡瀬]
117: 1451| [45] [（３階か！　捜索の手が回り切ってないのか！？）]
118: 1459| [47] [渡瀬]
119: 1462| [45] [「堂島、聞こえたか！　３０３号室に人が残っている！」]
120: 1467| [47] [堂島]
121: 1470| [45] [「ああ！　助けに行くぞ！」]
122: 1524| [45] [渡瀬たちはそう言って、階段を駆け降りた。]
123: 1529| [45] [――途中で遭遇した住民女性を避難させ、３０３号室に向かう。]
124: 1599| [45] [歪んだドアを蹴破ると、その向こうには天井が崩れた部屋があった。]
125: 1604| [45] [薄闇の中にちらちらと、炎が瞬いている。]
126: 1609| [47] [渡瀬]
127: 1610| [45] [（要救助者は！？）]
128: 1615| [45] [室内に視線を巡らせると、火の着いた瓦礫の下に――]
129: 1620| [45] [倒れている少女の姿が見えた。]
130: 1640| [47] [渡瀬]
131: 1641| [45] [（！！）]
132: 1646| [45] [その少女の姿が一瞬、亘の最期の姿に重なり、心臓がどくんと跳ねる。]
133: 1654| [47] [渡瀬]
134: 1657| [45] [「よ……要救助者発見！！」]
135: 1663| [45] [渡瀬は少女に駆け寄り、燃える瓦礫の中から救助した。]
136: 1671| [47] [渡瀬]
137: 1674| [45] [「大丈夫か！？」]
138: 1682| [47] [少女]
139: 1685| [45] [「う……」]
140: 1690| [45] [少女がうめき声を漏らす。]
141: 1695| [45] [酸素不足で意識が朦朧としているようだが、確かに生きているようだ。]
142: 1700| [45] [堂島が傍らで声を上げる。]
143: 1705| [47] [堂島]
144: 1708| [45] [「こっちにもいるぞ！」]
145: 1713| [45] [――要救助者は、２名の少女だった。]
146: 1718| [45] [渡瀬たちはそれぞれ１名ずつ少女を救助し、その部屋を飛び出した。]
147: 1776| [45] [みしみしと軋む廊下を、渡瀬は少女を背負って歩いた。]
148: 1781| [45] [少し後ろを、もう１人の少女を背負った堂島が着いてくる。]
149: 1786| [45] [やがて渡瀬が背負っている少女が、苦しげな咳をした。]
150: 1847| [47] [少女]
151: 1850| [45] [「う……げほっ、ごほっ……」]
152: 1858| [47] [渡瀬]
153: 1861| [45] [「大丈夫か！？　すぐに安全な場所に連れて行ってやるからな！」]
154: 1869| [47] [少女]
155: 1872| [45] [「で、でも……苦しいよ……」]
156: 1880| [47] [少女]
157: 1883| [45] [「背中もいたいし……頭も、目もいたいし……」]
158: 1891| [47] [少女]
159: 1894| [45] [「あたし……死ぬの……？」]
160: 1899| [45] [少女の泣きそうな声に、渡瀬ははっきりと答えた。]
161: 1907| [47] [渡瀬]
162: 1910| [45] [「いや、安心しろ。絶対に死んだりなんかしない」]
163: 1957| [47] [少女]
164: 1960| [45] [「え……？」]
165: 1968| [47] [渡瀬]
166: 1971| [45] [「俺たちはレスキュー隊だ。君らの命を救いに来たんだ」]
167: 1979| [47] [渡瀬]
168: 1982| [45] [「俺たちが来た以上、死なせなんかしない」]
169: 1987| [45] [渡瀬は自分に言い聞かせるように、そう答えた。]
170: 1992| [47] [渡瀬]
171: 1993| [45] [（……なぁ、そうだろ亘）]
172: 1998| [47] [渡瀬]
173: 1999| [45] [（レスキュー隊ってのは、人の未来を護る仕事なんだよな）]
174: 2004| [47] [渡瀬]
175: 2005| [45] [（だったら、こんな小さな女の子は……絶対に死なせるわけにいかないよな！）]
176: 2010| [45] [渡瀬はそう思い、廊下を歩く。]
177: 2015| [45] [背中に小さな命を背負って――。]
178: 2072| [45] [――やがて渡瀬たちは、無事に団地の外に脱出し、少女２名の救出に成功した。]
179: 2077| [45] [少女たちは２人とも重傷を負っていたが、恐らく命に別状はなさそうだ。]
180: 2094| [45] [彼女らを乗せた救急車が走り去っていく。]
181: 2099| [45] [それを見送りながら、渡瀬は思った。]
182: 2104| [47] [渡瀬]
183: 2105| [45] [（……おい、見ててくれたか？）]
184: 2110| [47] [渡瀬]
185: 2111| [45] [（あの子たちの未来を、ちゃんと護ってやれたぞ）]
186: 2116| [47] [渡瀬]
187: 2117| [45] [（俺もあの頃から……少しは、成長できたかな？）]
188: 2122| [45] [渡瀬がそう思った時、懐かしい声が聞こえた気がした。]
189: 2179| [85] [《――頑張ったね、渡瀬？》]
190: 2180| [86] [？？]
191: 2181| [86] [《――頑張ったね、渡瀬？》]
192: 2196| [85] [《お姉ちゃんはあんたを、誇りに思うよ》]
193: 2197| [86] [？？]
194: 2198| [86] [《お姉ちゃんはあんたを、誇りに思うよ》]
195: 2241| [47] [渡瀬]
196: 2242| [45] [（……！）]
197: 2247| [45] [それは恐らく錯覚だろう。]
198: 2252| [45] [だが渡瀬は空を見上げ、その声に微笑を返した。]
