  0:   60| [45] [――渡瀬のレスキュー隊員としての生活は続く。]
  1:   65| [45] [その間に数え切れないほどの出場をこなし、多くの人を助けてきた。]
  2:   70| [45] [決して楽な日々ではなかったが、いつしかそんな生活にも慣れ――]
  3:   75| [45] [３０歳を越える頃には、何事にも動じない、穏やかな心を得るに至っていた。]
  4:  150| [45] [――その日は暖かな日だった。]
  5:  155| [45] [仕事を終えた渡瀬は、夕暮れの街を、穏やかな気持ちで歩いていた。]
  6:  160| [45] [ここの所は出場もなく、平和な日々が続いている。]
  7:  165| [47] [渡瀬]
  8:  166| [45] [（う～む、なんかのどかで満ち足りた気分だぜ……）]
  9:  171| [47] [渡瀬]
 10:  172| [45] [（あの頃には、俺にこんな日が訪れるなんて考えられなかったなぁ）]
 11:  220| [45] [ここまで彼を支えたのは、仕事であり、同僚であった。]
 12:  225| [45] [同僚の中には、渡瀬と似た境遇の男が２人もいた。]
 13:  230| [45] [『堂島誠二』と『桧山和樹』。]
 14:  235| [45] [彼らも渡瀬と同じく、あの火災で家族や大事な人を失い、市に育てられた。]
 15:  240| [45] [レスキュー隊に入った動機も似たり寄ったりで、年も近かったため、彼らとはとても気が合った。]
 16:  245| [45] [心を分かち合える同僚に恵まれ、やりがいのある仕事をして――しかも、自分を慕ってくれる後輩までいる。]
 17:  250| [45] [『俺の人生も、なかなか悪くないじゃないか』……などと思う事も、近頃は多くなっていた。]
 18:  308| [45] [そして部屋に戻って着替えをしていると、ＰＤＡが鳴った。]
 19:  316| [47] [渡瀬]
 20:  319| [45] [「……？」]
 21:  324| [45] [ディスプレイを見てみると、『非通知』と表示されている。]
 22:  337| [45] [渡瀬は少し迷った後、電話に出た。]
 23:  345| [47] [？？]
 24:  348| [45] [「笠鷺渡瀬さんだね？」]
 25:  359| [45] [電話の向こうから、男の声が聞こえてきた。]
 26:  364| [45] [ボイスチェンジャーを通したような、どこか機械的な声色だった。]
 27:  372| [47] [渡瀬]
 28:  375| [45] [「えっと……どちらさんですか？」]
 29:  383| [47] [？？]
 30:  386| [45] [「名乗るほどの者じゃない。実は君にぜひ教えたい事があってね」]
 31:  394| [47] [渡瀬]
 32:  397| [45] [「はぁ？　俺に？」]
 33:  402| [45] [詐欺か何かかと思う渡瀬に、男は淡々と話し始めた。]
 34:  410| [47] [？？]
 35:  413| [45] [「悪いが君について、調べさせてもらったよ」]
 36:  421| [47] [渡瀬]
 37:  424| [45] [「え？」]
 38:  432| [47] [？？]
 39:  435| [45] [「笠鷺渡瀬、３１歳。１５年前に遭遇した『鹿鳴市同時多発火災』で、家族を失う」]
 40:  443| [47] [？？]
 41:  446| [45] [「その後、鹿鳴市の庇護のもと、市営住宅に入居」]
 42:  454| [47] [？？]
 43:  457| [45] [「高校を出た後は消防学校に入り、その卒業後、鹿鳴市消防局に入局」]
 44:  465| [47] [？？]
 45:  468| [45] [「すぐに頭角を現し、その２年後にはレスキュー試験に合格。シリウスに入隊か……」]
 46:  476| [47] [？？]
 47:  479| [45] [「ご家族を亡くされて大変だったとは思うが、ひねくれる事もなく、まっすぐに育ったものだ」]
 48:  502| [47] [渡瀬]
 49:  505| [45] [「……！」]
 50:  510| [45] [渡瀬の背筋に冷たいものが走る。]
 51:  515| [45] [相手がなんの目的で、自分を調べているのかわからなかったからだ。]
 52:  523| [47] [渡瀬]
 53:  526| [45] [「……なんだあんた、ストーカーか？」]
 54:  534| [47] [渡瀬]
 55:  537| [45] [「男をつけまわすとは、ずいぶん変わった趣味だな」]
 56:  545| [47] [？？]
 57:  548| [45] [「趣味じゃないさ。我々が君について調べたのには理由がある」]
 58:  556| [47] [？？]
 59:  559| [45] [「君があの火災の被害者遺族だからだ」]
 60:  567| [47] [渡瀬]
 61:  570| [45] [「……その話をするんじゃない。他人にあれこれ言われたくはねぇんだ」]
 62:  578| [47] [？？]
 63:  581| [45] [「確かにご家族を失った心中は、察するに余りある。この事について話したくないのもわかるが――」]
 64:  589| [47] [？？]
 65:  592| [45] [「ご家族の死の原因が、ただの放火事件じゃないと言ったら、どうするね？」]
 66:  600| [47] [渡瀬]
 67:  603| [45] [「……何？」]
 68:  608| [45] [その言葉に、渡瀬は息を呑んだ。]
 69:  616| [47] [渡瀬]
 70:  619| [45] [「ちょっと待て、それはどういう意味だ！？」]
 71:  627| [47] [？？]
 72:  630| [45] [「その前に言っておこう。真実を知ったら、恐らく君の人生は激変する」]
 73:  653| [47] [渡瀬]
 74:  656| [45] [「……！」]
 75:  664| [47] [？？]
 76:  667| [45] [「今の生活を大事に思うなら、このまま電話を切りたまえ」]
 77:  675| [47] [？？]
 78:  678| [45] [「それで全ては元通り。君は平穏な生活に戻れる」]
 79:  686| [47] [？？]
 80:  689| [45] [「だが、それでも真実を知りたいならば――旧鹿鳴市立病院跡に来るんだ。君１人でね」]
 81:  700| [45] [それだけ告げて、電話は切れた。]
 82:  708| [47] [渡瀬]
 83:  711| [45] [「あ、おい！」]
 84:  716| [45] [そう呼びかけても、ＰＤＡは答えない。]
 85:  776| [45] [渡瀬はしばらく、呆然と部屋に佇んでいた。]
 86:  781| [47] [渡瀬]
 87:  782| [45] [（旧鹿鳴市立病院跡だと……？　『真実』ってなんの事だ）]
 88:  790| [47] [渡瀬]
 89:  793| [45] [「……くそ……」]
 90:  798| [45] [知りたい気持ちと、今の生活を大事に思う気持ちとが、心の中でせめぎ合う。]
 91:  881| [45] [だがやがて渡瀬は意を決し、部屋を飛び出して行った。]
 92:  950| [45] [ここを訪れるのは、実に１５年ぶりだった。]
 93:  955| [45] [亘が命を落としたその場所は、あれからずっと放置されていたようだ。]
 94:  960| [45] [大病院故に、解体しようにもコストがかかり、誰も手をつけたくないのだろう。]
 95:  965| [45] [廃墟と化した病院内には、人気が全くなかった。]
 96:  973| [47] [渡瀬]
 97:  976| [45] [「おい！　誰かいないのか！」]
 98:  981| [45] [渡瀬は声を張り上げたが、虚しくこだまが返ってくるだけだった。]
 99:  989| [47] [渡瀬]
100:  992| [45] [「チッ……イタズラか」]
101: 1005| [45] [渡瀬が腹立ちと安堵を感じつつ、その場を去ろうとした時――]
102: 1010| [45] [入口のところに、何か光るものが落ちているのが見えた。]
103: 1019| [47] [渡瀬]
104: 1022| [45] [「……なんだこりゃ」]
105: 1027| [45] [それはＰＤＡだった。]
106: 1032| [45] [見れば『通信中』という文字が、ディスプレイに大きく表示されている。]
107: 1037| [47] [渡瀬]
108: 1038| [45] [「……」]
109: 1049| [45] [不穏な気配を感じつつ、ＰＤＡを拾い上げる。]
110: 1054| [45] [するとスピーカーから、先ほど電話で聞いた男の声が流れ出した。]
111: 1062| [47] [？？]
112: 1065| [45] [「やぁ、来てくれたようだね」]
113: 1073| [47] [渡瀬]
114: 1076| [45] [「やっぱりあんたか？　ずいぶん回りくどいイタズラをするじゃあないか、ええ？」]
115: 1084| [47] [？？]
116: 1087| [45] [「今の時点で顔を見せると、様々な問題が発生する可能性があるのでね。こういう形で許してほしい」]
117: 1095| [47] [渡瀬]
118: 1098| [45] [「またわけのわからん事を……」]
119: 1106| [47] [渡瀬]
120: 1109| [45] [「まぁいい、それより約束通り教えろよ。あんたの言う『真実』とやらをな」]
121: 1114| [45] [渡瀬が言うと、男は神妙な口調で話し出した。]
122: 1171| [47] [？？]
123: 1174| [45] [「――２０１４年９月１６日。この街の１５箇所で、同時に火が放たれた」]
124: 1182| [47] [？？]
125: 1185| [45] [「それがいわゆる、鹿鳴市同時多発火災……だがあの事件には、多くの謎が残されたままだったね？」]
126: 1193| [47] [渡瀬]
127: 1196| [45] [「あ？　あぁ、確かに……」]
128: 1211| [45] [渡瀬もそれについては知っていた。]
129: 1216| [45] [あの事件の裁判などの情報は、ほとんど公開されなかった。]
130: 1221| [45] [国も鹿鳴市もマスコミから追及を受けたが、『過激派団体が起こした事件』という事以外、大した情報は出てこなかったのだ。]
131: 1229| [47] [？？]
132: 1232| [45] [「結論としてあの事件は、コミュニケーター排斥を目論む団体が起こした、一種のテロ事件だと言われた」]
133: 1240| [47] [？？]
134: 1243| [45] [「情報が公開されないのは、模倣犯の発生や社会的不安が起こるのを抑えるためであると」]
135: 1251| [47] [？？]
136: 1254| [45] [「まぁ、つじつまはあっているな……わかりやすいシナリオだ」]
137: 1262| [47] [渡瀬]
138: 1265| [45] [「……何が言いたい？」]
139: 1273| [47] [？？]
140: 1276| [45] [「真実は逆だ、という事さ」]
141: 1284| [47] [？？]
142: 1287| [45] [「検挙された過激派団体は、スケープゴートに過ぎない」]
143: 1295| [47] [？？]
144: 1298| [45] [「あれは、ある１人のコミュニケーターによって起こされた事件なんだよ」]
145: 1303| [45] [渡瀬はその言葉に、耳を疑った。]
146: 1311| [47] [渡瀬]
147: 1314| [45] [「１人のコミュニケーターが起こしただと！？」]
148: 1322| [47] [渡瀬]
149: 1325| [45] [「バカ言え、どうやって１人で『市内の１５箇所に同時に放火』するっていうんだ？」]
150: 1333| [47] [？？]
151: 1336| [45] [「それが可能なのさ」]
152: 1344| [47] [？？]
153: 1347| [45] [「原因となったのは、桁外れの力を持つコミュニケーターだったんだからな」]
154: 1355| [47] [渡瀬]
155: 1358| [45] [「なに……？」]
156: 1366| [47] [？？]
157: 1369| [45] [「そいつは『コミュニケーターＡ』――いつからかそう呼ばれていた」]
158: 1374| [45] [男は押し殺した声で、そのコミュニケーターにまつわる話を始めた。]
159: 1382| [47] [？？]
