  0:   53| [45] [――風見と同僚になった渡瀬は――]
  1:   58| [45] [過去の事には触れず、風見に接していた。]
  2:   63| [45] [恐らく当時の事については、風見も触れられたくないだろうと思ったのだ。]
  3:   68| [45] [風見を気にする気持ちはあったが、それをおくびに出さず、普通の上司としての態度を貫いていた。]
  4:   73| [45] [そんなある日の事――]
  5:  124| [45] [渡瀬が仕事を終え、バス停でバスを待っていると、たまたま風見と遭遇した。]
  6:  181| [47] [風見]
  7:  184| [45] [「あ、隊長。お疲れさまです」]
  8:  192| [47] [渡瀬]
  9:  195| [45] [「おう、お疲れ」]
 10:  200| [45] [風見は渡瀬の率いるＡチームに組み込まれていたため、渡瀬の事を『隊長』と呼んでいた。]
 11:  205| [45] [『笠鷺さん』と呼ばれるのはなんとなく気恥ずかしかったので、渡瀬もそう呼ばれるままにしていた。]
 12:  213| [47] [渡瀬]
 13:  216| [45] [「橘もこのバスだっけか？」]
 14:  242| [47] [風見]
 15:  245| [45] [「あ、いえ……ちょっとこっち方面に用事があって……」]
 16:  253| [47] [渡瀬]
 17:  256| [45] [「ふーん……」]
 18:  261| [45] [それで会話は途切れた。]
 19:  266| [45] [風見とは仕事中にはよく話すが、こうして外で話すのは初めてだ。]
 20:  271| [45] [仕事以外の話題が見つからず、渡瀬はやや気まずい思いをした。]
 21:  294| [47] [渡瀬]
 22:  295| [45] [（……沈黙が重いな……）]
 23:  300| [47] [渡瀬]
 24:  301| [45] [（話題、話題と……ん、そうだ）]
 25:  306| [45] [渡瀬はふと今日の日付の事を思い出し、風見に言った。]
 26:  314| [47] [渡瀬]
 27:  317| [45] [「そう言えば今日は、七夕だな」]
 28:  343| [47] [風見]
 29:  346| [45] [「ああ、そうでしたか。仕事にかまけてて忘れてましたね」]
 30:  354| [47] [渡瀬]
 31:  357| [45] [「空じゃ織姫と牽牛が、年に一度のデートをしてるってのに、俺たちは地べたで仕事」]
 32:  365| [47] [渡瀬]
 33:  368| [45] [「あとは疲れて寝るだけだ。やれやれだな」]
 34:  394| [47] [風見]
 35:  397| [45] [「ふふ……」]
 36:  402| [45] [珍しく風見が笑ったのを見て、渡瀬はほっとした。]
 37:  407| [45] [そして空を見上げて言う。]
 38:  459| [47] [渡瀬]
 39:  462| [45] [「なぁ、橘」]
 40:  470| [47] [渡瀬]
 41:  473| [45] [「七夕といえば、こんな歌があるのを知ってるか？」]
 42:  481| [47] [風見]
 43:  484| [45] [「歌、ですか？」]
 44:  492| [47] [渡瀬]
 45:  495| [45] [「『かささぎの　渡せる橋に　おく霜の　白きを見れば　夜ぞ更けにける』」]
 46:  503| [47] [風見]
 47:  506| [45] [「それは……？」]
 48:  514| [47] [渡瀬]
 49:  517| [45] [「なんか百人一首の中の歌らしい。中納言家持だったかな」]
 50:  525| [47] [渡瀬]
 51:  528| [45] [「なんでも七夕の夜には、織姫と牽牛を引き逢わせるために――」]
 52:  536| [47] [渡瀬]
 53:  539| [45] [「カササギって鳥が翼をならべて、天の川に橋を渡すっていう伝説があるそうだ」]
 54:  547| [47] [渡瀬]
 55:  550| [45] [「俺の『渡瀬』って名前は、この歌から取られたんだよ。『笠鷺』だから、『渡せる橋』にかけてな」]
 56:  558| [47] [風見]
 57:  561| [45] [「へぇ……ロマンチックな名前ですね」]
 58:  617| [47] [渡瀬]
 59:  620| [45] [「まぁガキの頃は、女の子っぽくってあんまり好きじゃなかったけどな。今じゃそこそこ気にいってるよ」]
 60:  625| [45] [渡瀬が言うと、風見はふぅとため息をついた。]
 61:  651| [47] [風見]
 62:  654| [45] [「……ちょっと羨ましいです」]
 63:  662| [47] [渡瀬]
 64:  665| [45] [「羨ましい？」]
 65:  691| [47] [風見]
 66:  694| [45] [「私は自分の名前が、あまり好きではありませんので」]
 67:  702| [47] [渡瀬]
 68:  705| [45] [「ん？　どうしてだ？」]
 69:  777| [47] [風見]
 70:  780| [45] [「『風見鶏』から取られたらしいんですよ、私の名前」]
 71:  788| [47] [風見]
 72:  791| [45] [「でも風見鶏って、あまりいいイメージないじゃないですか？」]
 73:  817| [47] [風見]
 74:  820| [45] [「風向きが変わると、あっち向いたりこっち向いたり……芯がない人のたとえに使われる事、多いですよね」]
 75:  846| [47] [風見]
 76:  849| [45] [「両親は何を考えて、こんな名前をつけたのか……」]
 77:  854| [45] [苦笑する風見に、渡瀬は言った。]
 78:  869| [47] [渡瀬]
 79:  872| [45] [「橘。そりゃ多分、解釈間違ってるぜ」]
 80:  898| [47] [風見]
 81:  901| [45] [「え？」]
 82:  909| [47] [渡瀬]
 83:  912| [45] [「確かに日本じゃ、風見鶏はいいイメージがないが……西洋じゃ逆なんだ」]
 84:  920| [47] [渡瀬]
 85:  923| [45] [「風見鶏には、『風に立ち向かって飛ぶ鳥』のイメージもあるんだよ」]
 86:  931| [47] [渡瀬]
 87:  934| [45] [「ほら風見鶏って、いつも風上の方を向くだろ？」]
 88:  960| [47] [風見]
 89:  963| [45] [「そう言えば……！」]
 90:  971| [47] [渡瀬]
 91:  974| [45] [「だから向こうじゃ『芯がない人』のたとえじゃなくて、『困難に立ち向かう者』のたとえに使われるんだ」]
 92:  982| [47] [渡瀬]
 93:  985| [45] [「悪い名前なもんか。お前にピッタリの名前だよ」]
 94: 1046| [47] [風見]
 95: 1049| [45] [「っ――」]
 96: 1072| [45] [渡瀬の言葉に、風見はなぜか目を伏せた。]
 97: 1080| [47] [渡瀬]
 98: 1083| [45] [「お、どうした？」]
 99: 1109| [47] [風見]
100: 1112| [45] [「いえ、その……隊長は、博識ですね」]
101: 1120| [47] [渡瀬]
102: 1123| [45] [「はっ、人は見かけによらないだろ？」]
103: 1131| [47] [渡瀬]
104: 1134| [45] [「脳ミソ筋肉じゃ、シリウスの隊長は務まらないからな」]
105: 1160| [47] [風見]
106: 1163| [45] [「……さすがは、私たちの隊長です」]
107: 1168| [45] [渡瀬の言葉に、風見はにっこりと笑った。]
108: 1179| [47] [渡瀬]
109: 1182| [45] [「……まぁ、名前の意味なんてそんなに気にするなよ」]
110: 1190| [47] [渡瀬]
111: 1193| [45] [「俺の『カササギ』って名前も西洋じゃ、『泥棒』とか『小ずるい奴』の例えに使われるし」]
112: 1219| [47] [風見]
113: 1222| [45] [「そうなんですか？」]
114: 1230| [47] [渡瀬]
115: 1233| [45] [「言葉の意味なんて、言う人聞く人次第で、全然変わるんだよ」]
116: 1241| [47] [渡瀬]
117: 1244| [45] [「だから名前の場合、響きの方が重要だろ」]
118: 1252| [47] [渡瀬]
119: 1255| [45] [「『風見』って響きは可愛いんだから、いいんじゃないか？」]
120: 1316| [47] [風見]
121: 1319| [45] [「えっ……か、可愛いですか？」]
122: 1327| [47] [渡瀬]
123: 1330| [45] [「あぁ」]
124: 1335| [45] [渡瀬の言葉に、風見はなぜか目を伏せた。]
125: 1343| [47] [渡瀬]
126: 1346| [45] [「ん、どうした？」]
127: 1372| [47] [風見]
128: 1375| [45] [「あ、いえ……そんなこと言われたの、初めてでしたから……」]
129: 1380| [45] [風見はそう言って、かすかに微笑んだ。]
