  0:  136| [45] [――それは夏彦と美夜子の仲がこじれる、ずっと前の出来事。]
  1:  141| [45] [夏彦の父が死んでから、ちょうど１年が過ぎたある日。]
  2:  146| [45] [父の一周忌を終えた夏彦は、母と共に家路についていた……。]
  3:  203| [45] [墓参りを済ませた夏彦は、母の手を握って公園を歩く。]
  4:  208| [45] [母は優しい声で、夏彦に囁いた。]
  5:  258| [47] [美夜子]
  6:  261| [45] [「……夏彦、今日は偉かったわね。一度も泣かなかったものね」]
  7:  269| [47] [夏彦]
  8:  272| [45] [「ぼく、なかないってきめたもん」]
  9:  280| [47] [夏彦]
 10:  283| [45] [「お母さんも、えらかったね。なかなかったもんね」]
 11:  309| [47] [美夜子]
 12:  312| [45] [「ふふ……お母さんも泣かないって決めたのよ」]
 13:  338| [47] [美夜子]
 14:  341| [45] [「１年前はあなたの前で、涙をこぼしてしまったけど……」]
 15:  346| [45] [あれはこれまでに夏彦が唯一見た、母の涙だった。]
 16:  351| [45] [その涙を止めるために、夏彦は強くなろうと思ったのだ。]
 17:  356| [45] [強く優しかった父の代わりに。]
 18:  364| [47] [夏彦]
 19:  367| [45] [「……それにしてもお父さんってさ、いつもわらってたよね」]
 20:  375| [47] [夏彦]
 21:  378| [45] [「そこがね、ぼく、お父さんのいちばん好きなところだった」]
 22:  386| [47] [夏彦]
 23:  389| [45] [「びょうきになって、やせちゃっても……わらってたもんね」]
 24:  415| [47] [美夜子]
 25:  418| [45] [「そうね……いつも明るさを失わない、まるで太陽みたいな人だったわ」]
 26:  472| [45] [母はそう言って、空に視線を移す。]
 27:  477| [45] [それから懐かしげに、微笑を浮かべた。]
 28:  485| [47] [美夜子]
 29:  488| [45] [「……知ってるかしら、夏彦？　あの笑顔に、お母さんは何度も救われたのよ。出会ったばかりの頃からね」]
 30:  496| [47] [夏彦]
 31:  499| [45] [「であったばかりのころ……？」]
 32:  504| [45] [そう言えば母と父の馴れ初めは、聞いた事がなかった。]
 33:  509| [45] [夏彦にとって両親は、生まれた時から自分の『お父さんとお母さん』であり、自分の知らない過去がある事は想像していなかった。]
 34:  514| [45] [その事に不意に興味が出てきて、夏彦は問いを口にする。]
 35:  550| [47] [夏彦]
 36:  553| [45] [「お母さんとお父さんって、いつであったの？」]
 37:  561| [47] [美夜子]
 38:  564| [45] [「もう８年ほど前になるかしら……私がまだ、実家にいた頃よ」]
 39:  572| [47] [夏彦]
 40:  575| [45] [「じっか？」]
 41:  601| [47] [美夜子]
 42:  604| [45] [「私が生まれ育った家の事」]
 43:  612| [47] [美夜子]
 44:  615| [45] [「夏彦には会わせた事がないけれど、私にも両親がいるのよ。その人たちの家ね」]
 45:  623| [47] [夏彦]
 46:  626| [45] [「そうなんだ……おじいちゃんとか、おばあちゃんって人？」]
 47:  634| [47] [美夜子]
 48:  637| [45] [「そうよ。でも、私の家には……なんというか、少し問題があってね」]
 49:  663| [47] [美夜子]
 50:  666| [45] [「格式ばかり高いけれど、家族間の愛情とか絆は……あの家の人たちにはなかった」]
 51:  674| [47] [美夜子]
 52:  677| [45] [「そこで私は、ひどく不自由な生活を強いられていたわ。幼い頃の想い出は、勉強の事ばかり」]
 53:  703| [47] [美夜子]
 54:  706| [45] [「子供の自由意志なんて認められない……まるで牢獄のような家だったの」]
 55:  714| [47] [夏彦]
 56:  717| [45] [「え……そうだったんだ……」]
