  0:  136| [45] [――夏彦が、鹿鳴学園高等部に進学したばかりの頃。]
  1:  141| [45] [天川家に通っていた家政婦が辞職し、日々の食事に困っていた夏彦の元に、ましろが通ってくる事になった。]
  2:  146| [45] [これはその時期に起きた、ほんの小さな騒動の記憶……。]
  3:  181| [45] [――新しいクラスにも慣れてきた、ある日の放課後。]
  4:  186| [45] [授業が終わるなり、ましろが夏彦に声をかけてきた。]
  5:  212| [47] [ましろ]
  6:  215| [45] [「よーし、授業終わり！　そんじゃ夏彦、行くよ！」]
  7:  223| [47] [夏彦]
  8:  226| [45] [「え、行くってどこに？」]
  9:  252| [47] [ましろ]
 10:  255| [45] [「なーに言ってんの、今日からご飯作りに行く約束でしょ？」]
 11:  281| [47] [ましろ]
 12:  284| [45] [「買い物もしなきゃなんないしさ、準備に時間かかるかもしれないから、早く行くよ！」]
 13:  303| [45] [ましろはそう言って、さっさと歩き出してしまった。]
 14:  308| [45] [ましろが教室を出たところで、周りのクラスメートたちがざわめき出す。]
 15:  323| [47] [男子生徒１]
 16:  326| [45] [「……え？　ちょっと待て天川、なんだ今のは！？　『今日からご飯作りに行く』って……」]
 17:  331| [47] [男子生徒２]
 18:  334| [45] [「まさか天川と鳥羽さんって、つきあってんのか！？」]
 19:  342| [47] [夏彦]
 20:  345| [45] [「いやいや、そんなんじゃないよ」]
 21:  353| [47] [夏彦]
 22:  356| [45] [「ぼくん家、母さんが超忙しいんだよ。去年までは家政婦さんが食事を作ってくれてたんだけど、辞めちゃったから……」]
 23:  364| [47] [夏彦]
 24:  367| [45] [「それでましろが代わりに、食事を作りに来てくれる事になったんだ。ただそれだけだよ」]
 25:  372| [47] [男子生徒１]
 26:  375| [45] [「なにー！？　何が『ただそれだけだよ』だ！」]
 27:  380| [47] [男子生徒１]
 28:  383| [45] [「鳥羽の手料理を食えるんだろ！？　もっと感動しろよ、この幸せ者が！」]
 29:  391| [47] [夏彦]
 30:  394| [45] [「え、なんだ幸せ者って？」]
 31:  399| [47] [男子生徒２]
 32:  402| [45] [「お前知らないのか！？　鳥羽さんって結構ファン多いんだぞ！？」]
 33:  407| [47] [男子生徒３]
 34:  410| [45] [「しかも難攻不落なんだよな。去年Ｂ組の紅崎がフラれてたし、２年の神谷さんとか野球部の田中も」]
 35:  418| [47] [夏彦]
 36:  421| [45] [「いや、まぁ、それは知ってるけど……でもホント違うんだって。あいつとはただの幼馴染だし」]
 37:  429| [47] [夏彦]
 38:  432| [45] [「それに今回の件については、母さんから謝礼も出てるんだ。ましろにとっちゃ、単なるアルバイトみたいなもんだよ」]
 39:  447| [45] [すると近くで聞き耳を立てていた女子が、口を挟んできた。]
 40:  452| [47] [女子生徒１]
 41:  455| [45] [「そーかなー？　いくら幼馴染でも、ふつーアルバイト気分で男子の家に、ご飯作りに行ったりしないと思うけど？」]
 42:  463| [47] [夏彦]
 43:  466| [45] [「え、そういうもん？」]
 44:  471| [47] [女子生徒１]
 45:  474| [45] [「そういうもんだよ。だって女の子にとってはさ、男子にお料理作ったげるって、特別な事なんだよ？」]
 46:  479| [47] [女子生徒１]
 47:  482| [45] [「『美味しくない』とか言われたらどうしようとか、どうしても不安になるしさ。けっこー勇気いる事なんだよね」]
 48:  487| [47] [女子生徒１]
 49:  490| [45] [「でもましろはこれから、それを毎日やるんでしょ？　しかも天川くんと２人っきりで」]
 50:  495| [47] [女子生徒１]
 51:  498| [45] [「やっぱそれって天川くんに、それなりの感情があるからなんじゃないかな～？」]
 52:  506| [47] [夏彦]
 53:  509| [45] [「っ……」]
 54:  514| [45] [その言葉に夏彦は黙り込んだ。]
 55:  519| [45] [『２人きり』というのは間違いだったが、それを言うとさらに話がややこしくなるので、あえて言葉を飲み込む。]
 56:  524| [45] [ちょうどその時、先ほど教室を出て行ったましろが、戻ってきて声を上げた。]
 57:  563| [47] [ましろ]
 58:  566| [45] [「ちょっと夏彦、何してんの？　行こうって言ってんじゃん！」]
 59:  606| [47] [女子生徒１]
 60:  609| [45] [「ほらほら、はりきってるよ。早く行ってあげなきゃ」]
 61:  617| [47] [夏彦]
 62:  620| [45] [「あ、ああ」]
 63:  671| [45] [夏彦は慌てて立ち上がり、ましろと共に教室を出て行った。]
 64:  676| [47] [男子生徒１]
 65:  679| [45] [「くっ……それにしても羨ましい……！」]
 66:  684| [45] [という怨嗟の声を、背に聞きながら。]
 67:  746| [45] [――それから夏彦たちは、まず街で食材を買い込んだ。]
 68:  751| [45] [それから連れ立って、家に向かう。]
 69:  821| [45] [家に着くとましろは、腕まくりして言う。]
 70:  847| [47] [ましろ]
 71:  850| [45] [「よーし！　じゃあ今日はましろさんが、腕によりをかけてお料理しますよ～！」]
 72:  876| [47] [ましろ]
 73:  879| [45] [「今日は記念すべき第１回って事で、夏彦の好きなクリームシチューとサラダを作ります！」]
 74:  905| [47] [ましろ]
 75:  908| [45] [「あと悠里の好きな、ふわふわトロトロのオムレツなんかも作りましょうか！」]
 76:  916| [47] [夏彦]
 77:  919| [45] [「おー、嬉しいね。でもいきなり３品も、いっぺんに作れるか？」]
 78:  945| [47] [ましろ]
 79:  948| [45] [「心配ご無用！　昔からお料理は好きだったし、いつもお母さんの手伝いしてるしさ。慣れたもんよ」]
 80:  974| [47] [ましろ]
 81:  977| [45] [「さーて、まずは食材を切って、お鍋を火にかけて――」]
 82: 1010| [45] [ましろはそう言って、キッチンの方に目をやり――そしてコンロを見て、愕然とした。]
 83: 1071| [47] [ましろ]
 84: 1074| [45] [「わ、私の知ってるコンロと形が違う！？　ガスコンロじゃないのコレ！？」]
 85: 1082| [47] [夏彦]
 86: 1085| [45] [「ああ、なんか最新式の、電磁調理器らしい」]
 87: 1093| [47] [夏彦]
 88: 1096| [45] [「母さんもぼくも全く料理しないから、よくわからないんだけど……まずかったかな？」]
 89: 1122| [47] [ましろ]
 90: 1125| [45] [「っ……！　だ、大丈夫だよ！　ノープロブレム！」]
 91: 1151| [47] [ましろ]
 92: 1154| [45] [「基本は一緒でしょ！　シチューくらい、どうやったって作れるって！」]
 93: 1162| [47] [夏彦]
 94: 1165| [45] [「て、手伝おうか？」]
 95: 1191| [47] [ましろ]
 96: 1194| [45] [「気持ちだけで充分だよ、夏彦はおとなしく見てて！」]
 97: 1199| [45] [ましろはそう言って、おもむろに料理に取り掛かった。顔に不安そうな色を滲ませながら。]
 98: 1283| [45] [――だが実際料理を始めてみると、様々な困難が彼女を襲った。]
 99: 1370| [47] [ましろ]
100: 1373| [45] [「よーし、お鍋あったまってきた。それじゃそろそろ油を引いて――」]
101: 1381| [47] [ましろ]
