  0:  151| [45] [--September 13, 2030.]
  1:  156| [45] [Before Natsuhiko had known about the terrorists targeting LABO.]
  2:  161| [45] [Even when he heard about it from Mashiro, he still didn't believe it.]
  3:  166| [45] [Mashiro got mad at Natsuhiko, and--]
  4:  198| [47] [Mashiro]
  5:  201| [45] ["I can't count on you for anything anymore, Natsuhiko! Goodbye!"]
  6:  206| [45] [She left the house after shouting that.]
  7:  244| [47] [Natsuhiko]
  8:  247| [45] ["H-hey, wait a second, Mashiro!"]
  9:  320| [45] [--Afterwards, Salyu said this to Natsuhiko.]
 10:  346| [47] [Salyu]
 11:  349| [45] ["You told me I shouldn't pry into other peoples' fights, so I won't say anything more than this."]
 12:  375| [47] [Salyu]
 13:  378| [45] ["But you guys are friends who have matching names. I think it's best you get along."]
 14:  435| [45] [And even the phantom Yuuri spoke to him--]
 15:  443| [47] [Yuuri]
 16:  446| [45] ["... Maybe Mashiron wants you to return to being the Hikorin you were in the past?"]
 17:  454| [47] [Yuuri]
 18:  457| [45] ["I think she's sad because she's realized just how much you've changed from the righteous Hikorin who stood up for justice in the past."]
 19:  462| [45] [--Both of them admonished him.]
 20:  519| [45] [... Natsuhiko's memory of that day cut away a little while after that.]
 21:  524| [45] [At that point, the phantom Yuuri suddenly changed and returned Natsuhiko's consciousness to reality.]
 22:  529| [45] [But that wasn't the "truth".]
 23:  534| [45] [That was a memory created by the real Yuuri through Senses Sympathy.]
 24:  541| [45] [... But the truth was that his day went on a little longer after that.]
 25:  546| [45] [In other words, the following is the "true", unaltered memory.]
 26:  551| [45] [An absurdly pleasant memory that Natsuhiko had pushed far away from his conscious mind...]
 27:  610| [45] [--After Natsuhiko finished talking with Yuuri, he returned to the living room.]
 28:  615| [45] [He thought he'd drink some hot milk to help himself calm down a little.]
 29:  623| [47] [Natsuhiko]
 30:  626| [45] ["Good grief... I can't stand it unless I drink some milk."]
 31:  631| [45] [He grumbled about Mashiro's unintelligible outrage as he took the milk carton out of the refrigerator.]
 32:  644| [45] [Just then, he heard the sound of the door opening behind him.]
 33:  682| [47] [Salyu]
 34:  685| [45] ["Ah, Natsuhiko."]
 35:  693| [47] [Natsuhiko]
 36:  696| [45] ["Oh, Salyu. Done with your training?"]
 37:  704| [47] [Salyu]
 38:  707| [45] ["Mm. Worked up a sweat."]
