  0:   67| [45] [――風見に『シリウス入隊を目指す』と宣言した、１年後――]
  1:   72| [45] [洵は初志に従い、まず消防学校に入った。]
  2:   77| [45] [そこを男子を含めてもトップの成績で、洵は卒業した。]
  3:   82| [45] [もともと適性があったのだろう。だが消防官になるより、シリウスに入隊する事は、遥かに難しい。]
  4:   87| [45] [それだけに、その狭き門を潜ってレスキュー隊員となった風見は、鹿鳴市消防局の女性消防官たちの憧れの的だ。]
  5:  108| [47] [洵]
  6:  109| [45] [（あたしもお姉ちゃんを目指して頑張るぞ！）]
  7:  114| [47] [洵]
  8:  115| [45] [（チビだからってなんだい！　大切なのは努力、根性、そして気合だ！）]
  9:  120| [45] [小さな体躯を補うため、トレーニングの日々は続いた。]
 10:  125| [45] [周囲が呆れるほどの、努力に次ぐ努力。]
 11:  130| [45] [ベンチプレスで９０ｋｇを上げ、プッシュアップ２５０回をこなし、１５００ｍ走のタイムが５分を切った頃――]
 12:  135| [45] [洵の前に、狭き門は開かれた。]
 13:  140| [45] [鹿鳴市消防局における、２人目の女性レスキュー隊員の誕生であった。]
 14:  194| [45] [――２０３０年８月１日付けでシリウスに入隊した洵は、笠鷺渡瀬率いるＡチーム橘班に組み入れられた。]
 15:  199| [45] [そこで数回の出場を難なくこなし、なおも自分の力を奮う場が来るのを待つ。]
 16:  260| [45] [そしてその機会は、すぐに訪れた。]
 17:  265| [45] [――９月１６日、早朝。]
 18:  270| [45] [夜勤の終わりが近づいてきた頃――]
 19:  331| [45] [出場サイレンが、けたたましく鳴り響いた。]
 20:  336| [45] [『原子力生物学機構第６研究所で、原因不明の爆発事故発生』]
 21:  341| [45] [その不吉な通報と共に――]
 22:  347| [45] [洵の人生で一番長い日が、幕を開けた。]
 23:  408| [45] [通報を受けた洵たちは、ヘリで現場に急行した。]
 24:  413| [45] [司令長から指示を受け、さらにラボの職員からＡＤとプロキオンを受け取る。]
 25:  419| [45] [そして突入前に、ＡチームとＢチームに分れた。]
 26:  470| [45] [ラボのエントランスに並ぶ隊員たちに、渡瀬が檄を飛ばす。]
 27:  478| [47] [渡瀬]
 28:  481| [45] [「現在このラボの中には、無数の人が取り残されている！」]
 29:  489| [47] [渡瀬]
 30:  492| [45] [「そして、施設の性質上――これは通常の出場ではない」]
 31:  500| [47] [渡瀬]
 32:  503| [45] [「この現場ではなにが起こるかわからない。どんな不測の事態もだ」]
 33:  526| [47] [洵]
 34:  529| [45] [「……っ」]
 35:  534| [47] [洵]
 36:  535| [45] [（不測の事態って……！）]
 37:  540| [45] [被曝、放射線障害、そして死――そんな単語が頭の中に浮かぶ。]
 38:  545| [45] [洵が、いや鹿鳴市消防局が、初めて遭遇する『Ｎ災害』。それが発生する可能性もあるという事だ。]
 39:  550| [47] [洵]
 40:  551| [45] [（だけど、ブルってちゃダメだ……！）]
