  0:  368| [55] [√After Chapter 0]
  1:  372| [86] [They will be herded together like prisoners bound in a dungeon; they will be shut up in prison,]
  2:  373| [86] [and be punished after many days.]
  3:  374| [86] [(The Old Testament / Isaiah 24:22)]
  4:  376| [45] [--The roar echoed through the laboratory at daybreak--]
  5:  381| [45] [As if it were a bell heralding the end.]
  6:  486| [47] [Researcher 1]
  7:  489| [45] ["Wha... what was that sound!?"]
  8:  494| [47] [Researcher 2]
  9:  497| [45] ["I don't know! It came from Area 1--"]
 10:  502| [47] [Researcher 1]
 11:  505| [45] ["Find out what happened! Now!"]
 12:  510| [47] [Researcher 2]
 13:  513| [45] ["Wait, we can't! The gate can't be opened during the amplification--!"]
 14:  617| [47] [Researcher 1]
 15:  620| [45] ["--------!?"]
 16:  713| [47] [Automatic PA]
 17:  716| [45] ["--Intense tremors detected in B1 Area 1."]
 18:  721| [45] [--The roars didn't stop there.]
 19:  903| [47] [Automatic PA]
 20:  906| [45] ["--Intense tremors detected in B2 Area 3."]
 21:  911| [45] [The loud noises and violent shaking continued to echo through the facility.]
 22: 1095| [47] [Automatic PA]
 23: 1098| [45] ["--A fire has broken out in B1 Area 2."]
 24: 1103| [45] [Followed immediately by shockwaves and the sound of screaming--]
 25: 1191| [47] [Automatic PA]
 26: 1194| [45] ["--Intense tremors detected in B2 Area 2."]
 27: 1280| [47] [Automatic PA]
 28: 1283| [45] ["Security has shifted to 'Evacuation Mode'. All gates, barring those leading to Area N, have been opened."]
 29: 1288| [45] [--There wasn't a soul in that place who yet understood...]
 30: 1293| [45] [... what had happened here.]
 31: 1298| [45] [A clear voice echoed amongst all the confusion and cacophony.]
 32: 1306| [47] [Announcer]
 33: 1309| [45] ["Th-this is an emergency broadcast!"]
 34: 1314| [47] [Announcer]
 35: 1317| [45] ["Explosions of unknown origin have just occurred within the facility!"]
 36: 1322| [45] [That voice that announced the destruction--]
 37: 1327| [45] [was but a fragment of the truth.]
 38: 1420| [86] [--September 16th, 2030]
 39: 1499| [86] [6:19 AM--]
 40: 1577| [86] [At the "6th Laboratory of Atomic and Biological Organization",]
 41: 1654| [86] [a scientific research facility located on the outskirts of Rokumei City...]
 42: 1733| [86] [--An explosion occurred--]
 43: 1922| [47] [Automatic PA]
 44: 1925| [45] ["Repeat, security has shifted to 'Evacuation Mode'. All gates, barring those leading to Area N, have been opened. All personnel, please calmly evacuate to the surface."]
 45: 1930| [45] [The automatic PA screamed out warnings as if it had broken.]
 46: 1974| [45] [It was an accident that should have been impossible.]
 47: 1979| [47] [Security Guard 1]
 48: 1982| [45] ["The sprinkler system's not working!?"]
 49: 1987| [47] [Security Guard 2]
 50: 1990| [45] ["Why...? Dammit! Hurry up with the personnel evacuation!"]
 51: 2052| [45] [Everyone had begun ranting madly, caught up in the chaos surrounding them.]
 52: 2057| [47] [Researcher 1]
 53: 2060| [45] ["The emergency staircases have collapsed!?"]
 54: 2065| [47] [Researcher 2]
 55: 2068| [45] ["All the elevators are offline too! There's no way out!"]
