  0:   54| [55] [√Before Chapter 4]
  1:   81| [47] [Ena]
  2:   84| [45] ["I know I've said before that BC is direct brain-to-brain communication, but..."]
  3:  110| [47] [Ena]
  4:  113| [45] ["Let's take a look at what exactly happens from a physical standpoint to achieve that."]
  5:  118| [45] [Ena worked on her computer as she spoke.]
  6:  123| [45] [Which caused the screen to display a figure of a person's head.]
  7:  212| [47] [Ena]
  8:  215| [45] ["First of all, these 'BC particles' I've mentioned fill our surroundings and have the capability to move through all matter."]
  9:  223| [47] [Ena]
 10:  226| [45] ["Which of course includes your skulls and your brains within..."]
 11:  234| [47] [Ena]
 12:  237| [45] ["Also, brain activity itself is 'thought information' which is generated by the brain's electrical signals."]
 13:  245| [47] [Ena]
 14:  248| [45] ["This 'thought information' is transmittable to the outside."]
 15:  305| [47] [Ena]
 16:  308| [45] ["In a similar fashion to how your voice uses the air as an intermediary in normal conversation, your thoughts use these elementary particles as an intermediary."]
 17:  316| [47] [Ena]
 18:  319| [45] ["Though obviously, the information energy created from thoughts is extremely minuscule."]
 19:  327| [47] [Ena]
 20:  330| [45] ["When BC particles leave the brain, their energy diffuses in the blink of an eye, causing the thought information to disappear as well."]
 21:  338| [47] [Ena]
 22:  341| [45] ["Normally it'd be impossible to use this method to convey your thoughts to others, but..."]
 23:  349| [47] [Ena]
 24:  352| [45] ["It is possible for certain individuals, namely you 'Communicators'."]
 25:  360| [47] [Ena]
 26:  363| [45] ["You use this part of the brain here."]
 27:  421| [47] [Ena]
 28:  424| [45] ["This part of the human brain, the prefrontal cortex, has an organ called the 'BC receptor'."]
 29:  432| [47] [Ena]
 30:  435| [45] ["The function of this organ was once unknown, but--"]
 31:  443| [47] [Ena]
 32:  446| [45] ["In recent years, its use in the transmission and reception of BC has been clarified."]
 33:  454| [47] [Ena]
 34:  457| [45] ["Your BC receptor's structure and capacity for growth is determined at birth by genetics.%NThat is what determines your 'aptitude'..."]
 35:  465| [47] [Ena]
 36:  468| [45] ["And the extent to which you can consciously use it is what determines your 'ability level'."]
 37:  473| [47] [Natsuhiko]
 38:  474| [45] [(I see. So in other words, the BC receptor in my brain is apparently quite different from that of an ordinary person.)]
 39:  479| [45] [That said, he could not understand at all how that would actually allow them to use BC.]
 40:  484| [45] [But just as if she had seen through him, Ena continued.]
 41:  542| [47] [Ena]
 42:  545| [45] ["Now then, allow me to explain step-by-step the process that occurs with telepathy."]
 43:  602| [47] [Ena]
 44:  605| [45] ["First, the telepathy user perceives the 'characteristic brain waveform' of the target the user wants to send their voice to."]
 45:  613| [47] [Ena]
 46:  616| [45] ["The characteristic brain waveform is the pattern of the electric current that constantly flows through your BC receptor. It varies from person to person."]
 47:  624| [47] [Ena]
 48:  627| [45] ["That pattern is also mediated by BC particles and is faintly transmitted to your surroundings. Even if you're not a Communicator."]
 49:  635| [47] [Ena]
 50:  638| [45] ["Everyone with a functioning brain leaks out a minute amount of information energy."]
 51:  646| [47] [Ena]
 52:  649| [45] ["It's a truly minute amount of energy that most people can't perceive, but Communicators can."]
 53:  657| [47] [Ena]
 54:  660| [45] ["By perceiving a target's pattern, you can use it to give your telepathy directionality.%NBasically, you can selectively specify who receives it."]
 55:  668| [47] [Ena]
 56:  671| [45] ["In terms of a phone call, it's akin to knowing someone's phone number."]
 57:  728| [47] [Ena]
 58:  731| [45] ["So, after you've perceived the target's characteristic brain waveform, you concentrate strongly on it."]
 59:  739| [47] [Ena]
 60:  742| [45] ["Doing so causes your characteristic brain waveform and that of the target to interact with atmospheric BC particles--"]
