  0:  145| [55] [√Before Chapter6]
  1:  154| [47] [夏彦]
  2:  157| [45] [「走れ！　２人とも走れ！」]
  3:  162| [45] [そう声を上げながら、夏彦たちは必死で走った。]
  4:  179| [47] [サリュ]
  5:  182| [45] [「とにかく人気のない方に逃げよう。人ごみの中では、誰が保安課員か識別しにくくなる」]
  6:  196| [45] [サリュの言葉に従い、市街とは反対の方向に逃げた。]
  7:  201| [45] [昨夜の逃走とは状況が違う。]
  8:  206| [45] [あの時は闇に乗じて逃げられたが、今回は純粋に脚力の勝負だ。]
  9:  211| [45] [サリュはまだまだ走れそうだが――]
 10:  228| [47] [ましろ]
 11:  231| [45] [「はぁっ、はぁっ……！」]
 12:  236| [45] [ましろの荒い息遣いが聞こえた。]
 13:  241| [45] [スタミナが尽きつつあるのかもしれない。]
 14:  255| [45] [夏彦はましろの手を引いて走り、やがて男たちを振り切ったかと思った時、]
 15:  311| [47] [夏彦]
 16:  312| [45] [（！）]
 17:  317| [45] [行く手に車が現れた。]
 18:  322| [45] [鹿鳴市の市章のペイントがなされている。]
 19:  389| [47] [ましろ]
 20:  392| [45] [「また保安課！？」]
 21:  400| [47] [夏彦]
 22:  403| [45] [「２人とも、こっちだ！」]
 23:  457| [45] [夏彦は方向転換し、脇道に入った。]
 24:  462| [45] [車では入れなさそうな、細い未舗装の道路を行く。]
 25:  509| [47] [夏彦]
 26:  512| [45] [「まずいぞ、このままじゃいつか追いつかれる！」]
 27:  520| [47] [サリュ]
 28:  523| [45] [「どこか隠れる場所はない？」]
 29:  531| [47] [ましろ]
 30:  534| [45] [「わ、わかんないよ！」]
 31:  539| [45] [ましろが悲痛に叫ぶ。]
 32:  544| [45] [その声は上ずっていて、ひどく苦しそうだ。]
 33:  549| [45] [ましろは決して脚が速くはないし、体力がある方でもないのだ。]
 34:  554| [47] [夏彦]
 35:  555| [45] [（くそっ、このままじゃましろが――）]
 36:  560| [45] [ひとまず保安課員の気配は消えていたが、足を止めるわけにはいかない。]
 37:  565| [45] [足取りを追われないよう、細い道を闇雲に走る。]
 38:  573| [47] [ましろ]
 39:  576| [45] [「はっ、はっ、はっ……」]
 40:  584| [47] [ましろ]
 41:  587| [45] [「ま、待って、もうダメっ……！」]
 42:  592| [45] [やがてましろが、ついに音を上げた。]
 43:  597| [45] [だがその時、道の脇の草むらの向こうに、古びた建物が見えた。]
 44:  605| [47] [夏彦]
 45:  608| [45] [「ッ！　あれだ、あそこに隠れよう！」]
 46:  616| [47] [ましろ]
 47:  619| [45] [「え、あ、うん！」]
 48:  624| [45] [そうして夏彦たちは転がり込むように、その建物に入った。]
 49:  724| [45] [――そこは薄暗い、廃屋らしき場所だった。]
 50:  729| [45] [広さはかなりあるが、人の気配はない。]
 51:  734| [45] [そこで３人は、それぞれ息をついた。]
 52:  742| [47] [夏彦]
 53:  745| [45] [「はぁっ、はぁっ、はぁっ、はぁっ……」]
 54:  822| [47] [ましろ]
 55:  825| [45] [「ぜひ～……ぜひ～っ……」]
 56:  833| [47] [サリュ]
 57:  836| [45] [「……ふぅ」]
 58:  844| [47] [夏彦]
 59:  847| [45] [「はぁ～っ……こ、ここなら少しは、奴らの目もごまかせるかな……？」]
 60:  873| [47] [サリュ]
 61:  876| [45] [「可能性は高い。入るとき確認したけど、入口の付近には監視カメラはなかった」]
 62:  902| [47] [ましろ]
 63:  905| [45] [「よ、よかった……正直、ヤバかった……」]
 64:  910| [45] [ましろもようやく復活してきたらしく、息を整えながら言った。]
 65:  915| [45] [そしてあたりを見回し、ふと何かに気づいたような顔をする。]
 66:  941| [47] [ましろ]
 67:  944| [45] [「……あれ、ここって」]
 68:  952| [47] [夏彦]
 69:  955| [45] [「ん、どうした？」]
 70:  981| [47] [ましろ]
 71:  984| [45] [「いや、ここ、『秘密基地』じゃない？」]
 72:  992| [47] [夏彦]
 73:  995| [45] [「え？　……あ、ホントだ」]
 74: 1000| [45] [言われて夏彦も気が付いた。]
 75: 1005| [45] [そこは夏彦たちが子供の頃、秘密基地などと名づけて、遊び場にしていた廃工場だった。]
 76: 1013| [47] [夏彦]
 77: 1016| [45] [「変わらないな……あの頃のままだ」]
 78: 1042| [47] [ましろ]
 79: 1045| [45] [「このくらい大きいと、壊すのもお金かかるからね」]
 80: 1053| [47] [夏彦]
 81: 1056| [45] [「……ちょうどいい、勝手知ったる基地だし。ちょっとここで休んでいこう」]
 82: 1128| [47] [ましろ]
 83: 1131| [45] [「例によって、ほとぼりが冷めるのを待とうか」]
 84: 1136| [45] [夏彦たちは汗を拭き、そして壁にもたれた。]
 85: 1141| [45] [サリュもさすがに、少し疲れたように呟く。]
 86: 1167| [47] [サリュ]
 87: 1170| [45] [「それにしても、保安課のせいで動き回るのが困難」]
 88: 1196| [47] [ましろ]
 89: 1199| [45] [「うん……やっかいなのを敵に回しちゃったねぇ」]
 90: 1233| [47] [ましろ]
 91: 1236| [45] [「私たちが守りたいと願う街の人々が、敵になるだなんて……皮肉なもんだよ」]
 92: 1244| [45] [いつもは頼りがいのある組織だが、今回ばかりは本当に、その勤勉さが恨めしい。]
 93: 1249| [47] [夏彦]
 94: 1250| [45] [（母さんも、保安課の連中を止めてくれればよかったのに……）]
 95: 1255| [45] [そう考えてから、思い出した。]
 96: 1260| [45] [さきほど母に会った時、奇妙な声を聞いた事を。]
 97: 1268| [47] [夏彦]
 98: 1271| [45] [「そ……そうだ。２人とも聞いてくれ」]
 99: 1297| [47] [ましろ]
100: 1300| [45] [「え、なに？」]
101: 1308| [47] [夏彦]
102: 1311| [45] [「実はさっき、母さんと話している途中……なぜか、母さんの心の声が聞こえたんだ」]
103: 1337| [47] [サリュ]
104: 1340| [45] [「心の声？　それって――」]
105: 1366| [47] [ましろ]
106: 1369| [45] [「え、エンパシー！？」]
107: 1377| [47] [夏彦]
108: 1380| [45] [「わからないけど、多分……」]
109: 1385| [45] [その言葉に、ましろが目を見開いた。]
110: 1393| [47] [ましろ]
111: 1396| [45] [「まさか、ホントなの夏彦！？」]
112: 1422| [47] [ましろ]
113: 1425| [45] [「いくらなんでも早すぎない！？　テレパシーだって使えるようになったばかりでしょ！？」]
114: 1433| [47] [夏彦]
115: 1436| [45] [「いや、一瞬だったけど、確かに聞こえたんだ」]
116: 1462| [47] [ましろ]
117: 1465| [45] [「ちょ、ちょっと試してみてよ！　いま心開くから、私の心の声聞いて！」]
118: 1491| [47] [サリュ]
119: 1494| [45] [「私も興味深い。ちょっと試して欲しい」]
120: 1502| [47] [夏彦]
121: 1505| [45] [「あ、あぁ、わかったよ」]
122: 1554| [45] [夏彦は額に指を当てた。それはエンパシーを使う時のコツだ。]
123: 1559| [45] [目を瞑り、２人の心の声を聞こうと試みる。]
124: 1564| [47] [夏彦]
125: 1565| [45] [（教えてくれ２人とも、何を考えているのか……！）]
126: 1570| [45] [だが、なんだかうまく集中できない。]
127: 1575| [45] [単純なメッセージを念じるテレパシーよりも、エンパシーはなお難しいように感じた。]
128: 1592| [47] [ましろ]
129: 1595| [45] [「ど、どう、夏彦！？」]
130: 1621| [47] [サリュ]
131: 1624| [45] [「私の心の声、聞こえた？」]
132: 1632| [47] [夏彦]
133: 1635| [45] [「……いや、やっぱりダメだ。テレパシーと同じく、本当に心底念じた時しか使えないみたいだ」]
134: 1661| [47] [ましろ]
135: 1664| [45] [「そ、そう……」]
136: 1672| [47] [サリュ]
137: 1675| [45] [「博士の時は、心の底から念じたの？」]
138: 1683| [47] [夏彦]
139: 1686| [45] [「……うん、まぁ。急に泣かれたら、さすがにね……」]
140: 1712| [47] [サリュ]
