  0:  180| [55] [√Before Chapter 6]
  1:  188| [47] [Ukita]
  2:  191| [45] ["Hmm... well, if it isn't Natsuhiko?"]
  3:  199| [47] [Natsuhiko]
  4:  202| [45] ["Huh... Ah!"]
  5:  207| [45] [Natsuhiko gasped and looked at the owner of the voice.]
  6:  212| [45] [A car was parked at the shoulder of the road-- and Ukita had come out of the driver's seat.]
  7:  286| [47] [Mashiro]
  8:  289| [45] ["Mr. Ukita!"]
  9:  297| [47] [Ukita]
 10:  300| [45] ["Is something the matter? What's with all this commotion outside in a place like this?"]
 11:  305| [45] [Ukita questioned the kids with a curious look on his face.]
 12:  310| [45] [Suddenly, Natsuhiko remembered Mr. Ukita's accident.]
 13:  415| [47] [Mashiro]
 14:  418| [45] ["I wonder how Mr. Ukita still got into an accident, though..."]
 15:  426| [47] [Natsuhiko]
 16:  429| [45] ["Beats me. Maybe there was a system error in his car's ADS?"]
 17:  455| [47] [Mashiro]
 18:  458| [45] ["But I thought ADS failures were exceptionally rare?"]
 19:  572| [45] [--He didn't think too deeply about the cause of the accident at the time, but...]
 20:  577| [47] [Natsuhiko]
 21:  578| [45] [(What if that wasn't an accident...?)]
 22:  583| [47] [Natsuhiko]
 23:  584| [45] [(What if Q targeted Mr. Ukita since he's with LABO!?)]
 24:  589| [45] [Terrified, Natsuhiko rushed up to Ukita.]
 25:  597| [47] [Natsuhiko]
 26:  600| [45] ["Mr. Ukita, please listen! You see--"]
 27:  623| [45] [Natsuhiko and Mashiro explained Salyu's conjecture.]
 28:  628| [45] [Ukita probably didn't know who Salyu was, so they explained her story as well.]
 29:  633| [45] [And after he had finished hearing everything, Ukita spoke with a grim look on his face.]
 30:  659| [47] [Ukita]
 31:  662| [45] ["... Q's targeting us!? This is a huge concern!"]
 32:  670| [47] [Natsuhiko]
 33:  673| [45] ["You know about Q too, Mr. Ukita?"]
 34:  699| [47] [Ukita]
 35:  702| [45] ["Computers are a hobby of mine. Naturally, that includes browsing the internet as well, which is how I happened to learn of them."]
 36:  728| [47] [Ukita]
 37:  731| [45] ["But never in my wildest dreams did I ever expect they'd target my own workplace when we've got nothing to do with them."]
 38:  736| [45] [His phrasing sounded a little cynical, but he appeared to have believed the kids' word.]
 39:  741| [45] [Natsuhiko sighed in relief as he continued the explanation.]
 40:  749| [47] [Natsuhiko]
 41:  752| [45] ["We just caught one of those terrorists."]
 42:  778| [47] [Ukita]
 43:  781| [45] ["You caught one!? Y-you kids did!?"]
 44:  807| [47] [Mashiro]
 45:  810| [45] ["Yes. But he might have just been a diversion."]
 46:  836| [47] [Ukita]
 47:  839| [45] ["Hmm... In that case, we can't rest yet, can we?"]
 48:  865| [47] [Ukita]
 49:  868| [45] ["But we at LABO have the strictest security in the entire city. Terrorists couldn't target us even if they tried."]
 50:  876| [47] [Ukita]
 51:  879| [45] ["I highly doubt they can crush our security that easily."]
 52:  905| [47] [Salyu]
 53:  908| [45] ["But it wouldn't hurt to be alert."]
 54:  934| [47] [Ukita]
 55:  937| [45] ["Hmm... Indeed, it would be disastrous in the off chance that they did manage to take over the facility. So in that case..."]
 56:  963| [47] [Ukita]
 57:  966| [45] ["Okay! I'll talk to the security staff and get them to strengthen security even further!"]
 58: 1007| [47] [Mashiro]
 59: 1010| [45] ["Okay, please do!"]
 60: 1015| [45] [Mashiro and Ukita smiled at each other.]
 61: 1098| [45] [On the other hand, Natsuhiko secretly focused his mind.]
 62: 1103| [47] [Natsuhiko]
 63: 1104| [45] [(Sorry, Mr. Ukita, it's not like I don't trust you, but...)]
 64: 1109| [45] [He decided to read Ukita's mind just to make sure, just like he did with Jun.]
 65: 1114| [45] [He searched for Ukita's brain waveform and identified him as Type 1.]
 66: 1119| [45] [He continued and focused on the desire to know what was on his mind.]
 67: 1124| [47] [Natsuhiko]
 68: 1125| [45] [(Please, Mr. Ukita, open your heart to me...!)]
 69: 1130| [45] [The moment that thought crossed Natsuhiko's mind, he heard a voice echo in his head.]
 70: 1418| [85] [{I can't get these kids involved too...}]
 71: 1419| [86] [Ukita]
 72: 1420| [86] [{I can't get these kids involved too...}]
 73: 1435| [85] [{But there's no time. Need to act now!}]
 74: 1436| [86] [Ukita]
 75: 1437| [86] [{But there's no time. Need to act now!}]
 76: 1468| [47] [Natsuhiko]
 77: 1471| [45] ["--...gh."]
 78: 1476| [45] [Natsuhiko had gradually gotten used to it by his third attempt. He successfully used empathy.]
 79: 1481| [45] [And above all else, Ukita was thankfully opening his heart to them.]
 80: 1651| [47] [Natsuhiko]
 81: 1654| [45] ["... Thank you, Mr. Ukita. I'm glad we consulted with you."]
 82: 1680| [47] [Ukita]
 83: 1683| [45] ["Hmm? No, no, I only did what was natural. I have an obligation to fulfill as a member of LABO."]
 84: 1709| [47] [Ukita]
 85: 1712| [45] ["But no matter what happens... promise me you kids won't put yourselves in danger."]
