  0:   45| [55] [√Before Chapter6]
  1:   61| [45] [ラボに続く道は、１種類しかない。]
  2:   66| [45] [『ラボ専用道路』。その入口には検問があり、そこを通る車は全てチェックされる。]
  3:   71| [45] [原子炉を擁する施設なのだ。それも当然の警備体制だった。]
  4:  109| [45] [そしてその入口で――]
  5:  114| [45] [夏彦たちも、チェックに引っかかってしまった。]
  6:  158| [47] [監視員]
  7:  161| [45] [「む！？　誰だ君たちは！？」]
  8:  166| [45] [検問を通ろうとした時、厳しい顔をした監視員に引き止められた。]
  9:  174| [47] [夏彦]
 10:  177| [45] [「ラボに行きたいんです！　通してください！」]
 11:  182| [47] [監視員]
 12:  185| [45] [「何を言ってるんだ、君は？　ダメに決まってるだろう」]
 13:  190| [47] [監視員]
 14:  193| [45] [「だいたい、行くってどうやって行くんだ。ここからラボまで１０ｋｍ近くあるぞ？」]
 15:  198| [47] [監視員]
 16:  201| [45] [「バカなこと言ってないで、帰った帰った」]
 17:  234| [47] [ましろ]
 18:  237| [45] [「で、でも私たち、ここに勤めている天川博士の知り合いなんですけど……」]
 19:  242| [47] [監視員]
 20:  245| [45] [「そんな事は関係ない。この検問はいかなる人間であろうと、正当な理由無しに通すわけにはいかん」]
 21:  250| [47] [監視員]
 22:  253| [45] [「ラボに行きたいのであれば、鹿鳴市保安課もしくはラボの渉外担当者を通じ、許可を取りたまえ」]
 23:  261| [47] [夏彦]
 24:  264| [45] [「許可？　それはどのくらいかかるんですか？」]
 25:  269| [47] [監視員]
 26:  272| [45] [「３日から１週間ほどかかるだろう」]
 27:  277| [47] [監視員]
 28:  280| [45] [「まぁ単なる学生が申請しても、通るわけもないがね」]
 29:  306| [47] [ましろ]
 30:  309| [45] [「そ、そんな……！」]
 31:  317| [47] [夏彦]
 32:  320| [45] [「ラボでテロが起きるかもしれないんですよ！？」]
 33:  325| [47] [監視員]
 34:  328| [45] [「テロ？　あぁ、近頃市街を騒がせているあれか」]
 35:  333| [47] [監視員]
 36:  336| [45] [「それについては我々も警戒している。充分すぎるほどね」]
 37:  362| [47] [ましろ]
 38:  365| [45] [「違うんです！　それだけじゃ足りないんです！」]
 39:  398| [47] [サリュ]
 40:  401| [45] [「ラボにはテロリストの内通者がいる可能性が高い。その事については考えてある？」]
 41:  406| [47] [監視員]
 42:  409| [45] [「内通者？　何をわけのわからないことを言っているんだ？」]
 43:  414| [47] [監視員]
 44:  417| [45] [「もういいからはやく帰れ。そうしなければ警察に通報するぞ」]
 45:  422| [45] [そう言って監視員は、電話の受話器を手に取った。]
 46:  427| [47] [夏彦]
 47:  428| [45] [（警察……！）]
 48:  433| [45] [保安課からの疑いは晴れたものの、警察を呼ばれたら、また面倒な事になりかねない。]
 49:  438| [45] [サリュがそっと夏彦に耳打ちする。]
 50:  464| [47] [サリュ]
 51:  467| [45] [「帰ろう２人とも。これ以上騒ぎ立てるのは得策じゃない」]
 52:  493| [47] [ましろ]
 53:  496| [45] [「で、でも……！」]
 54:  504| [47] [サリュ]
 55:  507| [45] [「今やるべきは、あくまでテロの阻止。警察や保安課を敵に回すべきじゃない」]
 56:  515| [47] [夏彦]
 57:  518| [45] [「……！」]
 58:  523| [45] [そこまで言われて、夏彦たちはようやく納得した。]
 59:  531| [47] [夏彦]
 60:  534| [45] [「……わかったよ、別の方策を考えよう」]
 61:  560| [47] [サリュ]
 62:  563| [45] [「それがいい」]
 63:  589| [47] [ましろ]
 64:  592| [45] [「……失礼しました」]
 65:  597| [47] [監視員]
 66:  600| [45] [「ふんっ。間違ってももう来ないようにな」]
 67:  648| [45] [その声を背に、夏彦たちはその場を去った。]
 68:  674| [47] [ましろ]
 69:  677| [45] [「まずいよ……どうする？」]
 70:  685| [47] [夏彦]
 71:  688| [45] [「しかたない……まずは公衆電話を探そう」]
 72:  696| [47] [夏彦]
 73:  699| [45] [「警察や保安課、それからラボ関係者に連絡して、注意を促すんだ」]
 74:  704| [45] [夏彦たちはうなずき、また歩き出した。]
 75:  754| [45] [――街道を歩くうち、すぐに２つ並んだ公衆電話が見つかった。]
 76:  759| [45] [さっそく夏彦は保安課の番号を調べ、電話をかけた。]
 77:  781| [47] [保安課員]
 78:  784| [45] [「はい、鹿鳴市役所保安課、武橋が承ります」]
 79:  792| [47] [夏彦]
 80:  795| [45] [「さきほどはお世話になりました。鹿鳴学園生徒の天川と申しますが」]
 81:  800| [47] [保安課員]
 82:  803| [45] [「……なんだ、ハウスキーパー君か。どうしたね？」]
 83:  811| [47] [夏彦]
 84:  814| [45] [「いや、実は……」]
 85:  819| [45] [夏彦はかいつまんで、保安課員にサリュの予想を伝えた。]
 86:  824| [45] [しかし――]
 87:  832| [47] [夏彦]
 88:  835| [45] [「つまり、テロリストがラボを狙ってる可能性がですね……」]
 89:  840| [47] [保安課員]
 90:  843| [45] [「あぁ、それはもうわかった。ご協力ありがとう」]
 91:  848| [45] [電話の向こうの保安課員の声には、いま一つ真剣味が感じられなかった。]
 92:  853| [47] [保安課員]
 93:  856| [45] [「ラボの方には注意を促しておくから、安心してくれ」]
 94:  864| [47] [夏彦]
 95:  867| [45] [「いや、それだけじゃ不充分な気が……警備を強化するとかできないんですか？」]
 96:  872| [47] [保安課員]
 97:  875| [45] [「しかし、そのために他の各施設の警備を薄くするわけにもいかないんだ」]
 98:  883| [47] [夏彦]
 99:  886| [45] [「それも解るんですけど、そこをなんとか……」]
100:  891| [47] [保安課員]
101:  894| [45] [「うちも可能性だけじゃ動けないんだよ。それこそ怪文書でも届いていればいいんだが」]
102:  899| [47] [夏彦]
103:  900| [45] [「……」]
104:  905| [47] [保安課員]
105:  908| [45] [「ともかく、市内の警戒態勢を強化しておくよ」]
106:  916| [47] [夏彦]
107:  919| [45] [「わかりました……じゃあお願いします……」]
108:  968| [45] [夏彦は肩を落とし、電話を切った。]
109: 1030| [47] [ましろ]
110: 1033| [45] [「どうだった？」]
111: 1041| [47] [夏彦]
112: 1044| [45] [「一応、話は聞いてくれたけど……そっちは？」]
113: 1049| [45] [夏彦が保安課に通報している間、ましろは警察に連絡していた。]
114: 1054| [45] [しかし彼女も、沈んだ表情で首を振る。]
115: 1080| [47] [ましろ]
116: 1083| [45] [「だめだよ全然。『警備は充分に行っています』の一点張り」]
117: 1091| [47] [夏彦]
118: 1094| [45] [「話が大きすぎて、信用してもらえないのか……！」]
119: 1121| [47] [サリュ]
120: 1124| [45] [「……どうする？」]
121: 1130| [45] [サリュがそう呟いた時――]
122: 1135| [45] [遠くから、足音が近づいてくるのが聞こえた。]
