  0:   66| [45] [――それからましろは、丸１日泣き続けた。]
  1:   71| [45] [涙の枯れる頃、悠里の葬儀が行われた。]
  2:   76| [45] [だがそれが終わり、さらに１週間が過ぎても――]
  3:   81| [45] [彼女の事を思いだすたび、涙が滲んだ。]
  4:  160| [45] [病院行きのバスを待ちながら、ましろはすすり泣いていた。]
  5:  165| [47] [ましろ]
  6:  168| [45] [「う……ぅ……」]
  7:  173| [45] [どれだけ泣いても、親友を失った悲しみは癒えない。]
  8:  178| [45] [いつも穏やかに微笑んでいた悠里。]
  9:  183| [45] [誰からも女の子扱いされない自分を、『可愛い』と言ってくれた悠里。]
 10:  188| [45] [おままごとのようなましろの料理を、美味しいと褒めてくれた悠里。]
 11:  193| [45] [――本当に心優しく、誰よりも可愛らしい、ましろの憧れの女の子……。]
 12:  198| [45] [その彼女がもう存在しないという事が、ましろにはまだ信じられなかった。]
 13:  203| [45] [だが悲しみに満たされたましろの心に、唯一残されたのは――]
 14:  208| [45] [夏彦を心配する気持ちだった。]
 15:  213| [47] [ましろ]
 16:  214| [45] [（……夏彦、だいじょうぶかな……）]
 17:  219| [45] [夏彦は、悠里の葬儀に出席していなかった。]
 18:  224| [45] [まだ退院できないらしい。学校にもずっと来ていない。]
 19:  229| [47] [ましろ]
 20:  230| [45] [（おみまいにいかなきゃ……！）]
 21:  241| [45] [ましろが涙を拭ったとき、バスがやってきた。]
 22:  308| [45] [――病院の前でバスを降りたましろは、受付を通り、夏彦の病室に向かった。]
 23:  376| [45] [病室では夏彦が、ベッドに横たわっていた。]
 24:  381| [45] [その傍らに、天川博士がいる。]
 25:  386| [47] [ましろ]
 26:  389| [45] [「はかせ……」]
 27:  415| [47] [美夜子]
 28:  418| [45] [「あ、ましろちゃん……」]
 29:  444| [47] [美夜子]
 30:  447| [45] [「お見舞いに来てくれたのね？　わざわざありがとう」]
 31:  452| [47] [ましろ]
 32:  455| [45] [「は、はい……」]
 33:  460| [47] [ましろ]
 34:  463| [45] [「あの、夏彦くんは……おやすみちゅうですか……？」]
 35:  486| [47] [美夜子]
 36:  487| [45] [「……」]
 37:  513| [47] [美夜子]
 38:  516| [45] [「夏彦はね……」]
 39:  521| [45] [博士はちらりと夏彦を見た。]
 40:  526| [45] [ましろは夏彦の顔を覗きこみ――そして息を呑んだ。]
 41:  726| [47] [ましろ]
 42:  729| [45] [「！！」]
 43:  734| [45] [夏彦は眠っていなかった。]
 44:  744| [45] [横たわったまま、目を開けていた。]
 45:  749| [45] [だがその目には光が無く、ただ虚空を見つめている。]
 46:  754| [47] [ましろ]
 47:  757| [45] [「……夏彦？」]
 48:  762| [45] [返事なし。]
 49:  767| [47] [ましろ]
 50:  770| [45] [「夏彦」]
 51:  775| [45] [返事なし。]
 52:  780| [47] [ましろ]
 53:  783| [45] [「ね、ねぇ！　どうしちゃったの夏彦！」]
 54:  788| [47] [ましろ]
 55:  791| [45] [「私のこえきこえないの！？　ねぇ！」]
 56:  796| [45] [戸惑いながら叫ぶましろに、天川博士が答える。]
 57:  801| [47] [美夜子]
 58:  804| [45] [「……聞こえてないわ」]
 59:  809| [47] [ましろ]
 60:  812| [45] [「え？」]
 61:  817| [47] [美夜子]
 62:  820| [45] [「悠里ちゃんの死を知ってから、ずっとこうなの……」]
 63:  825| [47] [美夜子]
 64:  828| [45] [「ましろちゃんだけじゃない。私の声も、医師の声も……誰の声も届かない」]
 65:  833| [47] [美夜子]
 66:  836| [45] [「事実を認められず……心を閉ざしてしまったんだわ……」]
 67:  841| [47] [ましろ]
 68:  844| [45] [「……そんな」]
 69:  889| [45] [ましろは呆然として、夏彦を見る。]
 70:  894| [45] [彼の視線は、どこか遠いところに向けられていた……。]
 71:  944| [45] [――ましろは信じられない思いのまま、病院を後にした。]
 72: 1010| [45] [家路を歩く間、頭の中を様々な思考と感情が渦巻く。]
 73: 1015| [45] [しかし、その中でただ１つはっきりしていた感情は――後悔だった。]
 74: 1020| [47] [ましろ]
 75: 1021| [45] [（……悠里は私のかわりにラボにいって、死んじゃったんだ……）]
 76: 1026| [47] [ましろ]
 77: 1027| [45] [（だから夏彦も、あんなふうに……）]
 78: 1032| [45] [取り返しのつかない思いが、胸に募る。]
 79: 1037| [45] [その後悔を晴らす方法は思いつかないが――]
 80: 1042| [47] [ましろ]
 81: 1043| [45] [（せめて、夏彦がもとにもどるまでは……！）]
 82: 1048| [45] [精一杯見守り続けよう。]
 83: 1053| [45] [悠里の代わりにでもいい。なんでも構わない。]
 84: 1058| [45] [ましろは１人、そう誓った。]
