  0:   70| [45] [――それからましろは、足しげく夏彦の見舞いに行った。]
  1:   75| [45] [彼が正気を取り戻す日を願って。]
  2:  111| [47] [ましろ]
  3:  114| [45] [「――夏彦、今日はちょうしどう？」]
  4:  119| [47] [ましろ]
  5:  122| [45] [「私は今日ね、ＢＣのじゅぎょうでね、はじめてテレパシーせいこうしたよ！」]
  6:  127| [47] [ましろ]
  7:  130| [45] [「これでついに、私ものうりょくレベル１。夏彦よりさきに、テレパシーつかえるようになっちゃった」]
  8:  135| [47] [ましろ]
  9:  138| [45] [「すごいでしょー。へへーん」]
 10:  143| [47] [夏彦]
 11:  144| [45] [「……」]
 12:  149| [45] [ましろが何を喋っても、夏彦は無反応だった。]
 13:  209| [45] [――それでも話しかける事が、夏彦を現実に引き戻す唯一の手段だと信じ、ましろは見舞いを続けた。]
 14:  274| [47] [ましろ]
 15:  277| [45] [「――いや～夏彦、ことしのなつやすみはヒマだよ～！」]
 16:  282| [47] [ましろ]
 17:  285| [45] [「きょねんはきもだめしとか、シリウスだっしゅつけいかくとか、ナナフシギかいめいさくせんとか、いろいろあったのに」]
 18:  290| [47] [ましろ]
 19:  293| [45] [「夏彦いないと、なにもおこんないもんだね。なーんかつまんないなぁ」]
 20:  338| [47] [夏彦]
 21:  339| [45] [「……」]
 22:  388| [45] [だが時が過ぎ、夏休みを迎えても、何も状況は変わらない。]
 23:  438| [47] [ましろ]
 24:  441| [45] [「――あのね、きょうはね、ちょっとびっくりすることがおきたの」]
 25:  446| [47] [ましろ]
 26:  449| [45] [「となりのクラスの男子がね、私のことをすきだって、てがみくれて……」]
 27:  454| [47] [ましろ]
 28:  457| [45] [「……ね、夏彦、私どうしたらいいのかな」]
 29:  502| [47] [夏彦]
 30:  503| [45] [「……」]
 31:  552| [45] [ましろを取り巻く世界は変わりゆくのに、夏彦の時間は止まったままで……。]
 32:  603| [47] [ましろ]
 33:  606| [45] [「……あのてがみのことね、けっきょくことわったよ」]
 34:  611| [47] [ましろ]
 35:  614| [45] [「だってなんかそういうの、私にはよくわかんなくてさ……」]
 36:  619| [47] [ましろ]
 37:  622| [45] [「……すきとか、そんなのって……」]
 38:  627| [47] [夏彦]
 39:  628| [45] [「……」]
 40:  679| [45] [だからましろも夏彦に合わせ、変化を起こさないように努めた。]
 41:  744| [45] [――そうして瞬く間に、３ヶ月が過ぎ……。]
 42:  749| [45] [その日もましろは、夏彦の病室を訪れていた。]
 43:  803| [47] [ましろ]
 44:  806| [45] [「――今日は学校でさ、男子たちに『夏彦はまだたいいんしないの？』ってきかれたよ」]
 45:  811| [47] [ましろ]
 46:  814| [45] [「はかせがおみまいをゆるしてくれるの、私だけだもんね」]
 47:  819| [47] [ましろ]
 48:  822| [45] [「３ヶ月もあえないと、みんなほんきでしんぱいみたい。夏彦ってやっぱり、にんきものだね」]
 49:  827| [47] [夏彦]
 50:  828| [45] [「……」]
 51:  833| [45] [いつものように、返事はない。]
 52:  838| [47] [ましろ]
 53:  841| [45] [「……夏彦のたいいんを、みんなまってるんだよ」]
 54:  846| [47] [夏彦]
 55:  847| [45] [「……」]
 56:  852| [45] [何度話しかけても、返事はなかった。]
 57:  904| [47] [ましろ]
 58:  905| [45] [「……」]
 59:  959| [47] [夏彦]
 60:  960| [45] [「……」]
 61:  965| [45] [やがて――]
 62:  970| [47] [ましろ]
 63:  973| [45] [「……ねぇ」]
 64:  978| [47] [ましろ]
