  0:  123| [55] [√Current Chapter2]
  1:  134| [45] [――そして天川研究室でＡＤを発見した後、渡瀬たちは今後の方針について話し合った。]
  2:  142| [47] [渡瀬]
  3:  145| [45] [「……さて、話がまとまったところで。それより大事な話をしよう」]
  4:  171| [47] [風見]
  5:  174| [45] [「ユウリさんの事ですね？」]
  6:  182| [47] [渡瀬]
  7:  185| [45] [「あぁ。この広い施設ではぐれちまったのは、非常にまずい」]
  8:  211| [47] [洵]
  9:  214| [45] [「それに、夏彦くんたちの事も気になるよ」]
 10:  240| [47] [洵]
 11:  243| [45] [「ラボ内を全域捜索したのに、見つからなかった……」]
 12:  269| [47] [風見]
 13:  272| [45] [「やはり彼らも、移動しているんでしょう。もしくは見落としているか」]
 14:  394| [45] [その話を聞きつつ、夏彦も考える。]
 15:  454| [47] [夏彦]
 16:  455| [45] [（ましろは地上へ逃がしたからいいとして――）]
 17:  530| [47] [夏彦]
 18:  531| [45] [（問題は、『ユウリ』とサリュが今も無事かどうかだよな？）]
 19:  616| [47] [夏彦]
 20:  617| [45] [（それと……ぼくの居場所か）]
 21:  622| [45] [それについて考えると、絶望的な気持ちになった。]
 22:  627| [45] [渡瀬たちがすでにラボ全域の捜索を終えている以上、夏彦の体がありそうな場所は、もはや一箇所だけなのだ。]
 23:  632| [45] [――Ｎエリア。そこ以外にはありえない。]
 24:  637| [47] [夏彦]
 25:  638| [45] [（ひどい火災が起きてるって話だし……奇跡的に焼け残っていたとしても、かなりの放射線にさらされた事だろうし……）]
 26:  708| [47] [夏彦]
 27:  709| [45] [（やっぱり……ぼくが生きてる可能性は、ゼロってわけか……）]
 28:  714| [45] [すでに予想していた事とは言え、わずかな希望すらないと知って、夏彦はやはり落ち込んだ。]
 29:  719| [47] [夏彦]
 30:  720| [45] [（意識がここに残っているだけでも、良しとすべきなのかもしれないけど……）]
 31:  725| [45] [だがそれもいつまで続くかはわからない。]
