  0:   49| [55] [√Current Chapter 2]
  1:   60| [45] [--By the time Natsuhiko finally got his mind off Ena, Watase was already alone in Area 6's inner ring.]
  2:   65| [45] [Watase was going room to room, searching for Salyu.]
  3:  202| [45] [Eventually, his eyes fell onto a certain PC monitor.]
  4:  207| [47] [Natsuhiko]
  5:  208| [45] [(...?)]
  6:  252| [45] [<Test Subjects and IGF2R Gene Type>]
  7:  255| [85] [　]
  8:  258| [45] [Subject A: Hereditary IGF2R Gene Abnormality Type S (Deceased)]
  9:  261| [45] [Subject N: Hereditary IGF2R Gene Abnormality Type S]
 10:  264| [45] [Subject Y: IGF2R Gene Type 4]
 11:  267| [45] [           (showed no signs of genetic mutation via WX particles/Discarded)]
 12:  270| [45] [Subject Y-II: Acquired IGF2R Gene Abnormality Type S]
 13:  273| [45] [             (Natural IGF2R Gene Abnormality Type C)]
 14:  276| [85] [　]
 15:  279| [45] [Y's discarding->no precedent regarding releases  Expected problem(s): memory recovery, etc.]
 16:  283| [45] [<Observation Targets and IGF2R Gene Type>]
 17:  286| [85] [　]
 18:  289| [45] [Special Observation Target Na: Hereditary IGF2R Gene Abnormality Type S]
 19:  292| [45] [Special Observation Target Na2: Acquired IGF2R Gene Abnormality Type S]
 20:  295| [45] [                    (Natural IGF2R Gene Abnormality Type C)]
 21:  298| [45] [Special Observation Target Yu: IGF2R Gene Type 4]
 22:  301| [45] [Observation Target Ka: Hereditary IGF2R Gene Abnormality Type D]
 23:  304| [45] [Observation Target Ma: Hereditary IGF2R Gene Abnormality Type B]
 24:  307| [85] [　]
 25:  310| [45] [*Ma: Level 5 -> consider irradiation test]
 26:  313| [45] [*Na -> Subject N (April 07, 2021)]
 27:  316| [45] [*Subject Y -> Yu (Sept. 10, 2030)]
 28:  349| [47] [Natsuhiko]
 29:  350| [45] [(... What is this?)]
 30:  355| [47] [Natsuhiko]
 31:  356| [45] [(Subject? IGF2R gene? Observation target?)]
 32:  361| [47] [Natsuhiko]
 33:  362| [45] [(No, more importantly--)]
 34:  367| [45] [" Subject Y -> Yu (Sept. 10, 2030) "]
 35:  372| [47] [Natsuhiko]
 36:  373| [45] [(--September 10? That's the day everything started changing, wasn't it!?)]
 37:  378| [47] [Natsuhiko]
 38:  379| [45] [(What the hell is this file? What does any of this mean?)]
 39:  384| [45] [At the same time Natsuhiko felt something off about some of the descriptors--]
 40:  432| [45] [--a bizarre sight suddenly flickered in Watase's brain.]
 41:  480| [86] [???]
 42:  481| [86] ["I think it's because they're basically scared of those people."]
 43:  491| [85] ["I think it's because they're basically scared of those people."]
 44:  554| [86] [???]
 45:  555| [86] ["She was ostracized by others because of that power even before that incident."]
 46:  563| [85] ["She was ostracized by others because of that power even before that incident."]
 47:  626| [86] [???]
 48:  627| [86] ["What... in God's name is this!?"]
 49:  635| [85] ["What... in God's name is this!?"]
 50:  698| [86] [???]
 51:  699| [86] ["Keeheeheeheeheeheehee!"]
 52:  707| [85] ["Keeheeheeheeheeheehee!"]
 53:  803| [47] [Natsuhiko]
 54:  804| [45] [(Wha-- his memories are coming back again!?)]
 55:  809| [47] [Natsuhiko]
 56:  810| [45] [(But why!? What's bringing it back!?)]
 57:  815| [45] [The event took Natsuhiko by surprise, and one second later-- Watase fled out of the room.]
 58:  864| [47] [Natsuhiko]
 59:  865| [45] [(Wha!? Wh-what the hell's he doing!?)]
 60:  870| [45] [For some reason, Watase was in complete disarray. His mind was whirling with rage and discomfort.]
 61:  875| [45] [And once again, past memories came back--]
 62:  955| [47] [Yuuri]
 63:  958| [45] ["Why did you do something so horrible to me back then...!?"]
 64: 1017| [47] [Natsuhiko]
 65: 1018| [45] [(!! I swore I erased that memory...!)]
 66: 1023| [45] [But that memory came bursting out nevertheless.]
 67: 1105| [47] [Yuuri]
 68: 1108| [45] ["So Captain Kasasagi... please..."]
 69: 1116| [47] [Yuuri]
 70: 1119| [45] ["Please let me know your mind...!"]
 71: 1228| [47] [Watase]
 72: 1231| [45] ["GAAAAAAAAAAGH!"]
 73: 1300| [47] [Watase]
 74: 1303| [45] ["Aah, aah..."]
 75: 1311| [47] [Watase]
 76: 1314| [45] ["U-UWAAAAAAAAAAAH!"]
 77: 1376| [47] [Watase]
 78: 1379| [45] ["H... huh...!?"]
 79: 1387| [47] [Watase]
 80: 1390| [45] ["Wh-why did I...!?"]
 81: 1395| [45] [Bewildered, Watase tottered out of the stairwell.]
 82: 1439| [45] [--And right after that...]
 83: 1477| [85] [　%N　%N　%N　%N　%N]
 84: 1481| [47] [--The t***********************ous--]
 85: 1558| [85] [　%N　%N　%N　%N　%N]
 86: 1562| [47] [--The tes***ubj******re*******ous--]
 87: 1639| [85] [　%N　%N　%N　%N　%N]
 88: 1643| [47] [--The test subje****are*****erous--]
 89: 1720| [85] [　%N　%N　%N　%N　%N]
 90: 1724| [47] [--The test subjects are dangerous--]
 91: 1830| [47] [Natsuhiko]
 92: 1831| [45] [(!?)]
 93: 1836| [47] [Natsuhiko]
 94: 1837| [45] [("The test subjects are dangerous"? ... What's gotten into him...!?)]
 95: 1842| [45] [Natsuhiko was left in confusion as that idea rose up inside of Watase--]
 96: 1847| [47] [Natsuhiko]
 97: 1848| [45] [(Don't tell me--!)]
 98: 1914| [47] [Natsuhiko]
 99: 1915| [45] [(Don't tell me -she- was a "test subject"!?)]
100: 1920| [47] [Natsuhiko]
101: 1921| [45] [(Is that why reading the document provoked Watase's memories--!?)]
102: 1926| [45] [Natsuhiko panicked and dove deeper into Watase's mind.]
103: 2028| [85] [{The test subjects are dangerous...!]
104: 2030| [85] [ The test subjects are dangerous...!]
105: 2032| [85] [  The test subjects are dangerous...!}]
106: 2033| [86] [Watase]
107: 2034| [86] [{The test subjects are dangerous...! The test subjects are dangerous...! The test subjects are dangerous...!}]
108: 2051| [85] [{Wh... what the hell was that!? What the hell were those words!?}]
109: 2052| [86] [Watase]
110: 2053| [86] [{Wh... what the hell was that!? What the hell were those words!?}]
111: 2068| [85] [{I don't know them! I've never heard those words before!!}]
112: 2069| [86] [Watase]
