  0:   49| [55] [√Current Chapter3]
  1:   60| [45] [――それからは夏彦の予想だにしない出来事の連続だった。]
  2:  128| [47] [宇喜多]
  3:  131| [45] [「……脆弱な正義と笑うがいいさ。だがこれが僕の選択だ」]
  4:  139| [47] [宇喜多]
  5:  142| [45] [「君を殺してこの状況が終わるなら、そうしよう」]
  6:  150| [47] [宇喜多]
  7:  153| [45] [「一生に一度くらいは、罪に手を染めてでも……！」]
  8:  158| [47] [夏彦]
  9:  159| [45] [（くっ……おじさん、ついに渡瀬を糾弾するために強行手段に……！）]
 10:  167| [47] [宇喜多]
 11:  170| [45] [「――君の『任務』は、ここで終わりだ！」]
 12:  178| [47] [宇喜多]
 13:  181| [45] [「死ね、裏切り者！」]
 14:  261| [47] [風見]
 15:  264| [45] [「隊長！　危ない！」]
 16:  506| [47] [宇喜多]
 17:  509| [45] [「僕は必ず、君を裁いてやる！　その事を忘れるな！」]
 18:  550| [47] [夏彦]
 19:  551| [45] [（おじさん……ッ）]
 20:  556| [47] [夏彦]
 21:  557| [45] [（渡瀬を裏切り者呼ばわりするってことは、やっぱりおじさんは内通者だったのか！？）]
 22:  562| [47] [夏彦]
 23:  563| [45] [（でも、どうして……ぼくはおじさんの事を、できれば信じたかったのに……！）]
 24:  625| [47] [渡瀬]
 25:  628| [45] [「とにかく、すぐにこの場所から移動しよう」]
 26:  636| [47] [渡瀬]
 27:  639| [45] [「おっさんに知られてしまった以上、いつまでもここに留まっているのは危険だからな」]
 28:  647| [47] [渡瀬]
 29:  650| [45] [「……それに、先生も危ない」]
 30:  761| [47] [夏彦]
 31:  762| [45] [（……先生がいない……ッ！）]
 32:  770| [47] [渡瀬]
 33:  773| [45] [「誰がこんな事を……！？　どうやってこの扉を破壊した！？」]
 34:  778| [47] [夏彦]
 35:  779| [45] [（――いったい何があったんだ！？　もしかして先生は、誰かに連れ去られたのか！？）]
 36:  805| [47] [風見]
 37:  808| [45] [「嫌な予感がします……逃げましょう、隊長！　どこか安全なところまで！」]
 38:  813| [47] [夏彦]
 39:  814| [45] [（くっ……お願いです、先生！　どうか無事でいて下さい！）]
 40:  868| [45] [そしてあてもなく駆け出した渡瀬たちが、第１エリアへ繋がる連絡通路で遭遇したのは――]
 41:  989| [47] [洵]
 42:  992| [45] [「あいつ……いったいどこに……？」]
 43: 1000| [47] [洵]
 44: 1003| [45] [「そうだ……やっぱり、そうなんだよ……」]
 45: 1011| [47] [洵]
 46: 1014| [45] [「だったら……もう、仕方ない……」]
 47: 1022| [47] [洵]
 48: 1025| [45] [「そうしなきゃみんなを護れない……あたしが、あいつを殺さなきゃ……」]
 49: 1036| [47] [夏彦]
 50: 1037| [45] [（ッ！？）]
 51: 1042| [47] [夏彦]
 52: 1043| [45] [（洵さん――どうして頭から血を！？　それになんで、エンジンカッターなんかッ！？）]
 53: 1099| [45] [――洵から逃れて通路を走りながら、風見が呆然と呟いた。]
 54: 1183| [47] [風見]
 55: 1186| [45] [「……どうして、こんな事に……！」]
 56: 1194| [47] [風見]
 57: 1197| [45] [「助けるべき人と、仲間に追われて……逃げ場もなくて……」]
 58: 1202| [45] [それを聞いて、夏彦も思う。]
 59: 1207| [47] [夏彦]
 60: 1208| [45] [（……おかしい……）]
 61: 1213| [47] [夏彦]
 62: 1214| [45] [（宇喜多さんもそうだったけど……いくら渡瀬が疑わしいからって、洵さんまであんな風になるなんて……）]
 63: 1219| [47] [夏彦]
 64: 1220| [45] [（あの２人……あれじゃまるで、あの時の渡瀬と同じじゃないか！）]
 65: 1225| [47] [夏彦]
 66: 1226| [45] [（この状況は何なんだ！？　こんなめちゃくちゃな状況で、どうやって生き残れって言うんだよ！？）]
 67: 1231| [45] [だが、そのとき渡瀬が言った。]
 68: 1261| [47] [渡瀬]
 69: 1264| [45] [「……諦めるな」]
 70: 1272| [47] [渡瀬]
 71: 1275| [45] [「まだ、オレたちは生きている……救うべき相手もいる」]
 72: 1283| [47] [渡瀬]
 73: 1286| [45] [「だから、最後の最後まであがいて……諦めるのは、その後にしよう」]
 74: 1291| [45] [それは夏彦の意識をも、奮い立たせる言葉だった。]
 75: 1338| [45] [やがて一縷の希望を求めて向かったエンジンルームで、渡瀬たちが発見したものは――]
 76: 1406| [47] [渡瀬]
 77: 1409| [45] [「『ＷＸ粒子増幅器　運用マニュアル』……これだ！」]
 78: 1447| [45] [『ＷＸ粒子増幅器　運用マニュアル』]
 79: 1450| [85] [　]
 80: 1453| [45] [＜はじめに＞]
 81: 1456| [85] [　]
 82: 1459| [45] [本書はＷＸ粒子増幅器の運用マニュアルである。]
 83: 1462| [45] [運用には極めて危険が伴うため、当マニュアルを熟読の末、%N作業に従事して頂きたい。]
 84: 1465| [85] [　]
 85: 1468| [45] [なおＷＸ粒子はその性質上、人体に多大な悪影響を与える。]
 86: 1471| [45] [感覚異常・脳機能障害・遺伝子障害等がその例である。]
 87: 1474| [45] [なお粒子エネルギー量と、症状の関係は以下の通り。]
 88: 1478| [45] [＜ＡＤ未投与時＞]
 89: 1481| [85] [　]
 90: 1484| [45] [　　　０ｍＳｖ～２０００ｍＳｖ　：　身体への影響なし]
 91: 1487| [85] [　]
 92: 1490| [45] [２０００ｍＳｖ～４０００ｍＳｖ　：　感覚異常・嘔吐感・頭痛・遺伝子障害]
 93: 1496| [85] [　]
 94: 1499| [45] [４０００ｍＳｖ～８０００ｍＳｖ　：　脳機能障害・意識レベル低下]
 95: 1505| [85] [　]
 96: 1508| [45] [８０００ｍＳｖ～　　　　　　　　：　意識断絶]
 97: 1511| [85] [　]
 98: 1514| [45] [（以上、エネルギー量に比例して、症状の強度・発生確率は増加）]
 99: 1518| [45] [＜ＡＤ投与時＞]
100: 1521| [85] [　]
101: 1524| [45] [　　　０ｍＳｖ～６０００ｍＳｖ　：　身体への影響なし]
102: 1527| [85] [　]
103: 1530| [45] [６０００ｍＳｖ～８０００ｍＳｖ　：　感覚異常・嘔吐感・頭痛・遺伝子障害]
104: 1536| [85] [　]
105: 1539| [45] [８０００ｍＳｖ～１２０００ｍＳｖ：　脳機能障害・意識レベル低下]
106: 1545| [85] [　]
107: 1548| [45] [１２０００ｍＳｖ～　　　　　　　：　意識断絶]
108: 1551| [85] [　]
109: 1554| [45] [（※ＡＤ投与時は、未投与時の値より、４０００ｍＳｖ程度加算）]
110: 1558| [85] [　%N　%N　%N　%N]
111: 1561| [45] [通常の運用時は、粒子エネルギー量を２０００ｍＳｖ以上にしてはならない。]
112: 1567| [85] [　]
113: 1570| [45] [また各種高度実験時に際しては、粒子エネルギー量を４０００ｍＳｖ以上にしてはならない。]
114: 1639| [47] [夏彦]
115: 1640| [45] [（この『ＷＸ粒子増幅器』って、Ｎエリアにあった機械のことか……？）]
116: 1645| [47] [夏彦]
117: 1646| [45] [（それじゃあ、ラボ内に蔓延していたのは放射線じゃなくて、%Nこの『ＷＸ粒子』ってやつだったのか？）]
118: 1651| [45] [――夏彦の意識に様々な疑問がよぎったが、渡瀬が求めるものは別にあった。]
119: 1659| [47] [渡瀬]
120: 1662| [45] [「冷却水に関する記述はないか……」]
121: 1709| [47] [渡瀬]
122: 1712| [45] [「……これだ……！」]
123: 1720| [47] [渡瀬]
124: 1723| [45] [「やはり脱出口はここしかない！」]
125: 1848| [45] [冷却装置を停止させ、排水パイプを通って外と連絡を取り、救助隊を中へ誘導する。]
126: 1853| [45] [それが渡瀬の考えた、全員が生き残るための方法だった。]
127: 1858| [45] [そして渡瀬は必要な道具をかき集め、救援を求めて１人パイプの中を泳いでいった。]
128: 1863| [45] [だが――]
129: 2007| [47] [渡瀬]
130: 2010| [45] [「――ぷはぁ！」]
131: 2075| [47] [風見]
132: 2078| [45] [「……隊長！？」]
133: 2104| [47] [風見]
134: 2107| [45] [「もう戻られたのですか！？」]
135: 2115| [47] [渡瀬]
136: 2118| [45] [「……すまない、橘……！」]
137: 2126| [47] [渡瀬]
138: 2129| [45] [「パイプの中に障害物があった……鹿鳴湖までは、辿り着けない……！」]
139: 2155| [47] [風見]
140: 2158| [45] [「――！」]
141: 2163| [45] [――その方法は、結局失敗に終わってしまった。]
142: 2168| [47] [夏彦]
143: 2169| [45] [（くそ……ようやく希望が見えたと思ったのに……！）]
144: 2177| [47] [渡瀬]
145: 2180| [45] [「……もう１度、最初に立ち返ってみよう」]
146: 2188| [47] [渡瀬]
147: 2191| [45] [「第２エリアの非常階段にある隔壁、あれを開ける方法を考えるんだ……」]
148: 2354| [45] [そしてたどり着いた隔壁の前で、ラボ全体が主電源から非常用電源に切り替わった時――]
149: 2409| [45] [サリュが目覚め、風見に牙を剥いた。]
