  0:   60| [45] [それから悠里の生活は、一変した。]
  1:   65| [45] [住む場所はラボに変わり、そこで実験漬けの生活を送る事になった。]
  2:   94| [45] [ラボの実験室で、博士が悠里を見据えて言う。]
  3:  120| [47] [美夜子]
  4:  123| [45] [「――いい、悠里ちゃん？」]
  5:  131| [47] [美夜子]
  6:  134| [45] [「あなたにはこれから、ＢＣ能力が開花するよう、訓練を受けてもらうわ」]
  7:  142| [47] [悠里]
  8:  145| [45] [「は……はいっ」]
  9:  153| [47] [美夜子]
 10:  156| [45] [「あなたはすでに、テレパシーとエンパシーを身につけてる」]
 11:  164| [47] [美夜子]
 12:  167| [45] [「だからその先の能力も、使えるようになって欲しいの」]
 13:  175| [47] [悠里]
 14:  178| [45] [「そのさきののうりょくって……テレパシーとエンパシーのほかにも、のうりょくがあるんですか？」]
 15:  204| [47] [美夜子]
 16:  207| [45] [「一般には知られていないけどね。人と人の心を繋ぐ、第３の能力が存在するの」]
 17:  216| [47] [美夜子]
 18:  219| [45] [「『センシズシンパシー』……それがその能力につけられた名称よ」]
 19:  227| [47] [美夜子]
 20:  230| [45] [「適性度Ｓのコミュニケーターだけが発現しうる、奇跡の力なの」]
 21:  238| [47] [悠里]
 22:  241| [45] [「そ、そんなのわたしにできるんでしょうか……」]
 23:  267| [47] [美夜子]
 24:  270| [45] [「そんなに緊張しなくてもいいわ。タイプＳのコミュニケーターが現れたのは初めてではないし――」]
 25:  278| [47] [美夜子]
 26:  281| [45] [「センシズシンパシーという能力自体も、もう何年も前に発見されているの」]
 27:  289| [47] [美夜子]
 28:  292| [45] [「すでにその能力を身につけたコミュニケーターから採取されたデータと、能力開発マニュアル……」]
 29:  318| [47] [美夜子]
 30:  321| [45] [「それに従って練習していけば、必ず使えるようになるから」]
 31:  329| [47] [悠里]
 32:  332| [45] [「が、がんばりますっ」]
 33:  380| [45] [――そうして訓練が始まった。]
 34:  385| [45] [まずは準備として、脳とＢＣ粒子の関係の講義から……。]
 35:  454| [47] [美夜子]
 36:  457| [45] [「――センシズシンパシーとは、ＢＣの究極の形よ」]
 37:  465| [47] [美夜子]
 38:  468| [45] [「その作用を理解するには、まず『ＢＣ粒子』というものの存在を知っておかなければならないわ」]
 39:  476| [47] [悠里]
 40:  479| [45] [「ＢＣりゅうし？」]
 41:  505| [47] [美夜子]
 42:  508| [45] [「生物の思考情報、つまり『心の動き』を伝播する素粒子――目に見えない粒々よ」]
 43:  516| [47] [悠里]
 44:  519| [45] [「こころのうごき……めにみえないつぶつぶ……」]
 45:  527| [47] [美夜子]
 46:  530| [45] [「こちらのモニターを見てちょうだい。図を見ながら説明するわ」]
 47:  570| [45] [博士はそう言って、ＰＣを操作する。]
 48:  575| [45] [するとモニターに、人間の心とＢＣ粒子の関係を説明する図が表示されていた。]
 49:  626| [47] [美夜子]
 50:  629| [45] [「ＢＣ粒子というものはね、この世界の隅々に満ちているの」]
 51:  637| [47] [美夜子]
 52:  640| [45] [「悠里ちゃんや私の頭の中にも、悠里ちゃんと私の間にも存在する」]
 53:  648| [47] [美夜子]
 54:  651| [45] [「その粒子にも、実は色々な種類があるのよ」]
 55:  698| [47] [美夜子]
 56:  701| [45] [「通常時は何の情報も書き込まれていない『Ｗａｎｄｅｒｅｒ粒子』、通称『Ｗ粒子』と呼ばれる粒子だけがあるのだけど……」]
 57:  748| [47] [美夜子]
 58:  751| [45] [「これが人の脳に触れると、精神活動によって発生した情報エネルギーを帯び、『Ｍ粒子』という粒子に変異する」]
 59:  759| [47] [美夜子]
 60:  762| [45] [「Ｍ粒子は『Ｍｉｎｄ粒子』、心の情報が書きこまれた粒子よ」]
 61:  771| [47] [美夜子]
 62:  774| [45] [「これらＢＣに関わる粒子を総称して、ＢＣ粒子というの」]
 63:  782| [47] [美夜子]
 64:  785| [45] [「ちなみに他にも、件のＷＸ粒子や、ｂ粒子というのもあるけれど、今は関係ないので説明を省くわ」]
 65:  793| [47] [悠里]
 66:  796| [45] [「は、はい………」]
 67:  804| [47] [美夜子]
