  0:   53| [45] [――次に夏彦が見たのは、それからずっと先の事――]
  1:   58| [45] [ごく最近の記憶だった。]
  2:  109| [45] [どれくらいの歳月が過ぎたのか、夏彦にも自然とわかった。]
  3:  114| [47] [夏彦]
  4:  115| [45] [（……あぁ）]
  5:  120| [47] [夏彦]
  6:  121| [45] [（あれからもう、９年が過ぎたのか……）]
  7:  126| [45] [そう――それはほんの２ヶ月ほど前の記憶だった。]
  8:  155| [45] [その日、悠里は博士と、ラボ内の私室で話していた。]
  9:  181| [47] [美夜子]
 10:  184| [45] [「――今年も、７月７日が来たわね」]
 11:  192| [47] [悠里]
 12:  195| [45] [「早いですね、もう９年ですか」]
 13:  200| [45] [その歳月は、悠里を肉体的にも精神的にも、大きく成長させていた。]
 14:  205| [45] [被験体としても、ラボが開発する品々――とりわけＡＤの開発やＢＣ絶縁体の改良などに、悠里は大きく貢献している。]
 15:  210| [45] [思い煩う事の何一つない、平穏そのものの日々だった。]
 16:  236| [47] [美夜子]
 17:  239| [45] [「……悠里ちゃん、どうだった？　この９年間……」]
 18:  247| [47] [悠里]
 19:  250| [45] [「え？　楽しかったですよ？」]
 20:  258| [47] [悠里]
 21:  261| [45] [「欲しいものはなんでも買ってもらえるし、いいお部屋にも住まわせてもらってるし……」]
 22:  329| [45] [――ただ１つ、外に出られないという事を除けば。]
 23:  334| [45] [だがそれについてはもう、考えないようにしていた。]
 24:  353| [47] [悠里]
 25:  356| [45] [「……それに博士、すっごく優しいし。なんだかんだで幸せです」]
 26:  364| [47] [悠里]
 27:  367| [45] [「あの……本当の、お母さんみたいで」]
 28:  394| [47] [美夜子]
 29:  397| [45] [「……悠里ちゃん」]
 30:  402| [45] [博士が悠里の肩を抱く。]
 31:  407| [45] [悠里の言う通り、博士は愛情を惜しみなく注いでくれていた。]
 32:  412| [45] [彼女の愛情の源が、悠里に対する罪悪感である事は、間違いないだろう。]
 33:  417| [45] [だがそれでも２人は、実の母娘のような間柄であり、互いに最大の理解者でもあった。]
 34:  443| [47] [美夜子]
 35:  446| [45] [「……でもやっぱり、この日が来ると考えてしまうわね」]
 36:  454| [47] [悠里]
 37:  457| [45] [「……ひこりんの事ですね」]
 38:  462| [45] [そう――この日が来れば、否が応にも強く意識してしまう。]
 39:  467| [45] [あの記憶操作を行った夜から、夏彦が自分の幻覚を見るようになった事を。]
 40:  534| [45] [――９年前、悠里は夏彦に対し、『自分が生きて、いつもそばにいる』という記憶を捏造した。]
 41:  584| [45] [その一方で、あの事故に関する詳細な記憶や、彼がＢＣ能力に目覚めた時の記憶は、消したままにしておいた。]
 42:  589| [45] [極めて都合のいい記憶操作――それが彼の精神に、傷を残したのだ。]
 43:  657| [47] [美夜子]
 44:  660| [45] [「……人間の人格は、記憶の集積から成り立つ。魂とは、脳内に蓄えられた情報の集合体……」]
 45:  668| [47] [美夜子]
 46:  671| [45] [「そこに捏造された記憶が加わる事で、現実との決定的な齟齬が生まれた」]
 47:  697| [47] [美夜子]
 48:  700| [45] [「だから夏彦の脳は、悠里ちゃんの幻覚を作り上げる事で、精神のバランスを保ったのね……」]
