  0:   67| [45] [――そうして悠里は、夏彦の記憶操作を開始した。]
  1:   72| [45] [徐々に心の準備ができるよう、彼を導くのだ。]
  2:  143| [45] [やらなければならない事は、無数にある。]
  3:  148| [45] [まず夏彦に、自身の成長を自覚させる事。]
  4:  153| [45] [そして周囲の人々との絆を、より強く感じさせる事だ。]
  5:  158| [47] [悠里]
  6:  159| [45] [（ひこりんの心は、９年前で時間が止まってしまっている）]
  7:  164| [47] [悠里]
  8:  165| [45] [（それを動かしてあげなきゃ……）]
  9:  212| [45] [夏彦の記憶は、彼自身の脳の作用により、少々歪められているようだった。]
 10:  217| [45] [悠里から見ても明らかに、ましろやサリュに対する印象が、実際よりも悪くなっているのだ。]
 11:  222| [45] [恐らく長年他人に対し、心を閉ざしてきた結果だろう。]
 12:  227| [45] [しかしこのままでは、来るべき真実に耐えられそうにない。]
 13:  387| [45] [そこで悠里は、夏彦の支えになるましろや――]
 14:  442| [45] [サリュに対する印象を、より好意的な形に修復する。]
 15:  447| [45] [事実と反しないように、慎重に注意しながら。]
 16:  502| [45] [――その修復が上手くいかず、夏彦の心が、ましろたちを拒絶するような事があれば……]
 17:  508| [45] [『このままだと、こんな悲惨な未来にたどりついちゃうよ』という、偽りの記憶を作り、それをあえて夏彦に見せたりもした。]
 18:  514| [45] [荒療治だとは思ったが、他にいい方法が思いつかない。]
 19:  520| [45] [しかしその甲斐もあり、徐々に彼の心は開かれていった。]
 20:  586| [45] [その一方で、真実のヒントを少しずつ与える。]
 21:  591| [45] [偽りの平穏は終わり、幻との別れの時が近づいている事を示唆する。]
 22:  596| [45] [初めは戸惑っていた夏彦も、やがて過去と向き合う強さを得ていった。]
 23:  707| [45] [――そうして彼は、幾多の危機を乗り越え、]
 24:  760| [45] [このラボの中でも、]
 25:  915| [45] [ましろやサリュと、共に手を取り合って、前に進んでいた。]
 26:  973| [47] [自動放送]
 27:  976| [45] [「――ただいま、『ケースＮ』が発生しました」]
 28:  981| [47] [自動放送]
 29:  984| [45] [「緊急事態につき、セキュリティを『封鎖モード』に移行」]
 30:  989| [47] [自動放送]
 31:  992| [45] [「施設内の全ゲートを閉鎖・ロックすると共に、隔壁を封鎖します」]
 32: 1003| [45] [第５エリアでケースＮの発令に遭遇しても、彼は絶望しなかった。]
 33: 1048| [45] [そんな夏彦を見て、悠里も思う。]
 34: 1053| [47] [悠里]
 35: 1054| [45] [（これならひこりんも……真実を受け入れてくれるかもしれない）]
 36: 1059| [45] [いつの間にか、夏彦の頭痛は止んでいた。]
 37: 1064| [45] [心の準備が終りつつあるのだ。]
 38: 1123| [47] [悠里]
 39: 1124| [45] [（あとは、最後の仕上げをしなきゃ）]
 40: 1129| [45] [それは９年間、ましろが夏彦を支えてきたという事実を教える事だ。]
 41: 1134| [45] [そうすれば夏彦はましろに感謝し、悠里の死を知っても、耐えられるだろう。]
 42: 1243| [45] [――問題は閉鎖されてしまったゲートをどうやって開けるかだが、階段室に博士のセキュリティカードが落ちているのを見かけていた。]
 43: 1248| [45] [夏彦が気付かなかったので、悠里がそれを教えてあげようとしたが――]
 44: 1300| [45] [その直後、不測の事態が発生した。]
 45: 1349| [45] [彼が天川美夜子研究室に行き、見つけてしまったのだ。]
 46: 1354| [45] [９年前の事故について記された、新聞記事のファイルを。]
 47: 1362| [47] [夏彦]
 48: 1365| [45] [「え……え……！？」]
 49: 1388| [45] [夏彦の体が震え出す。呆然と悠里の方を見る。]
 50: 1411| [47] [悠里]
 51: 1412| [45] [（あ……いけない！　まだちょっとだけ早かった！？）]
 52: 1437| [47] [悠里]
 53: 1438| [45] [（でもこうなったら、ひこりんの心の強さに、賭けるしかない……！）]
 54: 1443| [45] [悠里は覚悟を決め、夏彦にテレパシーを送った。]
 55: 1703| [47] [悠里]
 56: 1706| [45] [「『わたしは一緒には行けない』って言った意味、わかったでしょう……？」]
 57: 1711| [45] [それは長い夢の終わりを告げる、決定的な一言だった。]
 58: 1719| [47] [夏彦]
 59: 1722| [45] [「……そんな……」]
 60: 1727| [45] [悠里にも夏彦の内心が伝わってきた。]
 61: 1732| [45] [混乱、悲哀、動揺、恐怖――そして絶望。]
 62: 1737| [45] [それでも悠里は、夏彦に言う。]
 63: 1785| [47] [悠里]
 64: 1788| [45] [「……ひこりん、お別れの時が来たよ」]
 65: 1793| [47] [夏彦]
 66: 1794| [45] [「――」]
 67: 1802| [47] [悠里]
 68: 1805| [45] [「……ずっと騙してて、ごめんね」]
 69: 1813| [47] [悠里]
 70: 1816| [45] [「ひこりんを支えてあげようと、思っていたんだよ……」]
 71: 1824| [47] [悠里]
 72: 1827| [45] [「……だけど、もうわたしがいなくても、大丈夫なはずだよ」]
 73: 1835| [47] [悠里]
 74: 1838| [45] [「この数日の間に、気づいたでしょう？　ひこりんは１人じゃないって」]
 75: 1843| [45] [――悠里は真摯に語りかけた。夏彦の心を動かそうと。]
 76: 1848| [45] [だが、その声も届かない。]
 77: 2033| [45] [悠里がテレパシーの送信を止め、幻が消えると共に――]
 78: 2041| [47] [夏彦]
 79: 2044| [45] [「……う、あ……」]
 80: 2049| [45] [夏彦はかすかにうめいて――]
 81: 2057| [47] [夏彦]
 82: 2060| [45] [「――あぁぁああああっ！！」]
 83: 2065| [45] [狂ったように絶叫した。]
 84: 2169| [47] [悠里]
 85: 2170| [45] [（そ、そんな……！　これでもだめだったの！？）]
 86: 2175| [45] [悠里もまた、絶望していた。]
 87: 2180| [45] [夏彦を縛る自分の呪縛が、これほどまでに強いものだったとは――！]
 88: 2191| [45] [そのとき部屋の扉が開き、ましろが駆け込んできた。]
 89: 2224| [47] [ましろ]
 90: 2227| [45] [「夏彦っ！？」]
 91: 2253| [47] [ましろ]
 92: 2256| [45] [「夏彦、叫んでたみたいだけど、なにかあったの！？」]
 93: 2264| [47] [夏彦]
 94: 2267| [45] [「……………悠里が……」]
 95: 2275| [47] [夏彦]
 96: 2278| [45] [「……消えた……」]
 97: 2492| [45] [――夏彦はましろに食って掛かった。]
 98: 2497| [45] [悠里を失った哀しみと、９年間騙されていた悔しさを吐き出すように。]
 99: 2505| [47] [夏彦]
100: 2508| [45] [「悠里はいなかったんだな！？　９年前から、ずっとッ！」]
101: 2556| [47] [夏彦]
102: 2559| [45] [「お前はおかしくなったぼくに付き合ってただけなんだろ！？　こんな滑稽な話があるか！」]
103: 2567| [47] [ましろ]
104: 2570| [45] [「そ、そんな……！」]
105: 2575| [45] [夏彦もましろも、目に涙を浮かべていた。]
106: 2580| [45] [そして夏彦の視覚を通じ、その様子を観測する悠里もまた――悲しんでいた。]
107: 2585| [47] [悠里]
108: 2586| [45] [（それじゃダメだよひこりん……！　ましろんを恨んじゃダメ……！）]
109: 2591| [47] [悠里]
110: 2592| [45] [（ましろんはずっと、ひこりんを支えてくれてたのに……！）]
111: 2597| [45] [悠里はひどく後悔していた。]
112: 2602| [47] [悠里]
113: 2603| [45] [（どうすればよかったの……？）]
114: 2608| [47] [悠里]
115: 2609| [45] [（どうすればひこりんは――）]
116: 2614| [45] [悠里がそう思った、その直後――……]
117: 2621| [45] [予想もしない事が起こった。]
118: 2772| [45] [不意に、夏彦の視界が、闇に包まれたのだ。]
119: 2778| [47] [悠里]
120: 2779| [45] [（っ！？）]
121: 2784| [45] [彼の意識は突如として、果てのない闇の中に放り出された。]
122: 2792| [47] [夏彦]
123: 2795| [45] [《え……な、なんだこれ……！？》]
124: 2800| [45] [夏彦が愕然とする。しかし悠里にはわかっていた。]
125: 2805| [47] [悠里]
126: 2806| [45] [（これは、まさか……！）]
127: 2811| [47] [悠里]
128: 2812| [45] [（ひこりんが、ましろんの心と同調したの！？）]
129: 2916| [45] [夏彦が第３の能力に――『センシズシンパシー』に目覚めたのだ。]
130: 2921| [45] [昨夜から予兆はあったとはいえ、それは願ってもいない誤算だった。]
131: 2926| [47] [悠里]
132: 2927| [45] [（や……やった！）]
133: 2932| [47] [悠里]
134: 2933| [45] [（これならひこりんも、ましろんの気持ちをわかってくれるはず……！）]
135: 2938| [45] [夏彦が戸惑いながら、ましろの記憶を覗き込む。]
136: 2986| [45] [そして彼は――ましろが９年間、夏彦を想い続けていたという事実を知った。]
137: 3159| [45] [――現実に帰ってきた夏彦は、ましろに泣きながら謝った。]
138: 3167| [47] [夏彦]
139: 3170| [45] [「ましろ……！」]
140: 3178| [47] [夏彦]
141: 3181| [45] [「ごめん……！　ごめんな……！」]
142: 3228| [47] [ましろ]
143: 3231| [45] [「え……？」]
144: 3239| [47] [夏彦]
145: 3242| [45] [「お前、ずっとぼくを支えてくれてたんだな……」]
146: 3250| [47] [夏彦]
147: 3253| [45] [「ぼくのために、ずっと一緒にいてくれてたんだな……！」]
148: 3299| [45] [そのやりとりを聞きながら、悠里も思っていた。]
149: 3346| [47] [悠里]
150: 3347| [45] [（よかった……）]
151: 3352| [47] [悠里]
152: 3353| [45] [（これで、本当に……ひこりんもましろんも、わたしから解放されるんだ）]
153: 3358| [45] [これで自分の役目は終わった。]
154: 3363| [45] [悠里はそう思い、そして――]
155: 3370| [45] [心静かに、夏彦との心の繋がりを絶った。]
156: 3480| [45] [――そして悠里は、自分の五感を取り戻した。]
157: 3485| [45] [視界に広がるのは、誰もいない部屋。]
158: 3490| [45] [その寂しい室内風景が滲んでいる。]
159: 3498| [47] [悠里]
160: 3501| [45] [「あれ……どうして……？」]
161: 3506| [45] [悠里は自分が泣いている事に気付いた。]
162: 3511| [45] [『夏彦が悠里の呪縛から解放され、ましろと結ばれる』]
163: 3516| [45] [それはずっと願っていた事のはずなのに――]
164: 3521| [45] [悠里の胸は、引き裂かれたように痛んでいた。]
165: 3526| [47] [悠里]
166: 3527| [45] [「……」]
167: 3535| [47] [悠里]
168: 3538| [45] [「ううん……これでいいんだよ……！」]
169: 3547| [45] [そう信じ、悠里は涙を拭う。]
170: 3552| [45] [――その時。]
171: 3579| [45] [シェルターの扉を、ノックする音がした。]
172: 3587| [47] [悠里]
173: 3590| [45] [「あ……博士？」]
174: 3611| [45] [悠里ははっとして、扉に駆け寄る。]
175: 3616| [45] [博士が戻ってきてくれたのなら、その胸にすがりたかった。]
176: 3621| [45] [悠里のただ１人の理解者であり、悲しみの共有者である、血の繋がらない『お母さん』に。]
177: 3628| [45] [だが、扉を開けると――]
178: 3704| [45] [そこには見知らぬ男が立っていた。]
179: 3727| [47] [悠里]
180: 3730| [45] [「……！？」]
181: 3738| [47] [渡瀬]
182: 3741| [45] [「ようやく見つけた……君はこのラボの関係者だな？」]
183: 3749| [47] [悠里]
184: 3752| [45] [「あ……あなたは？」]
185: 3760| [47] [渡瀬]
186: 3763| [45] [「レスキュー隊だ。君たちを救助に来た」]
187: 3768| [45] [その声に聞き覚えがあった。ざわざわと不安が湧いてくる。]
188: 3773| [47] [悠里]
189: 3774| [45] [（どこでこの声を……！？）]
190: 3779| [45] [考え、すぐに思い出した。]
191: 3833| [45] [それは夏彦の記憶の中で聞いた、テロリストの声――！]
192: 3841| [47] [悠里]
193: 3844| [45] [「あなたは……Ｑの！？」]
194: 3912| [47] [渡瀬]
195: 3915| [45] [「！！」]
196: 3920| [45] [思わず声を上げると、男の顔が強張った。]
197: 3925| [45] [すぐにその表情が邪悪に歪んでいく。]
198: 3951| [47] [渡瀬]
199: 3954| [45] [「おい……まさかＢＣで読んだのか？　俺の心を」]
200: 3959| [47] [悠里]
201: 3960| [45] [「……」]
202: 3986| [47] [渡瀬]
203: 3989| [45] [「まぁいい、一緒に来てもらおうか」]
204: 4019| [45] [男はそう言って、悠里の腕を掴んだ。]
205: 4042| [47] [悠里]
206: 4045| [45] [「い、いやっ！　やめて！」]
207: 4071| [47] [渡瀬]
208: 4074| [45] [「暴れないでくれ！　大人しくすれば、手荒なことはしない！」]
209: 4079| [45] [男はそう言ったが、到底信じられない。]
210: 4084| [47] [悠里]
211: 4085| [45] [（だったらこの人の記憶を――！）]
212: 4090| [45] [悠里は男の記憶を破壊して、難を逃れようと思った。]
213: 4116| [45] [が――それより一瞬早く、悠里の首筋に痛みが走った。]
214: 4124| [47] [悠里]
215: 4127| [45] [「痛っ！」]
216: 4132| [45] [なにをされたのかわからないまま、悠里はＢＣを使おうとする。]
217: 4137| [47] [悠里]
218: 4138| [45] [（……あれ？）]
219: 4143| [45] [だが、何も起こらなかった。]
220: 4148| [45] [男の記憶を破壊しようにも、センシズシンパシーそのものが使えなくなっていたのだ！]
221: 4156| [47] [悠里]
222: 4159| [45] [「ど、どうして……」]
223: 4185| [47] [渡瀬]
224: 4188| [45] [「ＢＣを封じる薬を打たせてもらった。君の能力はもう使えない」]
225: 4196| [47] [悠里]
226: 4199| [45] [「嘘……！」]
227: 4204| [45] [ＢＣが使えなくなった悠里は、ただの無力な少女に過ぎない。]
228: 4287| [45] [絶望する悠里の首に、男の腕が巻きつく。]
229: 4292| [45] [そしてそのまま、頚動脈を締め付けられた。]
230: 4300| [47] [悠里]
231: 4303| [45] [「う……」]
232: 4308| [45] [男の力は強くて、振りほどこうにもびくともしない。]
233: 4313| [45] [たちまち目の前が暗くなっていく。]
234: 4318| [47] [悠里]
235: 4319| [45] [（ひ……ひこりん……ましろん……！）]
236: 4368| [45] [悠里は薄れ行く意識の中で祈った。]
237: 4373| [45] [夏彦たちがこの男に遭わず、無事に外に脱出できる事を――]
