  0:   53| [45] [------]
  1:   58| [45] [----]
  2:   63| [45] [--]
  3:   74| [45] [--Yuuri was woken up by a strange sound and an extreme heat.]
  4:  157| [47] [Yuuri]
  5:  160| [45] ["Mm, mmm..."]
  6:  168| [47] [Yuuri]
  7:  171| [45] ["H... Hikorin..."]
  8:  176| [45] [For a moment, she remembered the time she was locked away in LABO with Natsuhiko, so she unthinkingly called out his name.]
  9:  181| [45] [But she was mistaken. It was currently September 16, 2030, nine years after that memory.]
 10:  186| [45] [Yuuri looked around. She didn't see the man, but--]
 11:  209| [47] [Yuuri]
 12:  212| [45] ["Ah...!"]
 13:  217| [45] [The hallway was engulfed in flames.]
 14:  222| [45] [The fires had probably spread while she was unconscious.]
 15:  230| [47] [Yuuri]
 16:  233| [45] ["I... I gotta get away...!"]
 17:  244| [45] [Yuuri stood up in confusion and ran away from the flames.]
 18:  249| [45] [As she ran, Yuuri thought to herself.]
 19:  254| [47] [Yuuri]
 20:  255| [45] [(How long have I been unconscious?)]
 21:  260| [47] [Yuuri]
 22:  261| [45] [(Where did that man go!?)]
 23:  266| [45] [The man had disappeared after knocking Yuuri out.]
 24:  271| [45] [From that observation, she couldn't understand what his goal was at all.]
 25:  276| [47] [Yuuri]
 26:  277| [45] [(No, there's no time to think about all of that! First, I need to find a way to survive!)]
 27:  326| [45] [Yuuri shook off her doubts and ran through the hallway.]
 28:  375| [45] [On the way, she stopped by a room and obtained a Lv. 6 security card that had been left behind.]
 29:  429| [45] [She tried going to Dr. Miyoko Tenkawa's office, but saw no sign of Natsuhiko and the others.]
 30:  434| [45] [They probably escaped by their own means.]
 31:  439| [47] [Yuuri]
 32:  440| [45] [(Thank goodness...)]
 33:  468| [45] [Right when Yuuri sighed in relief, the flames assailed her.]
 34:  476| [47] [Yuuri]
 35:  479| [45] ["Kyah!"]
 36:  484| [45] [Yuuri kept running as the fire and smoke chased her.]
 37:  542| [45] [She went through the blazing factory--]
 38:  620| [45] [And then into Area 1.]
 39:  625| [45] [But there were no escape routes to be found.]
 40:  641| [47] [Yuuri]
 41:  644| [45] ["Ah, ah, ah...!"]
 42:  650| [45] [There was no longer any way out.]
 43:  655| [45] [Every path she took was blocked by fire.]
 44:  663| [47] [Yuuri]
 45:  666| [45] ["That room..."]
 46:  671| [45] [Yuuri plunged into a nearby room, every fiber of her being focused only on escaping from the flames.]
 47:  757| [45] [She lowered her body and crawled under a desk so as to not breathe in the smoke.]
 48:  762| [45] [But she could tell it was only a matter of time before that room burned up too.]
 49:  767| [47] [Yuuri]
 50:  768| [45] [(Ah... Am I going to die here...?)]
 51:  815| [45] [She thought that might not be such a bad thing.]
 52:  820| [45] [Even if she were to survive, she probably would still never make it out of LABO.]
 53:  825| [45] [As long as Natsuhiko and the others managed to escape in the end, that was probably good enough for her.]
 54:  830| [47] [Yuuri]
 55:  831| [45] [(That's right... the lie we kept telling is now coming true. That's all.)]
 56:  836| [45] [And with that thought, Yuuri prepared herself, but then--]
 57: 1015| [45] [She heard an explosion from outside the room.]
 58: 1023| [47] [Yuuri]
 59: 1026| [45] ["Kyaahh!!"]
 60: 1039| [45] [Yuuri couldn't help but scream.]
 61: 1044| [45] [The door to the room was crushed and flames rushed in.]
 62: 1049| [45] [And then, the force of the flames fiercely intensified. Perhaps something explosive had caught on fire.]
 63: 1065| [47] [Yuuri]
 64: 1068| [45] ["A-aah..."]
