  0:   54| [45] [――亘の死を契機に、渡瀬はレスキュー隊員になる事を決意した。]
  1:   59| [45] [それから長い月日が流れた。]
  2:   64| [45] [例によって夏彦は、自分の記憶のように、歳月の経過を認識する。]
  3:   69| [47] [夏彦]
  4:   70| [45] [（あぁ……あれからもう、７年が過ぎたか……）]
  5:   75| [45] [次に浮かんできた記憶は――]
  6:   80| [45] [現在から９年前。渡瀬が２３歳の時の記憶だった。]
  7:  139| [45] [――その日も渡瀬は朝から、己を鍛えていた。]
  8:  144| [45] [薄暗い部屋に、腕立て伏せの回数を数える声が響く。]
  9:  176| [47] [渡瀬]
 10:  179| [45] [「……１９５、１９６、１９７……」]
 11:  184| [45] [規則正しく、息も乱さず。]
 12:  192| [47] [渡瀬]
 13:  195| [45] [「……２００」]
 14:  200| [45] [渡瀬は２００まで数え、それを終えた。]
 15:  208| [47] [渡瀬]
 16:  211| [45] [「ふぅ……」]
 17:  216| [45] [汗すらもかかず、渡瀬は独りその部屋に立つ。]
 18:  221| [45] [家族と共に暮らした家を失った後、市に提供された小さな部屋。]
 19:  226| [45] [そこに渡瀬は、もう約７年間暮らしている。]
 20:  231| [45] [この部屋から高校に通い、卒業後は消防学校に入った。]
 21:  285| [45] [その間に鹿鳴市は『政令指定機密都市』に指定され、ＢＣ研究と原子力科学を中心に回る、一大研究学園都市に変わった。]
 22:  290| [45] [だが渡瀬は急速に街が変わってしまった事への違和感も、孤独も感じる暇はなかった。]
 23:  357| [45] [姉の夢を継ぐ事のみを考え、生きてきた。]
 24:  373| [45] [そのために肉体を改造し、精神を鍛え上げ……難関とされるレスキュー試験にも、トップの成績で合格。]
 25:  378| [45] [そしてかつては鹿鳴市に存在しなかったレスキュー隊が、鹿鳴市消防局内に設立されるとほぼ同時に、そこに入隊したのだ。]
 26:  385| [45] [――ちょうどその時、時計が１４時の鐘を鳴らした。]
 27:  390| [45] [出勤の時間が近づいていたのだ。]
 28:  395| [45] [渡瀬の勤務時間はローテーションに従い、１６：００からとなっているが、渡瀬は常に早めに出勤する事を己の規則としている。]
 29:  403| [47] [渡瀬]
 30:  406| [45] [「……行くか」]
 31:  411| [45] [そこにはかつての、意志薄弱な少年の姿はなかった。]
 32:  471| [45] [鋼の意思と肉体を持つレスキュー隊員は、部屋を出て職場に向かった。]
 33:  522| [45] [消防署に着いた。]
 34:  527| [45] [かつて姉と見た建物は、今では渡瀬の職場となっている。]
 35:  532| [45] [とうに慣れたつもりだが――時々、あの日の事を思い出してしまう事があった。]
 36:  600| [47] [亘]
 37:  603| [45] [「でも今のところ、女性のレスキュー隊員っていないんだよね」]
 38:  611| [47] [亘]
 39:  614| [45] [「なれるものなら、私がその座につきたいもんだ」]
 40:  663| [47] [渡瀬]
 41:  664| [45] [（……ちっ）]
 42:  669| [45] [彼女の声が耳に蘇り、渡瀬の胸は痛む。]
 43:  674| [47] [渡瀬]
 44:  675| [45] [（もしかしたら俺じゃなく、亘がここに勤めていたかもしれないんだよな……）]
 45:  680| [45] [そう思うと、犯人を憎む気持ちが湧かないわけではない。]
 46:  685| [45] [だが人を憎んで生きるよりは、死者を想って生きる方が、まだしも正常な人生だ。]
 47:  692| [45] [渡瀬が自分にそう言い聞かせた時、]
 48:  709| [45] [突如、けたたましいサイレンの音が鳴り響いた。]
 49:  714| [47] [渡瀬]
 50:  715| [45] [（――出場だ！）]
 51:  720| [45] [感傷は瞬時に失せ、五感と神経が研ぎ澄まされる。]
 52:  726| [45] [同僚たちが夜勤の連中も含め、バラバラと署から飛び出してきた。]
 53:  731| [45] [司令長が渡瀬に気付き、遠くで声を上げる。]
 54:  736| [47] [司令長]
