  0:   60| [45] [――少女２名を、崩壊した団地から救った後――]
  1:   65| [45] [また、長い時が流れた。]
  2:   70| [47] [夏彦]
  3:   71| [45] [（今度は……あのさらに、８年後の記憶か……）]
  4:   76| [45] [あの後も渡瀬の、レスキュー隊員としての生活は続いた。]
  5:   81| [45] [数え切れないほどの出場をこなし、多くの人を助けてきた。]
  6:   86| [45] [決して楽な日々ではなかったが、いつしかそんな生活にも慣れ――]
  7:   91| [45] [３０歳を越える頃には、何事にも動じない、穏やかな心を得るに至っていた。]
  8:  166| [45] [――その日は暖かな日だった。]
  9:  171| [45] [仕事を終えた渡瀬は、夕暮れの街を、穏やかな気持ちで歩いていた。]
 10:  176| [45] [ここの所は出場もなく、平和な日々が続いている。]
 11:  181| [47] [渡瀬]
 12:  182| [45] [（う～む、なんかのどかで満ち足りた気分だぜ……）]
 13:  187| [47] [渡瀬]
 14:  188| [45] [（あの頃には、俺にこんな日が訪れるなんて考えられなかったなぁ）]
 15:  236| [45] [ここまで彼を支えたのは、仕事であり、同僚であった。]
 16:  241| [45] [同僚の中には、渡瀬と似た境遇の男が２人もいた。]
 17:  246| [45] [『堂島誠二』と『桧山和樹』。]
 18:  251| [45] [彼らも渡瀬と同じく、あの火災で家族や大事な人を失い、市に育てられた。]
 19:  256| [45] [レスキュー隊に入った動機も似たり寄ったりで、年も近かったため、彼らとはとても気が合った。]
 20:  261| [45] [心を分かち合える同僚に恵まれ、やりがいのある仕事をして――しかも、自分を慕ってくれる後輩までいる。]
 21:  266| [45] [『俺の人生も、なかなか悪くないじゃないか』……などと思う事も、近頃は多くなっていた。]
 22:  324| [45] [そして部屋に戻って着替えをしていると、ＰＤＡが鳴った。]
 23:  332| [47] [渡瀬]
 24:  335| [45] [「……？」]
 25:  340| [45] [ディスプレイを見てみると、『非通知』と表示されている。]
 26:  353| [45] [渡瀬は少し迷った後、電話に出た。]
 27:  361| [47] [？？]
 28:  364| [45] [「笠鷺渡瀬さんだね？」]
 29:  375| [45] [電話の向こうから、男の声が聞こえてきた。]
 30:  380| [45] [ボイスチェンジャーを通したような、どこか機械的な声色だった。]
 31:  388| [47] [渡瀬]
 32:  391| [45] [「えっと……どちらさんですか？」]
 33:  399| [47] [？？]
 34:  402| [45] [「名乗るほどの者じゃない。実は君にぜひ教えたい事があってね」]
 35:  410| [47] [渡瀬]
 36:  413| [45] [「はぁ？　俺に？」]
 37:  418| [45] [詐欺か何かかと思う渡瀬に、男は淡々と話し始めた。]
 38:  426| [47] [？？]
 39:  429| [45] [「悪いが君について、調べさせてもらったよ」]
 40:  437| [47] [渡瀬]
 41:  440| [45] [「え？」]
 42:  448| [47] [？？]
 43:  451| [45] [「笠鷺渡瀬、３１歳。１５年前に遭遇した『鹿鳴市同時多発火災』で、家族を失う」]
 44:  459| [47] [？？]
 45:  462| [45] [「その後、鹿鳴市の庇護のもと、市営住宅に入居」]
 46:  470| [47] [？？]
 47:  473| [45] [「高校を出た後は消防学校に入り、その卒業後、鹿鳴市消防局に入局」]
 48:  481| [47] [？？]
 49:  484| [45] [「すぐに頭角を現し、その２年後にはレスキュー試験に合格。シリウスに入隊か……」]
 50:  492| [47] [？？]
 51:  495| [45] [「ご家族を亡くされて大変だったとは思うが、ひねくれる事もなく、まっすぐに育ったものだ」]
