  0:   53| [45] [――それはあの廃病院跡で、宇喜多から――]
  1:  103| [45] [コミュニケーターＡの死後、ラボが何を行ったかという事について、聞いた時の記憶だった。]
  2:  110| [47] [夏彦]
  3:  111| [45] [（確か前に、この記憶を見た時は――）]
  4:  116| [47] [夏彦]
  5:  117| [45] [（ラボが今も、コミュニケーターＡみたいな『怪物』を作っていると聞いて、渡瀬は怒りと憎しみを募らせたんだ）]
  6:  122| [47] [夏彦]
  7:  123| [45] [（それがきっかけで、渡瀬はテロリストになってしまった……）]
  8:  128| [47] [夏彦]
  9:  129| [45] [（でも、違うのか？　渡瀬の本当の動機は……？）]
 10:  161| [47] [渡瀬]
 11:  164| [45] [「被験体Ａはどうなったんだ！　奴はラボの中で、今も生きてるのか！？」]
 12:  172| [47] [宇喜多]
 13:  175| [45] [「いや、死んだ」]
 14:  183| [47] [渡瀬]
 15:  186| [45] [「な、に……！？」]
 16:  194| [47] [宇喜多]
 17:  197| [45] [「原因の一翼を担うＡは、ラボ内で人体実験に使われ――そして幽閉後、わずか１年で死亡した」]
 18:  205| [47] [宇喜多]
 19:  208| [45] [「恐らく無残な死に方をしたのだろう。Ａもしょせんは、鹿鳴市による悪事の被害者に過ぎないのさ」]
 20:  231| [47] [渡瀬]
 21:  234| [45] [「……っ」]
 22:  239| [45] [渡瀬の体を、虚無感が満たす。]
 23:  244| [45] [憎悪の矛先は即座に失われ――そして別の対象に向けられた。]
 24:  299| [47] [渡瀬]
 25:  302| [45] [「その後、鹿鳴市は……どうしたんだ？」]
 26:  310| [47] [渡瀬]
 27:  313| [45] [「Ａが死に、貴重な被験体を失ったラボは、それからどうしてるんだ？」]
 28:  321| [47] [宇喜多]
 29:  324| [45] [「新たな被験体を拉致しては、ＢＣの研究を続けているよ」]
 30:  332| [47] [宇喜多]
 31:  335| [45] [「この街に住むコミュニケーターたち――その中で特に優れた能力を持つ者は、ラボに幽閉され、被験体にされるのさ」]
 32:  373| [45] [――そのとき、どこかで花の香りが漂った。]
 33:  516| [47] [夏彦]
 34:  517| [45] [（ここだ！　ここの記憶を修復するんだ！）]
 35:  522| [45] [夏彦はそう思い、渡瀬の心に、コミュニケーターへの親愛の情を送り込んだ。]
 36:  703| [45] [すると、偽りの記憶が――]
 37:  753| [47] [宇喜多]
 38:  756| [45] [「そしてＡのような怪物が、１人、また１人と増えていっている」]
 39:  794| [47] [渡瀬]
 40:  797| [45] [「なんのために、そんな事を！？」]
 41:  835| [47] [宇喜多]
 42:  838| [45] [「目的の１つは、当然ながらＢＣの研究のためだ」]
 43:  876| [47] [宇喜多]
 44:  879| [45] [「そしてもう１つは……一種の生物兵器を作るためさ」]
 45:  946| [45] [――真実の記憶に差し換わった。]
 46:  970| [47] [宇喜多]
 47:  973| [45] [「ただ、ＢＣの研究をしたいがために……子供たちが犠牲になっていくんだ」]
 48:  978| [45] [それを聞いた渡瀬の心中に、同情心が湧く。]
 49:  983| [47] [渡瀬]
 50:  984| [45] [（たとえコミュニケーターだとしても、子供が犠牲になるのは……！）]
 51:  989| [45] [とても許せる事ではなかった。]
 52:  997| [47] [宇喜多]
 53: 1000| [45] [「だが誰もその事に気付かない。語る者も、暴く者もいない」]
 54: 1008| [47] [宇喜多]
 55: 1011| [45] [「真実は闇から闇に消え、隠蔽は永遠に続く」]
 56: 1019| [47] [渡瀬]
 57: 1022| [45] [「……そうか……」]
 58: 1030| [47] [渡瀬]
 59: 1033| [45] [「亘たちの仇は……鹿鳴市は……」]
 60: 1041| [47] [渡瀬]
 61: 1044| [45] [「今も１５年前と、同じ事を繰り返してるのか……！」]
 62: 1049| [45] [渡瀬の中で、憤怒の炎が燃え始めた。]
 63: 1054| [45] [裏で糸を引く、黒幕たちに対して。]
 64: 1091| [45] [――夏彦はその記憶を見終えて、思った。]
 65: 1096| [47] [夏彦]
 66: 1097| [45] [（渡瀬の憎悪は……コミュニケーターに向けられていたんじゃない？）]
 67: 1102| [47] [夏彦]
 68: 1103| [45] [（むしろそれを作り出した、鹿鳴市に向けられていたのか？）]
 69: 1108| [45] [どうやらそれが真実の記憶らしかった。]
 70: 1113| [45] [夏彦はわずかに安堵し、その記憶を離れた……。]
 71: 1140| [45] [――この記憶の修復は、終了していた。]
 72: 1146| [45] [夏彦は安堵し、その記憶を離れた……。]
 73: 1176| [47] [宇喜多]
 74: 1179| [45] [「そしてＡのような怪物が、１人、また１人と増えていっている」]
 75: 1187| [47] [渡瀬]
 76: 1190| [45] [「なんのために、そんな事を！？」]
 77: 1198| [47] [宇喜多]
 78: 1201| [45] [「目的の１つは、当然ながらＢＣの研究のためだ」]
 79: 1209| [47] [宇喜多]
 80: 1212| [45] [「そしてもう１つは……一種の生物兵器を作るためさ」]
 81: 1220| [47] [渡瀬]
 82: 1223| [45] [「生物兵器……だと！？」]
 83: 1231| [47] [宇喜多]
 84: 1234| [45] [「Ａの事例は単なる事故だが、別の視点から見ると怪物化したコミュニケーターは、面白い使い方ができる」]
 85: 1242| [47] [宇喜多]
 86: 1245| [45] [「例えば、敵国の首都に、怪物化したコミュニケーターを１人送り込む」]
 87: 1253| [47] [宇喜多]
 88: 1256| [45] [「するとどうなると思う？」]
 89: 1264| [47] [渡瀬]
 90: 1267| [45] [「その都市の住人は悪意を増幅され……治安は悪化し、街は荒廃する……？」]
 91: 1275| [47] [宇喜多]
 92: 1278| [45] [「そういう事だ。かつて鹿鳴市で起きた事を、任意に起こせるようになるんだよ」]
 93: 1286| [47] [宇喜多]
 94: 1289| [45] [「数日もそのまま放置しておけば、街中で放火や犯罪行為が蔓延し、犯罪者は跋扈し、治安は回復不能になるだろう」]
 95: 1297| [47] [宇喜多]
 96: 1300| [45] [「だが攻撃された側は、攻撃を受けた事にも気付かない」]
 97: 1308| [47] [宇喜多]
 98: 1311| [45] [「なにしろこの生物兵器のキモは、『人の心』を荒廃させるってところにあるからね」]
 99: 1319| [47] [宇喜多]
100: 1322| [45] [「国土にはダメージを与えず、国民にのみダメージを与える。まさに新時代の兵器さ」]
101: 1330| [47] [渡瀬]
102: 1333| [45] [「しかし、鹿鳴市はたかだか地方自治体じゃないか！？　なんでそんなマネを！？」]
103: 1341| [47] [宇喜多]
104: 1344| [45] [「実は鹿鳴市と懇意にしている、とある外資系企業があってね」]
105: 1352| [47] [宇喜多]
106: 1355| [45] [「表向きは製薬会社だが、その内実は武器商社。いわゆる死の商人だ」]
107: 1363| [47] [宇喜多]
108: 1366| [45] [「おおかたそこから依頼を受け、そんな禍々しい研究を行っているのだろう」]
109: 1374| [47] [宇喜多]
110: 1377| [45] [「……だが誰もその事に気付かない。語る者も、暴く者もいない」]
111: 1385| [47] [宇喜多]
112: 1388| [45] [「真実は闇から闇に消え、隠蔽は永遠に続く」]
113: 1396| [47] [渡瀬]
114: 1399| [45] [「……そうか……」]
115: 1407| [47] [渡瀬]
116: 1410| [45] [「鹿鳴市は……」]
117: 1418| [47] [渡瀬]
118: 1421| [45] [「亘たちの仇を、また作ろうとしてるのか……！」]
119: 1426| [45] [渡瀬の中で、憤怒の炎が燃え始めた。]
120: 1431| [45] [激烈な力を持つコミュニケーターたちへの恐怖が、怒りに変化する。]
121: 1479| [45] [――その記憶は、以前見たものと、何も変わっていなかった。]
122: 1484| [47] [夏彦]
123: 1485| [45] [（修復に失敗したのか……）]
124: 1490| [47] [夏彦]
125: 1491| [45] [（もっとコミュニケーターに対する好意を、強力に与えなければダメなのか？）]
126: 1496| [47] [夏彦]
127: 1497| [45] [（渡瀬がコミュニケーターだと思っている人に対しては、最大限の好意を……）]
128: 1502| [45] [夏彦はそう思いつつ、ひとまずその記憶を離れた……。]
