  0:   61| [45] [――それは渡瀬が、Ｑに入る事を決めた日の記憶だった。]
  1:   66| [45] [その時渡瀬は、宇喜多に『ラボを裏切る動機』について聞いたのだ。]
  2:   73| [47] [夏彦]
  3:   74| [45] [（……前にこの記憶を見た時は、おじさんは『自分が生き残るために』ラボを裏切ると言っていた）]
  4:   79| [47] [夏彦]
  5:   80| [45] [（でも、それが記憶改竄によるものだとしたら……おじさんの本当の動機は、なんなんだ？）]
  6:  137| [47] [宇喜多]
  7:  140| [45] [「――久しぶりだね、笠鷺さん」]
  8:  166| [47] [宇喜多]
  9:  169| [45] [「僕らの同志になる事を、決意してくれたのかな？」]
 10:  177| [47] [渡瀬]
 11:  180| [45] [「いや……その前に、１つ聞きたい事がある」]
 12:  254| [47] [宇喜多]
 13:  257| [45] [「なんだね？」]
 14:  265| [47] [渡瀬]
 15:  268| [45] [「あんたがラボを裏切る理由は？」]
 16:  276| [47] [渡瀬]
 17:  279| [45] [「納得できる理由もないのに、自分が所属している組織を裏切るような人間は、信用できない」]
 18:  284| [45] [宇喜多はその問いに、苦々しい表情を浮かべる。]
 19:  322| [45] [――そのとき、どこかで花の香りが漂った。]
 20:  465| [47] [夏彦]
 21:  466| [45] [（ここだ！　ここの記憶を修復するんだ！）]
 22:  471| [45] [夏彦はそう思い、渡瀬の心に、コミュニケーターへの親愛の情を送り込んだ。]
 23:  613| [45] [すると、偽りの記憶が――]
 24:  678| [47] [宇喜多]
 25:  681| [45] [「……ラボのやり口に、嫌気がさしただけさ」]
 26:  719| [47] [渡瀬]
 27:  722| [45] [「なに？　コミュニケーターを拉致し、人体実験をやっているのは、あんたらなんだろ？」]
 28:  775| [47] [宇喜多]
 29:  778| [45] [「いや、それはごく一部の職員――『シニアフェロー』と呼ばれる、上級研究員だけだ」]
 30:  844| [45] [――真実の記憶に差し換わった。]
 31:  887| [47] [宇喜多]
 32:  890| [45] [「……幽閉されている被験体が、かわいそうになっただけさ」]
 33:  898| [47] [渡瀬]
 34:  901| [45] [「なに？　コミュニケーターを拉致し、人体実験をやっているのは、あんたらなんだろ？」]
 35:  927| [47] [宇喜多]
 36:  930| [45] [「いや、それはごく一部の職員――『シニアフェロー』と呼ばれる、上級研究員だけだ」]
 37:  938| [47] [宇喜多]
 38:  941| [45] [「僕ら一般研究員は、ラボがＢＣの研究施設だと知っていても、被験体の存在については知らされていない」]
 39:  967| [47] [宇喜多]
 40:  970| [45] [「だが僕はふとした拍子に、それを知ってしまってね……」]
 41:  996| [47] [宇喜多]
 42:  999| [45] [「自分の職場が非人道的行為を行っているのであれば、止めたいと思ったのさ」]
 43: 1007| [47] [渡瀬]
 44: 1010| [45] [「純粋な正義感からか？」]
 45: 1036| [47] [宇喜多]
 46: 1039| [45] [「まぁそんなところだ」]
 47: 1065| [47] [宇喜多]
 48: 1068| [45] [「なにしろあのラボの職員たちは、誰一人自分の職場の異常さについて改めようとしない」]
 49: 1094| [47] [宇喜多]
 50: 1097| [45] [「他に誰もやろうとしないのなら、否が応にも正義感が湧いてくるものだろう？」]
 51: 1105| [47] [渡瀬]
 52: 1108| [45] [「いかにも人間的な理由だな。科学者らしくもない」]
 53: 1134| [47] [宇喜多]
 54: 1137| [45] [「科学者の大半は、存外に人間的なものだよ。そういう人間は、ラボの職員に向いていないというだけで」]
 55: 1163| [47] [宇喜多]
 56: 1166| [45] [「君の理由よりは、だいぶ弱いとは思うが――納得いったかい？」]
 57: 1171| [47] [渡瀬]
 58: 1172| [45] [「…………」]
 59: 1180| [47] [渡瀬]
 60: 1183| [45] [「……あぁ」]
 61: 1188| [45] [渡瀬には、宇喜多の理由が弱いなどとは思えなかった。]
 62: 1193| [45] [人権を踏みにじられ、命を脅かされている者を『救いたい』という動機はよく理解できる。]
 63: 1198| [47] [渡瀬]
 64: 1199| [45] [（亘だったら、そうするだろうしな……）]
 65: 1233| [45] [――夏彦はその記憶を見終えて、思った。]
 66: 1238| [47] [夏彦]
 67: 1239| [45] [（おじさんの動機は、自分の命を護るためなんかじゃなくて……）]
 68: 1320| [47] [夏彦]
 69: 1321| [45] [（悠里たちを、救うためだったのか！？）]
 70: 1335| [45] [だがそう考えると、どことなく宇喜多の態度が甘かった理由がわかる。]
 71: 1367| [47] [夏彦]
 72: 1368| [45] [（おじさんは、渡瀬を悪の道に引きずり込んだ人じゃなくて……自分の身を危険にさらしてでも、正義を貫く人だったって事か……）]
 73: 1432| [45] [夏彦はそう信じつつも、その記憶を離れた。]
 74: 1459| [45] [――この記憶の修復は、終了していた。]
 75: 1465| [45] [夏彦は安堵し、その記憶を離れた……。]
 76: 1513| [47] [宇喜多]
