  0:   53| [45] [――夏彦は再び、あの悪意渦巻く記憶に飛び込んだ。]
  1:  104| [45] [それはほんの数時間前。]
  2:  109| [45] [夏彦と渡瀬が対峙した時の記憶だった。]
  3:  206| [45] [――渡瀬は『コミュニケーター』の襟首を締めながら、搾り出すように言った。]
  4:  214| [47] [渡瀬]
  5:  217| [45] [「なぁおい、コミュニケーター……お前が知らなくても、俺にはお前らを憎む理由があるんだ」]
  6:  225| [47] [渡瀬]
  7:  228| [45] [「お前に大事なオトモダチがいるように、俺にも誰より大切な奴がいたんだよ」]
  8:  254| [47] [夏彦]
  9:  257| [45] [「なっ……なんの、話を、してる……！？」]
 10:  262| [45] [コミュニケーターが戸惑うように言うのを聞き、渡瀬は泣きそうな気持ちになった。]
 11:  267| [45] [亘の命を奪ったこの怪物は、彼女の事を知りもしないのだ。]
 12:  275| [47] [渡瀬]
 13:  278| [45] [「わからないか？　わからないよな。１１８人の中の、たった１人に過ぎないからな」]
 14:  286| [47] [渡瀬]
 15:  289| [45] [「だけどそいつは、俺の半身だった。鏡に映したもう１人の俺だった」]
 16:  297| [47] [渡瀬]
 17:  300| [45] [「弱っちいけど一生懸命で、バカだけど優しくて、俺にとっちゃ光そのものだったんだ」]
 18:  308| [47] [渡瀬]
 19:  311| [45] [「でもあいつは死んじまった。残ったのは薄暗い影だけ」]
 20:  319| [47] [渡瀬]
 21:  322| [45] [「……それが俺だ。笠鷺渡瀬だ」]
 22:  330| [47] [渡瀬]
 23:  333| [45] [「この名を耳に焼き付けろ。脳に刻み込め。お前が死ぬその瞬間まで、何度でも思い返せ！！」]
 24:  338| [45] [渡瀬の悲痛な叫びが、狭い部屋の中に響いた。]
 25:  360| [45] [――夏彦はこの記憶を見て、やりきれない気持ちになった。]
 26:  365| [45] [この記憶には、改竄の痕跡がない。]
 27:  370| [45] [これは事実なのだ。渡瀬が夏彦に告げた言葉なのだ。]
 28:  375| [47] [渡瀬]
 29:  376| [45] [（この記憶を修正する事はできない……そんな事をしても、仕方がないんだ……）]
 30:  381| [45] [夏彦は苦しい気持ちを抑え、その記憶を見続けた。]
 31:  494| [47] [渡瀬]
 32:  497| [45] [「――簡単に殺してもらえると思うなよ」]
 33:  505| [47] [渡瀬]
 34:  508| [45] [「さぁ逃げろ逃げろ、コミュニケーター」]
 35:  516| [47] [渡瀬]
 36:  519| [45] [「俺たちも逃げたんだ、あの夜の病院でな」]
 37:  524| [45] [渡瀬は逃げていくコミュニケーターの背に、そう言い放った。]
 38:  532| [47] [夏彦]
 39:  535| [45] [「……ちくしょう……！」]
