  0:  139| [55] [√Double Chapter 3]
  1:  151| [45] [--Once he and Natsuhiko had formed their pact to team up--]
  2:  223| [45] [Watase first retrieved his gun from Natsuhiko.]
  3:  228| [45] [He figured he'd need a weapon for self-defense since he didn't known what dangers were lurking out there.]
  4:  242| [45] [Natsuhiko had been a bit reluctant, but he ultimately complied.]
  5:  336| [45] [Watase then addressed the two kids before he left them in the shelter.]
  6:  344| [47] [Watase]
  7:  347| [45] ["Just to reiterate, you guys mustn't leave here at all."]
  8:  355| [47] [Watase]
  9:  358| [45] ["We don't know for sure who's been infected with malice, so we don't know what thoughts are driving them either. Consider everyone except me to be an enemy."]
 10:  384| [47] [Natsuhiko]
 11:  387| [45] ["... Yeah, I know."]
 12:  413| [47] [Natsuhiko]
 13:  416| [45] ["The shelter door only opens if you punch in the password from the inside. And we're not gonna be dumb enough to do that unless you call for us."]
 14:  421| [45] [--Natsuhiko was no longer speaking formally with Watase.]
 15:  426| [47] [Watase]
 16:  427| [45] [(... Well, I guess this is just how he normally talks to people.)]
 17:  432| [45] [Besides, it would have been weird for him to treat Watase with respect when he's the terrorist who attacked Yuuri and shot him and Mashiro.]
 18:  437| [45] [It felt odd to Watase having kids their age treat him like an equal, but this way probably fit Watase and Natsuhiko's relationship better anyway.]
 19:  463| [47] [Natsuhiko]
 20:  466| [45] ["... Okay, I'll be counting on you, Watase. Make sure you keep your promise with Yuuri."]
 21:  474| [47] [Watase]
 22:  477| [45] ["Of course. Okay then, I'm off now. Take care of Yuuri."]
 23:  533| [45] [Watase was about to run past the steel door when he heard a voice call out to him from behind.]
 24:  565| [47] [Yuuri]
 25:  568| [45] ["Um, Captain Kasasagi."]
 26:  576| [47] [Watase]
 27:  579| [45] ["Hmm?"]
 28:  605| [47] [Yuuri]
 29:  608| [45] ["... Please be careful, okay?"]
 30:  616| [47] [Watase]
 31:  619| [45] ["... Yeah."]
 32:  669| [45] [Watase gave a wry smile and left the shelter.]
 33:  726| [45] [He thought back to the conversation he'd had with Natsuhiko earlier as he walked with extreme caution.]
 34:  731| [47] [Watase]
 35:  732| [45] [(Keep your promise, huh...)]
 36:  737| [45] [It went without saying that Watase intended to do so.]
 37:  742| [45] [He never planned on getting others involved with this terrorist plot to begin with.]
 38:  747| [45] [Since he was the one who inadvertently dragged everyone into this mess, he had a responsibility to get them out of the facility safely.]
