  0:   64| [45] [――そして時は過ぎ、今から２年前のこと――]
  1:   78| [45] [その日、宇喜多は特別な許可を得て、天川博士と共にＮエリアに足を踏み入れていた。]
  2:  152| [47] [宇喜多]
  3:  155| [45] [「これが、ＷＸ粒子増幅器……！」]
  4:  160| [45] [巨大なホールにそびえ立つ６つの塔に、宇喜多は圧倒された。]
  5:  196| [47] [美夜子]
  6:  199| [45] [「どう？　実物を見た感想は？」]
  7:  207| [47] [宇喜多]
  8:  210| [45] [「話には聞いていましたが……これは、ラボが総力を挙げて開発しただけありますね」]
  9:  236| [47] [美夜子]
 10:  239| [45] [「そうね。でも、まだまだ不安定な面が多いのよ」]
 11:  265| [47] [美夜子]
 12:  268| [45] [「だから宇喜多さんには主に、ＷＸ粒子増幅器のオペレーションを担当してもらう事になるわ」]
 13:  276| [47] [美夜子]
 14:  279| [45] [「もっとも作業のほとんどはシステム制御室で行う事になるから、あなたがここに来る機会はもうないでしょうけど」]
 15:  287| [47] [宇喜多]
 16:  290| [45] [「そうですか……ところで天川博士、あの中央の円柱は何なのでしょうか？」]
 17:  316| [47] [美夜子]
 18:  319| [45] [「ごめんなさい。あれについて知る事ができるのは『シニアフェロー』以上の人間だけなのよ」]
 19:  327| [47] [宇喜多]
 20:  330| [45] [「それは最高機密に関わるもの……という事ですか？」]
 21:  356| [47] [美夜子]
 22:  359| [45] [「えぇ。でも宇喜多さん、詮索はそこまでにしておくことね」]
 23:  364| [45] [そう口にした天川博士の眼が、ほんの少し鋭くなる。]
 24:  372| [47] [美夜子]
 25:  375| [45] [「『好奇心は猫を殺す』。ジュニアフェローの人間は、この言葉を覚えておいた方がいいわ」]
 26:  383| [47] [美夜子]
 27:  386| [45] [「脅したくはないけど、国家が運営に絡む研究施設を甘く見ない方が身のためよ。余計なトラブルはごめんでしょう？」]
 28:  394| [47] [宇喜多]
 29:  397| [45] [「わ、わかりました。肝に銘じておきます」]
 30:  423| [47] [美夜子]
 31:  426| [45] [「まあ、それはさておき……宇喜多さん、実はもう１つ頼みたい仕事があるんだけど」]
 32:  434| [47] [宇喜多]
 33:  437| [45] [「何かのデータの検証でしょうか？」]
 34:  463| [47] [美夜子]
 35:  466| [45] [「いいえ。研究員としての業務ではなくて、私の息子の監視員になってほしいのよ」]
 36:  474| [47] [宇喜多]
 37:  477| [45] [「監視員……と申しますと？」]
 38:  503| [47] [美夜子]
 39:  506| [45] [「実は私の息子・夏彦は、ＩＧＦ２Ｒ遺伝子異常タイプＳなの」]
 40:  514| [47] [宇喜多]
 41:  517| [45] [「タイプＳ！？　それは――！」]
 42:  543| [47] [美夜子]
 43:  546| [45] [「ええ。出生率３０００万分の１とも言われる、極めて稀少な存在よ」]
 44:  572| [47] [美夜子]
 45:  575| [45] [「でも夏彦は、まだ１度もＢＣ能力を発現させた事がないわ」]
 46:  583| [47] [美夜子]
 47:  586| [45] [「ラボとしてはこれを看過できず、夏彦を監視対象にしているんだけど」]
 48:  612| [47] [美夜子]
 49:  615| [45] [「先日、お向かいに住んでいた監視員の方が退職してしまって、それでお隣に住んでいる宇喜多さんに――」]
 50:  623| [47] [宇喜多]
 51:  626| [45] [「――ちょっと待って下さい。僕の家は、天川博士の隣だったのですか？」]
 52:  652| [47] [美夜子]
 53:  655| [45] [「あら？　知らなかったかしら？」]
 54:  663| [47] [宇喜多]
 55:  666| [45] [「はあ、近所で１度もお会いした事がなかったものですから……」]
 56:  692| [47] [美夜子]
 57:  695| [45] [「確かにそんな機会はなかったかもしれないわね。私、ほとんどこのラボで寝泊りしているから」]
 58:  721| [47] [美夜子]
 59:  724| [45] [「それで……お願いできるかしら？　監視員」]
 60:  732| [47] [美夜子]
 61:  735| [45] [「ＢＣ能力が発現しているかどうかと、あとは息子の日常を少しでも報告してくれればいいのだけれど」]
 62:  740| [45] [恐ろしく多忙な天川博士の事だ。息子に会う機会すら、ろくに取れていないに違いない。]
 63:  748| [47] [宇喜多]
 64:  751| [45] [「わかりました。その話、お引き受け致します」]
 65:  856| [45] [監視任務の報告書は、宇喜多自身も多忙なため、月に１度程度になった。]
 66:  861| [45] [夏彦には『特別監視対象ナ２号』という、ものものしい識別名が振られていた。]
 67:  905| [45] [――特監対象ナ２号　第６６次定期報告書――]
 68:  909| [85] [　]
 69:  912| [45] [監視員：宇喜多佳司]
 70:  915| [45] [日時　：２０２８年５月３日]
 71:  918| [45] [場所　：ナ２号宅前にて]
 72:  922| [85] [　]
 73:  925| [45] [状況　：出勤時、ナ２号と初めて朝の挨拶を交わす。]
 74:  928| [45] [礼儀正しい少年という印象を受ける。]
 75:  932| [85] [　]
 76:  935| [45] [報告　：ＢＣ能力の発現は見られず]
 77:  951| [45] [――特監対象ナ２号　第６８次定期報告書――]
 78:  955| [85] [　]
 79:  958| [45] [監視員：宇喜多佳司]
 80:  961| [45] [日時　：２０２８年７月６日]
 81:  964| [45] [場所　：ナ２号宅前にて]
 82:  968| [85] [　]
 83:  971| [45] [状況　：ナ２号と友人Ｍが、玄関先に笹飾りを飾っていた。]
 84:  974| [45] [ナ２号の願い事は『いつまでも３人仲良く』。]
 85:  977| [45] [室内にもう１人友人がいるという話だが、]
 86:  980| [45] [その姿を確認する事は出来なかった。]
 87:  983| [45] [なおこの時、ナ２号より天川博士の様子を尋ねられ、]
 88:  986| [45] [『仕事を頑張っている』と返答。]
 89:  989| [45] [あまり良い反応を示さなかったが、愛情の裏返しと思われる。]
 90:  992| [85] [　]
 91:  995| [45] [報告　：ＢＣ能力の発現は見られず]
 92: 1024| [45] [夏彦の日常を記述しながら、宇喜多はふと思う。]
 93: 1105| [47] [宇喜多]
 94: 1106| [45] [（しかし鳥羽くんは、いつも夏彦くんと一緒にいるな）]
 95: 1111| [47] [宇喜多]
 96: 1112| [45] [（ということは、もしや鳥羽くんは夏彦くんの事を……？）]
 97: 1176| [45] [そんな想像を膨らませ、宇喜多は微笑んだ。]
 98: 1181| [45] [だが現実を思い出し、すぐに表情を改める。]
 99: 1186| [45] [鳥羽ましろがＩＧＦ２Ｒ遺伝子異常タイプＢである事は、すでに天川博士から聞かされていた。]
100: 1191| [45] [ＩＧＦ２Ｒ遺伝子が変異している者は、短命の宿命を背負う。]
101: 1196| [45] [調べたところによると、タイプＢ以上のコミュニケーターの平均寿命は、およそ３３年だ。]
102: 1201| [45] [ちょうど宇喜多も、今年で３３歳になる。]
103: 1206| [45] [夏彦やましろが、今の自分の年齢まで生きられないかもしれないと思うと、胸が締め付けられる思いがした。]
104: 1211| [47] [宇喜多]
105: 1212| [45] [（……護ってあげたいものだな。彼らの未来を）]
106: 1293| [45] [天川博士と出会わなければ、宇喜多がそんな風に考えることはなかっただろう。]
107: 1298| [45] [そしてタイプＳの息子を持つ彼女ならば、コミュニケーターを救いたいという思いはもっと強いはずだった。]
108: 1303| [47] [宇喜多]
109: 1304| [45] [（しかし……もし特別監視対象の夏彦くんがＢＣ能力を発現させたら、天川博士はどうなさるおつもりなんだ？）]
110: 1309| [47] [宇喜多]
111: 1310| [45] [（いや、よく考えてみたら特別監視対象が何のために存在するのかも、僕は聞かされていなかったな）]
112: 1315| [47] [宇喜多]
113: 1316| [45] [（夏彦くんが『ナ２号』という事は、おそらくそれ以前に『ナ号』も存在したという事だが……）]
114: 1338| [45] [宇喜多はふと思いついて、ネットワークに監視員権限でアクセスし、『ナ号』でキーワード検索をかけてみた。]
115: 1344| [45] [だが何も出ない。何らかの理由で、削除でもされたのだろうか。]
116: 1355| [45] [そこでさらに、『特別監視対象』で検索をかけてみると――]
117: 1361| [47] [宇喜多]
118: 1362| [45] [（これは……『特別監視対象の対応について』？）]
119: 1367| [45] [宇喜多はその文書ファイルを開いてみた。]
120: 1405| [45] [＜特別監視対象の対応についての提案書＞]
121: 1408| [85] [　]
122: 1411| [45] [　　　　　　　　　　　　　　　　　　２０２０年８月１日]
123: 1415| [85] [　%N]
124: 1418| [45] [特別監視対象についての対応について、提案を以下にまとめる。監視員並びにＺｅｒｏエリア担当管理員は、]
125: 1424| [45] [この件について熟慮して頂きたく思う。]
126: 1428| [85] [　]
127: 1431| [45] [まず特別監視対象の幽閉処置について、新たな検討基準を定めたい。]
128: 1434| [45] [これまでは『能力レベル４以上に達した時、幽閉処置を検討する』とされていた。]
129: 1444| [85] [　]
130: 1447| [45] [しかし、これは検討基準がやや甘いように思う。]
131: 1451| [85] [　%N　%N]
132: 1454| [45] [ＩＧＦ２Ｒ遺伝子異常レベルＳのコミュニケーターは、]
133: 1457| [45] [通常の理に当てはまらない能力を発現する事も多々ある。]
134: 1461| [85] [　]
135: 1464| [45] [そこで当ラボでは、既存の基準に加え、独自の基準を採用したく思う。]
136: 1471| [85] [　]
137: 1474| [45] [○特別監視対象は能力レベルに関わらず、特異なＢＣ能力を発現した時、幽閉処置を検討する。]
138: 1480| [45] [　（超長距離テレパシーを発現した場合や、短期間での能力レベルの大幅上昇などが認められた場合も、これに含まれる）]
139: 1490| [85] [　%N　%N]
140: 1493| [45] [上記の基準に、特別監視対象が該当した場合は、]
141: 1496| [45] [ただちに幽閉処置を検討する。]
142: 1500| [85] [　]
143: 1503| [45] [状況に応じ、迅速かつ適切な準備を進め、折を見てラボへ移送。]
144: 1506| [45] [以後、被験体として、Ｚｅｒｏエリアに収監する。]
145: 1510| [85] [　]
146: 1513| [45] [なおラボ内で生まれた被験体については、]
147: 1516| [45] [特例（何らかの状況変化・法律改正等）がない限り、恒久的に幽閉するものとする。]
148: 1523| [85] [　%N　%N]
149: 1526| [45] [また現状すでに幽閉されている被験体を、]
