  0:   65| [45] [――その記憶は、宇喜多たちが３人の死体を見るところから始まった。]
  1:  109| [47] [３人]
  2:  112| [45] [「きゃあああああ！！」]
  3:  118| [45] [部屋の奥で、死んでいたのは堂島だった。]
  4:  124| [45] [おまけに渡瀬たちが脱出のために用意した、削岩機まで壊れている。]
  5:  129| [47] [宇喜多]
  6:  130| [45] [（僕が気を失っている間に、このラボで何が起こったんだ！？）]
  7:  182| [45] [宇喜多たちが部屋の外に出ると、すぐに別行動を取っていた渡瀬たちが駆けつけて来る。]
  8:  187| [45] [そしてレスキュー隊の３人で部屋に入り――]
  9:  261| [45] [渡瀬が部屋から出て来たとたん、宇喜多は思わず彼に掴みかかっていた。]
 10:  269| [47] [宇喜多]
 11:  272| [45] [「おい、隊長さん！　一体ここで何があったんだ！？」]
 12:  298| [47] [渡瀬]
 13:  301| [45] [「なっ！？」]
 14:  345| [47] [宇喜多]
 15:  348| [45] [「３人も殺され、削岩機まで壊されて……！」]
 16:  392| [47] [宇喜多]
 17:  395| [45] [「君が何か知ってるんじゃないのか！？　言え、言うんだ！」]
 18:  544| [45] [削岩機が壊されたという事は、想定していたパイプからの脱出ができなくなったという事だ。]
 19:  549| [45] [渡瀬たちが別の脱出口を用意していたのか、それとも１８時１６分に隔壁が開くのを待って脱出するつもりなのか――]
 20:  554| [47] [宇喜多]
 21:  555| [45] [（だいたい削岩機が壊れたのは、ただの偶然なのか！？）]
 22:  560| [47] [宇喜多]
 23:  561| [45] [（誰かが何らかの意図を持って、壊したんじゃないのか！？）]
 24:  576| [45] [宇喜多はそう思い、渡瀬を睨みつける。]
 25:  927| [47] [渡瀬]
 26:  930| [45] [「そ、そんなこと……！　オレにわかるわけ、ない、だろ……」]
 27:  943| [47] [宇喜多]
 28:  946| [45] [「だったら君以外に、誰がわかると言うんだね！」]
 29: 1024| [47] [恵那]
 30: 1027| [45] [「ちょっと待ちなさいよ、宇喜多さん。それはどういう意味？」]
 31: 1080| [47] [恵那]
 32: 1083| [45] [「どうして『隊長さん以外にはわからない』なんて言えるの？」]
 33: 1096| [47] [恵那]
 34: 1099| [45] [「逆にあなたこそ、何か知っているみたいに見えるわ」]
 35: 1166| [45] [――その偽りの記憶を、夏彦は修正した。]
 36: 1511| [45] [――渡瀬はぎろりと、宇喜多を睨みつけた。]
 37: 1539| [47] [渡瀬]
 38: 1542| [45] [「あ？」]
 39: 1595| [47] [宇喜多]
 40: 1598| [45] [「っ……」]
 41: 1626| [47] [渡瀬]
 42: 1629| [45] [「俺が知るかよ。っていうか何パニクってんだおっさん？」]
 43: 1667| [47] [渡瀬]
 44: 1670| [45] [「こっちは仲間を失って、気落ちしてるんだぜ」]
 45: 1698| [47] [渡瀬]
 46: 1701| [45] [「それなのになんだ？　人の襟首つかまえて」]
 47: 1768| [45] [――その偽りの記憶を、夏彦は修正した。]
 48: 1823| [47] [渡瀬]
 49: 1826| [45] [「そ、そんなこと……！　オレにわかるわけ、ない、だろ……」]
 50: 1831| [47] [宇喜多]
 51: 1832| [45] [（――だったら君以外に、誰がわかると言うんだね！）]
 52: 1837| [45] [だがそう叫ぼうとしたところで、宇喜多は被験体ＹⅡに止められた。]
 53: 1870| [47] [悠里]
 54: 1873| [45] [「あ、暴れたりしないで……！　人がそこで、し、死んでいるんでしょう……？」]
 55: 1899| [47] [悠里]
 56: 1902| [45] [「もしまた、そんな事が起きたら……！」]
 57: 1912| [47] [宇喜多]
 58: 1915| [45] [「あ……す、すまない……」]
 59: 1923| [47] [宇喜多]
 60: 1926| [45] [「僕としたことが……取り乱してしまって……」]
 61: 2015| [45] [そして宇喜多は自分に言い聞かせる。]
 62: 2020| [47] [宇喜多]
 63: 2021| [45] [（そうだ、落ち着け……落ち着いて、状況を見極めるんだ……！）]
 64: 2028| [45] [状況が一向に見えてこないまま、ラボの捜索は続く……。]
 65: 2109| [47] [渡瀬]
 66: 2112| [45] [「そ、そんなこと……！　オレにわかるわけ、ない、だろ……」]
 67: 2120| [47] [宇喜多]
 68: 2123| [45] [「だったら君以外に、誰がわかると言うんだね！」]
 69: 2128| [45] [宇喜多がそう言った時――恵那が、口を挟んできた。]
 70: 2161| [47] [恵那]
 71: 2164| [45] [「ちょっと待ちなさいよ、宇喜多さん。それはどういう意味？」]
 72: 2172| [47] [宇喜多]
 73: 2175| [45] [「え？」]
 74: 2201| [47] [恵那]
 75: 2204| [45] [「どうして『隊長さん以外にはわからない』なんて言えるの？」]
 76: 2230| [47] [恵那]
 77: 2233| [45] [「逆にあなたこそ、何か知っているみたいに見えるわ」]
 78: 2266| [47] [悠里]
 79: 2269| [45] [「……そうですね……そんな気がします」]
 80: 2274| [45] [見ると被験体ＹⅡまでもが、疑わしげに宇喜多の顔を見つめている。]
 81: 2299| [47] [宇喜多]
 82: 2302| [45] [「なっ――違う！　違うんだ、ユウリくん！」]
 83: 2326| [45] [宇喜多は慌てて、渡瀬から手を離していた。]
 84: 2419| [45] [被験体ＹⅡに疑われる――。]
 85: 2424| [45] [それは被験体を助けたいと思っている宇喜多にとって、耐え難い事だった。]
 86: 2429| [47] [宇喜多]
 87: 2430| [45] [（くそ……なぜ僕が、被験体ＹⅡに疑われなければならないんだ……！）]
 88: 2565| [45] [状況が一向に見えてこないまま、ラボの捜索は続く……。]
 89: 2639| [45] [だが渡瀬は、ぎろりと宇喜多を睨み返した。]
 90: 2647| [47] [渡瀬]
 91: 2650| [45] [「あ？」]
 92: 2673| [47] [宇喜多]
 93: 2676| [45] [「っ……」]
 94: 2702| [47] [渡瀬]
 95: 2705| [45] [「俺が知るかよ。っていうか何パニクってんだおっさん？」]
 96: 2713| [47] [渡瀬]
 97: 2716| [45] [「こっちは仲間を失って、気落ちしてるんだぜ」]
 98: 2742| [47] [渡瀬]
 99: 2745| [45] [「それなのになんだ？　人の襟首つかまえて」]
100: 2753| [47] [宇喜多]
101: 2756| [45] [「い、いや、それは……」]
102: 2782| [47] [渡瀬]
103: 2785| [45] [「まぁいいや、とりあえず手ェ離せや」]
104: 2837| [45] [渡瀬に凄まれ、宇喜多は思わず手を離した。]
105: 2863| [47] [渡瀬]
106: 2866| [45] [「やれやれ……しかし大変な事になっちまったな」]
107: 2899| [47] [風見]
108: 2902| [45] [「えぇ、まさか堂島が……」]
109: 2907| [45] [渡瀬はもう宇喜多には目もくれず、風見たちと死体の事を話し始めた。]
110: 3040| [45] [その背後で、宇喜多は――内心、震え上がっていた。]
111: 3087| [47] [宇喜多]
112: 3088| [45] [（い、いま、あいつの……本性が一瞬、見えたような……！）]
113: 3093| [45] [確かに宇喜多にも非があったが、その変貌ぶりはただ事ではなかった気がする。]
114: 3126| [45] [……急に渡瀬が、恐ろしくなってきた。]
115: 3131| [45] [いや、考えてみれば、元々恐ろしい相手ではあったのだ。]
116: 3136| [45] [獣のような筋肉と体躯。]
117: 3141| [45] [あの豪腕で殴られたら、枯れ木のような宇喜多の体は、ひとたまりもないだろう。]
118: 3193| [47] [宇喜多]
119: 3194| [45] [（堂島隊員は、全身の骨を折られて殺されていた……彼だって屈強なレスキュー隊員だというのに）]
120: 3199| [47] [宇喜多]
121: 3200| [45] [（あんな事ができるのは……隊長さんしかいないんじゃないのか？）]
122: 3217| [45] [その疑惑が胸に募る。]
123: 3224| [45] [宇喜多は恐怖を抑えながら、ともかく捜索を続ける事にした……。]
124: 3273| [45] [――その記憶を見終えた夏彦は、思った。]
125: 3278| [47] [夏彦]
126: 3279| [45] [（……これでいいのかな？　確かに少し修復できた感じはするけど……）]
127: 3284| [47] [夏彦]
128: 3285| [45] [（渡瀬以外の人にも、好意的な感情を、もっと注ぎ込むべきかな……）]
129: 3319| [45] [――その記憶を見終えた夏彦は、思った。]
130: 3324| [47] [夏彦]
131: 3325| [45] [（い、今の記憶は……明らかに変だったぞ？）]
132: 3330| [47] [夏彦]
133: 3331| [45] [（くそ、もっと渡瀬に対する好意的な感情を注ぎ込まなきゃダメか？）]
