  0:   63| [45] [――その記憶は、宇喜多たちがガスの中を潜り抜け――]
  1:   68| [45] [エンジンルームに辿り着いた時の記憶だった。]
  2:   97| [45] [消火システムを正常に作動させようと、宇喜多は渡瀬と共に部屋の奥へと向かっていた。]
  3:  102| [45] [もし渡瀬の記憶喪失が他のメンバーをあざむくための演技なら、そろそろ正体を明かしても良い頃合だろう。]
  4:  107| [45] [宇喜多はそう思いながら、あえて本来の渡瀬が知っている知識を口にした。]
  5:  123| [47] [宇喜多]
  6:  126| [45] [「……確かあの大きなタンクが、消火剤の詰まっているタンクだ。水や窒素ガスなども詰まっている」]
  7:  247| [47] [渡瀬]
  8:  250| [45] [「窒素ガス？」]
  9:  255| [45] [渡瀬から返ってきたのは、何のてらいもない声だった。]
 10:  260| [47] [宇喜多]
 11:  261| [45] [（まさか……本当に記憶喪失だというのか？）]
 12:  266| [45] [念のため、宇喜多は渡瀬に質問した。]
 13:  274| [47] [宇喜多]
 14:  277| [45] [「何も覚えていないのかね？　君が地下に降りてきた理由も、救助すべき人の名も」]
 15:  628| [47] [渡瀬]
 16:  631| [45] [「あぁ、まぁ……」]
 17:  669| [47] [宇喜多]
 18:  672| [45] [「本当かね？」]
 19:  725| [47] [渡瀬]
 20:  728| [45] [「なあ、おっさん。あんたまだ、俺が記憶喪失かどうか疑ってるんじゃないだろうな？」]
 21:  795| [45] [――その偽りの記憶を、夏彦は修正した。]
 22: 1063| [47] [渡瀬]
 23: 1066| [45] [「まぁな」]
 24: 1079| [47] [宇喜多]
 25: 1082| [45] [「本当かね……？」]
 26: 1135| [47] [渡瀬]
 27: 1138| [45] [「おっさんよ、なんだその質問？」]
 28: 1151| [47] [宇喜多]
 29: 1154| [45] [「え？」]
 30: 1207| [47] [渡瀬]
 31: 1210| [45] [「まるで腹を探るみてぇじゃねぇかよ……なんか言いたい事でもあんのか？」]
 32: 1277| [45] [――その偽りの記憶を、夏彦は修正した。]
 33: 1369| [47] [渡瀬]
 34: 1372| [45] [「あぁ……橘が言うには、時間と共に記憶が戻ってくるらしいが、なかなかな……」]
 35: 1377| [45] [その口ぶりには、不審な点は見受けられなかった。]
 36: 1449| [47] [宇喜多]
 37: 1450| [45] [（隊長さんの言葉を信じるなら、どうやら橘さんたちも、彼の記憶喪失を疑ってないらしいな……）]
 38: 1455| [47] [宇喜多]
 39: 1456| [45] [（隊長さんの言動に不審点があれば、橘さんたちが気付くはずだ）]
 40: 1461| [47] [宇喜多]
 41: 1462| [45] [（という事は、どうやら隊長さんは本当に……！？）]
 42: 1467| [45] [そこまで考えて、宇喜多はようやく渡瀬の記憶喪失を確信した。]
 43: 1472| [47] [宇喜多]
 44: 1473| [45] [（だが、どうして隊長さんは記憶喪失になったんだ！？　まさか、誰かに頭を殴られて！？）]
 45: 1478| [47] [宇喜多]
 46: 1479| [45] [（だとすると、隊長さんを殴った可能性があるのは――）]
 47: 1484| [45] [思いつくのは唯１人。]
 48: 1539| [47] [宇喜多]
 49: 1540| [45] [（――この場にいない、『桧山隊員』が全ての元凶なのか！？）]
 50: 1545| [45] [その結論に辿り着き、宇喜多の心は震撼した。]
 51: 1550| [45] [もし桧山がＱから別命を受けていたのだとしたら――！]
 52: 1615| [45] [宇喜多は桧山に連れ去られた被験体Ｎの無事を、祈らずにはいられなかった。]
 53: 1665| [45] [ともかく無事に消火システムを作動させ、宇喜多らはラボの捜索を再開した。]
 54: 1670| [45] [そして第４エリア外周棟の、地下２階に辿り着いた時――]
 55: 1781| [47] [渡瀬]
 56: 1784| [45] [「あぁ、まぁ……」]
 57: 1792| [47] [宇喜多]
