  0:   59| [45] [そして夏彦は辿り着いた。]
  1:   64| [45] [宇喜多が被験体Ｎの悪意に感染したと思われる、その記憶の直前に。]
  2:   93| [47] [悠里]
  3:   96| [45] [《ひこりん、気をつけて。この先には、Ｎちゃんが……》]
  4:  104| [47] [夏彦]
  5:  107| [45] [「ああ、わかっている。今度は渡瀬の時のように、ぼくまで侵食されないように注意するよ」]
  6:  159| [45] [夏彦は気を引き締めると、宇喜多の記憶を覗き込んだ。]
  7:  222| [45] [――記憶は、宇喜多が被験体Ｎの死体を見ているところから始まった。]
  8:  227| [47] [夏彦]
  9:  228| [45] [（やっぱりだ……この時、おじさんは悪意に感染したんだ）]
 10:  235| [45] [だが夏彦は、違和感を覚えた。]
 11:  240| [45] [……静か過ぎる。]
 12:  303| [45] [不思議に思って周囲を見回すと、そこには宇喜多しかいなかった。]
 13:  308| [47] [夏彦]
 14:  309| [45] [（あれ！？　この時は、他のみんなも一緒にいたはずなのに！？）]
 15:  314| [45] [いや、おかしいのはそれだけではない。]
 16:  319| [45] [夏彦が自分の意思で、『周囲を見回せた』という事は――]
 17:  324| [47] [夏彦]
 18:  325| [45] [（これは、おじさんの記憶じゃない！）]
 19:  330| [47] [夏彦]
 20:  331| [45] [（渡瀬の時と同じく――！）]
 21:  336| [45] [そう思った時、すぐそばで声がした。]
 22:  344| [47] [？？]
 23:  347| [45] [「どうやら気付いたようだね？　これが通常の記憶ではないという事に」]
 24:  424| [47] [夏彦]
 25:  427| [45] [「っ！？」]
 26:  432| [45] [驚く夏彦の目の前で、被験体Ｎの死体が――]
 27:  437| [45] [むくりと、起き上がった。]
 28:  509| [47] [夏彦]
 29:  512| [45] [「被験体Ｎ……！」]
 30:  520| [47] [被験体Ｎ]
 31:  523| [45] [「いいや、違う。僕は被験体Ｎではない」]
 32:  531| [47] [被験体Ｎ]
 33:  534| [45] [「かといってむろん、宇喜多佳司本人とも違うがね」]
 34:  539| [45] [今回の彼女は、渡瀬の中で会った『被験体Ｎ』の魂とは、だいぶ様子が違っていた。]
 35:  544| [45] [前回の彼女の口調や性格が、渡瀬の影響を強く受けていたように、今回は宇喜多の影響を受けているのだろう。]
 36:  549| [45] [そう思いつつ、問いを返す。]
 37:  557| [47] [夏彦]
 38:  560| [45] [「じゃあなんなんだ？　悪意の権化か？」]
 39:  672| [47] [被験体Ｎ]
 40:  675| [45] [「いや、もっと端的に言えば――」]
 41:  701| [47] [被験体Ｎ]
 42:  704| [45] [「僕は、『ＢＣ粒子』さ」]
 43:  712| [47] [夏彦]
 44:  715| [45] [「なに……？」]
 45:  720| [45] [彼女は冷笑を浮かべ、夏彦を見据えた。]
 46:  746| [47] [被験体Ｎ]
 47:  749| [45] [「君は、『情報力場仮説』というものを知っているかね？」]
 48:  757| [47] [夏彦]
 49:  760| [45] [「は？　いや、知らないけど……」]
 50:  786| [47] [被験体Ｎ]
 51:  789| [45] [「なんだ、君は親不孝者だな」]
 52:  815| [47] [被験体Ｎ]
 53:  818| [45] [「『情報力場仮説』とは、君のご母堂、天川美夜子博士が１６年前に著した論文だよ」]
 54:  826| [47] [夏彦]
 55:  829| [45] [「あ……」]
 56:  834| [45] [そう言えば、渡瀬と心を繋いでいた頃、資料室でそんな本を見た。]
 57:  920| [45] [『情報力場仮説入門』]
 58:  923| [85] [　]
 59:  926| [45] [＜序文＞]
 60:  929| [45] [現代物理学においては、]
 61:  932| [45] [自然を形作っている現象を、４種類の力で全て説明できる。]
 62:  936| [45] [しかし、宇宙の加速膨張など、４つの力だけでは説明のつかない現象がある。]
 63:  943| [85] [　%N]
 64:  946| [45] [近年の高精度の観測により、膨張速度が時間とともに加速していることは明白であった。]
 65:  953| [45] [そこで、ダークエネルギーという未知のエネルギー（重力に対する斥力）を仮定する考え方がある。]
 66:  960| [45] [仮にダークエネルギーが存在するとしたら、それは何なのか？]
 67:  964| [45] [様々な説が考え出されたが、]
 68:  967| [45] [それらは全て推測の域を出ていなかった。]
 69:  971| [85] [　%N]
 70:  974| [45] [そこで私は素粒子物理学者としての観点から、]
 71:  977| [45] [その力を探り続け、そして１つの仮説を立てた。]
 72:  981| [45] [それは『情報』であると。]
 73:  985| [45] [第５の力が存在するとしたら、それは『情報』である可能性が高い。]
 74:  989| [45] [情報量がエネルギーと等価であることを数式で表し、]
 75:  992| [45] [そこから値を導き出した結果、]
 76:  995| [45] [それは宇宙の膨張速度の数値と見事に一致したのである。]
 77:  999| [45] [即ち――]
 78: 1087| [47] [夏彦]
 79: 1090| [45] [「いや、でも……母さんのあの論文が、お前に何の関係があるんだ」]
 80: 1116| [47] [被験体Ｎ]
 81: 1119| [45] [「理解が悪いね。あの論文で書かれていた事で、僕の存在は説明できるんだよ」]
 82: 1146| [47] [被験体Ｎ]
 83: 1149| [45] [「序文にあったとおり、情報とは即ちエネルギーだ」]
 84: 1157| [47] [被験体Ｎ]
 85: 1160| [45] [「そしてその情報エネルギーは、ＢＣ粒子を媒介に伝播する」]
 86: 1168| [47] [被験体Ｎ]
 87: 1171| [45] [「たとえＢＣを使わなくとも、この作用は常に起こってるんだよ」]
 88: 1179| [47] [被験体Ｎ]
 89: 1182| [45] [「誰だって１つずつ持っている、『あるもの』の中でね」]
 90: 1190| [47] [夏彦]
 91: 1193| [45] [「あるものって……？」]
 92: 1198| [45] [夏彦が問うと、彼女は自分の頭をこつんと叩いた。]
 93: 1224| [47] [被験体Ｎ]
