  0:   79| [45] [それから１週間ほどが経った、ある晴れた日――]
  1:   84| [45] [洵は凪沙と共に、センター街まで買い物に出かけた。]
  2:   89| [45] [いつも頑張って働いている風見に、プレゼントをあげようと思ったのだ。]
  3:  118| [45] [居並ぶ店を見ながら、洵たちは話す。]
  4:  126| [47] [洵]
  5:  129| [45] [「うーん、何を買おうかな？」]
  6:  155| [47] [凪沙]
  7:  158| [45] [「お姉ちゃんの喜ぶものって、なんだろうね？」]
  8:  166| [47] [洵]
  9:  169| [45] [「そういえば風見ちゃんってきれいなのに、あんまりお洒落とかしないよね」]
 10:  177| [47] [洵]
 11:  180| [45] [「アクセサリーとかあげたら、きっと似合うよ」]
 12:  206| [47] [凪沙]
 13:  209| [45] [「いいね。じゃあなにがいいかな？」]
 14:  235| [47] [凪沙]
 15:  238| [45] [「イヤリングかなぁ、それともゆびわ？」]
 16:  246| [47] [洵]
 17:  249| [45] [「うーん……あ、そうだ、あれは？」]
 18:  257| [47] [洵]
 19:  260| [45] [「あのー、えっと、パカッて開くネックレス」]
 20:  286| [47] [凪沙]
 21:  289| [45] [「パカッて開く？」]
 22:  297| [47] [洵]
 23:  300| [45] [「ほら、写真とか中に入れて、首から下げるアレだよ」]
 24:  326| [47] [凪沙]
 25:  329| [45] [「ロケットのこと？」]
 26:  337| [47] [洵]
 27:  340| [45] [「そう、それ！」]
 28:  345| [45] [凪沙はまだ小学校に上がる前だというのに、洵より物知りの、とても賢い子だった。]
 29:  350| [45] [洵は勉強嫌いなのもあって、凪沙の賢さに全く引け目を感じていない。]
 30:  358| [47] [洵]
 31:  361| [45] [「ロケットなら、凪沙の写真を入れる事ができるでしょ」]
 32:  369| [47] [洵]
 33:  372| [45] [「そうすればお姉ちゃん、凪沙といつでも一緒だよ」]
 34:  398| [47] [凪沙]
 35:  401| [45] [「そっかぁ、うん、すごくいいアイディア！」]
 36:  409| [47] [洵]
 37:  412| [45] [「よーし、じゃあロケットをさがそう！」]
 38:  417| [45] [洵と凪沙は２人で、アクセサリーショップを回った。]
 39:  469| [45] [３軒目の店で、やっとロケットを見つけた。]
 40:  474| [45] [値段は３５００円。]
 41:  479| [45] [支払いは洵が多く出すと言ったのだが――]
 42:  511| [47] [凪沙]
 43:  514| [45] [「洵ちゃん、やっぱり私半分だすよ」]
 44:  522| [47] [洵]
 45:  525| [45] [「え、そう？」]
 46:  551| [47] [凪沙]
 47:  554| [45] [「おこづかい貯めてるし、洵ちゃんに悪いもん」]
 48:  562| [47] [洵]
 49:  565| [45] [「うん、その方がいいね。２人のプレゼントって感じになるしさ」]
 50:  591| [47] [凪沙]
 51:  594| [45] [「ね？　じゃあ１７５０円ずつ出して……」]
 52:  602| [47] [洵]
 53:  605| [45] [「このロケット、買っちゃおう！」]
 54:  659| [45] [そうして２人は、風見へのプレゼントを手に入れた。]
 55:  732| [45] [２人で橘家に帰る途中、話す。]
 56:  758| [47] [凪沙]
 57:  761| [45] [「お姉ちゃん、よろこんでくれるかな？」]
 58:  769| [47] [洵]
 59:  772| [45] [「きっとかんどうして、泣いちゃうんじゃないかな？」]
 60:  780| [47] [洵]
 61:  783| [45] [「風見ちゃん、凪沙のことだいすきだからさ」]
 62:  809| [47] [凪沙]
 63:  812| [45] [「そ、そうかな？」]
 64:  817| [45] [そう言って照れる凪沙は、姉に愛されている事を自覚しているように見えた。]
 65:  822| [45] [洵はそれを見て、不意に羨ましくなる。]
 66:  830| [47] [洵]
 67:  833| [45] [「……凪沙はいいね。優しいお姉ちゃんがいて」]
 68:  859| [47] [凪沙]
 69:  862| [45] [「えっ？」]
 70:  870| [47] [洵]
 71:  873| [45] [「あたしんち、家族が仲悪くてさ……家、いつも雰囲気悪いんだ」]
 72:  881| [47] [洵]
 73:  884| [45] [「パパはあんまり家に帰って来ないし、ママもよくどこかに遊びに行って、あたしのご飯とか家政婦さん任せだし」]
 74:  892| [47] [洵]
 75:  895| [45] [「……何かときどき、すっごく寂しくなるんだよ」]
 76:  903| [47] [洵]
 77:  906| [45] [「大きな家なんていらないから、ただ家族が仲良ければいいのに……凪沙のうちみたいにさ」]
 78:  929| [47] [凪沙]
 79:  930| [45] [「……」]
 80:  938| [47] [洵]
 81:  941| [45] [「……なんてね。ゴメン、なに言ってんだろあたし」]
 82:  949| [47] [洵]
 83:  952| [45] [「こんなこと言われても、困るだけだよね」]
 84:  957| [45] [５つも年下の子に愚痴る自分を、洵が恥じたとき――凪沙が意を決したように言った。]
 85: 1011| [47] [凪沙]
 86: 1014| [45] [「……だ、だったら、洵ちゃんもうちに住めばいいよ！」]
 87: 1022| [47] [洵]
 88: 1025| [45] [「えっ？」]
 89: 1051| [47] [凪沙]
 90: 1054| [45] [「私、洵ちゃんのこと好きだし、お姉ちゃんもきっと洵ちゃんのこと好きだし」]
 91: 1062| [47] [凪沙]
 92: 1065| [45] [「洵ちゃんがうちに住めば、３人一緒でなかよし家族だよ！　さみしくないよ！」]
 93: 1073| [47] [洵]
 94: 1076| [45] [「凪沙……」]
 95: 1081| [45] [ふんふんと鼻を鳴らす凪沙を、洵は見つめた。]
 96: 1086| [47] [洵]
 97: 1087| [45] [（あぁ……あたし、こんな小さな子に、気を遣わせちゃったんだ……）]
 98: 1092| [47] [洵]
 99: 1093| [45] [（凪沙だって、お父さんとお母さんがいなくて、さみしいはずなのに……）]
100: 1098| [45] [それが情けなくなったが、同時にそれはすごく魅力的な提案に思えた。]
101: 1106| [47] [洵]
102: 1109| [45] [「……いいね。じゃあ凪沙はあたしの妹になるんだね？」]
103: 1135| [47] [凪沙]
104: 1138| [45] [「うん。それでね、私はお姉ちゃんが２人になるの」]
105: 1146| [47] [洵]
106: 1149| [45] [「そして、風見ちゃんが結婚すれば……」]
107: 1175| [47] [凪沙]
108: 1178| [45] [「その人がね、パパになるの。そうしたらもう、ちゃんとした家族だよね？」]
109: 1183| [45] [少し間違ってはいたが、それはとても幸福な夢想だった。]
110: 1188| [45] [風見はきっと、いいお母さんになるだろう。]
111: 1193| [45] [それにあの美しい風見の事だ。夫になるのはきっと、素敵な男性に違いない。]
112: 1198| [45] [夫ができれば、風見も日々の仕事から解放される。凪沙も年相応に子供らしくなれる。]
113: 1203| [45] [洵が思い描く、理想の家庭がそこにあった。]
114: 1208| [47] [洵]
115: 1209| [45] [（もっともそこに、他人のあたしは入れないけど……）]
116: 1214| [45] [それはわかっていたが、今はその夢想に浸るのも悪くないと思った。]
117: 1222| [47] [洵]
118: 1225| [45] [「……じゃあ風見ちゃんが旦那さまをゲットするためにも、このプレゼントは役に立つかもね？」]
119: 1251| [47] [凪沙]
120: 1254| [45] [「うん！」]
121: 1262| [47] [洵]
122: 1265| [45] [「ようし！　早く家に帰って、風見ちゃんに渡そう！」]
123: 1270| [45] [２人はそう言って、駆け出した。]
124: 1318| [45] [――風見は今日は仕事が早番で、１５時ごろには帰って来るという話だった。]
125: 1323| [45] [洵と凪沙は、橘家で、風見の帰りを待つ。]
126: 1346| [45] [凪沙はちらちらと時計を見ては、『まだかなぁ、まだかなぁ』と言っていた。]
127: 1353| [45] [だが、時計が１５時の鐘を鳴らした時――]
128: 1518| [45] [その鐘は、轟音に遮られた。]
129: 1526| [47] [洵]
130: 1529| [45] [「ッ！？」]
131: 1540| [45] [振動が走り抜け、何かが崩れるような音がした。]
132: 1595| [45] [そして一瞬後、衝撃が襲い――]
133: 1600| [45] [洵は気を失った。]
134: 1615| [45] [――――――]
135: 1620| [45] [――――]
136: 1625| [45] [――]
137: 1760| [47] [洵]
138: 1763| [45] [「………っ……」]
139: 1771| [47] [洵]
140: 1774| [45] [「う、ぅ……」]
141: 1779| [45] [目覚めたとき、洵は何か重い物の下に、うつ伏せに倒れていた。]
142: 1784| [45] [瓦礫のようなごつごつしたものが、背中に覆いかぶさっている。]
143: 1792| [47] [洵]
144: 1795| [45] [「な……なに、これ……！？」]
145: 1800| [45] [いったい何が起きたのか、洵には全く理解できなかった。]
146: 1805| [45] [体を押さえつけられ、視界にはほとんど床しか映っていない。]
147: 1810| [45] [すぐ傍にいたはずの、凪沙の姿も見えない。]
148: 1818| [47] [洵]
149: 1821| [45] [「な、凪沙……どこ……？」]
150: 1826| [45] [そう声をかけると、部屋のどこかから声が返ってきた。]
151: 1834| [47] [凪沙]
152: 1837| [45] [「じゅ……洵、ちゃん……だい、じょうぶ……？」]
153: 1845| [47] [洵]
154: 1848| [45] [「な、凪沙……！」]
155: 1853| [45] [洵はすぐに、凪沙のもとへ行こうとした。]
156: 1879| [45] [だがもがいてももがいても、瓦礫はびくともしない。]
157: 1887| [47] [洵]
158: 1890| [45] [「あ、あれ！？　どうして……！？」]
159: 1898| [47] [凪沙]
160: 1901| [45] [「な、なにかが爆発して……天井が、崩れてきたみたいなの……」]
161: 1909| [47] [洵]
162: 1912| [45] [「爆発！？　凪沙、そっちは大丈夫なの！？」]
163: 1920| [47] [凪沙]
164: 1923| [45] [「わ、私も動けない……」]
165: 1931| [47] [凪沙]
166: 1934| [45] [「頭、切っちゃったみたい……血が出てる……」]
167: 1942| [47] [凪沙]
168: 1945| [45] [「……痛いよぅ……」]
169: 1953| [47] [洵]
170: 1956| [45] [「凪沙……！」]
171: 1961| [45] [洵は必死でもがき、瓦礫の下から這い出ようとした。]
172: 1987| [45] [だが身を動かすたび、洵の背を覆う瓦礫はミシミシときしみ、今にも崩れそうだった。]
173: 1992| [47] [洵]
174: 1993| [45] [（あ、危ないかも……これが崩れたら、今度こそ……！）]
175: 2004| [45] [その時、遠くから救急車のサイレンが近づいてくるのが聞こえた。]
176: 2012| [47] [洵]
177: 2015| [45] [「救急車だ……」]
178: 2023| [47] [凪沙]
179: 2026| [45] [「うん……」]
180: 2034| [47] [洵]
181: 2037| [45] [「今、きっと助けが来るよ。それまで我慢しよう……」]
182: 2045| [47] [凪沙]
183: 2048| [45] [「……うん……」]
184: 2053| [45] [洵たちは、身動きも取れないまま、薄闇の中で救助が来るのを待った。]
185: 2058| [45] [――……]
186: 2063| [45] [―――……]
187: 2068| [45] [――――……]
188: 2073| [45] [―――――……]
189: 2086| [45] [……だが、救助はなかなか来なかった。]
190: 2091| [45] [洵は凪沙を安心させるため、一生懸命話しかけた。]
191: 2099| [47] [洵]
192: 2102| [45] [「な、凪沙……」]
193: 2118| [47] [凪沙]
194: 2121| [45] [「なに……？　洵ちゃん……」]
195: 2129| [47] [洵]
196: 2132| [45] [「あのさ……さっきの話だけど……」]
197: 2148| [47] [凪沙]
198: 2151| [45] [「さっきの話って……？」]
199: 2159| [47] [洵]
200: 2162| [45] [「あたしが、凪沙ん家の、子になるって話……」]
201: 2178| [47] [洵]
202: 2181| [45] [「……あれさ、ほんとにそうなったらさ……すごく、楽しそうだよね……」]
203: 2189| [47] [凪沙]
204: 2192| [45] [「うん……きっと楽しいよ……」]
205: 2197| [47] [凪沙]
206: 2198| [45] [「…………」]
207: 2214| [47] [凪沙]
208: 2217| [45] [「……ねぇ、洵ちゃん……」]
209: 2225| [47] [洵]
210: 2228| [45] [「え……？」]
211: 2236| [47] [凪沙]
212: 2239| [45] [「洵ちゃんはさ、さっき、時々寂しくなるって言ってたけど……」]
213: 2255| [47] [凪沙]
214: 2258| [45] [「ほんとはね、私もね、少しだけ寂しかったの……お父さんとお母さんがいなくて……」]
215: 2266| [47] [凪沙]
216: 2269| [45] [「お姉ちゃんがお仕事にいってるときとか、どうしても……」]
217: 2285| [47] [凪沙]
218: 2288| [45] [「だから、洵ちゃんもお姉ちゃんになってくれたら、寂しくなくなるかなって思って――」]
219: 2293| [45] [そのか細い声が、急に詰まった。]
220: 2309| [47] [凪沙]
221: 2312| [45] [「ごほっ！　ごほごほっ！」]
222: 2320| [47] [洵]
223: 2323| [45] [「ッ！？　凪沙、どうしたの！？」]
224: 2339| [47] [凪沙]
225: 2342| [45] [「け……煙が……」]
226: 2350| [47] [凪沙]
227: 2353| [45] [「どこかで、火が出てるみたい……！」]
