  0:   64| [45] [――第１エリアで渡瀬と再会した後――]
  1:   69| [45] [事故に巻き込まれた民間人の少女『ユウリ』を救助した洵たちだったが……]
  2:  117| [45] [渡瀬は、記憶喪失になっていた。]
  3:  122| [45] [渡瀬はいつもぶっきらぼうで冷たく、洵は彼を苦手としていたが、この時ばかりは心配した。]
  4:  127| [45] [――ともかくチームを再編成し、捜索を続行する。]
  5:  195| [45] [そして第２エリアから第３エリアに向かう連絡通路のところで、女を１人助けた。]
  6:  200| [45] [だがその女に状況を説明すると、彼女はひどい剣幕で、洵たちにわめいた。]
  7:  284| [47] [恵那]
  8:  287| [45] [「そんな……隔壁が閉まったって、どういう事！？」]
  9:  313| [47] [風見]
 10:  316| [45] [「原因はこちらでも掴めておりません……！」]
 11:  342| [47] [恵那]
 12:  345| [45] [「そんなもの壊してしまえばいいじゃない！　なんかこう、特殊装備的なもので！」]
 13:  353| [47] [洵]
 14:  356| [45] [「あたしらもさんざん試したんだよ！　でもエンジンカッターでも、全く歯が立たないんだ！」]
 15:  382| [47] [風見]
 16:  385| [45] [「我々の装備では、あの隔壁の破壊は不可能です」]
 17:  411| [47] [恵那]
 18:  414| [45] [「ふんっ！　レスキューってのも案外、使えないのね！」]
 19:  470| [47] [洵]
 20:  473| [45] [「……！」]
 21:  499| [47] [風見]
 22:  502| [45] [「確かに、我々の装備では破壊できませんが――地上にいる隊員の装備の中には、爆薬もあるはずです」]
 23:  510| [47] [風見]
 24:  513| [45] [「いずれあの隔壁を破壊し、増援が来る事でしょう。だから今はどうかご勘弁を」]
 25:  539| [47] [恵那]
 26:  542| [45] [「……そう、仕方ないわねぇ」]
 27:  547| [45] [女は呆れたように、ため息をついた。]
 28:  919| [47] [洵]
 29:  922| [45] [「アンタちょっと、いい加減にしなよ！」]
 30:  975| [47] [恵那]
 31:  978| [45] [「え？」]
 32:  991| [47] [洵]
 33:  994| [45] [「助けられたんだから、もう少し感謝したらどうなの？」]
 34: 1047| [47] [恵那]
 35: 1050| [45] [「あら、何を言ってるの。人を助けるのがあなたたちの仕事でしょ？」]
 36: 1078| [47] [恵那]
 37: 1081| [45] [「仕事でやっている以上、助けるのが当たり前じゃない」]
 38: 1148| [45] [――その偽りの記憶を、夏彦は修正した。]
 39: 1227| [47] [洵]
 40: 1230| [45] [「ちょっと、アンタねぇ……！」]
 41: 1235| [45] [見かねて一言注意しようと思った洵を、風見が手で制する。]
 42: 1261| [47] [風見]
 43: 1264| [45] [「そんな事より、まずはＡＤを投与しましょう」]
 44: 1290| [47] [渡瀬]
 45: 1293| [45] [「あ、そうか！　そうしなきゃまずいぞ！」]
 46: 1319| [47] [恵那]
 47: 1322| [45] [「ＡＤ？　何のこと？」]
 48: 1330| [47] [風見]
 49: 1333| [45] [「ＡＤというのは、つまり――」]
 50: 1402| [45] [風見は女に、ＡＤについて説明した。]
 51: 1407| [45] [それからこの施設に満ちる放射線と、安全基準値と、プロキオンの事も。]
 52: 1412| [45] [それを聞き終えると、女の態度は一変した。]
 53: 1445| [47] [恵那]
 54: 1448| [45] [「ほ、放射線……！？」]
 55: 1456| [47] [風見]
 56: 1459| [45] [「えぇ。なお放射線障害の自覚症状は、内臓・皮膚・眼に現れやすいです」]
 57: 1467| [47] [風見]
 58: 1470| [45] [「嘔吐感、皮膚の痛み、視界のかすみなどはありませんか？」]
 59: 1496| [47] [恵那]
 60: 1499| [45] [「とりあえず大丈夫みたいだけど……」]
 61: 1525| [47] [渡瀬]
 62: 1528| [45] [「よかった。今からＡＤ打てばきっと大丈夫だ」]
 63: 1536| [47] [洵]
 64: 1539| [45] [「でも早くしたほうがいいよ？　そうしないと、その憎まれ口も叩けなくなっちゃうから」]
 65: 1565| [47] [恵那]
 66: 1568| [45] [「わ……わかったわ。これを打てばいいのね？」]
 67: 1576| [47] [洵]
 68: 1579| [45] [「そーそー、素直でよろしい」]
 69: 1584| [45] [女の態度は気になったが、ここは洵が引くことにした。]
 70: 1589| [45] [それがレスキュー隊員としての、当然の務めだと思ったのだ。]
 71: 1701| [47] [洵]
 72: 1704| [45] [「アンタちょっと、いい加減にしなよ！」]
 73: 1730| [47] [恵那]
 74: 1733| [45] [「え？」]
 75: 1741| [47] [洵]
 76: 1744| [45] [「助けられたんだから、もう少し感謝したらどうなの？」]
 77: 1770| [47] [恵那]
 78: 1773| [45] [「あら、何を言ってるの。人を助けるのがあなたたちの仕事でしょ？」]
 79: 1799| [47] [恵那]
 80: 1802| [45] [「仕事でやっている以上、助けるのが当たり前じゃない」]
 81: 1825| [47] [洵]
 82: 1828| [45] [「……っ」]
 83: 1833| [45] [洵は絶句した。]
 84: 1838| [45] [この仕事は人から感謝される事が多い。]
 85: 1843| [45] [だがそれこそが、レスキューと言う辛く厳しい仕事の、最大の見返りなのだ。]
 86: 1848| [47] [洵]
 87: 1849| [45] [（確かに見返りを期待するのは、筋違いかもしれないけど……）]
 88: 1854| [47] [洵]
 89: 1855| [45] [（あんな言い方、あんまりじゃんか！）]
 90: 1860| [45] [洵は彼女の心無い一言に傷つき、同時に――強い不愉快の念を、内心に抱えた。]
 91: 1909| [45] [――その記憶を見終えた夏彦は、思った。]
 92: 1914| [47] [夏彦]
 93: 1915| [45] [（……洵さんから見ると、先生はこんなに嫌な感じだったのか？）]
 94: 1920| [47] [夏彦]
 95: 1921| [45] [（もっと先生に対する好意的感情を、注ぎ込まなきゃまずいか……）]
