  0:   57| [45] [――夏彦が、その記憶を覗き込むと――]
  1:   62| [45] [洵の今日までの人生の記憶が、断片的に浮かんでは消えた。]
  2:   67| [45] [――もう９年も前の、ある日の事――]
  3:  132| [45] [洵は風見の妹『凪沙』と、公園で遊んでいた。]
  4:  166| [47] [凪沙]
  5:  169| [45] [「ね、ね、洵ちゃん、何して遊ぼう？」]
  6:  177| [47] [洵]
  7:  180| [45] [「そうだねぇ、おままごととか？」]
  8:  185| [45] [凪沙は洵より５つ年下で、洵にとっては妹のような存在だった。]
  9:  192| [45] [やがてそこに、風見がやってきた。]
 10:  225| [47] [風見]
 11:  228| [45] [「洵ちゃん。ごめんなさいね、凪沙を見ててくれたのね？」]
 12:  236| [47] [洵]
 13:  239| [45] [「あ、風見ちゃん。いいよいいよ、あたしも楽しいから」]
 14:  244| [45] [――風見は当時、レスキュー隊員ではなかった。]
 15:  249| [45] [花屋で働く、穏やかで優しいお姉さんだった。]
 16:  308| [45] [３人は非常に仲が良く……まるで洵も含め、三姉妹のような関係だった。]
 17:  313| [45] [洵だけが赤の他人だが、それでも家族以上の絆を感じていた。]
 18:  322| [45] [いつまでも、こんな関係が続けばいいと思っていたのだが――]
 19:  379| [45] [３人の幸せは、突如として奪われた。]
 20:  384| [45] [風見と凪沙の住む団地に、洵が遊びに行ったある日――]
 21:  530| [45] [その団地で、大規模なガス爆発事故が起こったのだ。]
 22:  535| [45] [風見はその日、仕事で家を空けていて、洵と凪沙だけが事故に遭遇した。]
 23:  595| [45] [洵は一命を取り留めたが――]
 24:  600| [45] [凪沙はその事故で、頭を強く打ち、亡くなってしまった……。]
 25:  661| [47] [僧侶]
 26:  664| [45] [「――不生不滅　不垢不浄　不増不減　是故空中」]
 27:  675| [47] [僧侶]
 28:  678| [45] [「無色　無受想行識　無眼耳鼻舌身意　無色声香味触法――……」]
 29:  683| [45] [凪沙の葬儀の日――僧侶の読経を聞きながら、洵は呆然としていた。]
 30:  688| [47] [洵]
 31:  689| [45] [（凪沙が……死んじゃったなんて……）]
 32:  694| [47] [洵]
 33:  695| [45] [（…………涙も、出ないや……）]
 34:  700| [45] [凪沙が死んだ事が、洵にはまだ信じられなかった。]
 35:  705| [45] [だが風見の悲しみは、洵よりはるかに大きかった。]
 36:  713| [47] [風見]
 37:  716| [45] [「凪沙……」]
 38:  721| [45] [風見が凪沙の棺に向け、虚ろな声で呟く。]
 39:  726| [45] [むろん、凪沙は答えない。]
 40:  731| [45] [洵は胸が引き裂かれる気持ちで、風見を見ていた……。]
 41:  785| [45] [――凪沙の死は、風見と洵の人生を一変させた。]
 42:  790| [45] [風見は凪沙を救えなかった、自分の無力を責め――]
 43:  795| [45] [その贖罪をするかのように、花屋を辞め、レスキュー隊員を目指した。]
 44:  800| [45] [恐らく死んでしまった妹の代わりに、誰かの命を救おうと願ったのだろう。]
 45:  805| [45] [洵には風見の気持ちが理解できたが、一方で心配だった。]
 46:  810| [47] [洵]
 47:  811| [45] [（お姉ちゃんは少し、危なっかしいところがある……）]
 48:  816| [47] [洵]
 49:  817| [45] [（……あたしがついててあげなきゃ）]
 50:  822| [45] [やがては洵もそう思い、風見の後を追うように、レスキュー隊に入ったのだ。]
 51:  887| [45] [――そして洵は、２０３０年８月１日付けで、笠鷺渡瀬率いるチームに組み入れられた。]
 52:  892| [45] [それで数回の出場を難なくこなし、なおも自分の力を奮う場が来るのを待つ。]
 53:  944| [45] [そしてその機会は、すぐに訪れた。]
 54:  949| [45] [――９月１６日、早朝。]
 55: 1009| [45] [出場サイレンが、けたたましく鳴り響いた。]
 56: 1014| [45] [『原子力生物学機構第６研究所で、原因不明の爆発事故発生』]
