  0:   68| [45] [――そうして、コミュニケーターへの親愛の情を取り戻した恵那は――]
  1:   73| [45] [管理官としての本業に、力を入れる事にした。]
  2:   78| [45] [担任している生徒はもちろん、初等部から高等部までの全校生徒のデータを分析する。]
  3:   83| [45] [過去のデータも洗い、Ｎ化等の兆候のある生徒がいないか探ったのだ。]
  4:  145| [45] [だがそうしていくうち、恵那はある事実に気付いた。]
  5:  150| [47] [恵那]
  6:  151| [45] [（９年前、この学園の女生徒が、１人死亡している……？）]
  7:  156| [47] [恵那]
  8:  157| [45] [（それも、ラボで発生した火災に遭遇して……？）]
  9:  162| [45] [女生徒の名前は、『琴乃悠里』と言った。]
 10:  167| [45] [それがなぜか恵那の心に留まった。]
 11:  172| [45] [完璧な防災システム・警備システムに護られているはずのラボで、なぜ火災などが起きたのか？]
 12:  177| [47] [恵那]
 13:  178| [45] [（……少し、調べてみましょう）]
 14:  223| [45] [恵那はこの事について、独自に調査を開始した。]
 15:  292| [45] [土日を潰して、９年前の火災について調べる。]
 16:  297| [45] [資料を探り、あちこちで聞き込みをしていくうち、妙な点が次々と浮かび上がってきた。]
 17:  302| [47] [恵那]
 18:  303| [45] [（……琴乃悠里の死の際、天川くんも一緒にいたですって？）]
 19:  308| [47] [恵那]
 20:  309| [45] [（しかもその直後、天川くんの適性度が上昇している……）]
 21:  314| [45] [さらにその時期を境に、ラボの業績は上がっている。]
 22:  319| [45] [この日本に存在するＢＣ研究施設の中で、トップの成果を上げているのだ。]
 23:  324| [45] [ＢＣ抑制剤『ＡＤ』の開発。]
 24:  329| [45] [ＢＣ粒子エネルギー測定器『プロキオン』の開発。]
 25:  334| [45] [対ＢＣスーツの開発。]
 26:  339| [45] [ＢＣ絶縁体の改良。]
 27:  344| [45] [ＷＸ粒子増幅器の出力増強。]
 28:  349| [45] [情報力場仮説の検証と理論化。]
 29:  354| [45] [他にもまだまだある。]
 30:  359| [45] [――なぜラボは、こんなにも様々な成果を挙げる事ができるのか？]
 31:  364| [45] [それらの事実に繋がりは見えないが、どことなく偶然だとは思えなかった。]
 32:  369| [47] [恵那]
 33:  370| [45] [（ラボがこんなにも業績を上げた時期は、以前にも一度ある……）]
 34:  375| [47] [恵那]
 35:  376| [45] [（ラボが設立された２０１６年から、その後の１年間）]
 36:  381| [47] [恵那]
 37:  382| [45] [（コミュニケーターＡが存命中で、ラボ内に被験体として幽閉されていた時期……）]
 38:  387| [45] [あの時期にＡＤのプロトタイプが作られ、ＷＸ粒子増幅器の出力も大幅強化された。]
 39:  392| [45] [だが２０１７年にコミュニケーターＡがラボ内で病死してから、２０２０年までは目立った成果は挙げていない。]
 40:  397| [47] [恵那]
 41:  398| [45] [（なのに２０２１年を境に、また業績が上昇――それが今日まで続いている）]
 42:  403| [47] [恵那]
 43:  404| [45] [（『偶然』の一言で、片付けてもいいけど……）]
 44:  409| [45] [だが、もう一つ気になる事があった。]
 45:  414| [45] [ラボはＡの死後、１３年間に渡り、『ただの１人も』被験体を幽閉していないのだ。]
 46:  419| [45] [それ自体は喜ばしい事かも知れないが、むしろ不自然な気がする。]
 47:  424| [45] [センシズシンパシーを発現したコミュニケーターは、各地のラボに幽閉される。]
 48:  429| [45] [そして各ラボの運営者は、幽閉した事実を超科局に報告する。それがこの国の裏の法律だ。]
 49:  434| [45] [だが３５０名のコミュニケーターを擁するこの鹿鳴市で――]
 50:  439| [45] [センシズシンパシーを発現するコミュニケーターが１人も現れないなんて、おかしくはないだろうか？]
 51:  444| [47] [恵那]
 52:  445| [45] [（本当に能力レベル６のコミュニケーターは、現れてないのかしら……）]
 53:  450| [47] [恵那]
 54:  451| [45] [（……いや、実は現れていて、ラボはすでにそのコミュニケーターを幽閉していたとしたら？）]
 55:  456| [47] [恵那]
 56:  457| [45] [（そして私たち超科局への報告義務を、ラボが怠っていたとしたら……？）]
 57:  462| [45] [報告義務を怠る理由。それは１つしかない。]
 58:  467| [47] [恵那]
 59:  468| [45] [（私たちに知られたら、まずい事をやっているから……）]
 60:  473| [45] [そう思った瞬間、恵那の肌が粟立った。]
 61:  478| [45] [――人体実験。そんな単語が頭に浮かぶ。]
 62:  483| [47] [恵那]
 63:  484| [45] [（まさか、そんな事って……？）]
 64:  489| [45] [しかし恵那は以前、管理官として全国を飛び回っていた時期に、似た事件に遭遇した。]
 65:  494| [45] [コミュニケーターを拉致監禁して、違法な実験を行っていた研究者を逮捕したのだ。]
 66:  499| [47] [恵那]
 67:  500| [45] [（政令指定機密都市で、同様の事件が！？）]
 68:  505| [45] [それは何の確証もない、ただの推察に過ぎない。]
 69:  510| [45] [だが、その疑心を抱いた瞬間――]
 70:  515| [45] [恵那の目は、教師のそれから、管理官の目に変わっていた。]
 71:  559| [45] [――それからも恵那は、さらなる調査を進めた。]
 72:  564| [45] [そして３ヶ月目に、その調査結果を携え、超科局の本部に向かった。]
 73:  642| [47] [黒田]
 74:  645| [45] [「……ラボが不当に、コミュニケーターを拉致・幽閉している可能性があると？」]
 75:  650| [47] [恵那]
 76:  653| [45] [「はい」]
 77:  658| [45] [訝しげな声を上げる黒田に、恵那ははっきりと答えた。]
 78:  663| [47] [恵那]
 79:  666| [45] [「まず９年前にラボで発生した火災の被害者、『琴乃悠里』についてですが――」]
 80:  671| [47] [恵那]
 81:  674| [45] [「彼女の葬儀を行った業者を締め上げたところ、実に興味深い事がわかりました」]
 82:  679| [47] [黒田]
 83:  682| [45] [「興味深いこととは？」]
 84:  687| [47] [恵那]
 85:  690| [45] [「琴乃悠里の葬儀は、全くの茶番だったのです」]
 86:  695| [47] [恵那]
 87:  698| [45] [「棺に納められた彼女は、死んでいませんでした」]
 88:  703| [47] [恵那]
 89:  706| [45] [「睡眠薬を投与され、死化粧を施され、遺体に見せかけられた、琴乃悠里本人だったのですよ」]
 90:  711| [47] [黒田]
 91:  714| [45] [「なんだと！？」]
 92:  719| [47] [恵那]
 93:  722| [45] [「そして遺体を炉に入れる直前に、サルの死骸と入れ替え、焼却」]
 94:  727| [47] [恵那]
 95:  730| [45] [「遺族はそれを琴乃悠里の遺骨だと信じ、納骨したのです」]
 96:  735| [47] [恵那]
 97:  738| [45] [「これで彼女は、世間的には死んだ事になりました」]
 98:  743| [47] [黒田]
 99:  746| [45] [「バカな……手際が良すぎないか？　琴乃悠里の死は、突発的な事故死だったんだろう？」]
100:  751| [47] [恵那]
101:  754| [45] [「どうもその葬儀業者は、こうした機会に備え、あらかじめ準備をしていたようです。何者かに依頼されて」]
102:  759| [47] [恵那]
103:  762| [45] [「依頼者については口を割りませんでしたが……恐らく鹿鳴市、あるいはラボの人間でしょう」]
104:  767| [47] [黒田]
105:  770| [45] [「じゃあ連中は、琴乃悠里を死んだと見せかけて、そのままラボに幽閉したっていうのか？」]
106:  775| [47] [恵那]
