  0:   71| [45] [――夏彦がその記憶を覗き込むと――]
  1:   76| [45] [そこには恵那の『正体』が記録されていた。]
  2:   81| [45] [だが、その内容は……夏彦の予想もしないものだった。]
  3:  142| [45] [――大学で超心理学を専攻した恵那は――]
  4:  147| [45] [コミュニケーターを『護るべき存在』だと思い、その保護を行う仕事に就きたいと願った。]
  5:  152| [45] [そして大学を卒業後、文科省内に存在する、とある機関に入った。]
  6:  157| [45] [『文部科学省・超感覚科学技術局』]
  7:  162| [45] [それは２０１４年４月に設立された、ＢＣ関連の行政活動を一手に担う機関だった。]
  8:  191| [45] [――入局初日、恵那は直属の上司となる者たちに挨拶した。]
  9:  196| [47] [恵那]
 10:  199| [45] [「本日より配属された、椿山恵那と申します。宜しくお願いします」]
 11:  209| [47] [黒田]
 12:  212| [45] [「コミュニケーター管理課第一室長の黒田だ」]
 13:  222| [47] [比嘉]
 14:  225| [45] [「同じく管理官の比嘉」]
 15:  235| [47] [黒田]
 16:  238| [45] [「まぁ楽にしてくれ。うちは『ＢＣ警察』なんて揶揄される部署だが、無論本物の警察じゃない。そんなに格式ばらなくていい」]
 17:  243| [47] [恵那]
 18:  246| [45] [「は、恐れ入ります」]
 19:  251| [45] [そう言いつつも姿勢を崩さない恵那に、黒田と名乗った男は苦笑して言う。]
 20:  256| [47] [黒田]
 21:  259| [45] [「――まぁいいさ、仕事の話をしようか」]
 22:  264| [47] [黒田]
 23:  267| [45] [「聞いてるとは思うが、うちはＢＣに関する様々な行政活動を担っている部署でな」]
 24:  272| [47] [黒田]
 25:  275| [45] [「職域はコミュニケーターの保護・管理・監視から、ＢＣ関連の犯罪摘発まで、かなり手広くやっている」]
 26:  280| [47] [黒田]
 27:  283| [45] [「人員は文科省はもちろん、厚労省や察庁、公安などから出向した者で構成される」]
 28:  288| [47] [黒田]
 29:  291| [45] [「まぁよく言えばエキスパート集団、悪く言えば寄せ集め部隊さ」]
 30:  336| [45] [――黒田が言うには、年々コミュニケーターを取り巻く状況は緊迫化し、文科省だけでは対応できなくなってきたという。]
 31:  341| [45] [ＢＣ関連の犯罪の増加。コミュニケーターを狙ったテロ組織の暗躍。]
 32:  346| [45] [そして――国がそれまで隠してきた、コミュニケーターの危険性。]
 33:  351| [45] [恵那は黒田から、鹿鳴市同時多発火災の真相について聞かされた。]
