  0:   77| [45] [――それから、３週間が過ぎた。]
  1:   82| [45] [天川博士が言った通り、確かにその間、１度も実験はなかった。]
  2:   87| [45] [その間ずっと、サリュはこの部屋で独り、本を読んで過ごしていた。]
  3:  108| [45] [彼女が読んでいたのは、『自我』と『記憶』というものをテーマに扱ったＳＦ小説だ。]
  4:  113| [45] [自我を持つ電子頭脳を作ろうとする、科学者の物語――その中に、こんな文章が出てきた。]
  5:  204| [85] [　]
  6:  207| [85] [　]
  7:  210| [85] [　]
  8:  213| [45] [――『自我』は、『記憶』によって形作られる。]
  9:  217| [85] [　]
 10:  220| [45] [人間は自らの過去の記憶に基づき、行動や意思を決定する。]
 11:  224| [85] [　]
 12:  227| [45] [だが『自我』の生成過程が、いまひとつ僕には理解できない。]
 13:  237| [85] [　]
 14:  240| [85] [　]
 15:  243| [85] [　]
 16:  246| [45] [記憶が集まれば、そこには必ず自我が生まれるのだろうか。]
 17:  250| [85] [　]
 18:  253| [45] [確かに記憶が集積していくにつれ、]
 19:  256| [45] [自我はよりはっきりしていくだろう。]
 20:  260| [85] [　]
 21:  263| [45] [例えば、赤子が喋り始めるまでの過程がそうだ。]
 22:  274| [85] [　]
 23:  277| [45] [赤子は生まれた直後から、親が喋っている言葉を耳にすると、]
 24:  280| [45] [それをどんどん覚えていくらしい。]
 25:  284| [85] [　]
 26:  287| [45] [赤子は最初、その記憶の活用方法を知らない。]
 27:  291| [85] [　]
 28:  294| [45] [だがある日、まるでパズルのピースが一瞬で組み合わされるように、]
 29:  297| [45] [赤子の脳内で無数の記憶がひとつに繋がるのだ。]
 30:  301| [85] [　]
 31:  304| [45] [『そうか、わかったぞ！]
 32:  307| [45] [　この音のつながりは、他人に意思を伝えるための手段なんだ！』]
 33:  311| [85] [　]
 34:  314| [45] [そうして赤子は言葉を喋り始め、]
 35:  317| [45] [それまで孤独だった自我は、世界と繋がるのだ。]
 36:  327| [85] [　]
 37:  330| [45] [これが『自我』発生の過程の、１プロセスだ。]
 38:  334| [85] [　]
 39:  337| [45] [かくして赤子は集積した記憶を組み合わせ、]
 40:  340| [45] [それをさらに活用し、己の自我を育てていく。]
 41:  344| [85] [　]
 42:  347| [45] [しかしなぜ生物の脳内でのみ、こうした作用が起こるのか？]
 43:  351| [85] [　]
 44:  354| [45] [言うまでもなく、大容量の記憶ディスクに]
 45:  357| [45] [データを大量に書き込んでも、そこに自我は発生しない。]
 46:  361| [85] [　]
 47:  364| [45] [自然界の中では当たり前に起こっている事が、なぜ人の手では再現できないのだろうか……。]
 48:  445| [45] [その小説は哲学的な内容で、冒険モノを好むサリュの好みとは離れていた。]
 49:  450| [45] [しかしそれでも、感想を覚える部分はある。]
 50:  455| [47] [サリュ]
 51:  456| [45] [（私はこの主人公の言う、『大容量の記憶ディスク』に近いのかもしれない……）]
 52:  461| [47] [サリュ]
 53:  462| [45] [（己が得る知識を、自分で選べないところなど、特に似ている）]
 54:  467| [45] [だがそう思ったところで、何かが変わるわけでもない。]
 55:  472| [45] [彼女は自分についても、他者についても、己をとりまくあらゆる事象についても、ただ『そういうものだ』と悟るだけだ。]
 56:  483| [45] [その時、久しぶりに部屋の扉が開いて、博士が入ってきた。]
 57:  516| [47] [美夜子]
 58:  519| [45] [「優衣、出なさい」]
 59:  524| [47] [サリュ]
 60:  527| [45] [「実験？」]
 61:  535| [47] [美夜子]
 62:  538| [45] [「いえ、今日は健康診断よ。第５エリアに行きましょう」]
 63:  543| [45] [という事は、珍しくこのＺｅｒｏエリアを出る事になる。]
 64:  563| [45] [少々退屈していたサリュは、博士の言葉に喜んでうなずいた。]
 65:  679| [45] [脳科学実験室へ続く廊下を、サリュは博士と共に歩く。]
 66:  684| [45] [その道すがら、サリュは博士に尋ねた。]
 67:  689| [47] [サリュ]
 68:  692| [45] [「博士、私は孤児だと聞いていたのだけれど」]
 69:  700| [47] [美夜子]
 70:  703| [45] [「そうよ」]
 71:  711| [47] [美夜子]
 72:  714| [45] [「あなたが赤子だった頃にいたフランスの孤児院が潰れてしまい、行く宛てのなくなったあなたを私が引き取ったの」]
 73:  719| [45] [博士は表情を変えず、そう答えた。]
 74:  724| [45] [だがサリュは首を振る。]
 75:  729| [47] [サリュ]
 76:  732| [45] [「嘘」]
 77:  758| [47] [美夜子]
 78:  761| [45] [「え？」]
 79:  766| [47] [サリュ]
 80:  769| [45] [「私はラボの中で生まれたはず。かつてラボにいた被験体から生まれた子なのでは？」]
 81:  775| [45] [その言葉に、博士が足を止めた。]
 82:  803| [47] [美夜子]
 83:  806| [45] [「――誰から聞いたの」]
 84:  811| [47] [サリュ]
 85:  814| [45] [「先日記憶を転送された男が、そんな知識を持っていた」]
 86:  840| [47] [美夜子]
 87:  843| [45] [「……！」]
 88:  848| [47] [サリュ]
 89:  851| [45] [「事実？」]
 90:  877| [47] [美夜子]
 91:  880| [45] [「……事実よ」]
 92:  885| [45] [苦々しい声で、博士は言った。]
 93:  890| [45] [それから慰めるような口調で続ける。]
 94:  922| [47] [美夜子]
 95:  925| [45] [「優衣、ショックかもしれないけど……」]
 96:  930| [47] [サリュ]
 97:  933| [45] [「別に」]
 98:  938| [45] [そうなのか、と思っただけだ。]
 99:  943| [45] [生い立ちを知った所で、何が変わるわけでもない。]
100:  948| [45] [だけどそれでも、気になる事があった。]
101:  953| [47] [サリュ]
102:  956| [45] [「私の父親と母親は誰？」]
