  0:   69| [45] [――ゆりかごに揺られているような感覚があった。]
  1:   74| [45] [耳には車のエンジン音が聞こえる。]
  2:  129| [45] [やがてそれに混じり、博士の声が聞こえてきた。]
  3:  150| [47] [美夜子]
  4:  153| [45] [「――優衣。優衣」]
  5:  158| [47] [サリュ]
  6:  161| [45] [「……ん……」]
  7:  166| [47] [美夜子]
  8:  169| [45] [「着いたわよ」]
  9:  174| [47] [サリュ]
 10:  177| [45] [「……そう」]
 11:  188| [45] [サリュがそう答えた時、車が止まった。]
 12:  193| [47] [美夜子]
 13:  196| [45] [「さ、降りなさい」]
 14:  327| [45] [車を降りると、目の前に初めて見る景色が広がっていた。]
 15:  332| [45] [柔らかな風が吹き抜け、サリュの頬を撫でる。]
 16:  337| [45] [傍らに立つ博士が、サリュを見て言った。]
 17:  363| [47] [美夜子]
 18:  366| [45] [「よく眠っていたわね」]
 19:  371| [47] [サリュ]
 20:  374| [45] [「……夢を見ていた」]
 21:  400| [47] [美夜子]
 22:  403| [45] [「夢？」]
 23:  408| [47] [サリュ]
 24:  411| [45] [「そう、夢。フランスの生家にいた頃の……何もない、灰色の日々の」]
 25:  416| [47] [サリュ]
 26:  419| [45] [「……何も起こらなかったはずなのに、とても悲しい夢だった気がする」]
 27:  445| [47] [美夜子]
 28:  448| [45] [「心配しないでいいのよ、優衣。もうあの屋敷には戻らなくてもいいの」]
 29:  474| [47] [美夜子]
 30:  477| [45] [「今日からあなたは、この鹿鳴市で暮らすんだから」]
 31:  482| [45] [そういう話が、サリュの両親と博士の間で交わされたと聞いていた。]
 32:  487| [45] [サリュは一時的に博士に引き取られ、博士の住む街で暮らすのだと。]
 33:  513| [47] [美夜子]
 34:  516| [45] [「慣れない土地で不便もあるけれど、不自由する事はないと思うわ」]
 35:  521| [47] [サリュ]
 36:  524| [45] [「でも、やるべき事があるでしょう？」]
 37:  550| [47] [美夜子]
 38:  553| [45] [「偉いわ、よく覚えていたわね」]
 39:  558| [47] [サリュ]
 40:  561| [45] [「当然。それよりやるべき事の内容を確認したい」]
 41:  587| [47] [美夜子]
 42:  590| [45] [「あなたのここでの役目は、私の息子、天川夏彦を護る事よ」]
 43:  595| [47] [サリュ]
 44:  598| [45] [「何から？」]
 45:  624| [47] [美夜子]
 46:  627| [45] [「諸々の悪意からよ。近頃はこの街も、治安が悪くなってるから……」]
 47:  635| [47] [美夜子]
 48:  638| [45] [「もっともずっと昔に比べれば、マシなのかもしれないけど」]
 49:  643| [47] [サリュ]
 50:  646| [45] [「昔はどうだったの」]
 51:  672| [47] [美夜子]
 52:  675| [45] [「かつてはこの街でも、反ＢＣデモやコミュニケーターへの迫害があったし」]
 53:  683| [47] [美夜子]
 54:  686| [45] [「その後にもコミュニケーターの住居が、直接破壊活動の標的となったの」]
 55:  694| [47] [美夜子]
 56:  697| [45] [「その時、標的となった建物は……半壊し、死者も出たわ」]
 57:  702| [47] [サリュ]
 58:  705| [45] [「そう。見た感じ、平和そうな街なのに」]
 59:  731| [47] [美夜子]
 60:  734| [45] [「ここまで来るのに、１６年の歳月を要したのよ」]
 61:  742| [47] [美夜子]
 62:  745| [45] [「でもどれだけ強固な砦を築いても、完全な平穏は保証されない。この街にも多くの穴がある」]
 63:  771| [47] [美夜子]
 64:  774| [45] [「適性度Ｓの夏彦は、他のコミュニケーターより危険な目に遭う確率が高い」]
 65:  800| [47] [美夜子]
 66:  803| [45] [「でも私は一緒にいてあげられない……だから優衣、あなたが夏彦を護ってあげて」]
 67:  808| [47] [サリュ]
 68:  811| [45] [「承知」]
 69:  837| [47] [美夜子]
 70:  840| [45] [「ありがとう。それじゃ注意点が１つ」]
 71:  866| [47] [美夜子]
 72:  869| [45] [「夏彦は幼少時の心的外傷がきっかけで、死んだ幼馴染の幻影を見続けているの」]
 73:  877| [47] [美夜子]
 74:  880| [45] [「幼馴染の名前は『琴乃悠里』」]
 75:  885| [47] [サリュ]
 76:  888| [45] [「琴乃、悠里……」]
 77:  893| [45] [その名を聞くと、どことなく懐かしい感じがした。]
 78:  898| [45] [そう、前に博士から聞いた事があったのだ。]
 79:  924| [47] [美夜子]
 80:  927| [45] [「夏彦と会話する時は、この子の名前が突然出てきたりするけど――」]
 81:  935| [47] [美夜子]
 82:  938| [45] [「それについては触れずに、そっとしておいてあげて」]
 83:  943| [47] [サリュ]
 84:  946| [45] [「琴乃悠里についての情報は、すでに把握してある。なるべくうまくやるつもり」]
 85:  972| [47] [美夜子]
 86:  975| [45] [「そう、期待しているわ」]
 87:  980| [45] [博士は穏やかな声で言った。]
 88:  985| [45] [だが本当に期待しているのかどうか、サリュにはわからない。]
 89:  990| [45] [人の心中を、表情や声の調子などから推察する事を、サリュは極度に苦手としている。]
 90:  995| [47] [サリュ]
 91:  998| [45] [「……やはり、不安」]
 92: 1003| [47] [サリュ]
 93: 1006| [45] [「私は他人の心が理解できないし、世の常識もわからない」]
 94: 1011| [47] [サリュ]
 95: 1014| [45] [「そんな私が博士の息子を、正しく気遣えるかどうか」]
 96: 1040| [47] [美夜子]
 97: 1043| [45] [「そう言うと思ってね。プレゼントを用意したの」]
 98: 1050| [45] [博士はそう言って、車のトランクから、何かを取り出した。]
 99: 1115| [45] [それはフェレットか何かのぬいぐるみのように見えた。]
100: 1120| [47] [サリュ]
101: 1123| [45] [「……ぬいぐるみ？」]
102: 1131| [47] [美夜子]
103: 1134| [45] [「ただのぬいぐるみじゃないわ」]
104: 1142| [47] [美夜子]
105: 1145| [45] [「これはＡｉｒ　Ｒｅａｄｉｎｇ　Ｍａｓｓｃｏｔ　Ｓｙｓｔｅｍ、通称『ＡＲＭＳ』と言ってね」]
106: 1153| [47] [美夜子]
107: 1156| [45] [「他人の感情を、表情や言動から推測し、あなたに伝える機能を持っているのよ」]
108: 1185| [47] [美夜子]
109: 1188| [45] [「あなたが外の世界で生きていくための、大切な指針となるはずだわ」]
110: 1202| [45] [博士はそう言って、ＡＲＭＳと呼ばれた機械をサリュに手渡した。]
111: 1207| [45] [それをまじまじと見てサリュは思う。]
112: 1212| [47] [サリュ]
113: 1213| [45] [（可愛い……）]
114: 1218| [45] [柔らかな毛皮の手触りも心地よい。]
115: 1223| [45] [こういうものに今まで興味はなかったが、なんだかすっかり気にいってしまった。]
116: 1255| [47] [美夜子]
117: 1258| [45] [「人の顔にＡＲＭＳの目を向けると、その表情を自動的にスキャンするわ」]
118: 1266| [47] [美夜子]
119: 1269| [45] [「それでＡＲＭＳが楽しげに鳴いたら、その人も楽しいと思っているの」]
120: 1277| [47] [美夜子]
121: 1280| [45] [「表情の他にも、声やしぐさなどを分析して、判断を下す優れものよ」]
122: 1285| [45] [博士がそう言った時、ＡＲＭＳが鳴いた。]
123: 1290| [47] [アリス]
124: 1293| [45] [「きゅぅっ！」]
125: 1298| [47] [サリュ]
126: 1301| [45] [「楽しそうな鳴き声……という事は、博士はいま喜んでる？」]
127: 1327| [47] [美夜子]
128: 1330| [45] [「ええ、優衣が喜んでいるみたいだからね」]
