  0:   68| [45] [――鹿鳴市に着いた初日は、サリュはホテルに宿泊した。]
  1:   73| [45] [そこでＡＲＭＳの使用法や、新生活に関する諸注意などについて、しっかりレクチャーを受ける。]
  2:   78| [45] [そして翌朝、天川博士に連れられ、ホテルから学校に向かった。]
  3:  116| [45] [事情はよく知らないが、博士が言うには、サリュが入学を認められるのはこの『鹿鳴学園』だけらしかった。]
  4:  121| [45] [その前に立つと不安がよぎる。校門前までは天川博士が着いてきてくれたが、そこから先は１人だ。]
  5:  170| [47] [サリュ]
  6:  171| [45] [（うまくやれるだろうか……）]
  7:  176| [45] [緊張しながら教室の前で待つサリュに、先ほど挨拶した担任教師の声がかかる。]
  8:  181| [47] [恵那]
  9:  184| [45] [「そうよ。それじゃ三ノ宮さ～ん、入ってきて～」]
 10:  189| [45] [その声に従い、気合を入れて、サリュは教室に入った。]
 11:  315| [47] [恵那]
 12:  318| [45] [「はい、それじゃ自己紹介してね」]
 13:  323| [47] [サリュ]
 14:  326| [45] [「三ノ宮・ルイーズ・優衣」]
 15:  331| [45] [――と、難関だった自己紹介もなんとかこなした。]
 16:  374| [45] [だが教室にいる生徒の群れが、サリュには怖かった。]
 17:  444| [45] [そしてホームルームが終わると――]
 18:  536| [47] [ましろ]
 19:  539| [45] [「ハァイ、ボンジュール！　マドモアゼル・ルイーズ？」]
 20:  544| [45] [元気な女生徒が話しかけてきた。]
 21:  550| [45] [いきなり声をかけられ、サリュはびくっとする。]
 22:  555| [45] [声をかけてきた娘は、『鳥羽ましろ』。彼女はサリュと友達になりたいと言ってきた。]
 23:  560| [47] [サリュ]
 24:  561| [45] [（……本当に？　何か企んでなければいいけど）]
 25:  566| [45] [一瞬疑心暗鬼になったサリュだが、そのとき気付いた。そう言えばこの少女は、博士が言っていた『夏彦の友達』らしい。]
 26:  571| [45] [傍らには当の夏彦もいる。だったらこの２人と仲良くすべきだろう。]
 27:  576| [45] [サリュが２人と友達になる事を承諾すると、ましろは飛び上がって喜んでくれた。]
 28:  584| [47] [ましろ]
 29:  587| [45] [「さーて、なんて呼んだらいいかな？」]
 30:  595| [47] [ましろ]
 31:  598| [45] [「そうだ！　『サリュ』っていうのはどう！？」]
 32:  603| [47] [サリュ]
 33:  606| [45] [「ん……別にそれでもいい」]
 34:  611| [47] [サリュ]
 35:  612| [45] [（というか……むしろ素敵なあだ名）]
 36:  617| [45] [『Ｓａｌｙｕ』とは、フランス語で『やぁ』という意味だ。]
 37:  622| [47] [サリュ]
 38:  623| [45] [（挨拶の言葉、即ちコミュニケーションの始まり……私の頑張りを後押ししてくれそう）]
 39:  628| [47] [サリュ]
 40:  629| [45] [（それに夏彦たちとのファーストコンタクトも、なかなかうまくいった気がする）]
 41:  634| [45] [サリュは内心で、密かに喜んだ。]
 42:  639| [45] [そのようにして、サリュの新しい生活は始まったのだった。]
 43:  735| [45] [――だがそれから、なかなかゆっくり話す機会を得られないまま、その日の授業は終わった。]
 44:  802| [45] [超心研での課外授業の後、天川博士に迎えに来てもらう。]
 45:  813| [45] [建物の脇でしばらく待っていると、博士の車が近づいてきて、止まった。]
 46:  845| [47] [美夜子]
 47:  848| [45] [「優衣、お疲れさま」]
 48:  853| [47] [サリュ]
 49:  856| [45] [「あ、博士」]
 50:  882| [47] [美夜子]
 51:  885| [45] [「学園生活初日はどうだった？」]
 52:  890| [47] [サリュ]
 53:  893| [45] [「ん、疲れたけど……夏彦とましろに接触できた」]
 54:  901| [47] [美夜子]
 55:  904| [45] [「そう、予定通りね。仲良くなれた？」]
 56:  909| [47] [サリュ]
 57:  912| [45] [「かなり。もう友達になった」]
 58:  935| [47] [美夜子]
 59:  936| [45] [「……」]
 60:  941| [47] [アリス]
 61:  944| [45] [「きゅ～ん……」]
 62:  949| [45] [ふとＡＲＭＳが、不安そうな鳴き声を上げた。]
 63:  954| [47] [サリュ]
 64:  957| [45] [「博士は不安に思っている？　なぜ？」]
 65:  983| [47] [美夜子]
 66:  986| [45] [「い、いや、気のせいよ……」]
 67:  991| [47] [サリュ]
 68:  994| [45] [「？」]
 69:  999| [45] [ＡＲＭＳも判断を間違える事があるのだろうか。]
 70: 1004| [45] [不安になるようなことなど、何一つ無いはずなのに。]
 71: 1030| [47] [美夜子]
 72: 1033| [45] [「ともかく、今日から我が家で寝泊りする事になるわ。家に行きましょう」]
 73: 1041| [47] [美夜子]
 74: 1044| [45] [「あの子も恐らく、反対しないはず……」]
 75: 1049| [47] [サリュ]
 76: 1052| [45] [「承知した」]
 77: 1123| [45] [だが天川家に行き、そこで夏彦たちと再会すると――]
 78: 1211| [45] [夏彦はサリュの同居に反対した。]
 79: 1216| [47] [サリュ]
 80: 1217| [45] [（おかしい……こんな展開になるという話は、聞いていない）]
 81: 1222| [47] [サリュ]
 82: 1223| [45] [（幻覚については触れてもいないし、夏彦とはすでに友達になったはずなのに）]
 83: 1228| [45] [しかし、戸惑うサリュをよそに、博士はさっさと帰ってしまった。]
 84: 1251| [47] [サリュ]
 85: 1254| [45] [「私がこの家に住むと、迷惑？」]
 86: 1259| [47] [サリュ]
 87: 1262| [45] [「だとしたら話が違う。博士は『夏彦たちは反対しないはず』と言っていたのに」]
 88: 1288| [47] [夏彦]
 89: 1291| [45] [「……！」]
 90: 1296| [45] [その夏彦の表情を見て、サリュはぎくりとした。]
 91: 1301| [47] [サリュ]
 92: 1302| [45] [（この表情は、さすがに私でもわかる……）]
 93: 1307| [45] [夏彦は怒っていた。誰に対して怒っているのかも、ある程度は予測がつく。]
 94: 1312| [47] [サリュ]
 95: 1313| [45] [（まさか私は、邪魔者なの……？）]
 96: 1318| [45] [そう思うと悲しくなってくる。]
 97: 1323| [45] [せっかく膨らんできた楽しさが、急にしぼんでしまった。]
 98: 1402| [45] [少しでも夏彦と打ち解けようと、自分の役目について、語ってもみたが――]
 99: 1407| [47] [サリュ]
100: 1410| [45] [「私はあなたを護るために、ここへ来たというのに」]
101: 1436| [47] [夏彦]
102: 1439| [45] [「え……？　ぼくを、護る？」]
103: 1444| [45] [夏彦はきょとんとするばかりで、喜んでもくれなかった。]
104: 1449| [47] [サリュ]
105: 1450| [45] [（やはり、受け入れられていない……）]
106: 1455| [47] [サリュ]
107: 1456| [45] [（どうして私が、邪険にされなければならないの？　何も悪い事はしてないのに……）]
108: 1461| [45] [サリュには夏彦が何を考えているのか、まるでわからなかった。]
109: 1533| [45] [――そうして不安と共に、サリュの新生活第１日目は終わった。]
110: 1538| [45] [こんな事でこの先、うまくやっていけるのだろうかと思ったが――]
111: 1642| [45] [翌日から、事態は大きく好転した。]
112: 1647| [45] [夏彦たちと買い物に行って、少し打ち解け……]
113: 1652| [45] [そして一昨日、事故現場で会った時の事を問いただされた後、勇気を出して自分の弱点について話した。]
114: 1657| [47] [サリュ]
115: 1660| [45] [「……実は私は、他者の表情や感情の変化を察するのが、とても苦手」]
116: 1665| [47] [サリュ]
117: 1668| [45] [「これがあってようやく、人とまともにコミュニケートできる」]
118: 1784| [45] [サリュはそう言って、ＡＲＭＳを夏彦に見せた。]
119: 1826| [47] [サリュ]
120: 1829| [45] [「だから新しい生活に馴染めるか不安だった。だけどＡＲＭＳがあれば、なんとかやっていけそう」]
121: 1855| [47] [夏彦]
122: 1858| [45] [「……そうだったのか」]
123: 1863| [45] [サリュの言葉に夏彦はしばらく黙り込み、それからおずおずと言った。]
124: 1889| [47] [夏彦]
125: 1892| [45] [「あのさ、サリュ……」]
126: 1897| [47] [サリュ]
127: 1900| [45] [「なに？」]
128: 1926| [47] [夏彦]
129: 1929| [45] [「えっとその……悪かったな。今まで態度悪く接しててさ」]
130: 1934| [47] [サリュ]
131: 1937| [45] [「……ん」]
132: 1942| [45] [まだギクシャクしたやり取りではあったが――決して不快な感じではなかった。]
133: 1986| [47] [サリュ]
134: 1987| [45] [（１つ学んだ……なるべく素直になった方が、コミュニケーションはうまくいくのかもしれない）]
135: 1992| [47] [サリュ]
136: 1993| [45] [（怖いと思っても、自ら心を開き、他人と触れ合っていくべき）]
137: 1998| [45] [それはサリュにとって、大きな発見だった。]
138: 2071| [45] [そしてその夜は、ましろがサリュの歓迎会を開いてくれた。]
139: 2076| [47] [ましろ]
140: 2079| [45] [「はいっ、お待たせ！」]
141: 2084| [47] [夏彦]
142: 2087| [45] [「お、おおお～！！」]
143: 2161| [47] [サリュ]
144: 2164| [45] [「……素晴しい」]
145: 2169| [45] [料理はとても美味しかったが、それ以上にましろの気遣いが嬉しかった。]
146: 2174| [47] [サリュ]
147: 2175| [45] [（彼女は優しいし、裏表がない……アリスによる判断と、言動がほぼ一致している）]
148: 2180| [47] [サリュ]
149: 2181| [45] [（私にかけてくれた諸々の言葉も、全てが真実という気がする）]
150: 2186| [45] [人の心がわからないサリュも、ましろの事は無条件に信じてもいいと思えてきたのだ。]
151: 2282| [45] [その後も皆で、小説の話などをして、とても楽しい時間を過ごす事ができた。]
152: 2367| [45] [そしてましろが帰った後、夏彦に尋ねてみる。]
153: 2372| [47] [サリュ]
154: 2375| [45] [「――今日はみんな、楽しそうにしてるように見えた。夏彦も楽しかった？」]
155: 2401| [47] [夏彦]
156: 2404| [45] [「え？　そ、そりゃもちろん。サリュは楽しくなかったのか？」]
157: 2409| [47] [サリュ]
158: 2412| [45] [「……いや」]
159: 2417| [47] [サリュ]
160: 2420| [45] [「私も、すごく楽しかった」]
161: 2443| [45] [サリュがそう言って微笑むと、夏彦も笑みを返してくれた。]
162: 2448| [45] [こんな日がずっと続けばいい……サリュはそう思っていた。]
163: 2526| [45] [――だが、その平穏は長く続かなかった。]
164: 2531| [45] [翌日の夜、仲が良かったはずの夏彦とましろが、ケンカしてしまったのだ。]
165: 2613| [47] [ましろ]
166: 2616| [45] [「もう夏彦には頼らないよ！　じゃあね！」]
167: 2625| [47] [夏彦]
168: 2628| [45] [「お、おい、ちょっと待てよましろ！」]
169: 2633| [45] [さらに、その翌日には――]
170: 2727| [45] [サリュ自身が、夏彦とケンカしてしまった。]
171: 2732| [47] [サリュ]
172: 2735| [45] [「ましろの言葉を信じていないなら、放っておけばいいのでは？」]
173: 2743| [47] [夏彦]
174: 2746| [45] [「あのな……ちょっと冷たすぎじゃないか？」]
175: 2772| [47] [夏彦]
176: 2775| [45] [「そんなんじゃ友達できないぞ」]
177: 2795| [47] [サリュ]
178: 2798| [45] [「っ……」]
179: 2803| [45] [その言葉に、サリュの胸はひどく痛む。]
