  0:   64| [45] [――そうしてサリュたちは、テロを阻止するため、３人でラボに急いだ。]
  1:   69| [45] [しかし、そこに辿り着いた時には――]
  2:   74| [45] [すでに、遅きに失していた。]
  3:  189| [47] [夏彦]
  4:  192| [45] [「なッ！？」]
  5:  258| [47] [ましろ]
  6:  261| [45] [「きゃあッ！」]
  7:  291| [47] [サリュ]
  8:  294| [45] [「くッ……！」]
  9:  356| [45] [――ほんの少しの時間差で……テロの阻止に、間に合わなかったのだ。]
 10:  503| [45] [地下に降りたサリュたちは、炎上する施設内を、脱出口と天川博士を探して走った。]
 11:  508| [45] [だが途中、テロリストたちに遭遇してしまい――]
 12:  604| [47] [サリュ]
 13:  607| [45] [「夏彦、ましろ、逃げて！」]
 14:  612| [45] [サリュはとっさにそう叫んだ。]
 15:  653| [47] [ましろ]
 16:  656| [45] [「サリュ！？」]
 17:  661| [47] [サリュ]
 18:  664| [45] [「私がここでこいつを倒す！　１人はもう気絶しているから、１対１ならなんとかなる！」]
 19:  690| [47] [夏彦]
 20:  693| [45] [「だったらぼくも――！」]
 21:  698| [47] [サリュ]
 22:  701| [45] [「ダメ、夏彦たちじゃ足手まといにしかならない！　人質に取られたら対処できない！」]
 23:  724| [47] [サリュ]
 24:  727| [45] [「夏彦たちはその間に、出口を探して！　見つけたらテレパシーで、私に連絡を！」]
 25:  732| [45] [それはもっとも合理的な判断だと思った。]
 26:  827| [45] [だが夏彦たちを逃がし、テロリスト２人を叩きのめした後、新手のテロリストが現れた。]
 27:  838| [45] [サリュは即座に飛び蹴りを繰り出したが、それは敵の防護服の面体を破壊するに留まった。]
 28:  843| [45] [３人目のテロリストが、防護服を脱ぎ捨てて言う。]
 29:  914| [47] [渡瀬]
 30:  917| [45] [「……また、君か」]
 31:  922| [47] [サリュ]
 32:  925| [45] [「……また、あなたなの」]
 33:  930| [45] [彼は昨夜廃工場で、サリュを倒した男だった。]
 34:  956| [47] [渡瀬]
 35:  959| [45] [「……悪い事は言わん。さっさと逃げろ」]
 36:  967| [47] [渡瀬]
