  0:   68| [45] [堂島の遺体を発見した後も、風見たちは捜索を続行した。]
  1:   73| [45] [だが、そのわずか１時間後――]
  2:  132| [45] [彼女らは、再び仲間の死に遭遇してしまったのだ。]
  3:  168| [47] [風見]
  4:  171| [45] [「そんな……そんな……」]
  5:  176| [47] [洵]
  6:  179| [45] [「桧山先輩まで……！」]
  7:  184| [45] [――桧山は足を骨折し、火に巻かれて死んだようだ。]
  8:  189| [45] [風見たちだけではなく、恵那や宇喜多やユウリたちも、激しく動揺していた。]
  9:  275| [45] [――風見は皆の心を静めるべく、毅然とした態度を貫く。]
 10:  280| [47] [風見]
 11:  283| [45] [「……殉職は、この仕事をしている以上、避けられない事ではあります」]
 12:  309| [47] [渡瀬]
 13:  312| [45] [「しかし、橘……」]
 14:  317| [47] [風見]
 15:  320| [45] [「何も言わないで下さい、隊長」]
 16:  325| [47] [風見]
 17:  328| [45] [「悲しむのは、要救助者を助け、外に出てからにします」]
 18:  333| [47] [風見]
 19:  336| [45] [「ほら、守部も……」]
 20:  341| [45] [風見がそう声をかけると、洵は今にも泣きそうな顔で言う。]
 21:  419| [47] [洵]
 22:  422| [45] [「だけど……あたし、現場で同僚を失ったの……今日が初めてなんだよ……」]
 23:  448| [47] [洵]
 24:  451| [45] [「それが、こんな、立て続けに……」]
 25:  456| [47] [風見]
 26:  459| [45] [「わかってます。ですがシャンとしなさい。シリウスに入った時に、女は捨てたはずでしょう」]
 27:  485| [47] [洵]
 28:  488| [45] [「でも、お姉ちゃん……！」]
 29:  493| [45] [そう言って洵はうつむく。]
 30:  526| [45] [洵が『お姉ちゃん』と呼ぶのを、風見は咎めなかった。]
 31:  531| [45] [自分の心に激しい波が立ち、それを抑えるのに精一杯だった。]
 32:  536| [47] [風見]
 33:  537| [45] [（耐えなきゃ……私が皆を引っ張らなきゃ……！）]
 34:  591| [45] [風見がそう思った時――渡瀬が声を上げた。]
 35:  624| [47] [渡瀬]
 36:  627| [45] [「橘、守部……ちょっといいか」]
 37:  632| [47] [風見]
 38:  635| [45] [「え？」]
 39:  661| [47] [渡瀬]
 40:  664| [45] [「リーダー交替だ。ここから先は、オレがみんなを率いる」]
 41:  697| [47] [洵]
 42:  700| [45] [「た、隊長……？」]
 43: 1074| [47] [渡瀬]
 44: 1077| [45] [「桧山隊員の死は、確かに残念だが……ここで時間を浪費するわけにはいかないんだ」]
 45: 1125| [47] [渡瀬]
