  0:   65| [45] [――夏彦は、風見の記憶を読み進めた。]
  1:   74| [45] [風見たちが搬出リフトの前に行き、被験体Ｎの死体を発見するまで。]
  2:   79| [47] [夏彦]
  3:   80| [45] [（そう、ここだ……この先に、例の記憶が……！）]
  4:  102| [47] [洵]
  5:  105| [45] [「きゃああああああっ！」]
  6:  110| [45] [――一足先に小部屋に入った洵が叫ぶ。]
  7:  115| [47] [風見]
  8:  118| [45] [「守部、何ごとですか！？」]
  9:  123| [45] [風見たちが息を呑み、洵の後を追うと――]
 10:  221| [45] [そこには、見知らぬ少女の死体があった。]
 11:  226| [45] [――風見たちは呆然と、そこに立ち尽くしていた。]
 12:  231| [45] [予想もしなかった出来事に、誰もが言葉を失っている。]
 13:  236| [45] [やがて風見は――]
 14:  241| [47] [風見]
 15:  244| [45] [「ば……バイタルチェックを……」]
 16:  250| [45] [そう言って少女に駆け寄った。]
 17:  316| [45] [手首のバイタルチェッカーを外し、少女の手首にはめる。]
 18:  332| [47] [風見]
 19:  335| [45] [「コンディション・オールレッド……」]
 20:  340| [47] [風見]
 21:  343| [45] [「瞳孔散大……」]
 22:  417| [45] [風見は少女を横たえて言う。]
 23:  422| [47] [風見]
 24:  425| [45] [「守部、手伝いなさい。心肺蘇生を行います」]
 25:  433| [47] [洵]
 26:  436| [45] [「は、はい」]
 27:  449| [45] [洵は慌てて、少女の脇に座り込んだ。]
 28:  454| [45] [風見が心臓マッサージを行う。１５回。]
 29:  459| [45] [洵が人工呼吸を行う。２回。]
 30:  464| [45] [少女に反応はない。]
 31:  511| [45] [――夏彦は風見の目を通じ、その光景を見ていた。]
 32:  516| [47] [夏彦]
 33:  517| [45] [（ここで橘さんは悪意に感染した……）]
 34:  522| [47] [夏彦]
 35:  523| [45] [（だったら、そろそろ現れるんじゃないか！？）]
 36:  528| [47] [夏彦]
 37:  529| [45] [（被験体Ｎの魂の跡は、ここに残ってるんじゃないか！？）]
 38:  534| [45] [そう思ったが――被験体Ｎは、まだ現れなかった。]
 39:  669| [47] [渡瀬]
 40:  672| [45] [「――…Ａ―…――…時間―…」]
 41:  677| [47] [渡瀬]
 42:  680| [45] [「――……―たちも投与……―」]
 43:  685| [45] [背後で渡瀬が何か言った気がしたが、無視した。]
 44:  690| [45] [心肺蘇生を行う手に、力がこもる。]
 45:  695| [45] [心臓マッサージ１５回。]
 46:  700| [45] [人工呼吸２回。]
 47:  705| [45] [心臓マッサージ１５回。]
 48:  710| [45] [人工呼吸２回。]
 49:  715| [45] [心臓マッサージ１５回。人工呼吸２回――]
 50:  722| [47] [風見]
 51:  723| [45] [（……！）]
 52:  754| [45] [やがて見知らぬ少女に、失った者の面影が重なった。]
 53:  759| [45] [思わず口をついて、声が漏れる。]
 54:  764| [47] [風見]
 55:  767| [45] [「……ないで……」]
 56:  772| [47] [風見]
 57:  775| [45] [「死なないで、凪沙……！」]
 58:  780| [45] [その瞬間、傍らの洵が息を呑む。]
 59:  785| [47] [洵]
 60:  788| [45] [「お、お姉ちゃん……！」]
 61:  793| [47] [洵]
 62:  796| [45] [「この子は、――…よ……！」]
 63:  801| [45] [だが、風見の思考は停止していた。]
 64:  806| [45] [洵の声も遠く聞こえ、意味を結ばない。]
 65:  837| [47] [風見]
 66:  838| [45] [（凪沙……凪沙……！）]
 67:  843| [47] [風見]
 68:  844| [45] [（お願い、蘇って……！）]
 69:  849| [47] [風見]
 70:  850| [45] [（ようやく会えたのに……こんなの、嫌よ！）]
 71:  855| [45] [思考が散り散りになり、まとまらない。]
 72:  860| [45] [だがその時――]
 73:  866| [47] [洵]
 74:  869| [45] [「副隊長！　もうやめよう！」]
 75:  895| [47] [風見]
 76:  898| [45] [「っ！」]
 77:  903| [45] [洵の声が、風見を現実に引き戻した。]
 78:  908| [47] [渡瀬]
 79:  911| [45] [「……橘……」]
 80:  916| [45] [渡瀬がかすれた声で言うのを聞いて、風見は愕然とした。]
 81:  921| [47] [風見]
 82:  922| [45] [（あ……）]
 83:  927| [47] [風見]
 84:  928| [45] [（……いま、私……久しぶりに、正気を失って……？）]
 85:  933| [45] [凪沙の死から９年経ち、心神喪失が再発する事もないと思っていたが――]
 86:  938| [47] [風見]
 87:  939| [45] [（いけない……冷静に、ならなければ……）]
 88:  946| [47] [風見]
 89:  947| [45] [（冷静に、冷静に、冷静に……）]
 90:  952| [47] [風見]
 91:  953| [45] [（この子は凪沙じゃないんだから……）]
 92: 1024| [45] [風見は深く息をつき、ゆっくりと、渡瀬の方を振り向いて言う。]
 93: 1029| [47] [風見]
 94: 1032| [45] [「手をつくしてはみましたが……」]
 95: 1037| [47] [風見]
 96: 1040| [45] [「……死亡、しています」]
