  0:   58| [55] [√Double Chapter6]
  1:   69| [47] [夏彦]
  2:   70| [45] [（橘さんの記憶を消すわけにはいかない！）]
  3:   75| [47] [夏彦]
  4:   76| [45] [（そんな事をしても、なんの解決にもならないんだ！）]
  5:   81| [45] [そう思いながら、夏彦は風見の心の奥へ潜っていく。]
  6:   86| [47] [夏彦]
  7:   87| [45] [（――今朝、ラボに向かうあの長い道を歩きながら、ぼくは自分に誓ったんだ！　『今度こそ何もかも護ってやる』って！）]
  8:   92| [47] [夏彦]
  9:   93| [45] [（その誓いに例外はない、橘さんの事だって！）]
 10:   98| [45] [しかし、彼の意思を阻むように――]
 11:  149| [45] [突如、壮絶な悪意が夏彦を包んだ。]
 12:  215| [47] [夏彦]
 13:  216| [45] [（！！）]
 14:  221| [45] [危険信号が脳裏に明滅する。]
 15:  226| [45] [だがそのとき、悠里の声がした。]
 16:  296| [47] [悠里]
 17:  299| [45] [《負けないでひこりん！》]
 18:  323| [47] [悠里]
 19:  326| [45] [《もしひこりんが悪意に侵食されても、記憶を消去されても、わたしが治してあげるから！》]
 20:  350| [47] [悠里]
 21:  353| [45] [《だから、副隊長さんを――！》]
 22:  358| [47] [夏彦]
 23:  359| [45] [（あぁ！　必ず！）]
 24:  423| [45] [夏彦はそう答え、風見の深層に向かう。]
 25:  428| [45] [被験体Ｎの魂がある場所まで――！]
 26:  481| [47] [夏彦]
 27:  482| [45] [（！！）]
 28:  487| [45] [やがて不意に、目の前が開けた。]
 29:  547| [45] [――そこは、彼女の部屋だった。]
 30:  552| [45] [被験体Ｎの部屋ではない。]
 31:  557| [45] [もう無くなってしまったあの団地の、３０３号室、橘家の一室――。]
 32:  562| [45] [そこに、彼女はいた。]
 33:  595| [47] [被験体Ｎ]
 34:  598| [45] [「……来てしまったのね？」]
 35:  606| [47] [夏彦]
 36:  609| [45] [「あぁ……来たよ」]
 37:  617| [47] [夏彦]
 38:  620| [45] [「橘さんを、君の呪縛から解放するために」]
 39:  646| [47] [被験体Ｎ]
 40:  649| [45] [「そう……」]
 41:  654| [45] [被験体Ｎは夏彦を見て、薄く笑う。]
 42:  680| [47] [被験体Ｎ]
 43:  683| [45] [「……さっきね、あなたの記憶を読んで、ようやく思い出したの」]
 44:  691| [47] [被験体Ｎ]
 45:  694| [45] [「私がかつて、『橘凪沙』と呼ばれていた事」]
 46:  702| [47] [被験体Ｎ]
