  0:   60| [45] [――最後の選択を迫られた夏彦は――]
  1:   65| [47] [夏彦]
  2:   66| [45] [（嫌だ……こんな選択、選んでたまるか！！）]
  3:   71| [45] [それでもなお、そう思った。]
  4:   76| [45] [そんな事をしても、同じ事の繰り返しだと――！]
  5:  149| [47] [夏彦]
  6:  152| [45] [「……渡瀬。ぼくはお前を消したくないよ」]
  7:  160| [47] [夏彦]
  8:  163| [45] [「お前がどれだけ……それを望んでいるとしても……！」]
  9:  198| [47] [渡瀬]
 10:  201| [45] [「何……？」]
 11:  258| [47] [夏彦]
 12:  261| [45] [「……ぼくは何度も凪沙を消して、生き延びた」]
 13:  269| [47] [夏彦]
 14:  272| [45] [「それが仕方ない事だったとしても、もうたくさんなんだ」]
 15:  280| [47] [夏彦]
 16:  283| [45] [「お前の記憶を消せば、今のお前は消滅する」]
 17:  291| [47] [夏彦]
 18:  294| [45] [「それでもお前が生き残ったとして……いつかお前の記憶が戻ったら、それをまた消して……」]
 19:  302| [47] [夏彦]
 20:  305| [45] [「同じ事の繰り返しじゃないか。ぼくはそんな事、もう本当にしたくないんだよ」]
 21:  313| [47] [渡瀬]
 22:  316| [45] [「……」]
 23:  371| [47] [夏彦]
 24:  374| [45] [「かと言って悠里を差し出すこともできない。悠里の代わりに、ぼくがお前についていくのもナシだ」]
 25:  382| [47] [夏彦]
 26:  385| [45] [「言っただろう。誰かが犠牲になる事自体……ぼくらはもう認めないって」]
 27:  427| [47] [渡瀬]
 28:  430| [45] [「……わかってるさ」]
 29:  438| [47] [渡瀬]
 30:  441| [45] [「だが今回の選択は、さっきの選択とは違う。お前がどちらを選んでも、誰かが死ぬわけじゃない」]
 31:  449| [47] [渡瀬]
 32:  452| [45] [「だから選べるはずだろう。そしてお前が選ぶべき道は、１つしかない……違うか？」]
 33:  487| [47] [夏彦]
 34:  490| [45] [「……だけど……」]
 35:  522| [45] [そう呟く夏彦に、渡瀬が苦笑する。]
 36:  530| [47] [渡瀬]
 37:  533| [45] [「夏彦……がっかりさせないでくれよ」]
 38:  541| [47] [渡瀬]
 39:  544| [45] [「大切なものを護るために、心を鬼にできなくてどうする」]
 40:  549| [45] [――夏彦と渡瀬の主張は、相反していた。互いに揺ぎ無い信念があった。]
 41:  554| [45] [その２つを同時に採る事はできないはずだ。]
 42:  559| [45] [それでも、夏彦は決意する。]
 43:  564| [47] [夏彦]
