  0:   60| [45] [――今から２年前のこと――]
  1:   74| [45] [その日、宇喜多は特別な許可を得て、天川博士と共にＮエリアに足を踏み入れていた。]
  2:  148| [47] [宇喜多]
  3:  151| [45] [「これが、ＷＸ粒子増幅器……！」]
  4:  156| [45] [巨大なホールにそびえ立つ６つの塔に、宇喜多は圧倒された。]
  5:  192| [47] [美夜子]
  6:  195| [45] [「どう？　実物を見た感想は？」]
  7:  203| [47] [宇喜多]
  8:  206| [45] [「話には聞いていましたが……これは、ラボが総力を挙げて開発しただけありますね」]
  9:  232| [47] [美夜子]
 10:  235| [45] [「そうね。でも、まだまだ不安定な面が多いのよ」]
 11:  261| [47] [美夜子]
 12:  264| [45] [「だから宇喜多さんには主に、ＷＸ粒子増幅器のオペレーションを担当してもらう事になるわ」]
 13:  272| [47] [美夜子]
 14:  275| [45] [「もっとも作業のほとんどはシステム制御室で行う事になるから、あなたがここに来る機会はもうないでしょうけど」]
 15:  283| [47] [宇喜多]
 16:  286| [45] [「そうですか……ところで天川博士、あの中央の円柱は何なのでしょうか？」]
 17:  312| [47] [美夜子]
 18:  315| [45] [「ごめんなさい。あれについて知る事ができるのは『シニアフェロー』以上の人間だけなのよ」]
 19:  323| [47] [宇喜多]
 20:  326| [45] [「それは最高機密に関わるもの……という事ですか？」]
 21:  352| [47] [美夜子]
 22:  355| [45] [「えぇ。でも宇喜多さん、詮索はそこまでにしておくことね」]
 23:  360| [45] [そう口にした天川博士の眼が、ほんの少し鋭くなる。]
 24:  368| [47] [美夜子]
 25:  371| [45] [「『好奇心は猫を殺す』。ジュニアフェローの人間は、この言葉を覚えておいた方がいいわ」]
 26:  379| [47] [美夜子]
 27:  382| [45] [「脅したくはないけど、国家が運営に絡む研究施設を甘く見ない方が身のためよ。余計なトラブルはごめんでしょう？」]
 28:  390| [47] [宇喜多]
 29:  393| [45] [「わ、わかりました。肝に銘じておきます」]
 30:  419| [47] [美夜子]
 31:  422| [45] [「まあ、それはさておき……宇喜多さん、実はもう１つ頼みたい仕事があるんだけど」]
 32:  430| [47] [宇喜多]
 33:  433| [45] [「何かのデータの検証でしょうか？」]
 34:  459| [47] [美夜子]
 35:  462| [45] [「いいえ。研究員としての業務ではなくて、私の息子の監視員になってほしいのよ」]
 36:  470| [47] [宇喜多]
 37:  473| [45] [「監視員……と申しますと？」]
 38:  499| [47] [美夜子]
 39:  502| [45] [「実は私の息子・夏彦は、ＩＧＦ２Ｒ遺伝子異常タイプＳなの」]
 40:  510| [47] [宇喜多]
 41:  513| [45] [「タイプＳ！？　それは――！」]
 42:  539| [47] [美夜子]
 43:  542| [45] [「ええ。出生率３０００万分の１とも言われる、極めて稀少な存在よ」]
 44:  568| [47] [美夜子]
 45:  571| [45] [「でも夏彦は、まだ１度もＢＣ能力を発現させた事がないわ」]
 46:  579| [47] [美夜子]
 47:  582| [45] [「ラボとしてはこれを看過できず、夏彦を監視対象にしているんだけど」]
 48:  608| [47] [美夜子]
 49:  611| [45] [「先日、お向かいに住んでいた監視員の方が退職してしまって、それでお隣に住んでいる宇喜多さんに――」]
 50:  619| [47] [宇喜多]
 51:  622| [45] [「――ちょっと待って下さい。僕の家は、天川博士の隣だったのですか？」]
 52:  648| [47] [美夜子]
 53:  651| [45] [「あら？　知らなかったかしら？」]
 54:  659| [47] [宇喜多]
 55:  662| [45] [「はあ、近所で１度もお会いした事がなかったものですから……」]
 56:  688| [47] [美夜子]
 57:  691| [45] [「確かにそんな機会はなかったかもしれないわね。私、ほとんどこのラボで寝泊りしているから」]
 58:  717| [47] [美夜子]
 59:  720| [45] [「それで……お願いできるかしら？　監視員」]
 60:  728| [47] [美夜子]
 61:  731| [45] [「ＢＣ能力が発現しているかどうかと、あとは息子の日常を少しでも報告してくれればいいのだけれど」]
 62:  736| [45] [恐ろしく多忙な天川博士の事だ。息子に会う機会すら、ろくに取れていないに違いない。]
 63:  744| [47] [宇喜多]
 64:  747| [45] [「わかりました。その話、お引き受け致します」]
 65:  852| [45] [監視任務の報告書は、宇喜多自身も多忙なため、月に１度程度になった。]
 66:  857| [45] [夏彦には『特別監視対象ナ２号』という、ものものしい識別名が振られていた。]
 67:  901| [45] [――特監対象ナ２号　第６６次定期報告書――]
 68:  905| [85] [　]
 69:  908| [45] [監視員：宇喜多佳司]
 70:  911| [45] [日時　：２０２８年５月３日]
 71:  914| [45] [場所　：ナ２号宅前にて]
 72:  918| [85] [　]
 73:  921| [45] [状況　：出勤時、ナ２号と初めて朝の挨拶を交わす。]
 74:  924| [45] [礼儀正しい少年という印象を受ける。]
 75:  928| [85] [　]
 76:  931| [45] [報告　：ＢＣ能力の発現は見られず]
 77:  946| [45] [――特監対象ナ２号　第６８次定期報告書――]
 78:  950| [85] [　]
 79:  953| [45] [監視員：宇喜多佳司]
 80:  956| [45] [日時　：２０２８年７月６日]
 81:  959| [45] [場所　：ナ２号宅前にて]
 82:  963| [85] [　]
 83:  966| [45] [状況　：ナ２号と友人Ｍが、玄関先に笹飾りを飾っていた。]
 84:  969| [45] [ナ２号の願い事は『いつまでも３人仲良く』。]
 85:  972| [45] [室内にもう１人友人がいるという話だが、]
 86:  975| [45] [その姿を確認する事は出来なかった。]
 87:  978| [45] [なおこの時、ナ２号より天川博士の様子を尋ねられ、]
 88:  981| [45] [『仕事を頑張っている』と返答。]
 89:  984| [45] [あまり良い反応を示さなかったが、愛情の裏返しと思われる。]
 90:  987| [85] [　]
 91:  990| [45] [報告　：ＢＣ能力の発現は見られず]
 92: 1019| [45] [夏彦の日常を記述しながら、宇喜多はふと思う。]
 93: 1100| [47] [宇喜多]
