  0:   60| [45] [--Two years ago--]
  1:   74| [45] [Ukita had gotten special permission to enter Area N with Dr. Tenkawa that day.]
  2:  148| [47] [Ukita]
  3:  151| [45] ["So this is the WX particle amplifier...!"]
  4:  156| [45] [Ukita was overwhelmed by the six towers standing in the giant hall.]
  5:  192| [47] [Miyoko]
  6:  195| [45] ["Well? What are your impressions of the genuine article?"]
  7:  203| [47] [Ukita]
  8:  206| [45] ["I've heard about it before, but... it's incredible what LABO was able to create by mustering all of its efforts."]
  9:  232| [47] [Miyoko]
 10:  235| [45] ["Indeed. But there's still a long way to go before it's completely stable."]
 11:  261| [47] [Miyoko]
 12:  264| [45] ["That's why you'll mainly be in charge of operating the WX particle amplifier."]
 13:  272| [47] [Miyoko]
 14:  275| [45] ["Most of that is conducted in the system control room though, so you likely won't get another chance to come back here."]
 15:  283| [47] [Ukita]
 16:  286| [45] ["I see... Incidentally, what is that transparent tube in the middle of the room?"]
 17:  312| [47] [Miyoko]
 18:  315| [45] ["I'm sorry. But that information is only to be divulged to 'Senior Fellows'."]
 19:  323| [47] [Ukita]
 20:  326| [45] ["So it's top secret information... I take it?"]
 21:  352| [47] [Miyoko]
 22:  355| [45] ["Yes. But leave your inquiries at that."]
 23:  360| [45] [The look in Dr. Tenkawa's eyes became slightly pointed when she said that.]
 24:  368| [47] [Miyoko]
 25:  371| [45] ["'Curiosity killed the cat'. It would be best for Junior Fellows to remember that phrase."]
 26:  379| [47] [Miyoko]
 27:  382| [45] ["I don't want to intimidate you, but it'd be safer for you not to take a government managed facility lightly. I take it you'd rather avoid any unnecessary trouble, yes?"]
 28:  390| [47] [Ukita]
 29:  393| [45] ["U-understood. I'll keep that in mind."]
 30:  419| [47] [Miyoko]
 31:  422| [45] ["Well, that matter aside... There's actually one more job I would like to entrust to you, Mr. Ukita."]
 32:  430| [47] [Ukita]
 33:  433| [45] ["Are there some data you'd like me to examine?"]
 34:  459| [47] [Miyoko]
 35:  462| [45] ["No. It's not related to your duties as a researcher. I'd like you to be my son's 'observer'."]
 36:  470| [47] [Ukita]
 37:  473| [45] ["What do you mean... by observer?"]
 38:  499| [47] [Miyoko]
 39:  502| [45] ["You see, my son Natsuhiko actually has an IGF2R Gene Abnormality of Type S."]
 40:  510| [47] [Ukita]
 41:  513| [45] ["Type S!? That's--!"]
 42:  539| [47] [Miyoko]
 43:  542| [45] ["Yes. An extremely rare occurrence. They say it occurs in only one out of every 30 million births."]
 44:  568| [47] [Miyoko]
 45:  571| [45] ["But Natsuhiko hasn't manifested his BC abilities once."]
 46:  579| [47] [Miyoko]
 47:  582| [45] ["However, LABO still cannot ignore his case. Thus they've made him an observation target."]
 48:  608| [47] [Miyoko]
 49:  611| [45] ["His former observer lived in the house across from ours, but he retired the other day. And you live next door to us, so--"]
 50:  619| [47] [Ukita]
 51:  622| [45] ["--Please wait a moment. I live right next door to you?"]
 52:  648| [47] [Miyoko]
 53:  651| [45] ["Oh? Were you not aware of that?"]
 54:  659| [47] [Ukita]
 55:  662| [45] ["Not at all. We haven't seen each other once in our neighborhood, so..."]
 56:  688| [47] [Miyoko]
 57:  691| [45] ["True, perhaps we never did have any opportunities for that. I practically live here in LABO now, after all."]
 58:  717| [47] [Miyoko]
 59:  720| [45] ["Anyway... could you please be his observer?"]
 60:  728| [47] [Miyoko]
 61:  731| [45] ["All you have to do is watch to see if his BC abilities ever manifest and report at least a little bit about his day to day life."]
 62:  736| [45] [Dr. Tenkawa was always extraordinarily busy. There was no doubt that she had very few opportunities to see her son.]
 63:  744| [47] [Ukita]
 64:  747| [45] ["Understood. I'll accept your request."]
 65:  852| [45] [Since Ukita was also quite busy, he wrote up his observation reports once a month.]
 66:  857| [45] [Natsuhiko had been given the rather pretentious designation of%N"Special Observation Target Na2".]
 67:  901| [45] [--Special Observation Target Na2, 66th Periodic Report--]
 68:  905| [85] [　]
 69:  908| [45] [Current observer: Keiji Ukita]
