  0:   60| [45] [――渡瀬と言う仲間を得た宇喜多は――]
  1:   65| [45] [彼と共に、計画を練り始めた。]
  2:   70| [45] [憎むべき対象は『鹿鳴市』と『ラボ』。]
  3:   75| [45] [それらに致命的な打撃を与え、被験体を救出する。]
  4:   80| [45] [極めて困難な計画だったが、渡瀬の協力があれば、なんとかなりそうな気がしてきた。]
  5:  110| [45] [計画の骨子はこうだ。まず施設内で燃焼剤入りの爆弾を爆破し、その隙に渡瀬たちに被験体を救助してもらう。]
  6:  115| [45] [爆弾の爆破は、監視ルームでモニターを見ながら、『超音波起爆装置』を用いて爆破する事にした。]
  7:  120| [45] [さらに館内放送は全館一括放送のみではなく、特定のエリアにだけ流す事もできる。]
  8:  125| [45] [それをうまく利用すれば、人がいない場所を狙い、爆破が可能になるはずだ。]
  9:  130| [45] [超音波なら人間の耳には聞こえず、誰かに悟られる恐れもない。]
 10:  135| [45] [起爆用の音声データも数種類用意した。即時爆破用のものから、時限爆破用のものまで。]
 11:  140| [45] [それを自分のＰＤＡに仕込む事で、宇喜多はいつでも館内の爆弾を爆破できるようになったのだった……。]
 12:  195| [45] [――そして計画は順調に進み――]
 13:  200| [45] [それから１年が過ぎた、ある日のこと。]
 14:  254| [45] [宇喜多は監視ルームの警備員と、チェスに興じていた。]
 15:  262| [47] [宇喜多]
 16:  265| [45] [「むぅ、チェックメイトか……序盤の駒損が後を引いたな」]
 17:  270| [47] [警備員]
 18:  273| [45] [「ははは、もう一戦いくかい？」]
 19:  281| [47] [宇喜多]
 20:  284| [45] [「いや、閑職とは言えさすがにそろそろ戻らなければまずい。再戦はまた今度にしよう」]
 21:  289| [47] [警備員]
 22:  292| [45] [「じゃあまた来る時は、ぜひコーヒーの差し入れを頼むよ。ウマいって、仲間内でも評判でね」]
 23:  300| [47] [宇喜多]
 24:  303| [45] [「それは良かった。僕のとりえと言えばそれだけだからね」]
 25:  308| [45] [こんなやりとりも、計画の一環だった。]
 26:  313| [45] [そうして宇喜多が、監視ルームを後にすると――]
 27:  431| [47] [宇喜多]
 28:  434| [45] [「っ！？」]
 29:  439| [45] [――天川博士に、ばったりと出くわした。]
 30:  465| [47] [美夜子]
 31:  468| [45] [「宇喜多さん？　あなたこんな所でいったい何をしているの？」]
 32:  476| [47] [宇喜多]
 33:  479| [45] [「て、天川博士……！」]
 34:  484| [45] [宇喜多は内心どきりとしたが、すぐに表情を取り繕って答えた。]
 35:  492| [47] [宇喜多]
 36:  495| [45] [「なに、知り合いになった警備員と油を売ってただけですよ。なにぶん、すっかり暇な時間が増えましたので」]
 37:  521| [47] [美夜子]
 38:  524| [45] [「……そう」]
 39:  532| [47] [宇喜多]
 40:  535| [45] [「とは言え少し時間を潰しすぎました。そろそろ仕事に戻りますよ。それでは」]
 41:  542| [45] [そう言って早々に立ち去ろうとしたが――]
 42:  550| [47] [美夜子]
 43:  553| [45] [「待って、宇喜多さん」]
 44:  561| [47] [宇喜多]
 45:  564| [45] [「え？」]
 46:  591| [47] [美夜子]
 47:  594| [45] [「……昨日、保安六課から質問を受けたの」]
 48:  602| [47] [美夜子]
 49:  605| [45] [「あなたをなぜチームから外したのか、その理由を聞かれたわ」]
 50:  610| [45] [保安六課――聞きなれない言葉だが、恐らく鹿鳴市保安課にある部署なのだろう。]
 51:  618| [47] [宇喜多]
 52:  621| [45] [「……それで、あなたは何と？」]
 53:  650| [47] [美夜子]
 54:  653| [45] [「何も。ただ『適性・能力ともに不適合のため、チームから外れてもらった』とだけ答えたわ」]
 55:  658| [47] [宇喜多]
 56:  659| [45] [（え……？　どういう事だ？　なぜ博士が、僕をかばうような証言を？）]
 57:  664| [47] [宇喜多]
 58:  665| [45] [（まさか……彼女も本心では、ラボの現状を憂いているのではないのか？）]
 59:  670| [45] [宇喜多はそれを確認するため、もう１度、天川博士にあの質問を投げかけた。]
 60:  678| [47] [宇喜多]
 61:  681| [45] [「……では博士。あの時は答えてもらえませんでしたが、今度は答えていただけませんか？」]
 62:  689| [47] [宇喜多]
 63:  692| [45] [「もし夏彦くんの能力が発現したとしたら、あなたはどうするおつもりなのか」]
 64:  697| [45] [すると天川博士はあの時と同じように沈黙し――そして、細い声で呟いた。]
 65:  723| [47] [美夜子]
 66:  726| [45] [「……幽閉するわ」]
