  0:   53| [45] [そして、運命の日がやってきた。]
  1:  105| [45] [９月１６日、５時３０分――]
  2:  110| [45] [通路に人気がないのを見計らって、宇喜多は行動を開始した。]
  3:  195| [45] [扉を開けると、監視ルームに待機していた警備員たちは――]
  4:  200| [47] [警備員１]
  5:  203| [45] [「んがー、んごー、んがー、んごー」]
  6:  208| [47] [警備員２]
  7:  211| [45] [「がーぷひゅるるる、がーぷしゅるるる」]
  8:  216| [45] [――全員が深い眠りに落ちていた。]
  9:  221| [45] [３０分前に差し入れたコーヒーに、強力な睡眠薬を混ぜておいたのだ。]
 10:  226| [47] [宇喜多]
 11:  227| [45] [（どうやら、チェスで負け続けた甲斐はあったようだな……）]
 12:  232| [45] [宇喜多はそうほくそ笑むと、消火システムを停止させるため、エンジンルームへと向かった。]
 13:  282| [45] [そして、６時１９分――]
 14:  336| [45] [エンジンルームから戻った宇喜多は、すぐに監視モニターで、第１エリア内周棟に人がいない事を確認した。]
 15:  344| [47] [宇喜多]
 16:  347| [45] [「……よし、それでは始めよう」]
 17:  358| [45] [自分に言い聞かせるように呟き、第１エリア内周棟の館内放送をＯＮにする。]
 18:  363| [45] [そしてＰＤＡを取り出すと、宇喜多は即時起爆用の音楽データを再生した。]
 19:  368| [45] [すると超音波が、館内放送を伝い――]
 20:  394| [45] [第１エリア内周棟で起こった爆発と振動が、監視ルームにもかすかに届く。]
 21:  399| [47] [宇喜多]
 22:  400| [45] [（さらに第２、第３エリアも……）]
 23:  405| [47] [宇喜多]
 24:  406| [45] [（周りに人がいないことを確認して――今だ！）]
 25:  447| [45] [そうして次々に爆破を起こしていると、ラボ内に自動放送が鳴り響いた。]
 26:  458| [47] [自動放送]
 27:  461| [45] [「――ただいま地下１階第２エリアで、火災が発生しました」]
 28:  487| [47] [自動放送]
 29:  490| [45] [「――ただいま地下２階第３エリアで、火災が発生しました」]
 30:  516| [47] [自動放送]
 31:  519| [45] [「――ただいま地下１階第５エリアで、火災が発生しました」]
 32:  545| [47] [自動放送]
 33:  548| [45] [「施設内のセキュリティを、『避難モード』に移行。Ｎエリアを除く全ゲートを開放します」]
 34:  574| [47] [自動放送]
 35:  577| [45] [「職員の皆様は、落ち着いて地上へ避難して下さい」]
 36:  603| [47] [宇喜多]
 37:  604| [45] [（いいぞ！　警報装置が作動した！　これでシリウスにも出動要請がかかったはずだ！）]
 38:  609| [47] [宇喜多]
 39:  610| [45] [（――彼らが到着するまでに、ラボ内の人間を外に出さなければ！）]
 40:  615| [45] [宇喜多は必死を装いつつ、館内放送で呼びかけた。]
 41:  623| [47] [宇喜多]
 42:  626| [45] [「き、緊急放送です！」]
 43:  634| [47] [宇喜多]
 44:  637| [45] [「ただいま施設内で、原因不明の爆発が発生しました！」]
 45:  645| [47] [宇喜多]
 46:  648| [45] [「現状判明している限り、施設内の１０数か所で同時に爆発が起き、それに伴い火災も発生しています！」]
 47:  656| [47] [宇喜多]
 48:  659| [45] [「江里口研究員、柏木研究員！　至急第２エリアに来てください！」]
 49:  667| [47] [宇喜多]
 50:  670| [45] [「機密資料の持ち出しについて、ただちに相談したい事があります！」]
 51:  675| [45] [――そうして計画の布石を打ちつつ、ひとまず放送を停止する。]
 52:  680| [45] [その頃には監視ルームの外でも、逃げ惑う人々の喧騒が始まっていた。]
 53:  738| [45] [宇喜多は監視ルームの扉を開けると、周辺にいた人々を呼び止めた。]
 54:  746| [47] [宇喜多]
 55:  749| [45] [「君たち頼む！　中で警備員たちが倒れているんだ！　外に連れ出してやってくれ！」]
 56:  754| [47] [職員１]
 57:  757| [45] [「わ、わかった。でもあんたはどうするんだ？」]
 58:  765| [47] [宇喜多]
 59:  768| [45] [「僕は残って避難誘導をする！　君たちは先に逃げろ！」]
 60:  773| [45] [宇喜多はそう告げて、制御室に走った。]
 61:  830| [45] [そこにはまだ多数の研究員が残っていた。]
 62:  835| [45] [宇喜多が調べたところによると、今朝はＷＸ粒子増幅器を使って、何らかの実験を行っていたという。]
 63:  840| [45] [律儀に持ち場を護る彼らに、宇喜多は叫んだ。]
 64:  848| [47] [宇喜多]
 65:  851| [45] [「君たち、何をやっているんだ！　早く逃げないか！」]
 66:  856| [47] [研究員１]
 67:  859| [45] [「しかし、増幅器が稼働中で――」]
 68:  867| [47] [宇喜多]
 69:  870| [45] [「放置しておけば、ＢｒａｉｎＣｅｌｌが自動停止処理を行うだろう！」]
 70:  878| [47] [宇喜多]
 71:  881| [45] [「万が一それが上手くいかなくても、地上の遠隔制御室からも停止処理はできる！」]
 72:  889| [47] [宇喜多]
 73:  892| [45] [「いいから早く逃げろ！　死んだら元も子もない！」]
 74:  897| [47] [研究員２]
 75:  900| [45] [「――あ、ああ！」]
 76:  906| [45] [誰かがそう叫んだのを皮切りに、研究員たちは我先にと部屋を出て行った。]
 77:  911| [47] [宇喜多]
 78:  912| [45] [（よし、今のうちに――！）]
 79:  918| [45] [誰もいなくなった制御室で、宇喜多はＢｒａｉｎＣｅｌｌのコンパネに歩み寄った。]
 80:  923| [45] [モニターを確認すると、現在ＷＸ粒子増幅器は、『５００ｍＳｖ』の出力を保っているようだ。]
 81:  928| [45] [このまま放置していたら、自動的にこの数値は減衰していく。]
 82:  939| [45] [だが宇喜多はあえてコンパネを操作し、その出力を最大にまで上げた。]
 83:  945| [45] [――すると、徐々にその数値が上昇しはじめる。]
 84:  950| [45] [『５０１ｍＳｖ』、『５０２ｍＳｖ』、『５０４ｍＳｖ』……！]
 85:  955| [47] [宇喜多]
 86:  956| [45] [（……よし、これでじきに増幅器は制御不能になる！）]
 87:  961| [45] [もともと運用に細心の注意が必要な装置だ。出力をわざと最大にすれば、容易に暴走状態は起こる。]
 88:  966| [47] [宇喜多]
 89:  967| [45] [（ここからが正念場だ！）]
 90:  972| [45] [宇喜多は制御室を飛び出した。]
 91: 1025| [45] [そして監視ルームに戻ると、警備員たちの姿は消えていた。]
 92: 1030| [45] [誰かが落としていったらしいセキュリティカードが、１枚残されているだけだった。]
 93: 1035| [45] [それを拾い、再び爆破活動と放送を続ける。]
 94: 1087| [45] [やがて喧騒が遠ざかり、監視モニターに映る人影も見当たらなくなった頃。]
 95: 1098| [45] [鳴り響いた内線電話の受話器を、宇喜多はすぐに取った。]
 96: 1112| [47] [宇喜多]
 97: 1115| [45] [「はい。こちら監視ルーム」]
 98: 1120| [47] [警備員]
 99: 1123| [45] [「あ……まだ残っていた者がいたのか！」]
100: 1128| [47] [警備員]
101: 1131| [45] [「こちらは地上フロアの監視ルームだ。さっそくで悪いが、君は誰だ？」]
102: 1136| [47] [警備員]
103: 1139| [45] [「こちらで行った点呼では、まだ地下に残っている職員は江里口、柏木、宇喜多の３名となっているが――」]
104: 1147| [47] [宇喜多]
105: 1150| [45] [「了解！　すぐにその２人を探し、脱出する！」]
106: 1155| [45] [宇喜多はそう叫び、受話器を置いた。]
107: 1166| [45] [『江里口』と『柏木』とは、さきほど宇喜多が放送で呼び出した２名の研究員。]
108: 1171| [45] [事前にリストアップしておいた、Ｚｅｒｏエリアに入る権限を持つ者の名前だった。]
109: 1176| [45] [恐らくすでに到着しているはずの渡瀬たちが、彼らを上手く捕らえたのだろう。]
110: 1181| [45] [宇喜多はそう判断し、館内放送のマイクに向かって言った。]
111: 1189| [47] [宇喜多]
112: 1192| [45] [「地上フロアで行った点呼により、施設内の全職員の避難が確認できました！」]
113: 1200| [47] [宇喜多]
114: 1203| [45] [「万が一職員以外の方が残っていたら、ただちに第５・第６エリア方面から脱出してください！」]
115: 1208| [45] [それは念のための放送であり、渡瀬たちへの合図だった。]
116: 1256| [45] [だが渡瀬たちを待つ間も、時間は無駄にしない。]
117: 1313| [45] [いったん制御室に行き、増幅器の稼動状態を確認する。]
118: 1318| [45] [Ｎエリアの数値は『２３１５ｍＳｖ』。順調に上昇していた。]
119: 1323| [45] [ＢｒａｉｎＣｅｌｌはすでに増幅器の緊急停止処理を始めていたが、もう遅い。]
120: 1328| [45] [停止処理と減衰が終了するのは、『１８：１６』と表示されていた。]
121: 1333| [47] [宇喜多]
122: 1334| [45] [（今から約１１時間後か！　よし、ここまでは完璧だ！）]
123: 1339| [45] [そしてまた監視ルームに戻ると――]
124: 1399| [45] [すぐに渡瀬らレスキュー隊員の３人が、気絶した幹部研究員２名を抱えて現れた。]
125: 1432| [47] [渡瀬]
126: 1435| [45] [「じゃあ俺たちはＺｅｒｏエリアに降り、被験体を救出してくる」]
127: 1443| [47] [宇喜多]
128: 1446| [45] [「僕はここに留まり、不測の事態が起きないかどうか見張っておこう」]
129: 1451| [45] [そう言う宇喜多に渡瀬はうなずき、堂島たちと共に部屋を飛び出していった。]
130: 1525| [45] [だが、それから渡瀬たちは、なかなか戻ってこなかった。]
131: 1530| [45] [ケースＮも発令されない。]
132: 1535| [47] [宇喜多]
133: 1536| [45] [（遅い……！　何をやってるんだ！？）]
134: 1541| [47] [宇喜多]
135: 1542| [45] [（４０００ｍＳｖを超えてしまったら、本当に危険だと言うのに！）]
136: 1547| [45] [そう思った時、突如けたたましいサイレンが響いた。]
137: 1569| [47] [自動放送]
138: 1572| [45] [「――ただいま、『ケースＮ』が発生しました」]
139: 1577| [47] [自動放送]
140: 1580| [45] [「緊急事態につき、セキュリティを『封鎖モード』に移行」]
141: 1585| [47] [自動放送]
142: 1588| [45] [「施設内の全ゲートを閉鎖・ロックすると共に、隔壁を封鎖します」]
143: 1593| [45] [はっとして時計を見ると、渡瀬たちが出て行ってから、約２０分が過ぎていた。]
144: 1598| [47] [宇喜多]
145: 1599| [45] [（ま……間に合ったか？）]
